"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"596401";"";"Enseignant";"ABBOTT001";"Soleyna";"soleyna.abbott001";"soleyna.abbott001";"485jnk7f";"ANGLAIS";"LG-AUGUSTE BRIZEUX-QUIMPER";"2NDE5, 2NDE2, 1ERE2, 1ERE1, 1ERE6, TERM2, TERM3, TERM4";"";""
"302247";"";"Enseignant";"AGRAWAL001";"Aïlys";"ailys.agrawal001";"ailys.agrawal001";"jjs97tgy";"LETTRES MODERNES";"LG-AUGUSTE BRIZEUX-QUIMPER";"1ERE7, 1ERE6, 1ERE1, 1ERE2, 1ERE5, 1ERE4, TERM4, TERM1, TERM2, TERM5, 1ERE3, TERM3, TERM7, TERM6";"";""
"423936";"";"Enseignant";"AHLAM001";"Sorën";"soren.ahlam001";"soren.ahlam001";"vcmdnw9h";"MATHEMATIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"TERM4, TERM6, TERM5, TERM2, TERM7, TERM3, TERM1, 2NDE6";"";""
"1262877";"";"Enseignant";"ALI001";"Ester";"ester.ali001";"ester.ali001";"7yw45ntp";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"PCSI";"";""
"1909117";"";"Enseignant";"ARIFA001";"Aaliyah";"aaliyah.arifa001";"aaliyah.arifa001";"h7yts97p";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"1ERE4, 1ERE1, 1ERE2, 1ERE6, TERM1, 1ERE3, 1ERE5, 2NDE6, 1ERE7";"";""
"1611149";"";"Enseignant";"BAGAYOKO001";"Hades";"hades.bagayoko001";"hades.bagayoko001";"hkz7mkzg";"ECO-GEST.OPTION COMPTABILITE ET FINANCE, ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LG-AUGUSTE BRIZEUX-QUIMPER, LT-JEAN CHAPTAL-QUIMPER";"TERM3, TERM7, TERM1, TERM6, TERM4, TERM2, TERM5, _2NOT, _1BIOQLT";"";""
"1975795";"";"Enseignant";"BARBIERI001";"Dine";"dine.barbieri001";"dine.barbieri001";"mzfg6rre";"ANGLAIS";"LG-AUGUSTE BRIZEUX-QUIMPER";"1ERE2, 1ERE7, 1ERE6, 2NDE5, 1ERE4, 1ERE3, TERM7, 1ERE1, TERM4, 1ERE5";"";""
"1935393";"";"Enseignant";"BISHOP001";"Brunissende";"brunissende.bishop001";"brunissende.bishop001";"vdszv6m5";"ESPAGNOL";"LG-AUGUSTE BRIZEUX-QUIMPER";"2NDE4, 2NDE1, 2NDE3, TERM6, TERM5, TERM1, 2NDE7, 1ERE7, 1ERE1, TERM4";"";""
"293122";"";"Enseignant";"BONE001";"Diatou";"diatou.bone001";"diatou.bone001";"tpm85mpr";"SANS OBJET, LETTRES MODERNES, LETTRES MODERNES, LETTRES MODERNES";"CLG-AUGUSTE BRIZEUX-QUIMPER, CLG-RENE LAENNEC-PONT-L'ABBE, LGT-DE CORNOUAILLE-QUIMPER, LG-AUGUSTE BRIZEUX-QUIMPER";"5EME2, , 2 3, 1ERE7";"";""
"1098265";"";"Enseignant";"BOULTON001";"Fanya";"fanya.boulton001";"fanya.boulton001";"4kkhjved";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"2NDE7, 2NDE2, 2NDE1, 2NDE5, 2NDE6, TERM2, TERM1, 2NDE3, TERM7, TERM6";"";""
"568013";"";"Enseignant";"BOWE001";"Moumine";"moumine.bowe001";"moumine.bowe001";"xykzsa5k";"MATHEMATIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"PCSI, PC";"";""
"684711";"";"Enseignant";"BURROWS001";"Hadji";"hadji.burrows001";"hadji.burrows001";"ska4xvxg";"SCIENCES DE LA VIE ET DE LA TERRE, SCIENCES DE LA VIE ET DE LA TERRE";"LG-AUGUSTE BRIZEUX-QUIMPER";"2NDE5, 2NDE4, TERM4, TERM5, TERM3";"";""
"1893715";"";"Enseignant";"CASTAGNA001";"Marc-David";"marc-david.castagna001";"marc-david.castagna001";"6bfgywkf";"MATHEMATIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"2NDE4, TERM3, TERM5, TERM2";"";""
"1639283";"";"Enseignant";"CASTIGLIONI001";"Dior";"dior.castiglioni001";"dior.castiglioni001";"fxhnxfx8";"HISTOIRE GEOGRAPHIE";"LG-AUGUSTE BRIZEUX-QUIMPER";"1ERE5, 2NDE5, 1ERE7, 1ERE6, 1ERE2, 1ERE1, 1ERE3, TERM1, TERM4, TERM2, TERM3";"";""
"673345";"";"Enseignant";"CEMJON001";"Tekin";"tekin.cemjon001";"tekin.cemjon001";"jte4b5ww";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"PCSI, PC";"";""
"1631420";"";"Enseignant";"CORCORAN001";"Suad";"suad.corcoran001";"suad.corcoran001";"67gdeyh6";"EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LP-JEAN CHAPTAL-QUIMPER, LT-JEAN CHAPTAL-QUIMPER, LG-AUGUSTE BRIZEUX-QUIMPER";"TGA, 1SRC1, ULIS, 02GT3, TST2S1, 1ST2S2, 2NDE3, TERM1, TERM2";"";""
"1876813";"";"Enseignant";"COULSON001";"Mattiew";"mattiew.coulson001";"mattiew.coulson001";"8tfawty4";"MATHEMATIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"1ERE6, 1ERE7, 1ERE1, 1ERE2, 1ERE5, TERM2, TERM6, TERM7, TERM4, 1ERE4, TERM5, 2NDE3, TERM3, 1ERE3, TERM1";"";""
"239001";"";"Enseignant";"DUNCAN001";"Willson";"willson.duncan001";"willson.duncan001";"e77ymxjr";"SC.TECHNIQUES INDUSTRIELLES";"LG-AUGUSTE BRIZEUX-QUIMPER";"PSI";"";""
"1578729";"";"Enseignant";"FAANU001";"Helder";"helder.faanu001";"helder.faanu001";"3fdkxtxc";"SCIENCES DE LA VIE ET DE LA TERRE";"LG-AUGUSTE BRIZEUX-QUIMPER";"TERM7, TERM1, TERM3, 1ERE3, TERM6, TERM2, 1ERE5, 1ERE1, TERM4, 1ERE6, 1ERE7, 1ERE2, 2NDE6, 2NDE3, 1ERE4";"";""
"1155254";"";"Enseignant";"FRANCO001";"Alyssandre";"alyssandre.franco001";"alyssandre.franco001";"5zmzra6m";"DOCUMENTATION";"LG-AUGUSTE BRIZEUX-QUIMPER";"";"";""
"1203226";"";"Enseignant";"GRANDE001";"Chrystalle";"chrystalle.grande001";"chrystalle.grande001";"z6hjjjyc";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"1ERE4, TERM1, TERM2, TERM5, TERM6, 1ERE1, 1ERE6, 2NDE2, 2NDE4";"";""
"768025";"";"Enseignant";"GREEN001";"Gulizar";"gulizar.green001";"gulizar.green001";"zxategjp";"LETTRES CLASSIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"2NDE5, 2NDE6, 2NDE2, 2NDE1, TERM2, 1ERE3, TERM3, 1ERE4";"";""
"1287411";"";"Enseignant";"GRILLO001";"Eymard";"eymard.grillo001";"eymard.grillo001";"fxaw96v7";"MATHEMATIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"PCSI";"";""
"303661";"";"Enseignant";"HAINRICK001";"Avery";"avery.hainrick001";"avery.hainrick001";"dpt3hvh9";"SCIENCES ECONOMIQUES ET SOCIALES";"LG-AUGUSTE BRIZEUX-QUIMPER";"1ERE7, 2NDE6, 1ERE2, 1ERE6, 1ERE5, 1ERE1, 1ERE4, 1ERE3";"";""
"1893254";"";"Enseignant";"HOBAN001";"Hacene";"hacene.hoban001";"hacene.hoban001";"aa8e8sxj";"PHILOSOPHIE";"LG-AUGUSTE BRIZEUX-QUIMPER";"1ERE7, 1ERE5, 1ERE1, 1ERE2, 1ERE6, TERM3, TERM1, 1ERE3, TERM7, TERM6, TERM2, TERM5, 1ERE4, TERM4";"";""
"1719514";"";"Enseignant";"HORNER001";"Alyre";"alyre.horner001";"alyre.horner001";"75jr4h66";"HISTOIRE GEOGRAPHIE";"LG-AUGUSTE BRIZEUX-QUIMPER";"2NDE2, 1ERE1, 1ERE2, 1ERE6, 1ERE7, 2NDE6, 1ERE4, 1ERE3";"";""
"1879703";"";"Enseignant";"HORROCKS001";"Sloane";"sloane.horrocks001";"sloane.horrocks001";"jrb7bygd";"ANGLAIS, ANGLAIS";"LPO-YVES THEPOT-QUIMPER, LG-AUGUSTE BRIZEUX-QUIMPER";"ATS, TSTIB, T GEN B, TSTIA, PSI, PCSI";"";""
"718822";"";"Enseignant";"ILHAM001";"Paul-Laurent";"paul-laurent.ilham001";"paul-laurent.ilham001";"sc5mhrx7";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-AUGUSTE BRIZEUX-QUIMPER";"PC, PCSI";"";""
