"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"775890";"";"Enseignant";"AIMAN001";"Erminio";"erminio.aiman001";"erminio.aiman001";"";"MATHEMATIQUES";"LG-DE L'HARTELOIRE-BREST";"2B, TB, TA, TD, TC";"";""
"352671";"";"Enseignant";"AMIN001";"Skyler";"skyler.amin001";"skyler.amin001";"8gsaavs8";"LETTRES CLASSIQUES";"LG-DE L'HARTELOIRE-BREST";"2B, 2A, 2E, 2C, 2D, 1B";"";""
"70099";"";"Enseignant";"ANSARI001";"Kamelya";"kamelya.ansari001";"kamelya.ansari001";"4z9cxp7g";"SCIENCES ECONOMIQUES ET SOCIALES";"LG-DE L'HARTELOIRE-BREST";"";"";""
"794067";"";"Enseignant";"AZLIFA001";"Andoche";"andoche.azlifa001";"andoche.azlifa001";"";"ITALIEN";"LG-DE L'HARTELOIRE-BREST";"TB, 2D, 1B, TC";"";""
"991210";"";"Enseignant";"BIRCH001";"Adyan";"adyan.birch001";"adyan.birch001";"txgp3vc5";"MATHEMATIQUES";"LG-DE L'HARTELOIRE-BREST";"2C, 1A, 1D, TA, 2D, 1C, TB, 1B, TD, TC";"";""
"1366587";"";"Enseignant";"CAMERON001";"Berken";"berken.cameron001";"berken.cameron001";"";"SCIENCES DE LA VIE ET DE LA TERRE";"LG-DE L'HARTELOIRE-BREST";"2C, 2A, 2B, 1C, 1A, 1D, TC, 1B";"";""
"458587";"";"Enseignant";"CAPRA001";"Syenna";"syenna.capra001";"syenna.capra001";"";"HISTOIRE GEOGRAPHIE";"LG-DE L'HARTELOIRE-BREST";"TB, 1D, 1B, TD, 1C";"";""
"252946";"";"Enseignant";"CASADEI001";"Heithem";"heithem.casadei001";"heithem.casadei001";"";"MATHEMATIQUES";"LG-DE L'HARTELOIRE-BREST";"2A, 1C, TC, TD, 1B, 1A, TA, 1D, TB";"";""
"816020";"";"Enseignant";"CHARLES001";"Aléxis";"alexis.charles001";"alexis.charles001";"g6mkwgy8";"SANS OBJET, MATHEMATIQUES";"LG-DE L'HARTELOIRE-BREST, LGT-TRISTAN CORBIERE-MORLAIX";"";"";""
"147642";"";"Enseignant";"CORKERY001";"Yonatane";"yonatane.corkery001";"yonatane.corkery001";"ptc5m544";"LETTRES CLASSIQUES";"LG-DE L'HARTELOIRE-BREST";"1D, TD, TC, 2C, 1C, 1A, TA, 1B, TB";"";""
"106742";"";"Enseignant";"D'AURIA001";"Gilda";"gilda.dauria001";"gilda.dauria001";"crtzfpx3";"SANS OBJET, SCIENCES DE LA VIE ET DE LA TERRE";"LG-DE L'HARTELOIRE-BREST, CLG-DE LA FONTAINE BLANCHE-PLOUGASTEL-DAOULAS";"2E, ";"";""
"455903";"";"Enseignant";"DHUNIYAIN001";"Aboubacari";"aboubacari.dhuniyain001";"aboubacari.dhuniyain001";"4xwkejrd";"SANS OBJET, ADMINISTRATION";"LG-DE L'HARTELOIRE-BREST, LG-LA PEROUSE-KERICHEN-BREST";"";"";""
"825287";"";"Enseignant";"DRENNAN001";"Lilliane";"lilliane.drennan001";"lilliane.drennan001";"ckyh5gdp";"SANS OBJET";"LG-DE L'HARTELOIRE-BREST";"";"";""
"839275";"";"Enseignant";"DULAL001";"Fernande";"fernande.dulal001";"fernande.dulal001";"fxskcr78";"EDUCATION PHYSIQUE ET SPORTIVE";"LG-DE L'HARTELOIRE-BREST";"1B, 2C, 2E, 2A, 2B, TC";"";""
"265251";"";"Enseignant";"FAYYAZ001";"Haoussouba";"haoussouba.fayyaz001";"haoussouba.fayyaz001";"";"CHINOIS";"LG-DE L'HARTELOIRE-BREST";"2E, 2C, TD, 1C, TC, TB, TA";"";""
"1147659";"";"Enseignant";"GARRY001";"Elif-Nur";"elif-nur.garry001";"elif-nur.garry001";"vsbywsw4";"SANS OBJET";"LG-DE L'HARTELOIRE-BREST";"";"";""
"569709";"";"Enseignant";"HAMILL001";"Léontin";"leontin.hamill001";"leontin.hamill001";"";"SANS OBJET, PHILOSOPHIE";"LGT-JULES LESVEN-BREST, LG-DE L'HARTELOIRE-BREST";"TGEN3, TGEN2, TGEN1, ";"";""
"1146790";"";"Enseignant";"HASEEB001";"Panayotis";"panayotis.haseeb001";"panayotis.haseeb001";"rmkxw3m5";"HISTOIRE GEOGRAPHIE";"LG-DE L'HARTELOIRE-BREST";"TB";"";""
"751645";"";"Enseignant";"HOEY001";"Faly";"faly.hoey001";"faly.hoey001";"zxnb77rj";"SANS OBJET, SCIENCES PHYSIQUES ET CHIMIQUES, SCIENCES PHYSIQUES ET CHIMIQUES";"LG-DE L'HARTELOIRE-BREST, LG-DE L'IROISE-BREST, LPO-VAUBAN-BREST";"1A, TA, 1C, 1B, TD, 2DE 3, 2DE 7, ";"";""
"974042";"";"Enseignant";"ISHAN001";"Imene";"imene.ishan001";"imene.ishan001";"fh9wr4zt";"ITALIEN";"LG-DE L'HARTELOIRE-BREST";"2B, 2E, 1C, TB, 1B, TA, 1A, 1D, TD, TC";"";""
"1792251";"";"Enseignant";"JIMBA001";"Tehila";"tehila.jimba001";"tehila.jimba001";"7e3p7mj8";"HISTOIRE GEOGRAPHIE";"LG-DE L'HARTELOIRE-BREST";"2A, 1A, 1C";"";""
"1358632";"";"Enseignant";"KEOGH001";"Arnela";"arnela.keogh001";"arnela.keogh001";"cymw6vps";"ANGLAIS";"LG-DE L'HARTELOIRE-BREST";"TD, TB, 2B, 2C, 2E, 2A";"";""
"1063223";"";"Enseignant";"KHATBE001";"Texane";"texane.khatbe001";"texane.khatbe001";"wwhyj6be";"SANS OBJET, PHILOSOPHIE";"LGT-JEAN MOULIN-CHATEAULIN, LG-DE L'HARTELOIRE-BREST";"TERM 4, TERM 3, TERM 5, ";"";""
