"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"400758";"";"Enseignant";"AGLEEMA001";"Fania";"fania.agleema001";"fania.agleema001";"hrygjkz6";"ANGLAIS";"LG-DE L'IROISE-BREST";"TG3, 1G1, TG4, 1G3, 1G6, 1G2, 2DE 4, 2DE 2, 2DE 7";"";""
"934181";"";"Enseignant";"ARMSTRONG001";"René-Paul";"rene-paul.armstrong001";"rene-paul.armstrong001";"mn3865t5";"SCIENCES DE LA VIE ET DE LA TERRE";"LG-DE L'IROISE-BREST";"2DE 7, 1G5, 2DE 2, 1G1, 1G4, TG2, TG4, TG1, 1G6, TG3, TG5, 1G3, 1G2";"";""
"976106";"";"Enseignant";"ASIMA001";"Marièle";"mariele.asima001";"mariele.asima001";"dy7d3z9h";"ESPAGNOL";"LG-DE L'IROISE-BREST";"2DE 4, 2DE 5, 2DE 7, 2DE 3, 2DE 2, 1G1, TG3, TG5, 1G4, TG4, 1G5, 1G2";"";""
"600965";"";"Enseignant";"ASLAM001";"Kelian";"kelian.aslam001";"kelian.aslam001";"x4w43e9z";"HISTOIRE GEOGRAPHIE";"LG-DE L'IROISE-BREST";"2DE 5, 2DE 4, 2DE 2, 2DE 1, 1G5, 2DE 3, 1G2, TG5, TG1, 1G4, TG2, TG4, 1G3, TG3";"";""
"1783578";"";"Enseignant";"BADEEU001";"Bonko";"bonko.badeeu001";"bonko.badeeu001";"vrfkas6h";"DOCUMENTATION";"LG-DE L'IROISE-BREST";"";"";""
"1276969";"";"Enseignant";"BARBAGALLO001";"Danyah";"danyah.barbagallo001";"danyah.barbagallo001";"8ppw43kr";"PHILOSOPHIE";"LG-DE L'IROISE-BREST";"TG1, TG4, 1G4, TG2, TG3";"";""
"27722";"";"Enseignant";"BENNETT001";"Auceane";"auceane.bennett001";"auceane.bennett001";"m6x5v5tv";"SANS OBJET, HISTOIRE GEOGRAPHIE";"CLG-JACQUES PREVERT-SAINT-POL-DE-LEON, LG-DE L'IROISE-BREST";"";"";""
"719771";"";"Enseignant";"BHOLAN001";"Pierre-Eugène";"pierre-eugene.bholan001";"pierre-eugene.bholan001";"87dwes44";"HISTOIRE GEOGRAPHIE";"LG-DE L'IROISE-BREST";"2DE 7, 2DE 4";"";""
"25365";"";"Enseignant";"BISI001";"Geffrey";"geffrey.bisi001";"geffrey.bisi001";"5vemkstj";"MATHEMATIQUES";"LG-DE L'IROISE-BREST";"TG1, TG2, TG3, 2DE 4, TG4, TG5";"";""
"854519";"";"Enseignant";"BOSCOLO001";"Ilonka";"ilonka.boscolo001";"ilonka.boscolo001";"b5chmj6c";"SCIENCES DE LA VIE ET DE LA TERRE";"LG-DE L'IROISE-BREST";"1G6, 1G1";"";""
"1194388";"";"Enseignant";"CARRARA001";"Catriona";"catriona.carrara001";"catriona.carrara001";"mwx66gbj";"LETTRES CLASSIQUES";"LG-DE L'IROISE-BREST";"1G5, TG5, 2DE 2, TG1";"";""
"825532";"";"Enseignant";"CRIPPA001";"Juan-Manuel";"juan-manuel.crippa001";"juan-manuel.crippa001";"ygjh5gph";"SANS OBJET, SCIENCES PHYSIQUES ET CHIMIQUES";"LG-DE L'IROISE-BREST, LPO-VAUBAN-BREST";", DE2, DE3, DE5, DE4, PG01";"";""
"1108927";"";"Enseignant";"DALLA001";"Demba";"demba.dalla001";"demba.dalla001";"k8y47wxc";"EDUCATION PHYSIQUE ET SPORTIVE";"LG-DE L'IROISE-BREST";"TG5, TG1, TG2, 2DE 7, 2DE 6, 1G6, TG4, TG3, 2DE 2";"";""
"1587453";"";"Enseignant";"DAOU001";"Hajira";"hajira.daou001";"hajira.daou001";"xyj8bsrf";"SCIENCES DE LA VIE ET DE LA TERRE";"LG-DE L'IROISE-BREST";"2DE 3, 1G5, 2DE 6, 1G1, TG2, TG4, TG3, 1G3, 1G4, TG1, 1G6, 1G2, TG5";"";""
"687333";"";"Enseignant";"DESMOND001";"Brésil";"bresil.desmond001";"bresil.desmond001";"efm7ewvd";"HISTOIRE GEOGRAPHIE";"LG-DE L'IROISE-BREST";"1G5, 2DE 1, 1G1, 1G4, 1G3, TG4, 1G2, 1G6";"";""
"1318175";"";"Enseignant";"DEULA001";"Elyzabeth";"elyzabeth.deula001";"elyzabeth.deula001";"t6k4mktt";"SANS OBJET";"LG-DE L'IROISE-BREST";"";"";""
"1751296";"";"Enseignant";"DONOGHUE001";"Rosilda";"rosilda.donoghue001";"rosilda.donoghue001";"m756sbm3";"SII OPTION INFORMATIQUE ET NUMERIQUE";"LG-DE L'IROISE-BREST";"2DE 2, 2DE 7";"";""
"1789818";"";"Enseignant";"FANTINI001";"Laïa";"laia.fantini001";"laia.fantini001";"dvkrgz7r";"SANS OBJET, BRETON, HISTOIRE GEOGRAPHIE, BRETON";"LG-DE L'IROISE-BREST, CLG-DE KERALLAN-PLOUZANE, CLG-MESCOAT-LANDERNEAU";"";"";""
"1492444";"";"Enseignant";"FAUZY001";"Mickaële";"mickaele.fauzy001";"mickaele.fauzy001";"wcbbng7v";"BRETON, HISTOIRE GEOGRAPHIE";"LG-DE L'IROISE-BREST";"2DE 4, 1G4, 1G3, TG4, 1G6";"";""
"1286514";"";"Enseignant";"FLITTEN001";"Yelda";"yelda.flitten001";"yelda.flitten001";"9wpcmxj5";"SANS OBJET, LETTRES MODERNES";"CLG-FRANCOIS COLLOBERT-PONT-DE-BUIS-LES-QUIMERCH, LG-DE L'IROISE-BREST";"";"";""
"1673596";"";"Enseignant";"GENNARI001";"Matthias";"matthias.gennari001";"matthias.gennari001";"mm5bnfh5";"LETTRES MODERNES";"LG-DE L'IROISE-BREST";"1G3, 1G2";"";""
"989077";"";"Enseignant";"GORKHALI001";"Riwal";"riwal.gorkhali001";"riwal.gorkhali001";"53bsc5a3";"PORTUGAIS";"LG-DE L'IROISE-BREST";"1G3, 1G4, 2DE 4, 2DE 2, TG3, TG2, TG4";"";""
"828756";"";"Enseignant";"GOTAME001";"Cléane";"cleane.gotame001";"cleane.gotame001";"mrec7xa7";"MATHEMATIQUES";"LG-DE L'IROISE-BREST";"1G3, 1G6, 1G2, 1G1, 1G4, 2DE 3, 2DE 5, 1G5";"";""
"923871";"";"Enseignant";"GREEN001";"Even";"even.green001";"even.green001";"w4j7zc8k";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-DE L'IROISE-BREST";"TG3, TG1, TG4";"";""
"751645";"";"Enseignant";"HOEY001";"Faly";"faly.hoey001";"faly.hoey001";"zxnb77rj";"SANS OBJET, SCIENCES PHYSIQUES ET CHIMIQUES, SCIENCES PHYSIQUES ET CHIMIQUES";"LG-DE L'HARTELOIRE-BREST, LG-DE L'IROISE-BREST, LPO-VAUBAN-BREST";"1A, TA, 1C, 1B, TD, 2DE 3, 2DE 7, ";"";""
"1414144";"";"Enseignant";"ISHAN001";"Marivel";"marivel.ishan001";"marivel.ishan001";"ndr49wcp";"ANGLAIS";"LG-DE L'IROISE-BREST";"1G4, 1G3, 1G6, 1G2, 1G5, 2DE 5, 2DE 3, 1G1, TG2";"";""
"1773925";"";"Enseignant";"JORDAN001";"Marie-Haude";"marie-haude.jordan001";"marie-haude.jordan001";"jwf6rz6k";"SANS OBJET, SCIENCES ECONOMIQUES ET SOCIALES";"LG-DE L'IROISE-BREST, LGT-JULES LESVEN-BREST";"1G5, 2DE 1, 2DE 4, 2DE 5, 2DE 7, 1G2, TG5, 1G4, 1G6, TG1, TG3, 1G3, TG4, TG2, 1G1, ";"";""
"1464794";"";"Enseignant";"KELLIHER001";"Ambroisine";"ambroisine.kelliher001";"ambroisine.kelliher001";"4ta5ywkv";"HISTOIRE GEOGRAPHIE";"LG-DE L'IROISE-BREST";"";"";""
"706034";"";"Enseignant";"KHANA001";"Khiera";"khiera.khana001";"khiera.khana001";"w6vrxfn6";"MATHEMATIQUES";"LG-DE L'IROISE-BREST";"TG3, 1G1, TG2, TG4, TG1, TG5, 1G6, 1G3, 1G4, 1G5, 1G2";"";""
"340111";"";"Enseignant";"KHATVENI001";"Lalitha";"lalitha.khatveni001";"lalitha.khatveni001";"wejptssb";"SCIENCES DE LA VIE ET DE LA TERRE, SCIENCES DE LA VIE ET DE LA TERRE";"LG-DE L'IROISE-BREST";"2DE 5, 2DE 4, 1G1, 1G2, 1G3";"";""
"204622";"";"Enseignant";"KILMARTIN001";"Félicienne";"felicienne.kilmartin001";"felicienne.kilmartin001";"e3fcjxye";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-DE L'IROISE-BREST";"2DE 5, 2DE 2, 1G2, 1G5, 1G3, 1G6, 1G4, 1G1, TG2";"";""
"1593408";"";"Enseignant";"KOLI001";"Eloïs";"elois.koli001";"elois.koli001";"";"SCIENCES DE LA VIE ET DE LA TERRE";"LG-DE L'IROISE-BREST";"2DE 1, 1G5, 1G3, TG1, 1G4, TG4, TG2, 1G2, 1G1, 1G6";"";""
"43128";"";"Enseignant";"LOHANI001";"Assanatou";"assanatou.lohani001";"assanatou.lohani001";"kgwsvhn3";"ANGLAIS";"LG-DE L'IROISE-BREST";"TG2, 1G1, TG5, TG4, 1G4, 2DE 6, 1G2, 1G6, 1G3, 2DE 2, 2DE 1, 1G5, 2DE 3";"";""
