"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"73120";"";"Enseignant";"AFZAL001";"Amire";"amire.afzal001";"amire.afzal001";"pce3v6p3";"MATHEMATIQUES";"LG-EMILE ZOLA-RENNES";"204, 201, 104";"";""
"1319808";"";"Enseignant";"ALE001";"Frederik";"frederik.ale001";"frederik.ale001";"4ngshmzz";"SANS OBJET, ESPAGNOL";"LGT-BREQUIGNY-RENNES, LG-EMILE ZOLA-RENNES";", 104, 205, 203, 211, 208, T08, 102, 110, 105, 108, T02, T06, T09, T05, T04";"";""
"9340";"";"Enseignant";"ALEEM001";"Gwenal";"gwenal.aleem001";"gwenal.aleem001";"kdrfc4mn";"MATHEMATIQUES";"LG-EMILE ZOLA-RENNES";"207, 101, 107, 109, 110";"";""
"99310";"";"Enseignant";"ALEONAR001";"Jean-Edmond";"jean-edmond.aleonar001";"jean-edmond.aleonar001";"sk77vssn";"HISTOIRE GEOGRAPHIE";"LG-EMILE ZOLA-RENNES";"202, 104, 204, 109, T07, T09, 108, 105, T04, T05, T01, T06, T02, 107, 101, T08, T03, 102, 106, 103, 110, T10";"";""
"624448";"";"Enseignant";"ARRIGONI001";"Moustakim";"moustakim.arrigoni001";"moustakim.arrigoni001";"dzwnrd3k";"PHILOSOPHIE";"LG-EMILE ZOLA-RENNES";"T06, T09, T08, T01";"";""
"1838881";"";"Enseignant";"BARKER001";"Achata";"achata.barker001";"achata.barker001";"k73bktjj";"LETTRES MODERNES";"LG-EMILE ZOLA-RENNES";"207, 209";"";""
"1953427";"";"Enseignant";"BARNARD001";"Rolf";"rolf.barnard001";"rolf.barnard001";"wjgbymxm";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-EMILE ZOLA-RENNES";"T04, T10, T08, 206, T05, 106, 105, 107";"";""
"1561692";"";"Enseignant";"BARROW001";"Amsatou";"amsatou.barrow001";"amsatou.barrow001";"mnenkvpf";"SCIENCES ECONOMIQUES ET SOCIALES";"LG-EMILE ZOLA-RENNES";"208, 108, T06";"";""
"794179";"";"Enseignant";"BATCHELOR001";"Simeone";"simeone.batchelor001";"simeone.batchelor001";"xkwr35nz";"CHINOIS";"LG-EMILE ZOLA-RENNES";"109, 204, 104, 106, 105, T09, 107, T04, T03, T08";"";""
"444530";"";"Enseignant";"BATTISTI001";"Lorencio";"lorencio.battisti001";"lorencio.battisti001";"8fx58ekz";"SANS OBJET, MATHEMATIQUES";"LG-EMILE ZOLA-RENNES";"";"";""
"848286";"";"Enseignant";"BERNINI001";"Tanju";"tanju.bernini001";"tanju.bernini001";"5cccskdw";"ESPAGNOL";"LG-EMILE ZOLA-RENNES";"211, 208, 109, 104, 206, 210, 101, 108, 110, T07, 103, 106, T09, T06, T03, T02, T08, 107, T01, T04, 102, T05";"";""
"1702179";"";"Enseignant";"BIRCH001";"Karolyn";"karolyn.birch001";"karolyn.birch001";"yx6cygtt";"ITALIEN, ITALIEN";"LG-EMILE ZOLA-RENNES, CLG-EMILE ZOLA-RENNES";"205, T03, T07, T04, T08, 110, 102, 206, T02, 104, T10, T05, 103, 101, 107, 106, T01, T09, 108, 105, 53, 43, 33";"";""
"1964017";"";"Enseignant";"BREEN001";"Tan";"tan.breen001";"tan.breen001";"jp5k5rev";"HISTOIRE GEOGRAPHIE";"LG-EMILE ZOLA-RENNES";"207, 109, T07, T06, T02, T09, T03, T08, T04, T05, T10";"";""
"1508306";"";"Enseignant";"CALLANAN001";"Chaine";"chaine.callanan001";"chaine.callanan001";"z4zwgmkb";"SCIENCES ECONOMIQUES ET SOCIALES";"LG-EMILE ZOLA-RENNES";"204, 206, 202, T09";"";""
"659680";"";"Enseignant";"CAMAIN001";"Clemens";"clemens.camain001";"clemens.camain001";"w3afbrb5";"PHILOSOPHIE";"LG-EMILE ZOLA-RENNES";"T07, T03, T02, T05";"";""
"710551";"";"Enseignant";"CONNOLLY001";"Sylvere";"sylvere.connolly001";"sylvere.connolly001";"4rphz5jb";"SCIENCES DE LA VIE ET DE LA TERRE";"LG-EMILE ZOLA-RENNES";"206, 211, 105, T04, T05, T06";"";""
"1467830";"";"Enseignant";"DABOU001";"Hauda";"hauda.dabou001";"hauda.dabou001";"9zzsdp3w";"ANGLAIS";"LG-EMILE ZOLA-RENNES";"T05, T10, 206, 208, T07";"";""
"527171";"";"Enseignant";"DAHIT001";"Gokan";"gokan.dahit001";"gokan.dahit001";"8ysyyhcg";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-EMILE ZOLA-RENNES";"";"";""
"1752543";"";"Enseignant";"DAMIANI001";"Appollinaire";"appollinaire.damiani001";"appollinaire.damiani001";"pp8s4yjj";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-EMILE ZOLA-RENNES";"208, 211, T01";"";""
