"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"852840";"";"Enseignant";"AGLEEMA001";"Asli";"asli.agleema001";"asli.agleema001";"";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-LA PEROUSE-KERICHEN-BREST";"2DE1";"";""
"11461";"";"Enseignant";"AIDI001";"Kapucine";"kapucine.aidi001";"kapucine.aidi001";"tptxhhjk";"SCIENCES PHYSIQUES ET CHIMIQUES, SCIENCES PHYSIQUES ET CHIMIQUES";"LG-LA PEROUSE-KERICHEN-BREST, LPO-VAUBAN-BREST";", CPCSI";"";""
"533999";"";"Enseignant";"ANADEMBE001";"Gabyn";"gabyn.anadembe001";"gabyn.anadembe001";"br78r8a3";"ANGLAIS";"LG-LA PEROUSE-KERICHEN-BREST";"1SUP1, LS 1, 1SUP2";"";""
"1034836";"";"Enseignant";"AZMEEN001";"Malorine";"malorine.azmeen001";"malorine.azmeen001";"";"SCIENCES PHYSIQUES ET CHIMIQUES, SCIENCES PHYSIQUES ET CHIMIQUES";"LG-LA PEROUSE-KERICHEN-BREST, LPO-VAUBAN-BREST";"PCSI1, CPCSI";"";""
"307878";"";"Enseignant";"BEGHA001";"Lynce";"lynce.begha001";"lynce.begha001";"g485ghbb";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-LA PEROUSE-KERICHEN-BREST";"1G6, 1G3, 1G5, 1G4, 1G7, 1G1, TG4, TG2, TG7, 2DE3, 1G2, TG6, TG1, TG3, TG5";"";""
"1767265";"";"Enseignant";"BERTOLINI001";"Edie";"edie.bertolini001";"edie.bertolini001";"t5ngv9hp";"SANS OBJET, MATHEMATIQUES";"LG-LA PEROUSE-KERICHEN-BREST, CLG-CHARLES-DE-GAULLE-HILLION";"2DE1, 2DE7, TG6, TG5, TG3, TG2, ";"";""
"1737012";"";"Enseignant";"BHETAWAL001";"Laura-Lynn";"laura-lynn.bhetawal001";"laura-lynn.bhetawal001";"pcxcbzrr";"ALLEMAND";"LG-LA PEROUSE-KERICHEN-BREST";"LS 1, 1SUP1, 1SUP2, LS 2";"";""
"1617395";"";"Enseignant";"BOULTON001";"Myreille";"myreille.boulton001";"myreille.boulton001";"7msxcjm6";"SCIENCES PHYSIQUES ET CHIMIQUES";"LG-LA PEROUSE-KERICHEN-BREST";"2DE2, TG2, TG1, TG6, 1G6, TG4, 1G7, TG3, TG5, TG7, 1G5, 2DE6";"";""
"545459";"";"Enseignant";"BRANNIGAN001";"Leeron";"leeron.brannigan001";"leeron.brannigan001";"kkbh4fys";"LETTRES CLASSIQUES";"LG-LA PEROUSE-KERICHEN-BREST";"LS 2, 1SUP2, LS 1";"";""
"1235830";"";"Enseignant";"BURKE001";"Khamzat";"khamzat.burke001";"khamzat.burke001";"jdzpkx7a";"EDUCATION PHYSIQUE ET SPORTIVE";"LG-LA PEROUSE-KERICHEN-BREST";"2DE3, 2DE4, TG7, TG2, TG3, TG6, TG4, TG5, 1G4, 1G5, 1G2, 1G3";"";""
