"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"296959";"";"Enseignant";"ADHUHAM001";"Diarry";"diarry.adhuham001";"diarry.adhuham001";"";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-ALAIN RENE LESAGE-VANNES";"BT2CG, BT1CG";"";""
"633740";"";"Enseignant";"AISEK001";"Parissa";"parissa.aisek001";"parissa.aisek001";"";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-ALAIN RENE LESAGE-VANNES";"BT1CG, BT2CG";"";""
"483075";"";"Enseignant";"ANTONUCCI001";"Kyann";"kyann.antonucci001";"kyann.antonucci001";"7xgtg6x3";"SII OPTION INFORMATIQUE ET NUMERIQUE";"LGT-ALAIN RENE LESAGE-VANNES";"S01, S05, S02, S06";"";""
"1682521";"";"Enseignant";"ANWAR001";"Aldrin";"aldrin.anwar001";"aldrin.anwar001";"s75vdjwz";"SANS OBJET, EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LP LYC METIER-EMILE ZOLA-HENNEBONT, LGT-ALAIN RENE LESAGE-VANNES, LGT-DE KERNEUZEC-QUIMPERLE";"2GATL, 2MTNE, , TD, 1C, 1STMG2, 1F";"";""
"1061871";"";"Enseignant";"AREEF001";"Ritchi";"ritchi.areef001";"ritchi.areef001";"mfccm6vk";"HISTOIRE GEOGRAPHIE";"LGT-ALAIN RENE LESAGE-VANNES";"S08, T09, PSTMG1, T10, T05";"";""
"1626479";"";"Enseignant";"ARSHAD001";"Afia";"afia.arshad001";"afia.arshad001";"7rsgfryb";"PHILOSOPHIE";"LGT-ALAIN RENE LESAGE-VANNES";"TSTI2, T01, T07, T02, T05";"";""
"1086790";"";"Enseignant";"BARBERIS001";"Jord";"jord.barberis001";"jord.barberis001";"wfr6gmhs";"HISTOIRE GEOGRAPHIE";"LGT-ALAIN RENE LESAGE-VANNES";"S07, S06, P12, T06, P09";"";""
"1892808";"";"Enseignant";"BARNARD001";"Coskun";"coskun.barnard001";"coskun.barnard001";"zrttb343";"SANS OBJET";"LGT-ALAIN RENE LESAGE-VANNES";"";"";""
"300493";"";"Enseignant";"BARNARD001";"Sauveur";"sauveur.barnard001";"sauveur.barnard001";"53xvxhwv";"MATHEMATIQUES";"LGT-ALAIN RENE LESAGE-VANNES";"S07, P06, S13, P10, P03, T08, P08, T09, P09, P07, T06, T05, P01, P02, PSTMG2, T10, P12, T07, T02, T03, T04, T01, P04";"";""
"1656940";"";"Enseignant";"BASSO001";"Antoinise";"antoinise.basso001";"antoinise.basso001";"t64kgn57";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-ALAIN RENE LESAGE-VANNES";"S03, S15, P06, P03, P11, P10, P05, P09, P04, P12, P07, P01, P02, P08";"";""
