"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1041309";"";"Enseignant";"ADHIKARI001";"Louis-Auguste";"louis-auguste.adhikari001";"louis-auguste.adhikari001";"w5cypden";"PHILOSOPHIE";"LGT-AMIRAL RONARC'H-BREST";"1G3, TG7, 1G5, 1G2, TG9, TG6, TG3, 1G8, TG2, TG1, TG4, TG5, 1G1, 1G4, 1G7, 1G6";"";""
"1886261";"";"Enseignant";"ASLAM001";"Loraly";"loraly.aslam001";"loraly.aslam001";"3c4m5f5f";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-AMIRAL RONARC'H-BREST";"2GT9, 1G8, 2GT2, 2GT4, 2GT5, 1STMG1, 1G5, TSTMG1, TSTMG2, TG4, TG6";"";""
"1994628";"";"Enseignant";"AZLIFA001";"Nomane";"nomane.azlifa001";"nomane.azlifa001";"e5kv3yav";"ESPAGNOL";"LGT-AMIRAL RONARC'H-BREST";"TG8, TG9, TG3, 1G7, TG4, 2GT9, 2GT10, 1G8, 2GT7, 2GT11";"";""
"1453161";"";"Enseignant";"BADAIL001";"Guyaume";"guyaume.badail001";"guyaume.badail001";"w9c4w3mh";"SCIENCES PHYSIQUES ET CHIMIQUES, SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-AMIRAL RONARC'H-BREST";"2GT6, TG2, TG5, TG4";"";""
"263012";"";"Enseignant";"BASSETT001";"Khalile";"khalile.bassett001";"khalile.bassett001";"9fyxfkv7";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-AMIRAL RONARC'H-BREST";"2GT5, 2GT4, 1G7, 1G4, 1G8, TG3, TG2, TG8, 1G5, 1G2, TG7";"";""
"1459415";"";"Enseignant";"BELLO001";"Consuela";"consuela.bello001";"consuela.bello001";"x5erwsxx";"ECO-GEST.OPTION MARKETING, ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-JULES LESVEN-BREST, LGT-AMIRAL RONARC'H-BREST";"1STMG3, 1STMG1, 1STMG4, 1STMG1";"";""
"1291412";"";"Enseignant";"BERMINGHAM001";"Oubayd";"oubayd.bermingham001";"oubayd.bermingham001";"vpbxe7db";"HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"LGT-AMIRAL RONARC'H-BREST";"1STMG2, 2GT9, 1G3";"";""
"1070963";"";"Enseignant";"BISVAKARM001";"Sainte-Marie";"sainte-marie.bisvakarm001";"sainte-marie.bisvakarm001";"zhpsxhcp";"ESPAGNOL";"LGT-AMIRAL RONARC'H-BREST";"1G2, TG1, 2GT2, 2GT6, 1G7, 1G6, TSTMG1, TG2";"";""
"1985710";"";"Enseignant";"BONIFACE001";"Gueda";"gueda.boniface001";"gueda.boniface001";"wjenb9xy";"SANS OBJET";"LGT-AMIRAL RONARC'H-BREST";"";"";""
"1893425";"";"Enseignant";"CARMODY001";"Gwenaële";"gwenaele.carmody001";"gwenaele.carmody001";"crhnkxcf";"MATHEMATIQUES";"LGT-AMIRAL RONARC'H-BREST";"2GT8";"";""
"1134388";"";"Enseignant";"CATANIA001";"Nehila";"nehila.catania001";"nehila.catania001";"nzt3y8vg";"ESPAGNOL";"LGT-AMIRAL RONARC'H-BREST";"1G2, 1G5, TG2, TG1, TG7, TG6, TG5, 1G4, 1G1, 1G8, 2GT8, 2GT3";"";""
"163793";"";"Enseignant";"CAVALLARO001";"Yagouba";"yagouba.cavallaro001";"yagouba.cavallaro001";"xepmczmh";"PHILOSOPHIE";"LGT-AMIRAL RONARC'H-BREST";"TSTMG2, TG9, TG8, TG3, 1G1, 1G4, TSTMG1, 1G8, 1G6, 1G5, 1G2, 1G3";"";""
