"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"58349";"";"Enseignant";"AHAMAD001";"Kaylann";"kaylann.ahamad001";"kaylann.ahamad001";"bkenhyyy";"ANGLAIS";"LGT-ANITA CONTI-BRUZ";"102, 105, 103, 104, 101, 1STMG2, 2NDE05, 2NDE01, 107, 106";"";""
"1179757";"";"Enseignant";"AHUSAN001";"Lazare";"lazare.ahusan001";"lazare.ahusan001";"";"SANS OBJET, EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LGT-SEVIGNE-CESSON-SEVIGNE, LGT-ANITA CONTI-BRUZ, LGT-JEAN MACE-RENNES";", 105, 1STMG1, 2G2, 2G5, 1STMG1, 2G3, 1G6, 1G2, 1G3, 1G7, 1G8, 1G1";"";""
"98329";"";"Enseignant";"ASH001";"Thorvald";"thorvald.ash001";"thorvald.ash001";"fvwxwy7n";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-ANITA CONTI-BRUZ";"103, 107, 105, 2NDE02, 106, 2NDE07, TG7, 104, TG6, 102, 101, TG2";"";""
"774554";"";"Enseignant";"CLARE001";"Khaina";"yanick.azmeen001";"yanick.azmeen001";"vzzhvxw8";"LETTRES MODERNES";"LGT-ANITA CONTI-BRUZ";"107, 106, 102, 103, 105, 2NDE10, 2NDE09, 1STMG2, 104, 101";"";"Kayvan VIKA001, Aminah SHAHIR001"
"121548";"";"Enseignant";"BERMINGHAM001";"Minel";"minel.bermingham001";"minel.bermingham001";"3sk5tyw3";"SANS OBJET";"LGT-ANITA CONTI-BRUZ";"";"";""
"559586";"";"Enseignant";"BRUSCHI001";"Peinda";"peinda.bruschi001";"peinda.bruschi001";"djfmwbaz";"SANS OBJET, ANGLAIS";"LGT-ANITA CONTI-BRUZ, CLG-ECHANGE-RENNES";"";"";""
"882634";"";"Enseignant";"BUDHA001";"Dania";"dania.budha001";"dania.budha001";"dxs68khp";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-ANITA CONTI-BRUZ";"2NDE05, 2NDE06, 1STMG1, TSTMG2";"";""
"543800";"";"Enseignant";"CARBONE001";"Eureka";"eureka.carbone001";"eureka.carbone001";"843ncgmb";"ESPAGNOL";"LGT-ANITA CONTI-BRUZ";"TG5, TG2, 1STMG2, 104, 2NDE09, 2NDE06, TG3";"";""
"99019";"";"Enseignant";"CASALE001";"Huda";"huda.casale001";"huda.casale001";"p8t8hcv6";"ANGLAIS";"LGT-ANITA CONTI-BRUZ";"TG2, TG1, TSTMG2, 2NDE03";"";""
"333737";"";"Enseignant";"CIPOLLA001";"Heidie";"heidie.cipolla001";"heidie.cipolla001";"nsmnxapp";"SANS OBJET";"LGT-ANITA CONTI-BRUZ";"";"";""
"1758300";"";"Enseignant";"COONEY001";"Abdelmajide";"abdelmajide.cooney001";"abdelmajide.cooney001";"p9p4645h";"ALLEMAND";"LGT-ANITA CONTI-BRUZ";"2NDE05, 2NDE02, 2NDE03, 2NDE04, 103, 1STMG1, TSTMG1, TG1, TG3, 102, 101, TG2";"";""
"96624";"";"Enseignant";"COULSON001";"Saffa";"saffa.coulson001";"saffa.coulson001";"33yf4375";"SANS OBJET, EDUCATION  (CE ,CPE)";"CLG-LES ORMEAUX-RENNES, LGT-ANITA CONTI-BRUZ";"";"";""
"641939";"";"Enseignant";"CREMONESI001";"Smaïn";"smain.cremonesi001";"smain.cremonesi001";"5gzakvfp";"SANS OBJET, SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-ANITA CONTI-BRUZ, CLG-THEODORE MONOD-VERN-SUR-SEICHE";", 5E, 3E, 3A, 3D, 6B, 5D, 5F, 3C, 3B";"";""
"1808825";"";"Enseignant";"CUNNANE001";"Nacia";"nacia.cunnane001";"nacia.cunnane001";"r98ebms6";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-ANITA CONTI-BRUZ";"2NDE03, 107, 2NDE02, TG1, TG7, 103, 105, TG5, TG3, 104, TG4, TG2, TG6";"";""
"1729165";"";"Enseignant";"DEACON001";"Abdelrhani";"abdelrhani.deacon001";"abdelrhani.deacon001";"rkzbgwgz";"ECO ET GEST.OPTION COMM, ORG, GRH, ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-JOLIOT-CURIE-RENNES, LGT-ANITA CONTI-BRUZ";"1STMG1, 1STMG2, TSTMG2";"";""
"254200";"";"Enseignant";"DEMPSEY001";"Orlann";"orlann.dempsey001";"orlann.dempsey001";"jz4g8pyn";"ANGLAIS";"LGT-ANITA CONTI-BRUZ";"102, 104, 101, 105, 103, TG3, 2NDE09, 2NDE02, 106, 107";"";""
"1976977";"";"Enseignant";"DOHERTY001";"Marie-Aline";"marie-aline.doherty001";"marie-aline.doherty001";"7wdvn9pv";"SANS OBJET, MATHEMATIQUES, MATHEMATIQUES";"LGT-ANITA CONTI-BRUZ, CLG-DE FONTENAY-CHARTRES-DE-BRETAGNE";"2NDE10, 106, 107, 105, 1STMG1, 102, ";"";""
"1942016";"";"Enseignant";"DRAME001";"Elowan";"elowan.drame001";"elowan.drame001";"b4cp3974";"MATHEMATIQUES";"LGT-ANITA CONTI-BRUZ";"103, 105, 107, 2NDE04, 2NDE09, 101, 102, 104";"";""
"1842854";"";"Enseignant";"DUBE001";"Nevin";"nevin.dube001";"nevin.dube001";"mew6s6fh";"LETTRES CLASSIQUES";"LGT-ANITA CONTI-BRUZ";"2NDE03, 2NDE05, TG2, 101";"";""
"306227";"";"Enseignant";"FARIS001";"Joumayna";"joumayna.faris001";"joumayna.faris001";"wx5rfpad";"ESPAGNOL";"LGT-ANITA CONTI-BRUZ";"107, 2NDE10, 2NDE02, 2NDE03, TG4, TG6, 1STMG1, 101";"";""
"30167";"";"Enseignant";"GEOGHEGAN001";"Shayneze";"shayneze.geoghegan001";"shayneze.geoghegan001";"vts964je";"ANGLAIS";"LGT-ANITA CONTI-BRUZ";"TSTMG1, 105, 106, TG5, TG4, 102";"";""
"1195002";"";"Enseignant";"GILSENAN001";"Alexanne";"alexanne.gilsenan001";"alexanne.gilsenan001";"htbvfbrp";"HISTOIRE GEOGRAPHIE";"LGT-ANITA CONTI-BRUZ";"105, 103, 106, 107, 2NDE09, 2NDE03, TG4, TG6, TG2, TG5, 101, 102, TG3, 104, TG1, TG7";"";""
"1443386";"";"Enseignant";"GUIDA001";"Meddi";"meddi.guida001";"meddi.guida001";"dmycrbes";"MATHEMATIQUES";"LGT-ANITA CONTI-BRUZ";"2NDE05, 106, TG4, 101, TG6, TG5, TG2, TG7, TG1, 104";"";""
"1133523";"";"Enseignant";"GUILE001";"Nizam";"nizam.guile001";"nizam.guile001";"";"SANS OBJET, HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"LGT-RENE DESCARTES-RENNES, CLG-GERMAINE TILLION-LA MEZIERE, LGT-ANITA CONTI-BRUZ";"1G9, 1STMG3, 1G8, , 106, 2NDE06, 2NDE02";"";""
"385894";"";"Enseignant";"HAYES001";"Shelihane";"shelihane.hayes001";"shelihane.hayes001";"78mw5cjf";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-ANITA CONTI-BRUZ";"";"";""
"1049425";"";"Enseignant";"ISHAG001";"Aritz";"aritz.ishag001";"aritz.ishag001";"ptjys5hy";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-ANITA CONTI-BRUZ";"TG6, TG2, TG4, TG5, TG1, TG7, 2NDE02, 2NDE10, TG3";"";""
"1758558";"";"Enseignant";"ITANI001";"Louhann";"louhann.itani001";"louhann.itani001";"9tgxdhts";"HISTOIRE GEOGRAPHIE";"LGT-ANITA CONTI-BRUZ";"107, 106, 103, 105, 102, TG6, TG7, TG5, 101, TG2, TG4, TSTMG1, TG1, TG3, 104, TSTMG2";"";""
"726414";"";"Enseignant";"JAUFARU001";"Elohan";"elohan.jaufaru001";"elohan.jaufaru001";"mhnzervk";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-ANITA CONTI-BRUZ";"2NDE02, 2NDE03, 2NDE05, 103, 106, 2NDE10, TG5, TG3, TSTMG1, TSTMG2, TG4, TG7, TG1, 2NDE04, TG2, TG6, 1STMG2, 104";"";""
"138010";"";"Enseignant";"KAPHLE001";"Lorelai";"lorelai.kaphle001";"lorelai.kaphle001";"w74x7fwx";"MATHEMATIQUES";"LGT-ANITA CONTI-BRUZ";"2NDE03, 2NDE08, 105, 107, TG3, 103, TG1, TG5, TG4, TG7, TG6, TG2, 104";"";""
"567602";"";"Enseignant";"KAPRI001";"Teila";"teila.kapri001";"teila.kapri001";"9xmjv4gp";"SANS OBJET";"LGT-ANITA CONTI-BRUZ";"";"";""
"732040";"";"Enseignant";"KHATIK001";"Jhovany";"jhovany.khatik001";"jhovany.khatik001";"33ejdyk7";"MATHEMATIQUES";"LGT-ANITA CONTI-BRUZ";"2NDE10, 2NDE02, TG7, 1STMG2, TG5, TG2, TG4, TG1, TG3";"";""
"304992";"";"Enseignant";"KONÉ001";"Michel-Pierre";"michel-pierre.kone001";"michel-pierre.kone001";"";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-ANITA CONTI-BRUZ";"2NDE09, TG7, TG3, TG1, TG2, TG5, TG4, TG6";"";""
"658599";"";"Enseignant";"KUMAL001";"Orélia";"orelia.kumal001";"orelia.kumal001";"";"SANS OBJET, DOCUMENTATION, DOCUMENTATION";"LPO LYC METIER-PIERRE MENDES FRANCE-RENNES, LGT-ANITA CONTI-BRUZ, LGT-VICTOR ET HELENE BASCH-RENNES";"";"";""
"1216644";"";"Enseignant";"LYNAM001";"Soleya";"soleya.lynam001";"soleya.lynam001";"tjgybrk8";"ESPAGNOL";"LGT-ANITA CONTI-BRUZ";"2NDE08, 105, 2NDE07, TG1, TSTMG1";"";""
"555767";"";"Enseignant";"MACKEY001";"Cadet";"cadet.mackey001";"cadet.mackey001";"83t44e6m";"SANS OBJET, LETTRES MODERNES, LETTRES MODERNES";"LGT-ANITA CONTI-BRUZ, LGT-SIMONE VEIL LIFFRE-LIFFRE, LGT-RENE CASSIN-MONTFORT-SUR-MEU";", 213, 207, 210";"";""
"1383485";"";"Enseignant";"MAHATO001";"Shara";"shara.mahato001";"shara.mahato001";"mwbfsthv";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-ANITA CONTI-BRUZ";"2NDE01, 2NDE08, 2NDE06, 2NDE10, TG7, TG2, TG5, TG1, TG3, TG4, TG6";"";""
"1360958";"";"Enseignant";"MAHON001";"Mandie";"mandie.mahon001";"mandie.mahon001";"gww4d7hh";"HISTOIRE GEOGRAPHIE";"LGT-ANITA CONTI-BRUZ";"1STMG1, TG2, 102, TG6, TG7, TG1, TG4, TG5, TG3, 2NDE01";"";""
"835577";"";"Enseignant";"MAMDHOOHA001";"Léa";"lea.mamdhooha001";"lea.mamdhooha001";"nr6emnmh";"SANS OBJET, PHILOSOPHIE, PHILOSOPHIE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE, LGT-ANITA CONTI-BRUZ, LGT-JOLIOT-CURIE-RENNES";"TSTMG2, TG7, TSTMG4, TG5, TG1, ";"";""
"1577466";"";"Enseignant";"MANNDAL001";"Anahide";"anahide.manndal001";"anahide.manndal001";"x5htgrkm";"ESPAGNOL";"LGT-ANITA CONTI-BRUZ";"";"";""
"476894";"";"Enseignant";"MARANGONI001";"Tcheng";"tcheng.marangoni001";"tcheng.marangoni001";"sx5jnrb3";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-ANITA CONTI-BRUZ";"101, TG6, 103, 2NDE04, TG7, TG1, TG2, TG4, TG3, TG5";"";""
"573886";"";"Enseignant";"MATTIOLI001";"Élianna";"elianna.mattioli001";"elianna.mattioli001";"f5ef9m4t";"LETTRES MODERNES";"LGT-ANITA CONTI-BRUZ";"2NDE02, 2NDE04, 106, 103, 101, 102, 104";"";""
"672801";"";"Enseignant";"MAURI001";"Tigran";"tigran.mauri001";"tigran.mauri001";"dwtexrmd";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-ANITA CONTI-BRUZ";"2NDE08, 2NDE03, 2NDE02, 107, 2NDE07, 106, TG5, TG3, TSTMG1, TSTMG2, TG4, TG7, TG1, 102, TG6, TG2, 1STMG2";"";""
"1272290";"";"Enseignant";"MCGRANE001";"Bradley";"bradley.mcgrane001";"bradley.mcgrane001";"4mj7b4s5";"ECO-GEST.OPTION MARKETING";"LGT-ANITA CONTI-BRUZ";"TSTMG2, TSTMG1, 1STMG2";"";""
"659498";"";"Enseignant";"MEADOWS001";"Nafa";"nafa.meadows001";"nafa.meadows001";"rhje6mzz";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-ANITA CONTI-BRUZ";"2NDE06, 2NDE08, 2NDE05, 104, 102";"";""
"1825388";"";"Enseignant";"MILAN001";"Lubin";"lubin.milan001";"lubin.milan001";"cfxjefkp";"HISTOIRE GEOGRAPHIE";"LGT-ANITA CONTI-BRUZ";"107, TG7, 1STMG2, 2NDE07";"";""
"1756840";"";"Enseignant";"MUJUTHABA001";"Kolin";"kolin.mujuthaba001";"kolin.mujuthaba001";"k59henf6";"HISTOIRE GEOGRAPHIE";"LGT-ANITA CONTI-BRUZ";"TG5, TG1, 101, 2NDE05, 105";"";""
"431860";"";"Enseignant";"MUNA001";"Shaynes";"shaynes.muna001";"shaynes.muna001";"mbwnjrjf";"SANS OBJET, MATHEMATIQUES";"CLG-JACQUES BREL-NOYAL-SUR-VILAINE, LGT-ANITA CONTI-BRUZ";"5E, 5D, 4F, 3D, 4A, ";"";""
"356784";"";"Enseignant";"NEAL001";"Nini";"nini.neal001";"nini.neal001";"zy6n8cgc";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-ANITA CONTI-BRUZ";"107, 103, 2NDE03, 2NDE07, 106, 101, 104";"";""
"1962602";"";"Enseignant";"NGUYEN001";"Miquel";"miquel.nguyen001";"miquel.nguyen001";"5chzwe3m";"LETTRES MODERNES";"LGT-ANITA CONTI-BRUZ";"2NDE08";"";""
"657955";"";"Enseignant";"NIUMA001";"Bayene";"bayene.niuma001";"bayene.niuma001";"xyrpgvb8";"ANGLAIS";"LGT-ANITA CONTI-BRUZ";"TG5, TG3, TG4, TG7, TG1, 1STMG1, TG6, TG2";"";"Fauste SACCO001, Djelia FAHEEMA001"
"1963299";"";"Enseignant";"NIUSHA001";"Lehny";"lehny.niusha001";"lehny.niusha001";"ejmezzvd";"SANS OBJET, EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LGT-RENE CASSIN-MONTFORT-SUR-MEU, LGT-ANITA CONTI-BRUZ, CLG-MORVAN LEBESQUE-MORDELLES";"212, 202, 205, 1G8, , 5A, 6E, 4A";"";""
"1270446";"";"Enseignant";"NIUSHA001";"Nahida";"nahida.niusha001";"nahida.niusha001";"t7d8sbty";"HISTOIRE GEOGRAPHIE";"LGT-ANITA CONTI-BRUZ";"104, TG3, 103, TG7, TG1, TG5, TG6, TG2, TG4";"";""
"1833148";"";"Enseignant";"OLIVIERI001";"Elisa";"elisa.olivieri001";"elisa.olivieri001";"pe7v5j7n";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-ANITA CONTI-BRUZ";"1STMG1, TSTMG1, TSTMG2, 1STMG2";"";""
