"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1044820";"";"Enseignant";"ADAMSON001";"Malicka";"malicka.adamson001";"malicka.adamson001";"";"ANGLAIS";"LGT-AUGUSTE PAVIE-GUINGAMP";"NDRC2, 1D, TSTMG2, 1STMG2, TB";"";""
"1782060";"";"Enseignant";"ADHIKARI001";"Abbygael";"abbygael.adhikari001";"abbygael.adhikari001";"grmb9gea";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-AUGUSTE PAVIE-GUINGAMP";"TSTMG2, TSTMG1, 1STMG1";"";""
"1295688";"";"Enseignant";"AGLEEM001";"Keysha";"keysha.agleem001";"keysha.agleem001";"";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-AUGUSTE PAVIE-GUINGAMP";"1C, 2E, TC, TE, 1B, TB, 1E, TD, 1D, TA";"";""
"675909";"";"Enseignant";"AIRAS001";"Sefkan";"sefkan.airas001";"sefkan.airas001";"r5kgpzkc";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-AUGUSTE PAVIE-GUINGAMP";"2H, 1C, 2D, 1STMG2, 1D, 1B, 1E";"";""
"1982153";"";"Enseignant";"ALI001";"Usman";"usman.ali001";"usman.ali001";"yvjt37ga";"ECO-GEST.OPTION MARKETING";"LGT-AUGUSTE PAVIE-GUINGAMP";"NDRC2, TSTMG2, TSTMG1, 1STMG1";"";""
"1916116";"";"Enseignant";"SRESTH001";"Marie-Alizée";"diogo.balampaki001";"diogo.balampaki001";"vkarb7n3";"MATHEMATIQUES";"LGT-AUGUSTE PAVIE-GUINGAMP";"TD, TC, TB, 2G, 2A, TA, TE";"";"Maëlye SHAMA001, Pompee KAPHLE001"
"1116514";"";"Enseignant";"BARBER001";"Meyronn";"meyronn.barber001";"meyronn.barber001";"pw4n5ekw";"SANS OBJET, BRETON";"LGT-AUGUSTE PAVIE-GUINGAMP, CLG-CHARLES LE GOFFIC-LANNION";", 6B, 6C, 5B, 5C, 3C, 3B, 4C";"";""
"319751";"";"Enseignant";"BARONE001";"Jessie";"jessie.barone001";"jessie.barone001";"69c5gzy8";"DOCUMENTATION";"LGT-AUGUSTE PAVIE-GUINGAMP";"";"";""
"1444263";"";"Enseignant";"BIBI001";"Silvane";"silvane.bibi001";"silvane.bibi001";"eampv98a";"ECO-GEST.OPTION MARKETING";"LGT-AUGUSTE PAVIE-GUINGAMP";"TE, 1STMG2, TA, NDRC1, TD, TSTMG2, TB, TC";"";""
"1283187";"";"Enseignant";"BOLER001";"Nattie";"nattie.boler001";"nattie.boler001";"6ghwy8rv";"ALLEMAND";"LGT-AUGUSTE PAVIE-GUINGAMP";"TSTMG1, TE, 1STMG1, TD, TC, TSTMG2, 1B, 1A, 1E, 2F, 2E";"";""
"54872";"";"Enseignant";"BONATO001";"Faustin";"faustin.bonato001";"faustin.bonato001";"6xx4zhyk";"PHILOSOPHIE";"LGT-AUGUSTE PAVIE-GUINGAMP";"1D, TA, 1E, 1B, 2G, 2I, 2E, TD, 1C, TB, TSTMG1";"";""
"1527552";"";"Enseignant";"BONETTI001";"Gislhaine";"gislhaine.bonetti001";"gislhaine.bonetti001";"grjgefr9";"ANGLAIS";"LGT-AUGUSTE PAVIE-GUINGAMP";"2B, 2G, NDRC1, 1A, TE";"";""
