"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1238874";"";"Enseignant";"AHERN001";"Elhabib";"elhabib.ahern001";"elhabib.ahern001";"xfpy7d63";"SII OPTION ENERGIE";"LGT-BEAUMONT-REDON";"1E, 1STI2D, 1B, 1C, T B, T A, T C, T E, 2GT1, 2GT8, 2GT7, 1D, 2GT4, 2GT10, 1A, T D";"";"Syria BENETTI001, Jean-Gregory PIAZZA001"
"1075439";"";"Enseignant";"ANEEL001";"Djaina";"djaina.aneel001";"djaina.aneel001";"dapr58tz";"ESPAGNOL";"LGT-BEAUMONT-REDON";"T C, 1C, 1B, 2GT11, 1A, T D, T STMG1, 2GT7, 2GT9";"";""
"1487073";"";"Enseignant";"ARUSHAD001";"Charlesia";"charlesia.arushad001";"charlesia.arushad001";"";"HISTOIRE GEOGRAPHIE";"LGT-BEAUMONT-REDON";"2GT10, 1D, 2GT1, 1E, T B, 1C";"";""
"851896";"";"Enseignant";"BAKER001";"Mily";"mily.baker001";"mily.baker001";"zkmcdwsh";"LETTRES CLASSIQUES, LETTRES CLASSIQUES";"CLG-BEAUMONT-REDON, LGT-BEAUMONT-REDON";"5A, 5C, 3C, 3A, 3D, 4A, 4C, 4D, 5D, 1B, 1STI2D, 1C, 1E, T C, T B, T A, T E, 1TSSAM, T STI2D, T D, T STMG1, 1 STMG1, 1A, 1D, 2GT5, 2GT2";"";""
"669146";"";"Enseignant";"BARLOW001";"Malko";"malko.barlow001";"malko.barlow001";"";"SANS OBJET, EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LP LYC METIER-BEAUMONT-REDON, CLG-BEAUMONT-REDON, LGT-BEAUMONT-REDON, CLG-BELLEVUE-REDON";"2TCB, 2 AMA, 2MPIA, TTMA, TMEI, TTCB, 2 ATM, 2 PSR, , 2GT8, 2GT11, 4 C, 3 C, 5 C";"";""
"586581";"";"Enseignant";"BONOMI001";"Fariz";"fariz.bonomi001";"fariz.bonomi001";"";"EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LP LYC METIER-BEAUMONT-REDON, LGT-BEAUMONT-REDON";"2TCB, 1 MAC, 1 PSR, 1 MA, 1 ATM, 2 AMA, 2MPIA, TASSP, ";"";""
"1235694";"";"Enseignant";"BOTTA001";"Yagmur";"yagmur.botta001";"yagmur.botta001";"t75vnbtz";"ESPAGNOL";"LGT-BEAUMONT-REDON";"1E, 1D, 2GT1, 1A, 2GT5, 2GT10, 1C, T A, 2GT3, 2GT8, 2GT2";"";""
"1949644";"";"Enseignant";"BRADSHAW001";"Jinette";"jinette.bradshaw001";"jinette.bradshaw001";"pzzyxn5d";"MATHEMATIQUES";"LGT-BEAUMONT-REDON";"1A, 1D, 2GT3, 2GT4, 1C, T C, T A, 1B, 2TSCRSA, 1E";"";""
"541985";"";"Enseignant";"CAMERON001";"Judex";"judex.cameron001";"judex.cameron001";"stpy46rz";"SII OPTION INFORMATIQUE ET NUMERIQUE";"LGT-BEAUMONT-REDON";"T STI2D, 1STI2D";"";""
"1946192";"";"Enseignant";"CHIRICO001";"May-Lin";"may-lin.chirico001";"may-lin.chirico001";"zmtvv6r5";"ANGLAIS";"LGT-BEAUMONT-REDON";"2GT4, 1D, T E, T C, T A, 1A, 1TSCRSA, T D, T STI2D, 1C, T B, 1E, 1B";"";""
