"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1254078";"";"Enseignant";"ACHAMI001";"Dilara";"dilara.achami001";"dilara.achami001";"34bef75f";"SANS OBJET, ESPAGNOL";"LGT-BENJAMIN FRANKLIN-AURAY, LGT-CHARLES DE GAULLE-VANNES";"P07, P02, P10, P12, T12, S18, S20, S19, T13, T06, T07, ";"";""
"366981";"";"Enseignant";"ADAMI001";"Albrecht";"albrecht.adami001";"albrecht.adami001";"4nz4agkc";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-BENJAMIN FRANKLIN-AURAY";"T06, T04, T02, S14, S16, P06, P03, T10, T01";"";""
"1196199";"";"Enseignant";"ADHUHAM001";"Cintia";"cintia.adhuham001";"cintia.adhuham001";"";"SANS OBJET";"LGT-BENJAMIN FRANKLIN-AURAY";"";"";""
"279218";"";"Enseignant";"ADNAN001";"Firass";"firass.adnan001";"firass.adnan001";"wdmcyjhk";"MATHEMATIQUES";"LGT-BENJAMIN FRANKLIN-AURAY";"P05, T05, T03, P10, S01, S02, P06, P03, P04, P02, P07, P08, P01";"";""
"621993";"";"Enseignant";"ALI001";"Hacina";"hacina.ali001";"hacina.ali001";"";"HISTOIRE GEOGRAPHIE";"LGT-BENJAMIN FRANKLIN-AURAY";"P05, P03, P06, S10, P10, P08, T06, P04, T08, P09, P07, T02, P02, T10, P01";"";""
"1243402";"";"Enseignant";"ALPHA001";"Abbygaelle";"abbygaelle.alpha001";"abbygaelle.alpha001";"9nrgx66y";"ESPAGNOL";"LGT-BENJAMIN FRANKLIN-AURAY";"P08, T04, T03, T08, P04, P01, P02, T07, P09, T05, T02, S11, P06, S14, S13, P05";"";""
"444056";"";"Enseignant";"ASHFAG001";"Hada";"hada.ashfag001";"hada.ashfag001";"gnnkxczm";"ESPAGNOL, ESPAGNOL";"LGT-BENJAMIN FRANKLIN-AURAY, LPO-COLBERT-LORIENT";"P03, P08, ";"";""
"506534";"";"Enseignant";"AYAZ001";"Miruna";"miruna.ayaz001";"miruna.ayaz001";"cjhysndz";"LETTRES MODERNES";"LGT-BENJAMIN FRANKLIN-AURAY";"P10, P05, P07, P06, S02, P03, P09, P02, P08, P01";"";""
"565350";"";"Enseignant";"BARBIERI001";"Oumeya";"oumeya.barbieri001";"oumeya.barbieri001";"tz6pxrfw";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-BENJAMIN FRANKLIN-AURAY";"S07, S06, T01, T09, T04, T10, T07, T06, T02, T05, T08, T03";"";""
"331750";"";"Enseignant";"BARTAUL001";"Nahel";"nahel.bartaul001";"nahel.bartaul001";"wkcwg43h";"MATHEMATIQUES";"LGT-BENJAMIN FRANKLIN-AURAY";"T07, T01, S10, S09, S03, S20";"";""
"191633";"";"Enseignant";"BEATTIE001";"Maëlyss";"maelyss.beattie001";"maelyss.beattie001";"";"SANS OBJET";"LGT-BENJAMIN FRANKLIN-AURAY";"";"";""
"1054118";"";"Enseignant";"BONELLI001";"Nikolai";"nikolai.bonelli001";"nikolai.bonelli001";"4pp4hekc";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-BENJAMIN FRANKLIN-AURAY";"T05, T02, T09, T04, T03, T08, S04, S19, S17, T07, T06, T10, T01, S18, S02, S16";"";""
"1418817";"";"Enseignant";"BOSCHI001";"Jean-Yvon";"jean-yvon.boschi001";"jean-yvon.boschi001";"k6dx7ht8";"SANS OBJET, SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-BENJAMIN FRANKLIN-AURAY";"S12, P03, P06, T03, T05, T08, P02, P04, T04, P10, T01, T10, P05, T09, T02, T06, T07, P08, P01, P09";"";""
"1989689";"";"Enseignant";"CAMPAGNA001";"Kivanç";"kivanc.campagna001";"kivanc.campagna001";"";"MATHEMATIQUES";"LGT-BENJAMIN FRANKLIN-AURAY";"S08, S07, T02, T05, T10, T06, T01, P11, T04, T07, T09";"";""
"542594";"";"Enseignant";"CAPPELLI001";"Marie-Valentine";"marie-valentine.cappelli001";"marie-valentine.cappelli001";"n49pd377";"ESPAGNOL";"LGT-BENJAMIN FRANKLIN-AURAY";"S16, S12, S15, P06, T10, P05, T09, T07, T06, T03, T05, T02, P09, T04";"";""
"1002694";"";"Enseignant";"CASTELLANO001";"Jessicka";"jessicka.castellano001";"jessicka.castellano001";"t4sdfcsf";"ALLEMAND";"LGT-BENJAMIN FRANKLIN-AURAY";"P01, T09, T02, P13, P02, T01, T11, T06, S04, P03, P05, T13, S02, S06, S08, S01, S07";"";""
"1527621";"";"Enseignant";"CASTELLI001";"Camylle";"camylle.castelli001";"camylle.castelli001";"gtt9p56r";"ECO-GEST.OPTION MARKETING";"LGT-BENJAMIN FRANKLIN-AURAY";"S10, S08, S09, S02, T11, P12, P11";"";""
"1470321";"";"Enseignant";"COADY001";"Lihana";"lihana.coady001";"lihana.coady001";"zevrvegg";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-BENJAMIN FRANKLIN-AURAY";"T06, T11, T10, T13, T08, T05, T09, T07, T12, T04, P13, P09, S14, P03, S19, S15";"";""
"317095";"";"Enseignant";"COGAN001";"Hademou";"hademou.cogan001";"hademou.cogan001";"pwxfkzny";"LETTRES MODERNES";"LGT-BENJAMIN FRANKLIN-AURAY";"S05, S06, P03, B01";"";""
"21101";"";"Enseignant";"CONNELLY001";"Mounya";"mounya.connelly001";"mounya.connelly001";"7ehbpxvv";"HISTOIRE GEOGRAPHIE";"LGT-BENJAMIN FRANKLIN-AURAY";"P03, P05, P06, S19, S18, T07, T06, P08, T09, T10, P02, P01, T05, P09, T02, T04, T03, T08, P07";"";""
