"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"611240";"";"Enseignant";"ALIM001";"Maryvone";"maryvone.alim001";"maryvone.alim001";"3pbffrce";"ANGLAIS, ANGLAIS";"LGT-BERTRAND D'ARGENTRE-VITRE";"1 G1, 1 G10, 1 STMG4, TG3";"";""
"658877";"";"Enseignant";"AMATA001";"Odet";"odet.amata001";"odet.amata001";"zc6z7bre";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-BERTRAND D'ARGENTRE-VITRE";"1 G5, 1 G6, 2N 11, 2N 10, 1 G1, TG4, TG6, 1 G9, TG2, 1 G8, TG8, TG5, TG7, 1 G4, TG9, TG10, TG3, TG1";"";""
"1601673";"";"Enseignant";"ARMSTRONG001";"Kaëlig";"kaelig.armstrong001";"kaelig.armstrong001";"e7jec7ed";"MATHEMATIQUES";"LGT-BERTRAND D'ARGENTRE-VITRE";"1 G5, 1 G1, 2N 12, 1 G6, T STMG3, 1 G10, 1 G9, 1 G8, 1 G4";"";""
"685550";"";"Enseignant";"ASLAM001";"Kalys";"kalys.aslam001";"kalys.aslam001";"cz43zcdm";"LETTRES MODERNES";"LGT-BERTRAND D'ARGENTRE-VITRE";"2N 4, 1BTSAM, 1 STMG3";"";""
"786283";"";"Enseignant";"AZEEZA001";"Paul-Charles";"paul-charles.azeeza001";"paul-charles.azeeza001";"8x68s6ep";"MATHEMATIQUES";"LGT-BERTRAND D'ARGENTRE-VITRE";"2N 1, 2N 8, TG2, TG8, TG3, TG1, TG5";"";""
"406434";"";"Enseignant";"AZHAR001";"Siyana";"siyana.azhar001";"siyana.azhar001";"vdgftw5f";"HISTOIRE GEOGRAPHIE";"LGT-BERTRAND D'ARGENTRE-VITRE";"TG7, TG1, TG3, TG9, 2N 5, T STMG2, 1 G3, TG6, TG8, TG10, TG4";"";""
"1561185";"";"Enseignant";"BAHUN001";"Foulémata";"foulemata.bahun001";"foulemata.bahun001";"gyjap8rg";"ANGLAIS";"LGT-BERTRAND D'ARGENTRE-VITRE";"2N 6, 2N 4, TG5, TG7, TG1, 2N 5, TG2, 1BTCO, TG8";"";""
"122522";"";"Enseignant";"BANA001";"Momo";"momo.bana001";"momo.bana001";"hdkd5ckg";"SANS OBJET, LETTRES MODERNES, LETTRES MODERNES, LETTRES MODERNES";"CLG-THERESE PIERRE-FOUGERES, CLG-MAHATMA GANDHI-FOUGERES, CLG-DES HAUTES OURMES-RENNES, LGT-BERTRAND D'ARGENTRE-VITRE";"5F, 5D, 5E, 6 E, , 2N 2";"";""
"890504";"";"Enseignant";"BASEL001";"Laïssa";"laissa.basel001";"laissa.basel001";"hcz548hh";"ANGLAIS";"LGT-BERTRAND D'ARGENTRE-VITRE";"1 G5, 2N 3, 2N 8, 2N 2, 2N 1, TG4, TG6, TG8, TG2, TG10, TG9, TG1, T STMG3, TG5, 1 G3, TG7, TG3";"";""
"1304752";"";"Enseignant";"BASNYAT001";"Ophelien";"ophelien.basnyat001";"ophelien.basnyat001";"n4mavmsg";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-BERTRAND D'ARGENTRE-VITRE";"1 STMG3, 1 STMG2, 1 STMG1";"";""
