"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1780751";"";"Enseignant";"ADNAN001";"Oguzhan";"oguzhan.adnan001";"oguzhan.adnan001";"a8tevcrz";"EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"CLG-LE CHENE VERT-BAIN-DE-BRETAGNE, LGT-BREQUIGNY-RENNES, LP-BREQUIGNY-RENNES";", 210, 207, TMCVA";"";""
"1319808";"";"Enseignant";"ALE001";"Frederik";"frederik.ale001";"frederik.ale001";"4ngshmzz";"SANS OBJET, ESPAGNOL";"LGT-BREQUIGNY-RENNES, LG-EMILE ZOLA-RENNES";", 104, 205, 203, 211, 208, T08, 102, 110, 105, 108, T02, T06, T09, T05, T04";"";""
"764212";"";"Enseignant";"ALFANO001";"Crysta";"crysta.alfano001";"crysta.alfano001";"r4m34vxh";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-BREQUIGNY-RENNES";"1STMG3, 1STMG1, 1STMG4, TSTMG1";"";""
"740123";"";"Enseignant";"AMADORI001";"Eléa";"elea.amadori001";"elea.amadori001";"a8mk8wrs";"LETTRES MODERNES";"LGT-BREQUIGNY-RENNES";"T03, 105, 212, 203, T04";"";""
"1719726";"";"Enseignant";"AMATO001";"Marlo";"marlo.amato001";"marlo.amato001";"f73mbfw4";"BIOCHIMIE-GENIE BIOLOGIQUE";"LGT-BREQUIGNY-RENNES";"BTS2ABM, 1ST2S1, BTS1ABM";"";""
"959861";"";"Enseignant";"ANOOSHA001";"Viviana";"viviana.anoosha001";"viviana.anoosha001";"44em6wjn";"SCIENCES ET TECHNIQUES MEDICO-SOCIALES";"LGT-BREQUIGNY-RENNES";"BTS2SPS, TST2S3, TST2S2, BTS1SPS";"";""
"1144739";"";"Enseignant";"ASIFA001";"Wenceslas";"wenceslas.asifa001";"wenceslas.asifa001";"p7rptfxb";"PHILOSOPHIE";"LGT-BREQUIGNY-RENNES";"T11, T08, T10, TSTL1, TSTI2D1";"";""
"237209";"";"Enseignant";"BADHOORA001";"Kety";"kety.badhoora001";"kety.badhoora001";"mhp4d7wg";"MATHEMATIQUES";"LGT-BREQUIGNY-RENNES";"207, BTS2SNIR, BTS1CG, T12";"";""
"1931397";"";"Enseignant";"BALL001";"Kian";"kian.ball001";"kian.ball001";"3spg3vtj";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-BREQUIGNY-RENNES";"BTS1GPME, BTS2GPME, BTS2ATI, BTS1ATI";"";""
"1961407";"";"Enseignant";"BAMBA001";"Lysana";"lysana.bamba001";"lysana.bamba001";"w44vp6xm";"BIOCHIMIE-GENIE BIOLOGIQUE";"LGT-BREQUIGNY-RENNES";"1ST2S1, BTS1ABM";"";""
