"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1254078";"";"Enseignant";"ACHAMI001";"Dilara";"dilara.achami001";"dilara.achami001";"34bef75f";"SANS OBJET, ESPAGNOL";"LGT-BENJAMIN FRANKLIN-AURAY, LGT-CHARLES DE GAULLE-VANNES";"P07, P02, P10, P12, T12, S18, S20, S19, T13, T06, T07, ";"";""
"1764587";"";"Enseignant";"ADIL001";"Francisco-Javier";"francisco-javier.adil001";"francisco-javier.adil001";"";"MATHEMATIQUES";"LGT-CHARLES DE GAULLE-VANNES";"2DE 2, 1G 2, 2DE 6, 1G 5, TG 1, 1G 3, 1G 4, TG 3, 1G 1, TG 6, TG 5, 1G 6, 1G 7, 1G 8, TG 7";"";""
"1356302";"";"Enseignant";"ANEES001";"Méliné";"meline.anees001";"meline.anees001";"";"LETTRES MODERNES";"LGT-CHARLES DE GAULLE-VANNES";"2DE 9, 2DE_10, 1G 3, 1G 1";"";""
"1628836";"";"Enseignant";"ARSHAD001";"Seyhan";"seyhan.arshad001";"seyhan.arshad001";"bwwdsksc";"SANS OBJET";"LGT-CHARLES DE GAULLE-VANNES";"";"";""
"1398043";"";"Enseignant";"ASHE001";"Kalahan";"kalahan.ashe001";"kalahan.ashe001";"nyb867bg";"SCIENCES ECONOMIQUES ET SOCIALES, SCIENCES ECONOMIQUES ET SOCIALES";"LGT-CHARLES DE GAULLE-VANNES";"2DE 1, 1G 2, 2DE 4, 2DE 5, 1G 5, 1G 3, 1G 4, 1G 6, 1G 7, 1G 8, 1G 1";"";""
"1564613";"";"Enseignant";"AZEEZA001";"Violeta";"violeta.azeeza001";"violeta.azeeza001";"7kyb4g8y";"DOCUMENTATION";"LGT-CHARLES DE GAULLE-VANNES";"";"";""
"537115";"";"Enseignant";"BADHOORA001";"Jaquy";"jaquy.badhoora001";"jaquy.badhoora001";"s4y5cfr3";"SANS OBJET";"LGT-CHARLES DE GAULLE-VANNES";"";"";""
"1491973";"";"Enseignant";"BALFE001";"Itala";"itala.balfe001";"itala.balfe001";"ezgx5xv5";"HISTOIRE GEOGRAPHIE";"LGT-CHARLES DE GAULLE-VANNES";"1G 7, TG 4, TG 6, 2DE 6, 2DE 2";"";""
"1636695";"";"Enseignant";"BARONI001";"Bartolomé";"bartolome.baroni001";"bartolome.baroni001";"zzszvwzt";"SANS OBJET, HISTOIRE GEOGRAPHIE";"LGT-CHARLES DE GAULLE-VANNES";"";"";""
"820135";"";"Enseignant";"BHANDARI001";"Imrân";"imran.bhandari001";"imran.bhandari001";"5d63chyz";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-CHARLES DE GAULLE-VANNES";"1G 2, 2DE 1, 2DE_13, 2DE_12, 2DE 2, 1G 1, 1G 7, 1G 8, 1G 3, 1G 5, 1G 4, 1G 6";"";""
"1628896";"";"Enseignant";"BRESCIANI001";"Aurlane";"aurlane.bresciani001";"aurlane.bresciani001";"z373tn55";"MATHEMATIQUES";"LGT-CHARLES DE GAULLE-VANNES";"1G 2, 2DE_13, 2DE 4, 1G 1, 1G 3, 1G 5, 1G 6, TSTMG 2, 1G 4, 1G 8, 1G 7, 1STMG 1";"";""
"822064";"";"Enseignant";"BRESLIN001";"Alias";"alias.breslin001";"alias.breslin001";"fnyhty57";"EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LGT-CHARLES DE GAULLE-VANNES";"2DE 5, 2DE 3, 2DE 1, 1G 1";"";""
"225241";"";"Enseignant";"CAMARA001";"Clifford";"clifford.camara001";"clifford.camara001";"jhpw8bfz";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-CHARLES DE GAULLE-VANNES";"2DE 6, 2DE_13, 2DE 7, 1G 2, 2DE_10, TG 3, TG 6, 1G 1, 1G 8, 1G 6, TG 7, 1G 7, TG 2, 1G 4, 1G 5, TG 1, 1G 3";"";""
"231713";"";"Enseignant";"CANNING001";"Kieron";"kieron.canning001";"kieron.canning001";"tcyyggn4";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-CHARLES DE GAULLE-VANNES";"2DE_11, 2DE 5, 1G 2, 1G 1, 1G 8, TG 7, 1G 7, TG 5, 1G 6, 1G 3, 1G 4, 1G 5, TG 6";"";""
"104992";"";"Enseignant";"CHLEBOWSKI001";"Havanur";"havanur.chlebowski001";"havanur.chlebowski001";"chk9wnkd";"LETTRES MODERNES";"LGT-CHARLES DE GAULLE-VANNES";"2DE 8, 1G 2, 2DE 7, 1G 3, 1G 5, 1G 6, 1G 4, 1G 7, BTS 1, 1G 1, 1G 8";"";""
"1521872";"";"Enseignant";"CICCONE001";"Abdalla";"abdalla.ciccone001";"abdalla.ciccone001";"vcm3r76f";"ECO-GEST.OPTION MARKETING";"LGT-CHARLES DE GAULLE-VANNES";"";"";""
"1322167";"";"Enseignant";"COADY001";"Maria-Rita";"maria-rita.coady001";"maria-rita.coady001";"m5cjmkpg";"ARTS PLASTIQUES";"LGT-CHARLES DE GAULLE-VANNES";"1G 8, TG 7, 1G 3, TG 4, TG 2, 1G 5, 1G 4, 1G 1, 1G 7, 2DE_11, 1G 2, 1G 6, 2DE 5, 2DE 7";"";""
"22042";"";"Enseignant";"COLOMBI001";"Eymard";"eymard.colombi001";"eymard.colombi001";"";"MATHEMATIQUES";"LGT-CHARLES DE GAULLE-VANNES";"2DE 8, 2DE_12, 1G 2, 1G 1, TG 6, TG 4, TG 7, 1G 7, 1G 8, 1G 6, TG 5, 1G 3, 1G 5, 1G 4";"";""
"577630";"";"Enseignant";"CONNELLY001";"Naissata";"naissata.connelly001";"naissata.connelly001";"jvbmjbtg";"HISTOIRE GEOGRAPHIE";"LGT-CHARLES DE GAULLE-VANNES";"1STMG 1, 1STMG 2";"";""
"263313";"";"Enseignant";"CRAWFORD001";"Pompee";"pompee.crawford001";"pompee.crawford001";"43p7hntn";"SANS OBJET, PHILOSOPHIE";"LGT-ALAIN RENE LESAGE-VANNES, LGT-CHARLES DE GAULLE-VANNES";", TSTMG 1, TSTMG 2";"";""
"1660706";"";"Enseignant";"CROSBIE001";"Vi";"vi.crosbie001";"vi.crosbie001";"dmdctmjd";"HISTOIRE GEOGRAPHIE";"LGT-CHARLES DE GAULLE-VANNES";"TG 5, TG 6, 1G 6, 2DE_11, 1G 2, 1G 3, 1G 8, 1G 4, TG 4, TG 7, TG 2, 2DE_12, 2DE 4, 2DE 3, 1G 5, 1G 7, 1G 1, TG 3";"";""
"774900";"";"Enseignant";"DANGAUR001";"Yannaelle";"yannaelle.dangaur001";"yannaelle.dangaur001";"5wmabhmc";"ESPAGNOL";"LGT-CHARLES DE GAULLE-VANNES";"2DE 6, 1G 2, BTS 2, TG 5, 1G 7, TG 7, 1G 3, TSTMG 2, 1G 8, TG 6, TG 4";"";""
"1296992";"";"Enseignant";"DAVENPORT001";"Zahid";"zahid.davenport001";"zahid.davenport001";"";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-CHARLES DE GAULLE-VANNES";"";"";""
"617649";"";"Enseignant";"DHUNIYAIN001";"Dalinda";"dalinda.dhuniyain001";"dalinda.dhuniyain001";"7ecfns94";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-CHARLES DE GAULLE-VANNES";"1G 2, 2DE 7, 2DE 6, 1G 6, 1G 4, 1G 8, 1G 1, 1G 7, TG 1, TG 4, 1G 3, TG 3, 1G 5";"";""
"272995";"";"Enseignant";"DOBSON001";"Jiro";"jiro.dobson001";"jiro.dobson001";"6dfyd3c3";"HISTOIRE GEOGRAPHIE";"LGT-CHARLES DE GAULLE-VANNES";"2DE_11, TG 2, 1G 6, TG 7";"";""
"1959616";"";"Enseignant";"DRAKE001";"Lyem";"lyem.drake001";"lyem.drake001";"5nrkzr76";"HISTOIRE GEOGRAPHIE";"LGT-CHARLES DE GAULLE-VANNES";"2DE_10, 1G 2, TG 1, 1G 3, 1G 5, 1G 4, TG 5, TG 2, 1G 7, 1G 8, 1G 6, TG 3, TG 4, 1G 1";"";""
"1590682";"";"Enseignant";"ENGLISH001";"Kantin";"kantin.english001";"kantin.english001";"ds97jb3t";"SANS OBJET, MATHEMATIQUES";"LGT-CHARLES DE GAULLE-VANNES, LPO-JEAN MACE-LANESTER";", 2E4";"";""
"1817616";"";"Enseignant";"FALAAH001";"Kelli";"kelli.falaah001";"kelli.falaah001";"nerw7stx";"ANGLAIS";"LGT-CHARLES DE GAULLE-VANNES";"2DE_12, 1G 2, 2DE 2, 1G 1, TG 4, 1G 5, TG 6, 1G 4, TG 7, 1G 3, 1G 6, 1G 8, TG 5, 1G 7";"";""
"91739";"";"Enseignant";"FANELLI001";"Tonny";"tonny.fanelli001";"tonny.fanelli001";"kjnznz4d";"SANS OBJET";"LGT-CHARLES DE GAULLE-VANNES";"";"";""
