"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"293930";"";"Enseignant";"BADHOORA001";"Moncef";"moncef.badhoora001";"moncef.badhoora001";"y6gpxe34";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-DE CORNOUAILLE-QUIMPER";"2 5, 2 2, 2 1, 1 2 STMG, 1 5, 1 4, 1 8, T8, T5, T6, 1 7, T7, 1 3, 1 6";"";""
"1311430";"";"Enseignant";"BANU001";"Widdy";"widdy.banu001";"widdy.banu001";"37xry4nm";"MATHEMATIQUES";"LGT-DE CORNOUAILLE-QUIMPER";"T2 STMG, T3, 1 6, 2 6, 2 7, 1 4, 1 8, 1 7, 1 3, 2 2, 2 1, 1 5";"";""
"956395";"";"Enseignant";"BHAGAT001";"Hulda";"hulda.bhagat001";"hulda.bhagat001";"9ew3cjcr";"ANGLAIS";"LGT-DE CORNOUAILLE-QUIMPER";"1 4, 2 7, 2 4, 1 7, 1 6, T7, T6, T8, T3, T4";"";""
"1450597";"";"Enseignant";"BHEDIHAR001";"Avery";"avery.bhedihar001";"avery.bhedihar001";"";"ECO-GEST.OPTION MARKETING";"LGT-DE CORNOUAILLE-QUIMPER";"2 5, 2 2, 1 2 STMG, 1 1 STMG, T2 STMG, T1 STMG";"";""
"293122";"";"Enseignant";"BONE001";"Diatou";"diatou.bone001";"diatou.bone001";"tpm85mpr";"SANS OBJET, LETTRES MODERNES, LETTRES MODERNES, LETTRES MODERNES";"CLG-AUGUSTE BRIZEUX-QUIMPER, CLG-RENE LAENNEC-PONT-L'ABBE, LGT-DE CORNOUAILLE-QUIMPER, LG-AUGUSTE BRIZEUX-QUIMPER";"5EME2, , 2 3, 1ERE7";"";""
"862112";"";"Enseignant";"BONE001";"Ysmael";"ysmael.bone001";"ysmael.bone001";"wftkrfnr";"EDUCATION MUSICALE, EDUCATION MUSICALE, EDUCATION MUSICALE";"CLG-KERVIHAN-FOUESNANT, CLG-AUGUSTE BRIZEUX-QUIMPER, LGT-DE CORNOUAILLE-QUIMPER";"4 5, 5 3, 4 2, 3 4, 3 5, 3 3, 4 3, 3 7, 4 6, 5EME3, 3EME2, 3EME4, 3EME6, 3EME1, 3EME3, 3EME5, 4EME7, 4EME6, 2 2, 1 3, T5, T7, 1 6, T8, T6, 1 7, T3, T4, T2 STMG, 1 1 STMG, T1 STMG, 2 6, 2 5, 2 3, 1 4, 1 8, 1 2 STMG, 1 5, 2 1, 2 4, 2 7";"";""
"1770286";"";"Enseignant";"BOTE001";"Tery";"tery.bote001";"tery.bote001";"hxhdfyba";"ANGLAIS";"LGT-DE CORNOUAILLE-QUIMPER";"1 6, T7, T4, T3, 1 3, 1 5, 1 4, 2 4, 2 2, 2 3, 2 7, 1 7, T8, T6, T5, 1 8, 2 6, 2 5";"";""
"739401";"";"Enseignant";"BRITTON001";"Helouri";"helouri.britton001";"helouri.britton001";"gyfgr5nt";"SANS OBJET, ESPAGNOL";"LGT-DE CORNOUAILLE-QUIMPER";"";"";""
"768389";"";"Enseignant";"BUCKLEY001";"Kiméa";"kimea.buckley001";"kimea.buckley001";"svdejved";"DOCUMENTATION";"LGT-DE CORNOUAILLE-QUIMPER";"";"";""
"1648136";"";"Enseignant";"BUZZI001";"Louis-Victor";"louis-victor.buzzi001";"louis-victor.buzzi001";"bj7tt47p";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-DE CORNOUAILLE-QUIMPER";"T8, T6, 1 7, 1 3, 1 1 STMG, T3, T2 STMG, T4, T7, 1 2 STMG, 2 7, T5, T1 STMG, 1 4, 1 5";"";""
