"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1234098";"";"Enseignant";"ANAP001";"Carmelien";"carmelien.anap001";"carmelien.anap001";"";"SANS OBJET, PHILOSOPHIE";"LGT-DE KERNEUZEC-QUIMPERLE, LGT-DUPUY DE LOME-LORIENT";"TC, TB, TSTMG1, TD, TE, ";"";""
"1682521";"";"Enseignant";"ANWAR001";"Aldrin";"aldrin.anwar001";"aldrin.anwar001";"s75vdjwz";"SANS OBJET, EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LP LYC METIER-EMILE ZOLA-HENNEBONT, LGT-ALAIN RENE LESAGE-VANNES, LGT-DE KERNEUZEC-QUIMPERLE";"2GATL, 2MTNE, , TD, 1C, 1STMG2, 1F";"";""
"944662";"";"Enseignant";"AROOSHA001";"Nassrine";"nassrine.aroosha001";"nassrine.aroosha001";"xn755k3e";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-DE KERNEUZEC-QUIMPERLE";"TSTMG2, 1STMG2, 1STMG1";"";""
"1338339";"";"Enseignant";"ASIFA001";"Teri";"teri.asifa001";"teri.asifa001";"mh4wdhhg";"SANS OBJET, MATHEMATIQUES, MATHEMATIQUES";"CLG-HERSART DE LA VILLEMARQUE-QUIMPERLE, LGT-DE KERNEUZEC-QUIMPERLE";"";"";""
"1781677";"";"Enseignant";"ASIMA001";"Aïtor";"aitor.asima001";"aitor.asima001";"ydp7sjy7";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-DE KERNEUZEC-QUIMPERLE";"2NDE8, 2NDE1, 2NDE4, 2NDE9, TST2S, TSTMG1, 2NDE6, TSTMG2, 1E, TD, 1ST2S, 1STMG2";"";""
"1749695";"";"Enseignant";"AZEEZ001";"Témoé";"temoe.azeez001";"temoe.azeez001";"7xwcbj37";"HISTOIRE GEOGRAPHIE";"LGT-DE KERNEUZEC-QUIMPERLE";"2NDE7, 1F, 1E";"";"Racim HAINRICK001, Maëlis DARYANANI001"
"561921";"";"Enseignant";"BARRETT001";"Joïa";"joia.barrett001";"joia.barrett001";"x7cpjmtp";"LETTRES MODERNES";"LGT-DE KERNEUZEC-QUIMPERLE";"TE, TF, 2NDE2, 1E, 1A, 1F, 1B, 1D, TD, 1C, TA, TC, TB";"";""
"1473906";"";"Enseignant";"BASNYAT001";"Naël";"nael.basnyat001";"nael.basnyat001";"txf64wjf";"MATHEMATIQUES";"LGT-DE KERNEUZEC-QUIMPERLE";"2NDE8, TE, TSTMG2, 1A, TD, 1D, 1STMG1, 1E, 1F, TA, TF, 1C, 1B";"";""
"1726781";"";"Enseignant";"BELL001";"Maria-Cristina";"maria-cristina.bell001";"maria-cristina.bell001";"bsasxm7j";"SANS OBJET";"LGT-DE KERNEUZEC-QUIMPERLE";"";"";""
"192713";"";"Enseignant";"BONE001";"Margaret";"margaret.bone001";"margaret.bone001";"xctcydht";"LETTRES MODERNES";"LGT-DE KERNEUZEC-QUIMPERLE";"2NDE9, 2NDE6, 1D, 1STMG1";"";""
