"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1724448";"";"Enseignant";"ASTON001";"Reine";"reine.aston001";"reine.aston001";"";"HISTOIRE GEOGRAPHIE";"LGT-DU LEON-LANDIVISIAU";"2E, 1D";"";""
"1898882";"";"Enseignant";"BASNET001";"Malhya";"malhya.basnet001";"malhya.basnet001";"c3xxdj3k";"LETTRES CLASSIQUES";"LGT-DU LEON-LANDIVISIAU";"2C, TLA, 2D, 2B, 1B, 1E, TLB";"";""
"1933414";"";"Enseignant";"BASSANI001";"Leho";"leho.bassani001";"leho.bassani001";"";"PHILOSOPHIE";"LGT-DU LEON-LANDIVISIAU";"1B, TLC, TLA, 1E, TLB, TLD, 1A";"";""
"810209";"";"Enseignant";"BISI001";"Rimes";"rimes.bisi001";"rimes.bisi001";"mdc5h5fb";"ESPAGNOL";"LGT-DU LEON-LANDIVISIAU";"2C, 2B, STS2, 2A, TLB, 1D, TLC, 1C";"";""
"1669153";"";"Enseignant";"CAPPELLETTI001";"Firas";"firas.cappelletti001";"firas.cappelletti001";"";"ECO-GEST.OPTION MARKETING";"LGT-DU LEON-LANDIVISIAU";"STS1, STS2, 1C, TLC, 1D";"";""
"1766638";"";"Enseignant";"CIPRIANI001";"Selin";"selin.cipriani001";"selin.cipriani001";"fsdfanyk";"SANS OBJET, ANGLAIS";"CLG-SAINT-POL ROUX-BREST, LGT-DU LEON-LANDIVISIAU";", 2D, 1B, TLA, 1E, 1D, TLC, 1A, TLB, TLD";"";""
"825499";"";"Enseignant";"CLARE001";"Tyrell";"tyrell.clare001";"tyrell.clare001";"b86vd65g";"SANS OBJET, HISTOIRE GEOGRAPHIE";"LGT-TRISTAN CORBIERE-MORLAIX, LGT-DU LEON-LANDIVISIAU";"2NDE 8, 2NDE 7, 1 T3, 1 T2, T STI2D1, ";"";""
"101147";"";"Enseignant";"DANGAL001";"Yuness";"yuness.dangal001";"yuness.dangal001";"hzznt6e7";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-DU LEON-LANDIVISIAU";"2E, 1B, 2A, TLD, TLB, 1A, TLA, 1E";"";""
"1611048";"";"Enseignant";"DATTA001";"Noelan";"noelan.datta001";"noelan.datta001";"ypfzy7s7";"SANS OBJET";"LGT-DU LEON-LANDIVISIAU";"";"";""
"534198";"";"Enseignant";"DEL001";"Djélina";"djelina.del001";"djelina.del001";"c7vjwjaz";"ESPAGNOL";"LGT-DU LEON-LANDIVISIAU";"2D, 1A, 1E, 2E, 1B, STS1, TLD, TLA";"";""
