"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"384229";"";"Enseignant";"ABOOBAKUR001";"Pierre-Charles";"pierre-charles.aboobakur001";"pierre-charles.aboobakur001";"pzh76gpb";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-DUPUY DE LOME-LORIENT";"TG01, TG06, TG09, TG04, 202, 208, TG05, 213, 206, 1G03, TG03, TG07, TG02, TG08";"";""
"1315072";"";"Enseignant";"ALEEM001";"Rosalie";"rosalie.aleem001";"rosalie.aleem001";"cbmgdxw8";"MATHEMATIQUES";"LGT-DUPUY DE LOME-LORIENT";"1G10, 1G04, 1G07, TSTMG2, B2CO, 205";"";""
"1234098";"";"Enseignant";"ANAP001";"Carmelien";"carmelien.anap001";"carmelien.anap001";"";"SANS OBJET, PHILOSOPHIE";"LGT-DE KERNEUZEC-QUIMPERLE, LGT-DUPUY DE LOME-LORIENT";"TC, TB, TSTMG1, TD, TE, ";"";""
"1428886";"";"Enseignant";"ANDREW001";"Souhayb";"souhayb.andrew001";"souhayb.andrew001";"wkwfpweb";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-DUPUY DE LOME-LORIENT";"205, 206, 1G06, TG06, TG09, 1G04, 1G10, TG10, 1G09";"";""
"337412";"";"Enseignant";"BANNON001";"Lievin";"lievin.bannon001";"lievin.bannon001";"hrybg5ce";"ALLEMAND, ALLEMAND";"LGT-DUPUY DE LOME-LORIENT, LGT-VICTOR HUGO-HENNEBONT";"214, 208, 207, 206, TSTMG2, 1STMG1, 2A, 1G1, 2E, TSTMG2, TG1";"";""
"921242";"";"Enseignant";"BARALDI001";"Sofines";"sofines.baraldi001";"sofines.baraldi001";"";"ANGLAIS";"LGT-DUPUY DE LOME-LORIENT";"B2SAM, DCG1, 1G09, DCG2, DCG3";"";""
"708362";"";"Enseignant";"BARONE001";"Bétina";"betina.barone001";"betina.barone001";"";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-DUPUY DE LOME-LORIENT";"TG09, 1G10, TG04, TG10, TG08, TG06, TG07, TG02, TG01, TG03, TG05, 1G09";"";""
"1214885";"";"Enseignant";"BAYAK001";"Merwan";"merwan.bayak001";"merwan.bayak001";"5c5mzpn8";"PHILOSOPHIE";"LGT-DUPUY DE LOME-LORIENT";"MPSI, PC, PSI, MP";"";""
"454648";"";"Enseignant";"BECKETT001";"Panagiotis";"panagiotis.beckett001";"panagiotis.beckett001";"eegj7848";"ECONOMIE ET GESTION";"LGT-DUPUY DE LOME-LORIENT";"DCG2, DCG3, TSTMG1";"";""
"544250";"";"Enseignant";"BELLO001";"Hubert";"hubert.bello001";"hubert.bello001";"khd8vjrr";"SANS OBJET";"LGT-DUPUY DE LOME-LORIENT";"";"";""
"903773";"";"Enseignant";"BERTI001";"Yacina";"yacina.berti001";"yacina.berti001";"fepm8c7r";"ALLEMAND";"LGT-DUPUY DE LOME-LORIENT";"1G10, 1G09, TG10, ECG1, TG09, PCSI, ECS2, PSI, PC, MPSI, MP";"";""
"609756";"";"Enseignant";"BIBI001";"Fanchon";"fanchon.bibi001";"fanchon.bibi001";"d5ttbhzr";"ECO-GEST.OPTION MARKETING";"LGT-DUPUY DE LOME-LORIENT";"B1SAM, B1CO";"";""
"453231";"";"Enseignant";"BIGGS001";"Xuan";"xuan.biggs001";"xuan.biggs001";"rk6ttwtd";"HISTOIRE GEOGRAPHIE";"LGT-DUPUY DE LOME-LORIENT";"207, 211, 1STMG3, 1G06, 1G09";"";""
"231251";"";"Enseignant";"BONE001";"Keita";"keita.bone001";"keita.bone001";"56yx8ce6";"ECO-GEST.OPTION COMPTABILITE ET FINANCE, ASSURANCE (EN T.S.)";"LGT-DUPUY DE LOME-LORIENT, LPO-COLBERT-LORIENT";"B2ASS, B1ASS, PBTS";"";""
"676730";"";"Enseignant";"BREWER001";"Louis-Marie";"louis-marie.brewer001";"louis-marie.brewer001";"eewc6ddy";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-DUPUY DE LOME-LORIENT";"MPSI";"";""
"675832";"";"Enseignant";"BROPHY001";"Nansa";"nansa.brophy001";"nansa.brophy001";"s4w8rf96";"MATHEMATIQUES";"LGT-DUPUY DE LOME-LORIENT";"";"";""
"1411830";"";"Enseignant";"BUALUAY001";"Luyana";"luyana.bualuay001";"luyana.bualuay001";"";"ANGLAIS";"LGT-DUPUY DE LOME-LORIENT";"208, 201, 1STMG3, 1G05, 1G01";"";""
"1979192";"";"Enseignant";"BUTTERWORTH001";"Maria-Isabel";"maria-isabel.butterworth001";"maria-isabel.butterworth001";"hhsg7eta";"LETTRES MODERNES";"LGT-DUPUY DE LOME-LORIENT";"208, 213, 1G05, B2SAM";"";""
"987900";"";"Enseignant";"CALABRO001";"Casilde";"casilde.calabro001";"casilde.calabro001";"73jbfnhe";"ANGLAIS";"LGT-DUPUY DE LOME-LORIENT";"213, 1G08, 1G06, TG06, TG02, TG09";"";""
"881813";"";"Enseignant";"CANDRAVANSI001";"Safa";"safa.candravansi001";"safa.candravansi001";"bctf37tp";"SANS OBJET, LETTRES ANGLAIS, LETTRES ANGLAIS";"LP-AMPERE-JOSSELIN, LP LYC METIER-MARIE LE FRANC-LORIENT, LGT-DUPUY DE LOME-LORIENT";"1 CAP2, 2CAP, 2 ASSP, ";"";""
"775169";"";"Enseignant";"CAPUTO001";"Cidra";"cidra.caputo001";"cidra.caputo001";"cwh8ye36";"DOCUMENTATION";"LGT-DUPUY DE LOME-LORIENT";"";"";""
"980050";"";"Enseignant";"CARDILLO001";"Nessy";"nessy.cardillo001";"nessy.cardillo001";"w8rxd834";"ESPAGNOL";"LGT-DUPUY DE LOME-LORIENT";"204, 205, B1CO, ENS2";"";""
"919737";"";"Enseignant";"CARTON001";"Nabiha";"nabiha.carton001";"nabiha.carton001";"kfg868e3";"MATHEMATIQUES";"LGT-DUPUY DE LOME-LORIENT";"1G08, 214, TG09, 1G09, TG05, TG04, TG01, 1G01, 1G05, TG03, 1G07, 1G06, TG10, 1G04, 1G02, TG08, 1G10, TG07, TG02, 1G03, TG06";"";""
"115699";"";"Enseignant";"CAVALLI001";"Wisam";"wisam.cavalli001";"wisam.cavalli001";"";"SANS OBJET, SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-DUPUY DE LOME-LORIENT";"";"";""
"1555746";"";"Enseignant";"CHILDS001";"Coryse";"coryse.childs001";"coryse.childs001";"bezv385p";"ANGLAIS";"LGT-DUPUY DE LOME-LORIENT";"TG10, 1G06, TG04, 1G08, 207, 212, 1G02, 1G05, 1G07, 1G10, 1G01, 1G09";"";""
"713637";"";"Enseignant";"COLLINGS001";"Jonhatan";"jonhatan.collings001";"jonhatan.collings001";"vhbzzdb8";"SANS OBJET";"LGT-DUPUY DE LOME-LORIENT";"";"";""
"1577861";"";"Enseignant";"COLOMINA001";"Nadil";"nadil.colomina001";"nadil.colomina001";"mr6d57dr";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-DUPUY DE LOME-LORIENT";"TG03, TG10, TG07, TG02, TG04, TG09, TG01, TG05, 210";"";""
"161570";"";"Enseignant";"CONDRON001";"Özkan";"ozkan.condron001";"ozkan.condron001";"temgdxvx";"PHILOSOPHIE";"LGT-DUPUY DE LOME-LORIENT";"1G08, TG07, TG03, 1G05, 1G01, TG01, TG09, 1G04, TG10, TG08, 1G02, TG04, 1G10, 1G09, TG05, TG02, 1G03, TSTMG3, 1G07, TG06, 1G06";"";""
"923917";"";"Enseignant";"COOK001";"Takeshi";"takeshi.cook001";"takeshi.cook001";"x3zjsxpx";"HISTOIRE GEOGRAPHIE";"LGT-DUPUY DE LOME-LORIENT";"TG01, TG05, TG06, TG09, TG07, TG04, 202, TG08, TG10, TG03";"";"Lidie COTTER001, Élie JENKINSON001"
"336036";"";"Enseignant";"CORSO001";"Janina";"janina.corso001";"janina.corso001";"thnj7yv9";"ECO-GEST.OPTION MARKETING";"LGT-DUPUY DE LOME-LORIENT";"TSTMG3, TSTMG1, TSTMG2";"";""
"1031743";"";"Enseignant";"COUGHLAN001";"Chana";"chana.coughlan001";"chana.coughlan001";"zb8f6rx4";"LETTRES MODERNES";"LGT-DUPUY DE LOME-LORIENT";"207, TG10, TG02, TG06, TG07, TG04, 1G04, TG08, TG09, TG05, TG01";"";""
"1432262";"";"Enseignant";"CUOMO001";"Merveille";"merveille.cuomo001";"merveille.cuomo001";"rxzynxz5";"MATHEMATIQUES";"LGT-DUPUY DE LOME-LORIENT";"1G10, TG03, 1G01, 1G06, TG08, TG10, 1G03, 1G09, 1G05, 1G02, 208, 1G08, 209, TG02, TG07, TG09, TG04, TG01, TG06, TG05";"";""
"1898175";"";"Enseignant";"DALY001";"Leonien";"leonien.daly001";"leonien.daly001";"r3ab94xd";"PHILOSOPHIE";"LGT-DUPUY DE LOME-LORIENT";"ECG1, ECS2, PCSI";"";""
"180219";"";"Enseignant";"DARCY001";"Genoveva";"genoveva.darcy001";"genoveva.darcy001";"pgngnnn6";"SANS OBJET, ANGLAIS";"LGT-DUPUY DE LOME-LORIENT";"214, 210, TG01, 1G07, TG07";"";""
"673190";"";"Enseignant";"DARYANANI001";"Lulu";"lulu.daryanani001";"lulu.daryanani001";"rd37nax3";"SANS OBJET";"LGT-DUPUY DE LOME-LORIENT";"";"";""
"1143939";"";"Enseignant";"DATHARU001";"Elvyne";"elvyne.datharu001";"elvyne.datharu001";"tgzyh3fn";"ITALIEN, ITALIEN";"LGT-DUPUY DE LOME-LORIENT, LPO-COLBERT-LORIENT";"1G09, TG10, 1STMG2, TSTMG1, 207, 1G08, TG09, TG08, ECG1, TG06, 204, 203, 202, 1CGENE, TSTL, 2DE5, 1ST1, 1STL, TST1, TAGENE";"";""
"1032371";"";"Enseignant";"DESAR001";"Orléna";"orlena.desar001";"orlena.desar001";"xvh47b6m";"MATHEMATIQUES";"LGT-DUPUY DE LOME-LORIENT";"ECG1, PCSI";"";""
"1969226";"";"Enseignant";"DIANA001";"Claire-Alix";"claire-alix.diana001";"claire-alix.diana001";"khtsz9z9";"SANS OBJET, SCIENCES DE LA VIE ET DE LA TERRE, SCIENCES DE LA VIE ET DE LA TERRE";"LGT-DUPUY DE LOME-LORIENT, LGT-VICTOR HUGO-HENNEBONT, LPO-JEAN MACE-LANESTER";"205, TG01, 1G6, TG6, 1G3, 2J, 2G, TG5, 2H, ";"";""
"1367064";"";"Enseignant";"DIAWARA001";"Shaineze";"shaineze.diawara001";"shaineze.diawara001";"nfj94wtk";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-DUPUY DE LOME-LORIENT";"B1CO, B2CO";"";""
"1937326";"";"Enseignant";"DINEEN001";"Lenaël";"lenael.dineen001";"lenael.dineen001";"4m8tswht";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-DUPUY DE LOME-LORIENT";"202, 212, 208, 203, 1G06, 1G03, 1G09, TG03, 1G04, TG04, 1G02";"";""
"964063";"";"Enseignant";"DRAKE001";"Méven";"meven.drake001";"meven.drake001";"j3wkc8cm";"MATHEMATIQUES";"LGT-DUPUY DE LOME-LORIENT";"1G01, TG10, 1G07, 1G05, 1G09, 1G02, TG01, TG06, TG07, TG04, 1G06, TG08, 209, 202, TG05, 208";"";""
