"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1083244";"";"Enseignant";"ABDULLAH001";"Mizael";"mizael.abdullah001";"mizael.abdullah001";"fe3nvt55";"HISTOIRE GEOGRAPHIE";"LGT-ERNEST RENAN-SAINT-BRIEUC";"1G4, TG1, 1G6, 1G1, TST2S2, TG3";"";""
"117181";"";"Enseignant";"AGOSTINI001";"Célyane";"celyane.agostini001";"celyane.agostini001";"dehbjkbr";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-ERNEST RENAN-SAINT-BRIEUC";"2N4, 1G1, 1G5, 1G6, TG2, TG1, 1G4, 1G3, 1G2, 2N7, 2N3";"";""
"1094216";"";"Enseignant";"ALIM001";"Nesli";"nesli.alim001";"nesli.alim001";"tdcfkgmt";"ANGLAIS, ANGLAIS";"LGT-ERNEST RENAN-SAINT-BRIEUC, LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"KHAGN, HYPOK, ECG1, ECE2";"";""
"1672246";"";"Enseignant";"ALLAN001";"Rosanne";"rosanne.allan001";"rosanne.allan001";"";"CHINOIS";"LGT-ERNEST RENAN-SAINT-BRIEUC";"";"";""
"1983907";"";"Enseignant";"BAITH001";"Shahnaz";"shahnaz.baith001";"shahnaz.baith001";"rbgpyj5p";"DOCUMENTATION";"LGT-ERNEST RENAN-SAINT-BRIEUC";"";"";""
"133246";"";"Enseignant";"BARAGHARE001";"Irwan";"irwan.baraghare001";"irwan.baraghare001";"vn7pf49e";"SCIENCES ET TECHNIQUES MEDICO-SOCIALES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"SP3S1, SP3S2, SP3S1B";"";""
"1831806";"";"Enseignant";"BARAI001";"Liria";"liria.barai001";"liria.barai001";"cj3z3dmm";"ECO-GEST.OPTION MARKETING";"LGT-ERNEST RENAN-SAINT-BRIEUC";"SP3S2, SP3S1B, SP3S1";"";""
"651102";"";"Enseignant";"BELLONI001";"Soulaymen";"soulaymen.belloni001";"soulaymen.belloni001";"r3drrde9";"LETTRES MODERNES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"SP3S1, SP3S1B, 2N1, 1G4";"";""
"1534985";"";"Enseignant";"BLACKBURN001";"Gert";"gert.blackburn001";"gert.blackburn001";"vyrpv3vj";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-ERNEST RENAN-SAINT-BRIEUC";"TSTMG1, NDRC1, TSTMG2";"";""
"379078";"";"Enseignant";"BLAKE001";"Giannina";"giannina.blake001";"giannina.blake001";"9jjkjs84";"LETTRES MODERNES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"TG4, TG3, 2N4, TG5, 2N3, TG2, 1G6, TG6, TG1";"";""
"1325488";"";"Enseignant";"BRAMBILLA001";"Marjorine";"marjorine.brambilla001";"marjorine.brambilla001";"sgyyzgkb";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"1G1, 1G5, TG2, 2N7, TG6, 1G3, 1ST2S1, 1G2, 1G4, 1G6";"";""
"1732436";"";"Enseignant";"CAVALLARO001";"Carlu-Andria";"carlu-andria.cavallaro001";"carlu-andria.cavallaro001";"r77prt85";"SCIENCES ET TECHNIQUES MEDICO-SOCIALES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"1ST2S1, TST2S1";"";""
"1319763";"";"Enseignant";"COOPER001";"Minah";"minah.cooper001";"minah.cooper001";"6cn7jrgb";"NEGOCIATION RELAT. CLIENT (EN T.S)";"LGT-ERNEST RENAN-SAINT-BRIEUC";"";"";""
"942674";"";"Enseignant";"CREEK001";"Saïdou";"saidou.creek001";"saidou.creek001";"";"SANS OBJET, EDUCATION  (CE ,CPE), EDUCATION  (CE ,CPE)";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC, LGT-ERNEST RENAN-SAINT-BRIEUC, CLG-DU PRAT ELES-BELLE-ISLE-EN-TERRE";"";"";""
"1076311";"";"Enseignant";"DAPHALI001";"Anatoline";"anatoline.daphali001";"anatoline.daphali001";"ddan5k64";"SANS OBJET, ITALIEN";"LGT-ERNEST RENAN-SAINT-BRIEUC, LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"";"";""
"866597";"";"Enseignant";"DENNIS001";"Élif";"elif.dennis001";"elif.dennis001";"zncxfm4t";"NEGOCIATION RELAT. CLIENT (EN T.S)";"LGT-ERNEST RENAN-SAINT-BRIEUC";"NDRC1, NDRC2";"";""
"860351";"";"Enseignant";"DEUJA001";"Miral";"miral.deuja001";"miral.deuja001";"kcmhvj5s";"ANGLAIS";"LGT-ERNEST RENAN-SAINT-BRIEUC";"";"";""
"33603";"";"Enseignant";"DHANUK001";"Kelyann";"kelyann.dhanuk001";"kelyann.dhanuk001";"h475wn5e";"MATHEMATIQUES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"TG5, TG4, 2N6, TSTMG2, 1G3, TG3, TG6, 1G6, TG1, 1G4, 1G2, 1G1, 1G5, TG2";"";""
"34295";"";"Enseignant";"DOWD001";"Moussaab";"moussaab.dowd001";"moussaab.dowd001";"cjc6mx7z";"HOTELLERIE OPT TOURISME";"LGT-ERNEST RENAN-SAINT-BRIEUC";"TOURISM1, TOURISM2";"";""
"993701";"";"Enseignant";"DUNN001";"Jean-Louis";"jean-louis.dunn001";"jean-louis.dunn001";"5rzc4nbw";"PHILOSOPHIE, PHILOSOPHIE";"LGT-ERNEST RENAN-SAINT-BRIEUC, LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"TG2, HYPOK, TG4, TG5, TG3, TG6, TG1, PC";"";""
"629492";"";"Enseignant";"FADDA001";"Jeoffroy";"jeoffroy.fadda001";"jeoffroy.fadda001";"hn9pvypw";"BIOCHIMIE-GENIE BIOLOGIQUE";"LGT-ERNEST RENAN-SAINT-BRIEUC";"1ST2S2, TST2S1, TST2S2, 1ST2S1";"";""
"357936";"";"Enseignant";"FASANO001";"Kadder";"kadder.fasano001";"kadder.fasano001";"fv38mepn";"ECO-GEST.OPTION MARKETING";"LGT-ERNEST RENAN-SAINT-BRIEUC";"TSTMG1, TSTMG2, 1STMG1";"";""
"622675";"";"Enseignant";"FROST001";"Anel";"anel.frost001";"anel.frost001";"";"SCIENCES ET TECHNIQUES MEDICO-SOCIALES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"TST2S2, SP3S1B";"";""
"1077820";"";"Enseignant";"GABRIELE001";"Milan";"milan.gabriele001";"milan.gabriele001";"gz8x37zj";"SANS OBJET, HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"LGT-ERNEST RENAN-SAINT-BRIEUC, LGT-FRANCOIS RABELAIS-SAINT-BRIEUC, CLG-ANATOLE LE BRAZ-SAINT-BRIEUC";", 1G3, 1G2, 6C, 6D";"";""
"1862319";"";"Enseignant";"GALBIATI001";"France-Marie";"france-marie.galbiati001";"france-marie.galbiati001";"zm4pxzt6";"LETTRES CLASSIQUES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"HYPOK";"";""
"584372";"";"Enseignant";"GALVIN001";"Sully";"sully.galvin001";"sully.galvin001";"ydk6npws";"ANGLAIS";"LGT-ERNEST RENAN-SAINT-BRIEUC";"KHAGN, HYPOK";"";""
"66210";"";"Enseignant";"GAVIN001";"Galit";"galit.gavin001";"galit.gavin001";"nttewsdf";"MATHEMATIQUES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"TST2S1, TG6, TG3, TG5, TST2S2, 1G1, 1G5, 1G6, TG1, 1G4, 1G2, 1G3";"";""
"1607495";"";"Enseignant";"GLOVER001";"Jawhar";"jawhar.glover001";"jawhar.glover001";"";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"2N3, TG2, TG4, TG5, TG3, TG6, TG1";"";""
"1265831";"";"Enseignant";"GODHI001";"Dannie";"dannie.godhi001";"dannie.godhi001";"5dxb438d";"HISTOIRE GEOGRAPHIE";"LGT-ERNEST RENAN-SAINT-BRIEUC";"TG5, TG1, 1G6, 1G5, TG2, 1G1, TG3, TG4, TG6, 1G3, 1G4, 1G2";"";""
"1207516";"";"Enseignant";"GUEST001";"Kaélan";"kaelan.guest001";"kaelan.guest001";"f7ty5bb6";"HISTOIRE GEOGRAPHIE";"LGT-ERNEST RENAN-SAINT-BRIEUC";"KHAGN, HYPOK";"";""
"456447";"";"Enseignant";"HAMID001";"Indranie";"indranie.hamid001";"indranie.hamid001";"";"PHILOSOPHIE, PHILOSOPHIE";"LGT-ERNEST RENAN-SAINT-BRIEUC, LPO-CHAPTAL-SAINT-BRIEUC";"KHAGN, 1 TSI, 2 TSI";"";""
"1786698";"";"Enseignant";"HAYWOOD001";"Jean-Xavier";"jean-xavier.haywood001";"jean-xavier.haywood001";"jshemm8v";"SCIENCES ET TECHNIQUES MEDICO-SOCIALES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"SP3S2, SP3S1, SP3S1B, 1ST2S2";"";""
"1846730";"";"Enseignant";"HEARNE001";"Zenobie";"zenobie.hearne001";"zenobie.hearne001";"epjfgnkt";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"2N4, 2N2, 2N5, 1G2, 1G1, 1G6, 1G5, 1G4, 1G3";"";""
"296767";"";"Enseignant";"HIGGINS001";"Marie-Lucienne";"marie-lucienne.higgins001";"marie-lucienne.higgins001";"g6cv6n6f";"ANGLAIS";"LGT-ERNEST RENAN-SAINT-BRIEUC";"2N5, SP3S1, SP3S2, SP3S1B, 1G3, 1G5";"";""
"1616766";"";"Enseignant";"HOGDEN001";"Shina";"shina.hogden001";"shina.hogden001";"rtm7j64b";"LETTRES MODERNES";"LGT-ERNEST RENAN-SAINT-BRIEUC";"2N7, 1ST2S1, 1G1";"";""
"788434";"";"Enseignant";"HOWARTH001";"Scholastien";"scholastien.howarth001";"scholastien.howarth001";"cbyytwv6";"HISTOIRE GEOGRAPHIE";"LGT-ERNEST RENAN-SAINT-BRIEUC";"1G5, 1G6, 1G1, 1G3, 1G4, 1G2, 2N1, TG5, TSTMG2, 2N3";"";""
"1459647";"";"Enseignant";"HUSAM001";"Juste";"juste.husam001";"juste.husam001";"rsyryg9m";"ANGLAIS";"LGT-ERNEST RENAN-SAINT-BRIEUC";"";"";""
"276157";"";"Enseignant";"IKPABI001";"Keyliah";"keyliah.ikpabi001";"keyliah.ikpabi001";"kr3cc8tp";"ANGLAIS";"LGT-ERNEST RENAN-SAINT-BRIEUC";"2N7, 2N6, 2N5, TG5, TG3, TG1, TG6, TOURISM2, TG2, TG4";"";""
"1870658";"";"Enseignant";"INAYA001";"Hasdine";"hasdine.inaya001";"hasdine.inaya001";"x4gbcgmk";"ENS.1ER DEGRE REFERENT HANDICAPES, LETTRES HISTOIRE GEOGRAPHIE";"CLG-JACQUES PREVERT-GUINGAMP, LGT-ERNEST RENAN-SAINT-BRIEUC";"";"";""
"1100805";"";"Enseignant";"INNOCENTI001";"Kelianne";"kelianne.innocenti001";"kelianne.innocenti001";"pzvgwdwm";"SANS OBJET, ESPAGNOL, ESPAGNOL";"CLG-CHARLES-DE-GAULLE-HILLION, CLG-LEONARD DE VINCI-SAINT-BRIEUC, LGT-ERNEST RENAN-SAINT-BRIEUC";"5C, 3B, 3A, 5A, 5D, , TSTMG2, TSTMG1, 1STMG1";"";""
"1667953";"";"Enseignant";"IODICE001";"Aydan";"aydan.iodice001";"aydan.iodice001";"kzj6n5js";"NEGOCIATION RELAT. CLIENT (EN T.S)";"LGT-ERNEST RENAN-SAINT-BRIEUC";"TSTMG1, NDRC1, 1STMG2, 1STMG1";"";""
"650017";"";"Enseignant";"ISHANA001";"Issia";"issia.ishana001";"issia.ishana001";"erasd4y7";"ITALIEN";"LGT-ERNEST RENAN-SAINT-BRIEUC";"1G1, TG2, 1G5, 1G2, 1ST2S2, TG1, 2N4, 2N3, 2N5, TSTMG2, 1STMG2, TG4, 2N6, 2N1, TST2S2";"";""
