"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"178851";"";"Enseignant";"AHMAD001";"Soner";"soner.ahmad001";"soner.ahmad001";"58jtvnym";"SII OPTION ARCHITECTURE ET CONSTRUCTION";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"TS1B, TS2TP, TS2B";"";""
"929221";"";"Enseignant";"AMADORI001";"Malo";"malo.amadori001";"malo.amadori001";"";"LETTRES MODERNES";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"2NDE 1, 1ERE G4, 1ERE G2, TS1TP";"";""
"1251211";"";"Enseignant";"BACCI001";"Md";"md.bacci001";"md.bacci001";"";"SII OPTION ARCHITECTURE ET CONSTRUCTION";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"TS2B";"";""
"64362";"";"Enseignant";"BEARD001";"Lauricia";"lauricia.beard001";"lauricia.beard001";"xdwm84vb";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"TG5, 1ERE G1, 2NDE 9, 1ERE G2, 1ERE G5, 1ERE G3, TG4, TG2, TG3, TG1";"";""
"845608";"";"Enseignant";"BELOTTI001";"Abder";"abder.belotti001";"abder.belotti001";"fr9th88c";"HISTOIRE GEOGRAPHIE";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"2NDE 6, 1ERE G5";"";""
"185049";"";"Enseignant";"BERTOLI001";"Yéline";"yeline.bertoli001";"yeline.bertoli001";"";"SII OPTION ARCHITECTURE ET CONSTRUCTION, CHEF D'ETABLISSEMENT ADJOINT";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"2NDE 1, 2NDE 3, 2NDE 8, 2NDE 9, TS1SCBH, 1 STI 2, TS2SCBH";"";""
"1961930";"";"Enseignant";"BOWE001";"Havva";"havva.bowe001";"havva.bowe001";"pns8yhbw";"ANGLAIS";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"2NDE 1, 1ERE G4, 1ERE G1, 2NDE 3, TG5, 1ERE G2, TG3, TG1, 1ERE G5, 1ERE G3, TG2, 1ERE G6, TS2TP";"";""
"1841926";"";"Enseignant";"CAIRNS001";"Deyvon";"deyvon.cairns001";"deyvon.cairns001";"n3vm373r";"LETTRES MODERNES, LETTRES MODERNES";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"2NDE 3, 2NDE 4";"";""
"1242570";"";"Enseignant";"CALDER001";"Noui";"noui.calder001";"noui.calder001";"ch373eyr";"GENIE INDUSTRIEL BOIS, SII OPTION ARCHITECTURE ET CONSTRUCTION";"LP LYC METIER-JEAN MONNET-QUINTIN, LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"TERMBAC2, 1BAC 2, TERMBAC1, 1BAC 1, TS2SCBH";"";""
"1310101";"";"Enseignant";"CAVALLARO001";"Claire-Emmanuelle";"claire-emmanuelle.cavallaro001";"claire-emmanuelle.cavallaro001";"kjn86yzz";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"";"";""
"370518";"";"Enseignant";"CBELL001";"Leia";"leia.cbell001";"leia.cbell001";"39yyjbt4";"LETTRES MODERNES";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"1ERE G4, 2NDE 2, 1ERE G1, TG2, 1ERE G5, TG3, TG1, 1ERE G2, TS2SCBH, TS2B, 1ERE G6, TG5, 1ERE G3";"";""
"403577";"";"Enseignant";"CHERUBINI001";"Maria-Dolorès";"maria-dolores.cherubini001";"maria-dolores.cherubini001";"h3ebt4xr";"SANS OBJET, SCIENCES DE LA VIE ET DE LA TERRE";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC, LPO LYC METIER-HENRI AVRIL-LAMBALLE-ARMOR";", 2NDE 6, 2NDE 1, 1G6, 1G2, 1G1, 1G5, 1G7, 1G4, 1G3";"";""
"629709";"";"Enseignant";"CLARKSON001";"Fahrettin";"fahrettin.clarkson001";"fahrettin.clarkson001";"ehf5nf7v";"EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LP LYC METIER-EUGENE FREYSSINET-SAINT-BRIEUC, LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"2P BTP1, 2CAP MIS, 2CAPCOBA, 1P TISEC, 1P AFB, 2NDE 9, 2NDE 2, TG3, TG1, TSTI2, TSTI1, TG5, TG2, TG4";"";""
"1117497";"";"Enseignant";"CORTESI001";"Rena";"rena.cortesi001";"rena.cortesi001";"vhpgkpxf";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-EUGENE FREYSSINET-SAINT-BRIEUC";"2NDE 3, 2NDE 5, 2NDE 1, 1ERE G1, 1ERE G4, 1ERE G3, 1ERE G6, 1ERE G5, 1ERE G2";"";""
