"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"917143";"";"Enseignant";"ABOOBAKURU001";"Jean-Gérard";"jean-gerard.aboobakuru001";"jean-gerard.aboobakuru001";"";"GENIE MECANIQUE PRODUCTIQUE";"LGT-FELIX LE DANTEC-LANNION";"ATS";"";""
"263605";"";"Enseignant";"AGRAHARI001";"Richelieu";"richelieu.agrahari001";"richelieu.agrahari001";"";"ALLEMAND";"LGT-FELIX LE DANTEC-LANNION";"201, 106, 206, 208, 202, 212, 107, 102, 101, TSTI2D1, TSTMG1, T02, T06";"";""
"1432481";"";"Enseignant";"ALASSANE001";"Soulaf";"soulaf.alassane001";"soulaf.alassane001";"4kt5fxyc";"EDUCATION MUSICALE";"LGT-FELIX LE DANTEC-LANNION";"102, T07, 206, T08, 107, T06, T01, TSTI2D1, 101, 1 STMG 2, 108, 202, 204, 208, 207";"";""
"617449";"";"Enseignant";"ARJEL001";"Paul-Anthony";"paul-anthony.arjel001";"paul-anthony.arjel001";"kvapnn9v";"SANS OBJET, MATHEMATIQUES, MATHEMATIQUES";"CLG-DE KERALLAN-PLOUZANE, LGT-FELIX LE DANTEC-LANNION";"6C, 4B, 5B, 6A, 4C, ";"";""
"218042";"";"Enseignant";"ASHRAF001";"Michel-Marie";"michel-marie.ashraf001";"michel-marie.ashraf001";"6fpe48h5";"MATHEMATIQUES";"LGT-FELIX LE DANTEC-LANNION";"101, 108, 212, BTSSN2, 104, 109";"";""
"636219";"";"Enseignant";"AZLEENA001";"Mauril";"mauril.azleena001";"mauril.azleena001";"ardzj38x";"PHYSIQUE ET ELECTRICITE APPLIQUEE";"LGT-FELIX LE DANTEC-LANNION";"1STI2D2, 104, TSTI2D1, 102, 207";"";""
"615129";"";"Enseignant";"AZLIFA001";"Malado";"malado.azlifa001";"malado.azlifa001";"mge3hy5y";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-FELIX LE DANTEC-LANNION";"209, 201, 206, T08, T05, T02, T01, T07, T03, T04, T06, T09";"";""
"1069025";"";"Enseignant";"BADHAHI001";"Taymiya";"taymiya.badhahi001";"taymiya.badhahi001";"53sdfgnv";"LETTRES CLASSIQUES, LETTRES MODERNES";"LGT-FELIX LE DANTEC-LANNION";"105, 206, 208, 202, 205, T08, 101";"";""
"83162";"";"Enseignant";"BAGAYOKO001";"Isaé";"isae.bagayoko001";"isae.bagayoko001";"vw8gvtvw";"HISTOIRE GEOGRAPHIE";"LGT-FELIX LE DANTEC-LANNION";"204, 106, T09";"";""
"1972706";"";"Enseignant";"BAGIR001";"Annya";"annya.bagir001";"annya.bagir001";"eeykj67n";"ESPAGNOL";"LGT-FELIX LE DANTEC-LANNION";"105, 1 STMG 1, 108, 109, 203, 204, 209, 106, 210";"";""
