"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"234595";"";"Enseignant";"ABOOBAKUR001";"Zainoudine";"zainoudine.aboobakur001";"zainoudine.aboobakur001";"yyyrtw5s";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"2D6, 2D5, TG6, 1G1, TG5, 1G4, 1G7, 1G2, TG7, TG4";"";""
"1086126";"";"Enseignant";"ALASSANE001";"Johany";"johany.alassane001";"johany.alassane001";"pkkrxvb6";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"PSI";"";""
"1811171";"";"Enseignant";"ALEEF001";"Mohand-Akli";"mohand-akli.aleef001";"mohand-akli.aleef001";"smt6dhty";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"2D9, 2D8, 2D7, 2D11, 2D3, 2D12, 2D6, 2D1, MPSI, PC, PSI, MP, TG1, TG4, 2D10, 2D2, 2D5, PCSI, TSTMG2, 1G5, 1G3, 1G1, TG6";"";""
"1094216";"";"Enseignant";"ALIM001";"Nesli";"nesli.alim001";"nesli.alim001";"tdcfkgmt";"ANGLAIS, ANGLAIS";"LGT-ERNEST RENAN-SAINT-BRIEUC, LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"KHAGN, HYPOK, ECG1, ECE2";"";""
"694805";"";"Enseignant";"ANDREW001";"Keba";"keba.andrew001";"keba.andrew001";"e4e45y3j";"HISTOIRE GEOGRAPHIE";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"1G5, 1G6, TG5, TG3, TG1, TSTMG1, 1G4, 1G3, 1G7, TG7, TG2, TSTMG2";"";""
"458515";"";"Enseignant";"ANELLI001";"Jibril";"jibril.anelli001";"jibril.anelli001";"gd8ys8hk";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"PCSI, PC";"";""
"489322";"";"Enseignant";"ASHE001";"Joha";"joha.ashe001";"joha.ashe001";"vmfnr868";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"SAM2, SAM1";"";""
"572940";"";"Enseignant";"BAGNALL001";"Souleimane";"souleimane.bagnall001";"souleimane.bagnall001";"x5kzebtx";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"1G2, 1G1, 2D9, 2D7, TG7, TG2, TG5, TG6";"";""
"33321";"";"Enseignant";"BALDI001";"Alyah";"alyah.baldi001";"alyah.baldi001";"vxkmvhed";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"TG2, TG7, TG3, TG6";"";""
"331992";"";"Enseignant";"BAMJAN001";"Mérina";"merina.bamjan001";"merina.bamjan001";"r8js8bzv";"LETTRES MODERNES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"2D7, 2D11, 2D8, 2D9, 2D6, 2D1, 2D12, 2D5, 2D2, 2D10, 2D3";"";""
"1297185";"";"Enseignant";"BASSANI001";"Adelma";"adelma.bassani001";"adelma.bassani001";"7pph8y3b";"SANS OBJET, ESPAGNOL, ESPAGNOL";"CLG-CAMILLE CLAUDEL-SAINT-QUAY-PORTRIEUX, LGT-FRANCOIS RABELAIS-SAINT-BRIEUC, CLG-JULES LEQUIER-PLERIN";"5A, 5B, 5C, 5D, 4C, 4E, 4B, 3B, 4A, 3A, , 3E, 3F";"";""
"1754027";"";"Enseignant";"BELLUCCI001";"Antoine";"antoine.bellucci001";"antoine.bellucci001";"a3fwbfhg";"PHILOSOPHIE";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"TSTMG2, TG1, TG5, TG2, 1G5, 1G4, 1G7";"";""
"135654";"";"Enseignant";"BHOTE001";"Dorita";"dorita.bhote001";"dorita.bhote001";"z6xgdkrt";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"SIO2, SAM2, TSTMG2";"";""
"246744";"";"Enseignant";"BIANCO001";"Eloi";"eloi.bianco001";"eloi.bianco001";"73nrzb4w";"MATHEMATIQUES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"2D8, 2D4, TG3, TG6, TG1";"";""
"340513";"";"Enseignant";"BISI001";"Aloïs";"alois.bisi001";"alois.bisi001";"ydr7wk7x";"HISTOIRE GEOGRAPHIE";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"2D6, TG2, 1G5, TG4, 1G1, TG5";"";""
"1079615";"";"Enseignant";"BONELLI001";"Kaytline";"kaytline.bonelli001";"kaytline.bonelli001";"5mwvg6ec";"SANS OBJET";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"";"";""
"1432614";"";"Enseignant";"BREEN001";"Agustinho";"agustinho.breen001";"agustinho.breen001";"hhyr5dbc";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"2D1, 2D12, TG6, 1G1, TG2, 1G7, 1G3, TG7, 1G4, 1G5";"";""
"1632500";"";"Enseignant";"BUSHREE001";"Maryka";"maryka.bushree001";"maryka.bushree001";"6pp7gwzy";"LETTRES CLASSIQUES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"MPSI, ECE2, ECG1, MP";"";""
"403041";"";"Enseignant";"CALABRESE001";"Nerma";"nerma.calabrese001";"nerma.calabrese001";"gbft96km";"MATHEMATIQUES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"PSI";"";""
"1983499";"";"Enseignant";"CANAVAN001";"Doron";"doron.canavan001";"doron.canavan001";"x856p7f5";"MATHEMATIQUES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"TG6, TG2, TSTMG1, TG1, TG3, TG5, TG4, TG7, 2D9";"";""
"1593253";"";"Enseignant";"CANTONI001";"Cloe";"cloe.cantoni001";"cloe.cantoni001";"6f3h3ak4";"GESTION ET INFORMATIQUE, ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"SIO2, SIO1";"";""
"704446";"";"Enseignant";"CANU001";"Chaida";"chaida.canu001";"chaida.canu001";"d6mz9wzw";"ANGLAIS";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"2D2, TG7, TG2, SAM1, MP, TG5, TG1";"";""
"704054";"";"Enseignant";"CASSANO001";"Donnie";"donnie.cassano001";"donnie.cassano001";"3s8jvx77";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"1STMG2, 1STMG1, TSTMG1";"";""
"327351";"";"Enseignant";"CATANIA001";"Leilani";"leilani.catania001";"leilani.catania001";"ch4th5xj";"LETTRES MODERNES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"1G3, SIO2, 1G4, SIO1";"";""
"856223";"";"Enseignant";"CAVILL001";"Laëlle";"laelle.cavill001";"laelle.cavill001";"69jd8w5w";"ESPAGNOL";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"2D10, 2D7, 2D3, 2D5, 2D2, 2D12, 2D9, 2D6, 2D1, 2D11, 2D8, TG3, 1G5, 1G3, TSTMG1, TG7, 1G6, TG2";"";""
"1186445";"";"Enseignant";"CORONA001";"Loétitia";"loetitia.corona001";"loetitia.corona001";"fsmrbmr9";"SANS OBJET, ALLEMAND";"CLG-LE VOLOZEN-QUINTIN, LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"";"";""
"116190";"";"Enseignant";"COZZI001";"Neyma";"neyma.cozzi001";"neyma.cozzi001";"8mjhcxtj";"SANS OBJET, ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"2D6, 2D9, 2D8, 2D3, TSTMG2, 1STMG1";"";""
"129664";"";"Enseignant";"CREEDON001";"Stany";"stany.creedon001";"stany.creedon001";"snmr3fry";"ANGLAIS";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"2D7, TSTMG1, TSTMG2, 1G2, 1G3, 1STMG2, 1STMG1, 1G6, 1G5, SIO1";"";""
"1601740";"";"Enseignant";"CUNNANE001";"Louis-Mathieu";"louis-mathieu.cunnane001";"louis-mathieu.cunnane001";"cdj3p8w5";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-FRANCOIS RABELAIS-SAINT-BRIEUC";"2D11, ECG1, 2D10";"";""
