"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1148540";"";"Enseignant";"ANDREOLI001";"Selime";"selime.andreoli001";"selime.andreoli001";"fhsk8cz5";"ANGLAIS";"LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"1G6, 1G4, 1G2, 1G3, TG5, TG3, TG1, 1G5, TG4, 1G1, TG2";"";""
"1253710";"";"Enseignant";"BENINI001";"Leenaya";"leenaya.benini001";"leenaya.benini001";"zdk7rams";"LETTRES MODERNES";"LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"1G4, 2GT5, TG2, TG4, TG3, 1STMG1, TG5, TG1";"";""
"1161577";"";"Enseignant";"BHATTARAI001";"Emran";"emran.bhattarai001";"emran.bhattarai001";"hredwgew";"SANS OBJET, SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"1G4, 1G6, 1G5, 2GT1, 1G3, 1G2";"";""
"1081312";"";"Enseignant";"BOSLEY001";"Eudore";"eudore.bosley001";"eudore.bosley001";"thampnc3";"ECO-GEST.OPTION MARKETING";"LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"TSTMG2, TSTMG1, 1STMG1, 1STMG2";"";""
"1175814";"";"Enseignant";"BRETT001";"Fortune";"fortune.brett001";"fortune.brett001";"etxdhz4k";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"2GT6, 2GT5, 1G6, 2GT4, 1STMG1, 1STMG2, TG3, TG4, TSTMG1, 1G2, TG1, TG2, 1G1, 2GT1, 1G5, TG5, TSTMG2";"";""
"34601";"";"Enseignant";"CAI001";"Dervis";"dervis.cai001";"dervis.cai001";"wf54b3c4";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"1G5, 1G6, TG3, TSTMG2, 2GT6, 1G4, 2GT5, 1STMG2, 1G2, 1G1, TG2, 1G3, 1STMG1, TG1";"";""
"317601";"";"Enseignant";"CORRADI001";"Tahiana";"tahiana.corradi001";"tahiana.corradi001";"";"HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"CLG-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG, LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"5B, 6F, 5D, 4A, 4E, 3D, 3C, TG2, TG3, TG5";"";""
"1840557";"";"Enseignant";"DEL001";"Iskander";"iskander.del001";"iskander.del001";"zgkg8xra";"SANS OBJET, EDUCATION PHYSIQUE ET SPORTIVE";"LPO LYC METIER-DE LA FONTAINE DES EAUX-DINAN, LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"";"";""
"190219";"";"Enseignant";"DONEGAN001";"Mamoutou";"mamoutou.donegan001";"mamoutou.donegan001";"rsywbybs";"SANS OBJET, LETTRES MODERNES";"LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG, LPO-YVON BOURGES-DINARD";", 1MHR1, 2MHRC, 2MHRA, 2MHRB, 2STHR2, 2STHR1";"";""
"312124";"";"Enseignant";"DYROD001";"Isee";"isee.dyrod001";"isee.dyrod001";"phdv7acw";"MATHEMATIQUES, MATHEMATIQUES";"LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"2GT6, 2GT3";"";""
"1551949";"";"Enseignant";"DYSON001";"Jouneid";"jouneid.dyson001";"jouneid.dyson001";"";"SANS OBJET, PHILOSOPHIE, PHILOSOPHIE";"LPO-YVON BOURGES-DINARD, LGT-MAUPERTUIS-SAINT-MALO, LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"TSTHR1, TSTHR2, , 1G6, 1G4, 1G2, TG4, 1G1, 1G5, 1G3, TG5";"";""
"151169";"";"Enseignant";"FAHMEE001";"Zigmond";"zigmond.fahmee001";"zigmond.fahmee001";"8zkprnsb";"LETTRES MODERNES";"LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"2GT2, 1G2, 1G1, TG3, 2GT7, TG1, 1G3, 1G5, 2GT1";"";""
"1590854";"";"Enseignant";"FATHUHY001";"Jessen";"jessen.fathuhy001";"jessen.fathuhy001";"pjjtkmbs";"SANS OBJET, HISTOIRE GEOGRAPHIE";"LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG, CLG-FRANCOIS BRUNE-PLEINE-FOUGERES";", 6B, 6A, 4A, 4B, 6C";"";""
"1384054";"";"Enseignant";"GARRY001";"Shaine";"shaine.garry001";"shaine.garry001";"yzwmcrch";"SANS OBJET, ECO-GEST.OPTION MARKETING";"LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"1STMG2, TSTMG1, 1STMG1";"";""
