"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1594924";"";"Enseignant";"ADAMO001";"Halise";"halise.adamo001";"halise.adamo001";"bmxgszg5";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"TSTMG1, 1STMG1, TSTMG3, TSTMG4, 1STMG3, 1STMG4, TSTMG2";"";""
"389877";"";"Enseignant";"AIDI001";"Rosemay";"rosemay.aidi001";"rosemay.aidi001";"6bggvthk";"LETTRES MODERNES";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"202, 206, 201, 1G1, 1G2, 1G8, 1G5";"";""
"811554";"";"Enseignant";"AIRAS001";"Laureyna";"laureyna.airas001";"laureyna.airas001";"5a3kr7gz";"LETTRES CLASSIQUES";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"1G6, 1G5, 1G4, 1STMG1, TG4, TG6, TG5, TG3, 1G3, 1G1, 204";"";""
"1873723";"";"Enseignant";"BARNES001";"Norlane";"norlane.barnes001";"norlane.barnes001";"zbdpw7d6";"PHILOSOPHIE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"1G3, 201, 205, 208, 212, 1G4, 1G7, TG5, TG2, TG6, TG1, TG3, TG4";"";""
"1691085";"";"Enseignant";"BISALEN001";"Janaelle";"janaelle.bisalen001";"janaelle.bisalen001";"avn7zsm8";"SANS OBJET, ESPAGNOL";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE, LGT-JOLIOT-CURIE-RENNES";"212, 211, 209, 210, 1G8, TG2, 1STMG2, 1STMG4, TG1, 1STMG3, 1G7, ";"";""
"675409";"";"Enseignant";"BLAKE001";"Jean-Marius";"jean-marius.blake001";"jean-marius.blake001";"w59f6n4m";"DOCUMENTATION";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"";"";""
"904893";"";"Enseignant";"BORG001";"Moussou";"moussou.borg001";"moussou.borg001";"nkyg87jp";"ECO-GEST.OPTION MARKETING, ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-VICTOR ET HELENE BASCH-RENNES, LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"TSTMG3, 1STMG1, 1STMG3, 1STMG4, 1STMG2, TSTMG4";"";""
"275775";"";"Enseignant";"BROWN001";"Marie-Félix";"marie-felix.brown001";"marie-felix.brown001";"6md6xsgv";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"1G8, 1G6, 1G5, TG1, TG7, 1G7, TG4, TG3, TG2, TG5, 202, 1G2, 1G3";"";""
"1023948";"";"Enseignant";"BUFFET001";"Aiman";"aiman.buffet001";"aiman.buffet001";"wentpzg6";"ANGLAIS";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"206, 212, 207, 209, TG7, TSTMG4, TG6";"";""
"638261";"";"Enseignant";"CAIAZZO001";"Noëllyne";"noellyne.caiazzo001";"noellyne.caiazzo001";"7gczwmh5";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"TG7, TG5, TG4, TG1, TG6, TG3";"";""
"293152";"";"Enseignant";"CARBONE001";"Nursima";"nursima.carbone001";"nursima.carbone001";"pm67zsdc";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"TSTMG2, TSTMG4, TSTMG3, TSTMG1, 1STMG1";"";""
"650839";"";"Enseignant";"CIMARIY001";"Besmala";"besmala.cimariy001";"besmala.cimariy001";"sdhrydhm";"LETTRES MODERNES";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"208, 203, 1STMG2";"";""
"60621";"";"Enseignant";"CURRY001";"Nilah";"nilah.curry001";"nilah.curry001";"gjx5gayz";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"1G2, 210, 208, 204, TSTMG1, 1STMG1, TG4, TG1, 1G6";"";""
"561419";"";"Enseignant";"D'AGOSTINO001";"Taylan";"taylan.dagostino001";"taylan.dagostino001";"gmnm8pve";"SANS OBJET, HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE, CLG-LE CHENE VERT-BAIN-DE-BRETAGNE, LGT-BEAUMONT-REDON, LGT-BREQUIGNY-RENNES";"1STMG2, 1STMG4, 3B, , 1STMG5, TSTMG5";"";""
"1511561";"";"Enseignant";"D'AMBROSIO001";"Jouri";"jouri.dambrosio001";"jouri.dambrosio001";"gaxgjnzh";"DOCUMENTATION, DOCUMENTATION";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"";"";""
"728269";"";"Enseignant";"DEVANEY001";"Cigdem";"cigdem.devaney001";"cigdem.devaney001";"zaveg763";"ANGLAIS";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"1G8, 1G4, 1G5, 1G6, TG1, TG2, TG5, 1G7, TG4, TG6, TG7, 1G1, 1G3, TG3, 1G2";"";""
"377169";"";"Enseignant";"DEVITT001";"Adjoa";"adjoa.devitt001";"adjoa.devitt001";"mb84kwhy";"ECO-GEST.OPTION MARKETING";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"TSTMG2, TSTMG3, TSTMG1, 1STMG2, TSTMG4";"";""
"737177";"";"Enseignant";"DHOLI001";"Modou";"modou.dholi001";"modou.dholi001";"3ws3ryy8";"HISTOIRE GEOGRAPHIE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"1G8, TG4, 206, 1G2, 207, 1G3, TG2, TG3, TG1, TG5, TG6, 1G7, TG7";"";""
"1316636";"";"Enseignant";"FABRE001";"Laurane";"laurane.fabre001";"laurane.fabre001";"n83zpkhw";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"202, 206, 1G3, 211, TG5, TSTMG3, 1STMG3";"";""
"673521";"";"Enseignant";"FEDERICO001";"Alyzea";"alyzea.federico001";"alyzea.federico001";"w6m7sedb";"ESPAGNOL";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"1G1, 1G3, TG5, TSTMG3, 206, 205, 1G8, 1G6, TG4";"";""
"1701343";"";"Enseignant";"FERRARIO001";"Bogumila";"bogumila.ferrario001";"bogumila.ferrario001";"vavr6d8n";"SANS OBJET, ESPAGNOL";"LGT-VICTOR ET HELENE BASCH-RENNES, LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"207, 1STMG2, NDRC2A, TG3, NDRC1A, ATS1, ";"";""
"725637";"";"Enseignant";"FINLAY001";"Gunes";"gunes.finlay001";"gunes.finlay001";"vzpdrs9k";"ESPAGNOL";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"";"";""
"572640";"";"Enseignant";"FINNEGAN001";"Tara";"tara.finnegan001";"tara.finnegan001";"";"SANS OBJET, HISTOIRE GEOGRAPHIE";"LPO LYC METIER-PIERRE MENDES FRANCE-RENNES, LGT-JEAN BRITO-BAIN-DE-BRETAGNE";", 212, 211, TG7, TSTMG3, TG1";"";""
"852017";"";"Enseignant";"FROST001";"Leïs";"leis.frost001";"leis.frost001";"fdpt5x5h";"ECO-GEST.OPTION MARKETING";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"1STMG1, 1STMG3, TSTMG2, 1STMG4, 1STMG2";"";""
"1057491";"";"Enseignant";"GATTI001";"Erwan";"erwan.gatti001";"erwan.gatti001";"vt486wa8";"HISTOIRE GEOGRAPHIE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"1G8, 1G6, 1G5, 1STMG3, 1G4, 1G2, 1G7, 1G1, 205, 210";"";""
"545729";"";"Enseignant";"HAJARI001";"Noeline";"noeline.hajari001";"noeline.hajari001";"3za4twjr";"HISTOIRE GEOGRAPHIE";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE";"204, 1G1, 209, 1G2, TG3, 1G3, TG6, 1G4, 1G7, 1G5, 1G8, 1G6";"";""
