"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1351410";"";"Enseignant";"ALEONAR001";"Soliman";"soliman.aleonar001";"soliman.aleonar001";"9b7wsmzr";"SII OPTION INFORMATIQUE ET NUMERIQUE";"LGT-JEAN GUEHENNO-FOUGERES";"2B, 2C, 2I, 2D, 2F, 2J, 2A, PSTI2DA, TSTI2DA, PSTI2DB";"";""
"607593";"";"Enseignant";"AWALA001";"Noëlie";"noelie.awala001";"noelie.awala001";"z9x85hnz";"MATHEMATIQUES";"LGT-JEAN GUEHENNO-FOUGERES";"TGG, TGD, TGB, TGF, TGA, 2E, TGC, TGE, __TS MS1";"";""
"1868228";"";"Enseignant";"BAMSKOT001";"Azaria";"azaria.bamskot001";"azaria.bamskot001";"tsrnyd8w";"EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LGT-JEAN GUEHENNO-FOUGERES, LP-JEAN GUEHENNO-FOUGERES";"PGA, TGE, TGC, TGA, TGB, TGF, TGD, _TVET, _POL, _TOL, _TMARO, _2GATL, _2OL, _TGA";"";""
"1681510";"";"Enseignant";"BARAL001";"Chancelvie";"chancelvie.baral001";"chancelvie.baral001";"njmfd5f6";"MATHEMATIQUES";"LGT-JEAN GUEHENNO-FOUGERES";"PGD, PSTMGA, PGA, PGC, 2H, PGB";"";""
"993369";"";"Enseignant";"BARLETTA001";"Kaya";"kaya.barletta001";"kaya.barletta001";"p659czgc";"SANS OBJET, GENIE INDUSTRIEL TEXTILES ET CUIRS, SII OPTION INGENIERIE MECANIQUE";"LGT-JEAN GUEHENNO-FOUGERES, LP-JEAN GUEHENNO-FOUGERES";"__TS MM1, _PVET, _TVET";"";""
"252";"";"Enseignant";"BARRON001";"Khenzo";"khenzo.barron001";"khenzo.barron001";"bkyebxtm";"SII OPTION INGENIERIE MECANIQUE";"LGT-JEAN GUEHENNO-FOUGERES";"__TS MS1, TSTI2DA, PSTI2DB, PSTI2DA";"";""
"1860981";"";"Enseignant";"BERMINGHAM001";"Johaïna";"johaina.bermingham001";"johaina.bermingham001";"7e6ff6kg";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JEAN GUEHENNO-FOUGERES";"PGG, PGC, 2I, PGD, PGA, __TS MM1, TGB, PGE";"";""
"1508566";"";"Enseignant";"BHOLAN001";"Mara";"mara.bholan001";"mara.bholan001";"dpcy5nwp";"ECO-GEST.OPTION MARKETING";"LGT-JEAN GUEHENNO-FOUGERES";"PSTMGA, TSTMGB, PSTMGB";"";""
"114638";"";"Enseignant";"BLACK001";"Sabiha";"sabiha.black001";"sabiha.black001";"tm3vsk7r";"ESPAGNOL";"LGT-JEAN GUEHENNO-FOUGERES";"";"";""
"1136321";"";"Enseignant";"BRADFORD001";"Bibiane";"bibiane.bradford001";"bibiane.bradford001";"m55hafpb";"ANGLAIS";"LGT-JEAN GUEHENNO-FOUGERES";"2D, 2A, 2J, 2E, 2C, 2B, PSTMGB, TGD, 2G, TGA";"";""
"1262793";"";"Enseignant";"BURNS001";"Nahele";"nahele.burns001";"nahele.burns001";"fehy7vf3";"SANS OBJET, HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"CLG-MARTIN LUTHER KING-LIFFRE, LGT-JEAN GUEHENNO-FOUGERES";"5E 2, 2G, 2H, PGF, PSTI2DB, TSTMGC, TGB";"";""
"1645827";"";"Enseignant";"CANAR001";"Yolan";"yolan.canar001";"yolan.canar001";"fv5wmr7n";"SANS OBJET, ARTS PLASTIQUES";"CLG-LES GAYEULLES-RENNES, LGT-JEAN GUEHENNO-FOUGERES";", PGB, TGE, PGC, PGG, TGB, TGF, TGD, PGF, PGE, PGA";"";""
