"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"91178";"";"Enseignant";"AHIRA001";"Moesha";"moesha.ahira001";"moesha.ahira001";"fgb5estm";"ANGLAIS";"LGT-JEAN MACE-RENNES";"CI1, CI2";"";""
"1179757";"";"Enseignant";"AHUSAN001";"Lazare";"lazare.ahusan001";"lazare.ahusan001";"";"SANS OBJET, EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LGT-SEVIGNE-CESSON-SEVIGNE, LGT-ANITA CONTI-BRUZ, LGT-JEAN MACE-RENNES";", 105, 1STMG1, 2G2, 2G5, 1STMG1, 2G3, 1G6, 1G2, 1G3, 1G7, 1G8, 1G1";"";""
"1219692";"";"Enseignant";"ALE001";"Bethany";"bethany.ale001";"bethany.ale001";"hdm8fh44";"ANGLAIS";"LGT-JEAN MACE-RENNES";"TSTMG1, 2G9, 1G2, TG1, TG6, 1G8";"";""
"355822";"";"Enseignant";"BENEDETTI001";"Laiza";"laiza.benedetti001";"laiza.benedetti001";"";"TECHNOLOGIE";"LGT-JEAN MACE-RENNES";"2G4, 2G8, 2G9, 2G6, 2GT10, 2G3, 2G7, 2G2";"";""
"727434";"";"Enseignant";"BHLON001";"Mika";"mika.bhlon001";"mika.bhlon001";"";"MATHEMATIQUES, MATHEMATIQUES";"LGT-JEAN MACE-RENNES";"1G4, 1STMG1, 2G8, 2G6, 1G8, 1G7, 1G6";"";""
"1283469";"";"Enseignant";"BOCOUM001";"Fadila";"fadila.bocoum001";"fadila.bocoum001";"3hzxftz8";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-JEAN MACE-RENNES";"2G4, 2G6, 1STMG1, 2G9, TG5, 1G4, TG3, TG2, TSTMG1, TSTMG2, TG6, TG4, 1G1, TG1, TG7, 1STMG2, 1G5, 1G2, 1G6, 1G3, 1G8, 1G7";"";""
"1256279";"";"Enseignant";"BOOTH001";"Abby";"abby.booth001";"abby.booth001";"4jx4wtcz";"LETTRES MODERNES";"LGT-JEAN MACE-RENNES";"TG3, CI2, 1G8, 1G7, TG7, TG1, TG4, TG6, TG5, TG2";"";""
"324372";"";"Enseignant";"BRIDGE001";"Amira";"amira.bridge001";"amira.bridge001";"";"HISTOIRE GEOGRAPHIE";"LGT-JEAN MACE-RENNES";"2G7, 2G9, TG7, 1G7";"";""
"1728174";"";"Enseignant";"BUCCI001";"Maribelle";"maribelle.bucci001";"maribelle.bucci001";"gnp5bzrj";"SANS OBJET, LETTRES MODERNES";"CLG-FRANCOISE DOLTO-PACE, LGT-JEAN MACE-RENNES";"401, 406, 503, 507, ";"";""
"853324";"";"Enseignant";"CARLUCCI001";"Georgette";"georgette.carlucci001";"georgette.carlucci001";"";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-JEAN MACE-RENNES";"SAM1";"";""
"379312";"";"Enseignant";"CARRARA001";"Natea";"natea.carrara001";"natea.carrara001";"5vp3s8xp";"ECO-GEST.OPTION MARKETING";"LGT-JEAN MACE-RENNES";"";"";""
"1682215";"";"Enseignant";"COCCIA001";"Aleksandra";"aleksandra.coccia001";"aleksandra.coccia001";"g3sf5xbm";"SANS OBJET";"LGT-JEAN MACE-RENNES";"";"";""
"524134";"";"Enseignant";"COLL001";"Tilouan";"tilouan.coll001";"tilouan.coll001";"rrgtf474";"MATHEMATIQUES, MATHEMATIQUES";"LGT-JEAN MACE-RENNES, LG-FRANCOIS RENE DE CHATEAUBRIAND-RENNES";"1G1, 1G2, TG7, TG1, TG6, TG3, TG2, 1G8, 1G7, 1G6, 1G5, 1G3, 1G4, PCET, PSIET";"";""
"1477941";"";"Enseignant";"CONNELLY001";"Shérazade";"sherazade.connelly001";"sherazade.connelly001";"ajez358p";"HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"CLG-MARTIN LUTHER KING-LIFFRE, CLG-PIERRE BROSSOLETTE-BRUZ, LGT-JEAN MACE-RENNES";"6E 1, 5E, 6C, 5G, 2G6, 1G6, TG6";"";""
"121434";"";"Enseignant";"CORKERY001";"Nolwen";"nolwen.corkery001";"nolwen.corkery001";"45erxza5";"HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"CLG-ANNE DE BRETAGNE-RENNES, CLG-PIERRE BROSSOLETTE-BRUZ, LGT-JEAN MACE-RENNES";"5B, 6B, 3B, 4B, 3G, 4D, 1G5, 1G8, TG1, TG7, TG3, TG5, 1G7, 2G4, 1G4, 2G9, 2G8, 2G5, 2GT10";"";""
"1080759";"";"Enseignant";"COUSINS001";"Djellali";"djellali.cousins001";"djellali.cousins001";"7ppmhcfb";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JEAN MACE-RENNES";"2GT10, TG1, TG7, TG6, TG4, TG5, TG3, 2G9";"";""
"1714725";"";"Enseignant";"CUSSEN001";"Aditya";"aditya.cussen001";"aditya.cussen001";"vbxsdemm";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-JEAN MACE-RENNES";"1G5, 2G5, TG3, 1G4, 2G7, TG6, TG4, TG5, TG1, TG7";"";""
"569475";"";"Enseignant";"DANUWAR001";"Kaou";"kaou.danuwar001";"kaou.danuwar001";"nksr4hxw";"LETTRES MODERNES, BRETON, BRETON";"CLG-MARTIN LUTHER KING-LIFFRE, LGT-JEAN MACE-RENNES";"6E 1, 1G4, 2G6, TG3, TG5, TG6, 1G6";"";""
"462599";"";"Enseignant";"DEEGAN001";"Sidi-Hamed";"sidi-hamed.deegan001";"sidi-hamed.deegan001";"";"ANGLAIS";"LGT-JEAN MACE-RENNES";"2G2, 1G4, 1G3, 1G7, 1G5, 1G8, TSTMG1";"";""
"1002334";"";"Enseignant";"DESMOND001";"Nohane";"nohane.desmond001";"nohane.desmond001";"cdznpfs7";"HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"LGT-JEAN MACE-RENNES, LGT-DE CORNOUAILLE-QUIMPER";"TG2, TG4, TSTMG1, TG7, TG6, TG1, TG5, TSTMG2, TG3, LSUP";"";""
"1417328";"";"Enseignant";"DONNELLAN001";"Malisa";"malisa.donnellan001";"malisa.donnellan001";"fr4ztsfh";"ECO-GEST.OPTION MARKETING";"LGT-JEAN MACE-RENNES";"SAM2";"";""
"504307";"";"Enseignant";"FAIROOZ001";"Florentin";"florentin.fairooz001";"florentin.fairooz001";"c88g7m4m";"SANS OBJET, CHINOIS, CHINOIS";"LG-EMILE ZOLA-RENNES, LGT-JEAN MACE-RENNES";"204, 1STMG2, CI1, CI2, TSTMG1";"";""
"129037";"";"Enseignant";"FULU001";"Stevenson";"stevenson.fulu001";"stevenson.fulu001";"6cmk7458";"ECO-GEST.OPTION MARKETING, ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-JEAN MACE-RENNES, LPO LYC METIER-BROCELIANDE-GUER";", 204, T STMG1, 1BTSGTLA";"";""
"234126";"";"Enseignant";"GACCHADAR001";"Gwenaële";"gwenaele.gacchadar001";"gwenaele.gacchadar001";"psp3ghgx";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-JEAN MACE-RENNES";"1STMG2, 1STMG1, TSTMG1";"";""
"1085993";"";"Enseignant";"GAHA001";"Guilhermine";"guilhermine.gaha001";"guilhermine.gaha001";"";"SANS OBJET, MATHEMATIQUES";"CLG-BOURGCHEVREUIL-CESSON-SEVIGNE, LGT-JEAN MACE-RENNES";"3B, 6F, 6B, ";"";""
"500947";"";"Enseignant";"GALLINA001";"Yahel";"yahel.gallina001";"yahel.gallina001";"";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-JEAN MACE-RENNES";"2G8, TG5, TG1, 1G5, TG2, 1G7, TG7, TG4, 1G8, TG6, TG3";"";""
"374260";"";"Enseignant";"GANNON001";"Maham";"maham.gannon001";"maham.gannon001";"6fwkhegn";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JEAN MACE-RENNES";"1G4, 2G8, 2G3, 1G1, 1G5, 1G7, 1G3, 1G6, TG2, 1G2, TG4";"";""
"1990448";"";"Enseignant";"GARRETT001";"Maïwenn";"maiwenn.garrett001";"maiwenn.garrett001";"h4y3zpgn";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-JEAN MACE-RENNES";"2G9, 2G2, 1G4, 1G1, 1G2, 1G3, 1G5, 1G6, 1G8, 1G7, 2G6, 2G1, 2G3";"";""
"542709";"";"Enseignant";"GHERARDI001";"Bamba";"bamba.gherardi001";"bamba.gherardi001";"mz86raea";"ALLEMAND, ALLEMAND";"CLG-LE CHENE VERT-BAIN-DE-BRETAGNE, LGT-JEAN MACE-RENNES";"4B, 3F, 5A, 6A, 5B, 6D, 4A, 3G, 2G5, 1STMG1, 2G6, 1G7, CI2, 1G8";"";""
"617502";"";"Enseignant";"HAMID001";"Mylena";"mylena.hamid001";"mylena.hamid001";"ah4wescy";"SANS OBJET, DOCUMENTATION, DOCUMENTATION";"CLG-LES GAYEULLES-RENNES, LGT-JEAN GUEHENNO-FOUGERES, LGT-JEAN MACE-RENNES";"";"";""
"934273";"";"Enseignant";"HAMMAD001";"Serafina";"serafina.hammad001";"serafina.hammad001";"5the3tmr";"MATHEMATIQUES";"LGT-JEAN MACE-RENNES";"2G9, 2G3, 1G7, 1G6, 1G3, 1G1, 1STMG2";"";""
"1890979";"";"Enseignant";"HANEEFA001";"Noussayba";"noussayba.haneefa001";"noussayba.haneefa001";"";"SANS OBJET, SCIENCES DE LA VIE ET DE LA TERRE, SCIENCES DE LA VIE ET DE LA TERRE";"LGT-VICTOR ET HELENE BASCH-RENNES, LGT-JEAN MACE-RENNES, LGT-SEVIGNE-CESSON-SEVIGNE";"TG8, TG6, 1G1, 1G7, 1G8, TG4, 1G6, 1G2, 1G3, 1G5, , 1ERE03, TERM04, TERM05, 2DE11";"";""
"1897834";"";"Enseignant";"HAYMES001";"Abassia";"abassia.haymes001";"abassia.haymes001";"vv4xkzcg";"LETTRES MODERNES";"LGT-JEAN MACE-RENNES";"2G9, 1STMG1, 2G6";"";""
"320862";"";"Enseignant";"HESSION001";"Ayia";"ayia.hession001";"ayia.hession001";"";"ESPAGNOL, ESPAGNOL";"LGT-JEAN MACE-RENNES";"2G2, 2G1, 2G4, 1G5, 1STMG2, 1G6";"";""
"387369";"";"Enseignant";"HOOPER001";"Cléophée";"cleophee.hooper001";"cleophee.hooper001";"rhz7shkx";"HISTOIRE GEOGRAPHIE";"LGT-JEAN MACE-RENNES";"2G1, 2GT10, 1G4, 2G8, 1G1, 1G8, 1G5, 1G7, 1G3, TG2, 1G2, 1G6";"";""
"301923";"";"Enseignant";"HORNE001";"Guy-Bernard";"guy-bernard.horne001";"guy-bernard.horne001";"ta6b3m9y";"ANGLAIS";"LGT-JEAN MACE-RENNES";"1STMG2, SAM2, TSTMG2, SAM1";"";""
"108123";"";"Enseignant";"HOWE001";"Anne-Clarisse";"anne-clarisse.howe001";"anne-clarisse.howe001";"z8tnpstv";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-JEAN MACE-RENNES";"TG2, TG4, TG3, TG5, TG1, TG6, 1G6";"";""
"455514";"";"Enseignant";"HUSEN001";"Pranav";"pranav.husen001";"pranav.husen001";"xbfbvrnk";"ECO-GEST.OPTION MARKETING, ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-JEAN MACE-RENNES, LGT-SIMONE VEIL LIFFRE-LIFFRE";"";"";""
"1107025";"";"Enseignant";"JANAH001";"Melvin";"melvin.janah001";"melvin.janah001";"zgkhhamv";"ITALIEN, ITALIEN, ITALIEN";"LGT-JEAN MACE-RENNES, CLG-LES ORMEAUX-RENNES, CLG-ECHANGE-RENNES";"2G7, 2G6, 2G8, 5B, 3D, 4D, 5D, 5EME B, 5EME A, 4EME B, 3EME C, 4EME C";"";""
"262973";"";"Enseignant";"JOLAH001";"Alisee";"alisee.jolah001";"alisee.jolah001";"fr3hnajc";"SANS OBJET, PHILOSOPHIE";"LPO LYC METIER-BROCELIANDE-GUER, LGT-JEAN MACE-RENNES";"101, 102, 104, 105, 103, T03, ";"";""
"1767262";"";"Enseignant";"KAUCA001";"Ridhwan";"ridhwan.kauca001";"ridhwan.kauca001";"xvh6kewe";"ALLEMAND, ALLEMAND";"LGT-JEAN MACE-RENNES";"1STMG1, 2G5, 2G6, TSTMG2, 1G6, 1G8, TG7, TG6, TG5";"";""
"758797";"";"Enseignant";"KELLIHER001";"Djamela";"djamela.kelliher001";"djamela.kelliher001";"vk9v4gzj";"MATHEMATIQUES";"LGT-JEAN MACE-RENNES";"2G7, TG3, TG5, TG2, TG4, TG6, TG7, TG1, 1G1, 1G2, 1G5, 1G3";"";""
"8510";"";"Enseignant";"KELLIHER001";"Ouiam";"ouiam.kelliher001";"ouiam.kelliher001";"mh5yw78p";"ECO-GEST.OPTION MARKETING";"LGT-JEAN MACE-RENNES";"CI2, CI1";"";""
"242885";"";"Enseignant";"LENTALL001";"Siven";"siven.lentall001";"siven.lentall001";"5dcdx84g";"SANS OBJET, SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JEAN MACE-RENNES, CLG-JACQUES BREL-NOYAL-SUR-VILAINE";"";"";""
"138838";"";"Enseignant";"LENZI001";"Aleksia";"aleksia.lenzi001";"aleksia.lenzi001";"bdkbarms";"HISTOIRE GEOGRAPHIE";"LGT-JEAN MACE-RENNES";"TG7, TG1, TG6, 1G1, 1G5, TG3, TG5, TG2, TG4";"";""
"289374";"";"Enseignant";"BULLOCK001";"Gwenal";"seiya.mace001";"seiya.mace001";"346xygfc";"ESPAGNOL";"LGT-JEAN MACE-RENNES";"TG6, TG2, 1STMG2, TG1, 1G1, 1STMG1, TG3, 2GT10";"";"Guilene CARTWRIGHT001, Necla TAAFFE001"
"562428";"";"Enseignant";"MAHFOOZ001";"Tiffanny";"tiffanny.mahfooz001";"tiffanny.mahfooz001";"j9vssdzz";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-JEAN MACE-RENNES";"SAM1";"";""
