"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"435262";"";"Enseignant";"AIRA001";"Zarine";"zarine.aira001";"zarine.aira001";"";"SANS OBJET, ALLEMAND, ALLEMAND, ALLEMAND";"CLG-BEG-AVEL-CARHAIX-PLOUGUER, CLG-LOUIS HEMON-PLEYBEN, CLG-JEAN MOULIN-CHATEAULIN, LGT-JEAN MOULIN-CHATEAULIN";", 3EME2, 4EME2, 5EME2, 5EME1, 6EME2, 6EME1, 6EME3, 6 4, 3 5, 3 4, 4 4, 4 3, 2 5, 2 1";"";""
"624163";"";"Enseignant";"BAINES001";"Lounés";"lounes.baines001";"lounes.baines001";"";"SANS OBJET";"LGT-JEAN MOULIN-CHATEAULIN";"";"";""
"56474";"";"Enseignant";"BERRY001";"Niouma";"niouma.berry001";"niouma.berry001";"4hesjfbz";"LETTRES MODERNES";"LGT-JEAN MOULIN-CHATEAULIN";"TERM 2, BTS COM2, TERM 4";"";""
"271291";"";"Enseignant";"BLACKWELL001";"Abdelouhab";"abdelouhab.blackwell001";"abdelouhab.blackwell001";"z75h4gxr";"EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LGT-JEAN MOULIN-CHATEAULIN, CLG-JEAN MOULIN-CHATEAULIN";"TERM 3, TERM 2, 2 1, TERM 4, TERM 5, TERM 1, 2 6, 4 5, 4 2, 5 3, 5 2, 6 2";"";""
"1716913";"";"Enseignant";"BOTTA001";"Nerea";"nerea.botta001";"nerea.botta001";"";"DOCUMENTATION";"LGT-JEAN MOULIN-CHATEAULIN";"";"";""
"421026";"";"Enseignant";"BRIAN001";"Sylvie-Marie";"sylvie-marie.brian001";"sylvie-marie.brian001";"x7gbsec4";"ESPAGNOL";"LGT-JEAN MOULIN-CHATEAULIN";"2 3, 1 6, 1 3, TERM 4, 2 2, 2 1, 1 4, TERM 2";"";""
"820502";"";"Enseignant";"BURNETT001";"Yumna";"yumna.burnett001";"yumna.burnett001";"";"EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"CLG-JEAN MOULIN-CHATEAULIN, LGT-JEAN MOULIN-CHATEAULIN";"4 5, 6 4, 1 5";"";""
"374135";"";"Enseignant";"BUXTON001";"Rochdy";"rochdy.buxton001";"rochdy.buxton001";"";"SANS OBJET";"LGT-JEAN MOULIN-CHATEAULIN";"";"";""
"838731";"";"Enseignant";"CAWLEY001";"Nellia";"nellia.cawley001";"nellia.cawley001";"jtt55358";"HISTOIRE GEOGRAPHIE";"LGT-JEAN MOULIN-CHATEAULIN";"1 4, 1 1, 1 2, TERM 4, TERM 3, TERM 5, 1 5, 1 3";"";""
"496108";"";"Enseignant";"CONLAN001";"Yohenn";"yohenn.conlan001";"yohenn.conlan001";"zppvt5vd";"SANS OBJET";"LGT-JEAN MOULIN-CHATEAULIN";"";"";""
"1097415";"";"Enseignant";"CORRADINI001";"Holyanna";"holyanna.corradini001";"holyanna.corradini001";"";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-JEAN MOULIN-CHATEAULIN";"1 7, BTS COM2, 1 6, TERM 5";"";""
"1871811";"";"Enseignant";"DARNAL001";"Tyzio";"tyzio.darnal001";"tyzio.darnal001";"pz8544p8";"SANS OBJET, SANS OBJET";"LGT-JEAN MOULIN-CHATEAULIN, CLG-JEAN MOULIN-CHATEAULIN";"";"";""
"1879145";"";"Enseignant";"DAWES001";"Almira";"almira.dawes001";"almira.dawes001";"5xz84yde";"LETTRES MODERNES, LETTRES MODERNES";"CLG-JEAN MOULIN-CHATEAULIN, LGT-JEAN MOULIN-CHATEAULIN";"3 2, 3 3, 2 1, 2 4";"";""
"1457851";"";"Enseignant";"DHENG001";"Meyssen";"meyssen.dheng001";"meyssen.dheng001";"dezpgn3y";"ECO-GEST.OPTION MARKETING";"LGT-JEAN MOULIN-CHATEAULIN";"2 4, 2 1, 2 6, 2 5, 1 6, 1 7";"";""
