"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"683897";"";"Enseignant";"AMEER001";"Lorys";"lorys.ameer001";"lorys.ameer001";"rdyhz4gn";"MATHEMATIQUES, MATHEMATIQUES";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ, CLG-JEAN-MARIE LE BRIS-DOUARNENEZ";"2NDE1, 3D, 3G, 3C, 6B";"";""
"5017";"";"Enseignant";"BABU001";"Djanaëlle";"djanaelle.babu001";"djanaelle.babu001";"5dcwaetf";"LETTRES MODERNES";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"2NDE2, 2NDE3, 2NDE4, TERM G 1, TERM G 3";"";""
"1348465";"";"Enseignant";"BADHAI001";"Rizlan";"rizlan.badhai001";"rizlan.badhai001";"sjtfjdjb";"HISTOIRE GEOGRAPHIE";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"1G2, 1G3, 2NDE2, 1G1, TERM G 2, TERM G 3, TERM G 1";"";""
"1163509";"";"Enseignant";"BEGAM001";"Mauryne";"mauryne.begam001";"mauryne.begam001";"dx6fn9xs";"LETTRES MODERNES";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"1 STMG, 1G2, 1G3, TERM G 3, TERM G 2";"";""
"716131";"";"Enseignant";"BENEBIG001";"Lamri";"lamri.benebig001";"lamri.benebig001";"ht66nkgc";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"TERM G 1, TERM G 3, TERM G 2, 2NDE1, 2NDE2, 1G1, 1G2, 1G3";"";""
"1258268";"";"Enseignant";"CARMAKAR001";"Tommie";"tommie.carmakar001";"tommie.carmakar001";"bxtxhzsk";"SANS OBJET, ECO-GEST.OPTION MARKETING";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"1 STMG, TSTMG";"";""
"523823";"";"Enseignant";"CULLINAN001";"Alexandria";"alexandria.cullinan001";"alexandria.cullinan001";"kxyzeacj";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"TERM G 3, TERM G 1, TSTMG, TERM G 2, 1G1, 2NDE1, 2NDE4, 1G2, 1G3, 2NDE3";"";""
"1553329";"";"Enseignant";"DENNEHY001";"Kaiser";"kaiser.dennehy001";"kaiser.dennehy001";"dmddyw9d";"SANS OBJET, ANGLAIS";"CLG-BOIS DE LOCQUERAN-PLOUHINEC, LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";", 2NDE3, 2NDE4, 2NDE2, 1G3, TSTMG";"";""
"1438511";"";"Enseignant";"DEUJA001";"Rayyan";"rayyan.deuja001";"rayyan.deuja001";"vjknbygs";"SANS OBJET, HISTOIRE GEOGRAPHIE";"CLG-KERVIHAN-FOUESNANT, LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"";"";""
"1882232";"";"Enseignant";"DOUMBO001";"Aslan";"aslan.doumbo001";"aslan.doumbo001";"x4mmzyg6";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"1G1, 1G2, 1G3, 2NDE2, TERM G 1, TERM G 2";"";""
"1350762";"";"Enseignant";"DYSON001";"Hakeem";"hakeem.dyson001";"hakeem.dyson001";"j6vs5v8s";"PHILOSOPHIE, PHILOSOPHIE";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ, LT-JEAN CHAPTAL-QUIMPER";"TSTMG, TST2S1, TSTLMG, TST2S2";"";""
"643766";"";"Enseignant";"FAANU001";"Wendeline";"wendeline.faanu001";"wendeline.faanu001";"ky6fj4mf";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"TERM G 1, TERM G 3, TERM G 2, 2NDE4, 2NDE3";"";""
"1344408";"";"Enseignant";"FAHY001";"Assinate";"assinate.fahy001";"assinate.fahy001";"7tzjrm8y";"SANS OBJET, ANGLAIS";"CLG-LA TOUR D'AUVERGNE-QUIMPER, LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"";"";""
"1373057";"";"Enseignant";"FRY001";"Lehanna";"lehanna.fry001";"lehanna.fry001";"rwywgszn";"ANGLAIS";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"2NDE1, 1G3, 1G1, 1G2, TERM G 1, TERM G 3, TERM G 2, TSTMG";"";""
"1923249";"";"Enseignant";"GASSAMA001";"Koussay";"koussay.gassama001";"koussay.gassama001";"cv5nmebx";"SCIENCES PHYSIQUES ET CHIMIQUES, SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ, CLG-JEAN-MARIE LE BRIS-DOUARNENEZ";"2NDE3, 2NDE2, 4D, 6D, 3B, 3F, 3D, 3E, 5F, 5E, 6E, 3G, 4F, 4E, 5B, 6B";"";""
"1956462";"";"Enseignant";"HADA001";"Olindo";"olindo.hada001";"olindo.hada001";"4rfrwphm";"SANS OBJET, HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"LPO LYC METIER-PIERRE GUEGUIN-CONCARNEAU, LGT-JEAN-MARIE LE BRIS-DOUARNENEZ, LT-JEAN CHAPTAL-QUIMPER";", 1G3, 1G2, 2NDE1, 2NDE4, 1 STMG, 1G1, TSTMG, TSTLMG";"";""
"145343";"";"Enseignant";"HAFIZ001";"Natan";"natan.hafiz001";"natan.hafiz001";"5vgz3dwm";"PHILOSOPHIE";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"TSTMG, 1G2, TERM G 3, TERM G 2, 1G3, TERM G 1";"";""
"1860672";"";"Enseignant";"HAMEED001";"Willson";"willson.hameed001";"willson.hameed001";"nfsj79cv";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"2NDE4, TERM G 2, 2NDE3, TERM G 1, TERM G 3";"";""
"1414443";"";"Enseignant";"HASMA001";"Anna-Christine";"anna-christine.hasma001";"anna-christine.hasma001";"em8szyje";"ANGLAIS, ANGLAIS";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ, CLG-JEAN-MARIE LE BRIS-DOUARNENEZ";"2NDE2, 2NDE3, 3B, 6B, 6D, 3E, 3F, 3D";"";""
"978810";"";"Enseignant";"IBRAHIM001";"Kethy";"kethy.ibrahim001";"kethy.ibrahim001";"vgekzgmk";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"1G1, 1G3, 1G2, 2NDE1, 2NDE2, TSTMG, 1 STMG, TERM G 2, TERM G 1, TERM G 3";"";""
"331238";"";"Enseignant";"IKLEEL001";"Alyxia";"alyxia.ikleel001";"alyxia.ikleel001";"pxcw4n7d";"SANS OBJET, MATHEMATIQUES";"LPO LYC METIER-PIERRE GUEGUIN-CONCARNEAU, LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";", 1G1, 2NDE3, 1G3, 1G2, 2NDE4, TERM G 2, TERM G 1, TERM G 3";"";""
"1938480";"";"Enseignant";"INASA001";"Irénée";"irenee.inasa001";"irenee.inasa001";"3py7f74y";"ALLEMAND, ALLEMAND";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ, CLG-JEAN-MARIE LE BRIS-DOUARNENEZ";"1G1, 1 STMG, 2NDE2, 1G3, 1G2, TERM G 1, TERM G 2, TSTMG, TERM G 3, 5F, 5C, 3F, 3D, 4C";"";""
"330528";"";"Enseignant";"JOHNSTONE001";"Male";"male.johnstone001";"male.johnstone001";"3xzye5v6";"SANS OBJET, SCIENCES DE LA VIE ET DE LA TERRE, SCIENCES DE LA VIE ET DE LA TERRE";"LGT-RENE LAENNEC-PONT-L'ABBE, LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"1G4, 1G2, TG4, 1G5, 2NDE7, 1G1, TG5, 1G3, 1G3, 1G2, 1G1";"";""
"1261731";"";"Enseignant";"KUSAWAH001";"Sabrin";"sabrin.kusawah001";"sabrin.kusawah001";"jb8gm38y";"DOCUMENTATION";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"";"";""
"1340761";"";"Enseignant";"LO001";"Naime";"naime.lo001";"naime.lo001";"sfgfc4kg";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-JEAN-MARIE LE BRIS-DOUARNENEZ";"1 STMG, TSTMG";"";""
