"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"676034";"";"Enseignant";"ABDULLA001";"Aude";"aude.abdulla001";"aude.abdulla001";"t4atpxb8";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JOLIOT-CURIE-RENNES";"1STL1, TSTL 1";"";""
"6733";"";"Enseignant";"ALLAN001";"Imbert";"imbert.allan001";"imbert.allan001";"";"HISTOIRE GEOGRAPHIE";"LGT-JOLIOT-CURIE-RENNES";"202, 201, TGEN6, 104, TGEN1, TGEN4, TGEN5, TGEN3, TGEN2";"";""
"186597";"";"Enseignant";"ASMA001";"Daiki";"daiki.asma001";"daiki.asma001";"8d8xyfc5";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JOLIOT-CURIE-RENNES";"1PTSI";"";""
"144574";"";"Enseignant";"ATKINS001";"Felicity";"felicity.atkins001";"felicity.atkins001";"tvfkw8am";"ECO-GEST.OPTION MARKETING";"LGT-JOLIOT-CURIE-RENNES";"2STS TC, 1STS CCS";"";""
"807868";"";"Enseignant";"AZMEELA001";"Florbella";"florbella.azmeela001";"florbella.azmeela001";"fcbgc8d8";"ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-JOLIOT-CURIE-RENNES";"TSTMG2";"";""
"465117";"";"Enseignant";"AZUMA001";"Mounim";"mounim.azuma001";"mounim.azuma001";"r8ghvv9y";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-JOLIOT-CURIE-RENNES";"";"";""
"756320";"";"Enseignant";"BALAMPAKI001";"Charazede";"charazede.balampaki001";"charazede.balampaki001";"kcgawzyt";"PHYSIQUE ET ELECTRICITE APPLIQUEE";"LGT-JOLIOT-CURIE-RENNES";"2STS ELT";"";""
"1293161";"";"Enseignant";"BAREE001";"Césaire";"cesaire.baree001";"cesaire.baree001";"k98dgysw";"SII OPTION INFORMATIQUE ET NUMERIQUE";"LGT-JOLIOT-CURIE-RENNES";"TGEN2, 102, 104, TGEN6, 103, 1STS CRS, TGEN5, TGEN1, TGEN4, 101, TGEN3";"";""
"1090412";"";"Enseignant";"BERNINI001";"Lory";"lory.bernini001";"lory.bernini001";"memb8dp9";"MATHEMATIQUES";"LGT-JOLIOT-CURIE-RENNES";"202, 1STMG2, 1STS ELT, 2STS CRS";"";""
"132313";"";"Enseignant";"BERTOLI001";"Abbigaëlle";"abbigaelle.bertoli001";"abbigaelle.bertoli001";"bweacbh4";"SANS OBJET, SII OPTION INGENIERIE MECANIQUE";"LGT-BREQUIGNY-RENNES, LGT-JOLIOT-CURIE-RENNES";", 202, 201, 205, 1STI2D2, 1STI2D3";"";""
"851446";"";"Enseignant";"BILLMAN001";"Anfaal";"anfaal.billman001";"anfaal.billman001";"dz4n957b";"ANGLAIS, ANGLAIS";"LGT-JOLIOT-CURIE-RENNES, LG-FRANCOIS RENE DE CHATEAUBRIAND-RENNES";", PSIET, MPSI 1, MP 2, PCSI 1, PC, PCET, MPET, MP 1, PSI, MPSI 2, BCPST 1B";"";""
"1691085";"";"Enseignant";"BISALEN001";"Janaelle";"janaelle.bisalen001";"janaelle.bisalen001";"avn7zsm8";"SANS OBJET, ESPAGNOL";"LGT-JEAN BRITO-BAIN-DE-BRETAGNE, LGT-JOLIOT-CURIE-RENNES";"212, 211, 209, 210, 1G8, TG2, 1STMG2, 1STMG4, TG1, 1STMG3, 1G7, ";"";""
"1855390";"";"Enseignant";"BISALEN001";"Tayan";"tayan.bisalen001";"tayan.bisalen001";"enfb8fnk";"PHYSIQUE ET ELECTRICITE APPLIQUEE";"LGT-JOLIOT-CURIE-RENNES";"2STS CRS, 1STS CRS";"";""
"1857555";"";"Enseignant";"BOESE001";"Inès-Marie";"ines-marie.boese001";"ines-marie.boese001";"fkwxgnz7";"ANGLAIS";"LGT-JOLIOT-CURIE-RENNES";"101, 104, 2STS TC, TGEN3, TGEN4, TGEN2, TGEN1, 103, 102, TGEN5, TSTMG1, TGEN6";"";""
"1529311";"";"Enseignant";"BONNER001";"Nunzio";"nunzio.bonner001";"nunzio.bonner001";"8njsc3jh";"SII OPTION ENERGIE";"LGT-JOLIOT-CURIE-RENNES";"2STS CRS, 1STS ELT";"";""
"944712";"";"Enseignant";"BOSCO001";"Odette";"odette.bosco001";"odette.bosco001";"cckjg77w";"PHILOSOPHIE";"LGT-JOLIOT-CURIE-RENNES";"TSTI2D2, TSTMG1, TSTI2D1, TGEN4, TGEN6, TSTI2D3";"";""
"1301334";"";"Enseignant";"BRIDGES001";"Alphonsina";"alphonsina.bridges001";"alphonsina.bridges001";"xfc67y9z";"SANS OBJET, ANGLAIS, ANGLAIS";"CLG-NOEL DU FAIL-GUICHEN, CLG-FRANCOISE DOLTO-PACE, LGT-JOLIOT-CURIE-RENNES";", 301, 306, 502, 501, 507, 1STMG2";"";""
"1052142";"";"Enseignant";"BUDHA001";"Aly";"aly.budha001";"aly.budha001";"kghmrm9n";"ECO-GEST OPTION GESTION ADMINISTRATIVE, ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-JOLIOT-CURIE-RENNES, LP-JEAN GUEHENNO-FOUGERES";", _POL, _2VET, _2OL, _2MARO, _PVET, _PMARO";"";""
"603880";"";"Enseignant";"CAREY001";"Guilène";"guilene.carey001";"guilene.carey001";"nhp8g47f";"SANS OBJET";"LGT-JOLIOT-CURIE-RENNES";"";"";""
"1908594";"";"Enseignant";"CATALDO001";"Alexey";"alexey.cataldo001";"alexey.cataldo001";"8rgs5mzr";"SANS OBJET";"LGT-JOLIOT-CURIE-RENNES";"";"";""
"1768323";"";"Enseignant";"CHILDS001";"Elyesa";"elyesa.childs001";"elyesa.childs001";"szbckna3";"MATHEMATIQUES";"LGT-JOLIOT-CURIE-RENNES";"101, 104, 103, 102, TSTMG1";"";""
"846300";"";"Enseignant";"CLAY001";"Lohane";"lohane.clay001";"lohane.clay001";"zg5ddf4r";"HISTOIRE GEOGRAPHIE";"LGT-JOLIOT-CURIE-RENNES";"103, 101, 102, 1STL1, TSTL 1, 104, TGEN5, TGEN3, TSTMG2";"";""
"1472888";"";"Enseignant";"CONSIDINE001";"Anne-Valérie";"anne-valerie.considine001";"anne-valerie.considine001";"63xzcz4x";"MATHEMATIQUES";"LGT-JOLIOT-CURIE-RENNES";"TSTL 1, 1STL1, 103, 104, 102, TSTMG2, 101";"";""
"1642347";"";"Enseignant";"CROSBIE001";"Hicran";"hicran.crosbie001";"hicran.crosbie001";"";"MATHEMATIQUES";"LGT-JOLIOT-CURIE-RENNES";"2STSCPRP, TGEN4, TGEN5, TGEN3, TSTI2D2, TGEN1, TGEN2, TGEN6";"";""
"1582362";"";"Enseignant";"CROWLEY001";"Awais";"awais.crowley001";"awais.crowley001";"85gx5fhk";"SC.TECHNIQUES INDUSTRIELLES";"LGT-JOLIOT-CURIE-RENNES";"1PCSI, 2ATS";"";""
"1097683";"";"Enseignant";"DAGNON001";"Juan";"juan.dagnon001";"juan.dagnon001";"s7b3evzy";"SII OPTION INGENIERIE MECANIQUE";"LGT-JOLIOT-CURIE-RENNES";"101, 104, 102, 103, 204, TGEN1, TGEN6, TGEN5, TGEN2, TGEN4, TSTI2D2, TGEN3";"";""
"1729165";"";"Enseignant";"DEACON001";"Abdelrhani";"abdelrhani.deacon001";"abdelrhani.deacon001";"rkzbgwgz";"ECO ET GEST.OPTION COMM, ORG, GRH, ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-JOLIOT-CURIE-RENNES, LGT-ANITA CONTI-BRUZ";"1STMG1, 1STMG2, TSTMG2";"";""
"1409567";"";"Enseignant";"DHIMAL001";"Gabi";"gabi.dhimal001";"gabi.dhimal001";"xt4jg3de";"MATHEMATIQUES";"LGT-JOLIOT-CURIE-RENNES";"205, TGEN4, TGEN3, TGEN1, 104, 102, TGEN5, TGEN2, TGEN6, TSTI2D1";"";""
"1364557";"";"Enseignant";"DOOLAN001";"Keys";"keys.doolan001";"keys.doolan001";"vyjwwvnh";"SII OPTION INGENIERIE MECANIQUE";"LGT-JOLIOT-CURIE-RENNES";"1STI2D1";"";""
"92054";"";"Enseignant";"DRURY001";"Giana";"giana.drury001";"giana.drury001";"e6fm35wf";"ESPAGNOL";"LGT-JOLIOT-CURIE-RENNES";"206, 202, 203, 103, 1STL1, TGEN4, 1STI2D2, TSTL 1, 104, TGEN6, 1STI2D3, 204";"";""
"1679959";"";"Enseignant";"DURANTE001";"Polina";"polina.durante001";"polina.durante001";"3zembrx4";"LETTRES CLASSIQUES";"LGT-JOLIOT-CURIE-RENNES";"2STS TC, 201, 103, 101, TSTI2D2, TGEN3, TGEN5, 1STI2D2, TGEN1, 1STMG2";"";""
"98779";"";"Enseignant";"DYROD001";"Marivonne";"marivonne.dyrod001";"marivonne.dyrod001";"x7t6sw6b";"ANGLAIS";"LGT-JOLIOT-CURIE-RENNES";"2ATS, 2PT, 1PTSI";"";""
"1209333";"";"Enseignant";"EVERETT001";"Eymrick";"eymrick.everett001";"eymrick.everett001";"arnck7yg";"SII OPTION ENERGIE";"LGT-JOLIOT-CURIE-RENNES";"1STI2D1, 2STS TC, 1STS CCS";"";""
"1026132";"";"Enseignant";"FAREED001";"Amilya";"amilya.fareed001";"amilya.fareed001";"kmn58hk9";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JOLIOT-CURIE-RENNES";"201, 203, TGEN5, TGEN4, TGEN1, TSTL 1, 103, TGEN2, 101, 204, 102";"";""
"1438962";"";"Enseignant";"FAROOQ001";"Eusebio";"eusebio.farooq001";"eusebio.farooq001";"jhcv667v";"MATHEMATIQUES";"LGT-JOLIOT-CURIE-RENNES";"TGEN6, TGEN1, 2STS ELT, TGEN4, TGEN2, TSTI2D3, TGEN5, TGEN3";"";""
"359851";"";"Enseignant";"FARRELLY001";"Evaristo";"evaristo.farrelly001";"evaristo.farrelly001";"rg3p75fn";"SII OPTION ENERGIE";"LGT-JOLIOT-CURIE-RENNES";"206, 201, 202, 104, 2STS ELT, 101, 102, 103";"";""
"336605";"";"Enseignant";"FASANO001";"Sofya";"sofya.fasano001";"sofya.fasano001";"dezwf378";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-JOLIOT-CURIE-RENNES";"202, 204, 103, 102, 1STL1, 104, 101";"";""
"903593";"";"Enseignant";"FIORENTINI001";"Ammara";"ammara.fiorentini001";"ammara.fiorentini001";"88tdd9b4";"HISTOIRE GEOGRAPHIE";"LGT-JOLIOT-CURIE-RENNES";"101, TSTMG1, TGEN1, 103";"";""
"1501409";"";"Enseignant";"FORAN001";"Khattab";"khattab.foran001";"khattab.foran001";"dgfyrbw8";"SANS OBJET, HISTOIRE GEOGRAPHIE";"CLG-ROSA PARKS-RENNES, LGT-JOLIOT-CURIE-RENNES";"4-2, 4-3, 3-3, 3-2, 6-3, 6-2, 5-2, 5-3, ";"";""
"1086602";"";"Enseignant";"GAHA001";"Zaineb";"zaineb.gaha001";"zaineb.gaha001";"kdzgpnrv";"ANGLAIS";"LGT-JOLIOT-CURIE-RENNES";"203, 201, 202, TGEN5, 1STS CCS";"";""
"1684248";"";"Enseignant";"GALASSO001";"Djora";"djora.galasso001";"djora.galasso001";"v3sseatj";"ALLEMAND";"LGT-JOLIOT-CURIE-RENNES";"201, TSTMG1, TSTI2D2, TSTL 1, 1STI2D2, 1STMG1, TGEN1, TGEN2, 1STL1, TSTI2D1, 101, TSTMG2";"";""
"1439558";"";"Enseignant";"GAMBA001";"Louis-Clément";"louis-clement.gamba001";"louis-clement.gamba001";"5gyv4tpb";"SII OPTION INGENIERIE MECANIQUE";"LGT-JOLIOT-CURIE-RENNES";"1STS CCS, 2STS TC";"";""
"1764729";"";"Enseignant";"GHATAL001";"Melahat";"melahat.ghatal001";"melahat.ghatal001";"3rybn4fe";"LETTRES MODERNES";"LGT-JOLIOT-CURIE-RENNES";"201, 202";"";""
"609153";"";"Enseignant";"GIACALONE001";"Mélan";"melan.giacalone001";"melan.giacalone001";"eb9re5sf";"MATHEMATIQUES";"LGT-JOLIOT-CURIE-RENNES";"2PT";"";""
"436701";"";"Enseignant";"GIUDICI001";"Kesley";"kesley.giudici001";"kesley.giudici001";"h88wp3ms";"SANS OBJET, PHILOSOPHIE, PHILOSOPHIE";"LGT-JOLIOT-CURIE-RENNES, LGT-SEVIGNE-CESSON-SEVIGNE, LPO LYC METIER-PIERRE MENDES FRANCE-RENNES";"TGEN3, TSTL 1, TSTMG2, , TSTI2D2, TSTI2D1";"";""
"849168";"";"Enseignant";"GOW001";"Ka";"ka.gow001";"ka.gow001";"k8eyhmrw";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-JOLIOT-CURIE-RENNES";"101, 102, 103, 104, TGEN1, TGEN4, TGEN2, TGEN6, TGEN3, TGEN5";"";""
"15177";"";"Enseignant";"GUGLIELMI001";"Maly";"maly.guglielmi001";"maly.guglielmi001";"8wfzmbsv";"PHILOSOPHIE";"LGT-JOLIOT-CURIE-RENNES";"TGEN2, TGEN1";"";""
"1424201";"";"Enseignant";"GURUNASENI001";"Shaë";"shae.gurunaseni001";"shae.gurunaseni001";"5ahfarhr";"SANS OBJET, LETTRES MODERNES";"LGT-SEVIGNE-CESSON-SEVIGNE, LGT-JOLIOT-CURIE-RENNES";"2DE08, 1ERE06, 2DE09, 1ERE07, ";"";""
"1420748";"";"Enseignant";"GYNDE001";"Soan";"soan.gynde001";"soan.gynde001";"yszfvs4e";"ALLEMAND";"LGT-JOLIOT-CURIE-RENNES";"1PCSI, 2PSI, 201, 2PT, 202, TGEN1, 1PTSI";"";""
"1643576";"";"Enseignant";"HALLETT001";"Basiline";"basiline.hallett001";"basiline.hallett001";"fjhm7br3";"SII OPTION INGENIERIE MECANIQUE";"LGT-JOLIOT-CURIE-RENNES";"1STS CRS, 2STS CRS";"";""
"1388305";"";"Enseignant";"HAMID001";"Williams";"williams.hamid001";"williams.hamid001";"va77nn7b";"SANS OBJET, SANS OBJET";"CLG-CLOTILDE VAUTIER-RENNES, LGT-JOLIOT-CURIE-RENNES";"";"";""
"1298532";"";"Enseignant";"HARGREAVES001";"Giany";"giany.hargreaves001";"giany.hargreaves001";"m78tjprt";"SII OPTION INGENIERIE MECANIQUE";"LGT-JOLIOT-CURIE-RENNES";"1STS CPR, 2STSCPRP";"";""
"243848";"";"Enseignant";"HAROON001";"Gadiel";"gadiel.haroon001";"gadiel.haroon001";"y7fgsc57";"HISTOIRE GEOGRAPHIE, HISTOIRE GEOGRAPHIE";"LGT-JOLIOT-CURIE-RENNES";"203, 201, 204";"";""
"80323";"";"Enseignant";"HASSAN001";"Maury";"maury.hassan001";"maury.hassan001";"6sns8xrs";"SC.TECHNIQUES INDUSTRIELLES";"LGT-JOLIOT-CURIE-RENNES";"1PTSI";"";""
"844760";"";"Enseignant";"HAWARI001";"Ayette";"ayette.hawari001";"ayette.hawari001";"hzn74jre";"ECO-GEST.OPTION COMPTABILITE ET FINANCE, ECO-GEST.OPTION MARKETING";"LGT-JOLIOT-CURIE-RENNES";"1STMG1, TSTMG1, TSTMG2";"";""
"1492194";"";"Enseignant";"HAYU001";"Bernardette";"bernardette.hayu001";"bernardette.hayu001";"fg8jkjgf";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JOLIOT-CURIE-RENNES";"1PCSI";"";""
"990831";"";"Enseignant";"HEWITT001";"Meylann";"meylann.hewitt001";"meylann.hewitt001";"mt5xsjbz";"SII OPTION INGENIERIE MECANIQUE";"LGT-JOLIOT-CURIE-RENNES";"2STSCPRP, 1STS CPR";"";""
"69868";"";"Enseignant";"HICKMAN001";"Yves-Henri";"yves-henri.hickman001";"yves-henri.hickman001";"msr7v4fe";"PHYSIQUE ET ELECTRICITE APPLIQUEE";"LGT-JOLIOT-CURIE-RENNES";"1STS CPR, 1STS ELT, TSTI2D3, 2STSCPRP, 203, 206";"";""
"1653393";"";"Enseignant";"HODGES001";"Iteb";"iteb.hodges001";"iteb.hodges001";"sgvmssrt";"HISTOIRE GEOGRAPHIE";"LGT-JOLIOT-CURIE-RENNES";"1STMG2, 1STI2D2, 1STMG1, 1STI2D1";"";""
"1724754";"";"Enseignant";"HOUGHTON001";"Kao";"kao.houghton001";"kao.houghton001";"kgv3wr5c";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-JOLIOT-CURIE-RENNES";"206, 1STI2D2, TSTL 1, TSTI2D1, TGEN4, TGEN5, TGEN1, 1STMG1, 1STI2D1, TSTI2D2, TSTMG2, TSTMG1, TGEN6, 101, 1STMG2, 1PCSI, TSTI2D3, TGEN3, 1STL1, TGEN2, 204";"";""
"1867515";"";"Enseignant";"HOURIGAN001";"Noellyne";"noellyne.hourigan001";"noellyne.hourigan001";"w987k6xa";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-JOLIOT-CURIE-RENNES";"201, 101, 1STI2D1, 1STI2D2, 1STMG1, 1STMG2, 1STL1";"";""
"1877114";"";"Enseignant";"IRSHAD001";"Marie-Neige";"marie-neige.irshad001";"marie-neige.irshad001";"ehya6d3a";"ANGLAIS, ANGLAIS";"LG-FRANCOIS RENE DE CHATEAUBRIAND-RENNES, LGT-JOLIOT-CURIE-RENNES";"MPSI 3, MP 2, PCSI 1, 2PSI";"";""
"828752";"";"Enseignant";"KANSOU001";"Arc'hantael";"archantael.kansou001";"archantael.kansou001";"zgn3jjhe";"ANGLAIS";"LGT-JOLIOT-CURIE-RENNES";"1STI2D3, 1STI2D1, 204, 2STS CRS, 203";"";""
"1527335";"";"Enseignant";"KEARNS001";"Lyo";"lyo.kearns001";"lyo.kearns001";"3m5k7gwe";"LETTRES MODERNES";"LGT-JOLIOT-CURIE-RENNES";"206, 203, 104, 102";"";""
"1885393";"";"Enseignant";"KEAVENEY001";"Othmân";"othman.keaveney001";"othman.keaveney001";"ez5zrdwd";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JOLIOT-CURIE-RENNES";"205, TGEN3, TGEN4, TGEN2, TGEN5, TGEN6, 101, TGEN1";"";""
"1898755";"";"Enseignant";"KESI001";"Aniya";"aniya.kesi001";"aniya.kesi001";"3bxmm7tg";"SANS OBJET, LETTRES MODERNES";"CLG-LES GAYEULLES-RENNES, LGT-JOLIOT-CURIE-RENNES";"";"";""
"1330769";"";"Enseignant";"KOI001";"Sehame";"sehame.koi001";"sehame.koi001";"kywwshja";"SANS OBJET, SANS OBJET";"LGT-JOLIOT-CURIE-RENNES, CLG-LES GAYEULLES-RENNES";"";"";""
