"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1952999";"";"Enseignant";"AIMAN001";"Dévan";"devan.aiman001";"devan.aiman001";"";"HISTOIRE GEOGRAPHIE";"LGT-JOSEPH LOTH-PONTIVY";"";"";""
"1451523";"";"Enseignant";"AKRAM001";"Paterne";"paterne.akram001";"paterne.akram001";"";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-JOSEPH LOTH-PONTIVY";"1E, 2C, 1G, 2E, 1B, 1F, 1A, TA, TB, 1C, 1D";"";""
"1522992";"";"Enseignant";"AMEEN001";"Nagiba";"nagiba.ameen001";"nagiba.ameen001";"";"ECO-GEST.OPTION MARKETING";"LGT-JOSEPH LOTH-PONTIVY";"BANQ1";"";""
"1401234";"";"Enseignant";"ANSARI001";"Laurane";"laurane.ansari001";"laurane.ansari001";"";"MATHEMATIQUES";"LGT-JOSEPH LOTH-PONTIVY";"2B, 2C, 1G, 1E, 1B, 1C, 1A, 1F, 1D, TSTMG1";"";""
"724394";"";"Enseignant";"ANWAR001";"Milie";"milie.anwar001";"milie.anwar001";"";"ANGLAIS";"LGT-JOSEPH LOTH-PONTIVY";"2H, 2I, 2G, 1G, 1E, TE, TSTMG3, TSTMG2, TF, 1D, TC, 1F, TD, 1A, 1C, TB, 1B";"";""
"1841930";"";"Enseignant";"AWALA001";"Chlorane";"chlorane.awala001";"chlorane.awala001";"jmvtwbpe";"SCIENCES DE LA VIE ET DE LA TERRE";"LGT-JOSEPH LOTH-PONTIVY";"2I, 2G, TA, TC, TB, TF, TE, TD";"";""
"1288328";"";"Enseignant";"BAGAYOKO001";"Steev";"steev.bagayoko001";"steev.bagayoko001";"8whzve4m";"MATHEMATIQUES";"LGT-JOSEPH LOTH-PONTIVY";"1E, 2D, 2E, 1G, 1C, 1B, 1F, 1A, 1D, 1STMG2";"";""
"1636645";"";"Enseignant";"BALFE001";"Gloriana";"gloriana.balfe001";"gloriana.balfe001";"vfp5rejh";"LETTRES MODERNES";"LGT-JOSEPH LOTH-PONTIVY";"1F, 1C, 2G, 1B, 1A, 1D, 1E, 1G";"";""
"396094";"";"Enseignant";"BARNARD001";"Lenaig";"lenaig.barnard001";"lenaig.barnard001";"";"ANGLAIS";"LGT-JOSEPH LOTH-PONTIVY";"2E, 1G, 2C, 2B, 2F, 1F, TSTMG1, 1A, 1B, 2J, 1C, 1STMG2";"";""
"1013756";"";"Enseignant";"BARRY001";"Angus";"angus.barry001";"angus.barry001";"ze377ceb";"SCIENCES ECONOMIQUES ET SOCIALES";"LGT-JOSEPH LOTH-PONTIVY";"1E, 1G, 2F, 2G, 2E, 1A, TD, 1F, TC, 1B, 1C, TB, TA, 1D, TE, TF";"";""
"1769646";"";"Enseignant";"BHOTE001";"Marie-Blanche";"marie-blanche.bhote001";"marie-blanche.bhote001";"r8ec9676";"ANGLAIS";"LGT-JOSEPH LOTH-PONTIVY";"TF, TC, 2J, TB, TE, TD, TA, 2I, 2E, 2D, 2A";"";""
"757479";"";"Enseignant";"BOUDAN001";"Janinne";"janinne.boudan001";"janinne.boudan001";"tt766esd";"ESPAGNOL";"LGT-JOSEPH LOTH-PONTIVY";"1F, 2G, 2A, 1E, 2C, 2E, 1STMG1, 1STMG2, 2B";"";""
"1894412";"";"Enseignant";"BOVE001";"Tayann";"tayann.bove001";"tayann.bove001";"3kzcw6gz";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-JOSEPH LOTH-PONTIVY";"1E, 2I, 2H, 2E, 2G, TSTMG2, TF, TE, TSTMG3, TD, 1A, TSTMG1, TC, TA, TB";"";""
"596849";"";"Enseignant";"BUXTON001";"Aiza";"aiza.buxton001";"aiza.buxton001";"3kyskb3v";"ANGLAIS";"LGT-JOSEPH LOTH-PONTIVY";"2G, 2H, 2F, 1E, BANQ1, TSTMG3, TSTMG2, TSTMG1, 1F";"";""
