"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"442529";"";"Enseignant";"ALIM001";"Feirouz";"feirouz.alim001";"feirouz.alim001";"";"SANS OBJET, ANGLAIS, ANGLAIS";"LPO LYC METIER-KERRAOUL-PAIMPOL, CLG-LES SEPT ILES-PERROS-GUIREC, LGT-JOSEPH SAVINA-TREGUIER";"TG1, 2A, , 2ND3, 2ND2, 1STMG, TG2, TG3";"";""
"1886998";"";"Enseignant";"ATZORI001";"Juste";"juste.atzori001";"juste.atzori001";"4nestbtb";"HISTOIRE GEOGRAPHIE";"LGT-JOSEPH SAVINA-TREGUIER";"1G3, 1G2, 1G1, TSTMG, TG3";"";""
"177590";"";"Enseignant";"BAMBRY001";"Baudry";"baudry.bambry001";"baudry.bambry001";"jt3r6r6y";"ECO-GEST.OPTION MARKETING";"LGT-JOSEPH SAVINA-TREGUIER";"2BTS BAN, 1BTS BAN";"";""
"790676";"";"Enseignant";"BANIYAM001";"Alyosha";"alyosha.baniyam001";"alyosha.baniyam001";"7pctdehe";"ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-JOSEPH SAVINA-TREGUIER";"3DNGRAPH, 2DNGRAPH";"";""
"885031";"";"Enseignant";"BERTOZZI001";"Mayana";"mayana.bertozzi001";"mayana.bertozzi001";"6y5btrff";"SANS OBJET, ALLEMAND, ALLEMAND";"CLG-MARIE-JOSE CHOMBART DE LAUWE-PAIMPOL, LPO LYC METIER-KERRAOUL-PAIMPOL, LGT-JOSEPH SAVINA-TREGUIER";", TG1, TSTMG, TSTD2A, TG2, TG3, 2ND3, 2ND4, 2ND1, 2ND2, 2ND5";"";""
"1310357";"";"Enseignant";"BHATARAI001";"Djenessy";"djenessy.bhatarai001";"djenessy.bhatarai001";"gwxgvw4r";"SANS OBJET, SANS OBJET";"LP-JOSEPH SAVINA-TREGUIER, LGT-JOSEPH SAVINA-TREGUIER";"";"";""
"1104716";"";"Enseignant";"BROWNE001";"Norman";"norman.browne001";"norman.browne001";"8ekgb97s";"ARTS DU DECOR ARCHITECTURAL, ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-JOSEPH SAVINA-TREGUIER, LP-JOSEPH SAVINA-TREGUIER";", 3PMET, 1STAF, 2STAF";"";""
"704095";"";"Enseignant";"CAMPANA001";"Bartosz";"bartosz.campana001";"bartosz.campana001";"cde975cc";"LETTRES MODERNES";"LGT-JOSEPH SAVINA-TREGUIER";"2ND5, 1G2, 1G3, 1G1, 2BTS BAN";"";""
"152450";"";"Enseignant";"CEMJONG001";"Ike";"ike.cemjong001";"ike.cemjong001";"pjx4hzky";"LETTRES MODERNES";"LGT-JOSEPH SAVINA-TREGUIER";"1STMG, 1STD2A, 1G1, 2ND3, 2ND2, TG3, TG2, TG1, TSTMG, 1G3, 1G2";"";""
"1955418";"";"Enseignant";"CIOFFI001";"Rizvan";"rizvan.cioffi001";"rizvan.cioffi001";"chyhxy7j";"GENIE INDUSTRIEL BOIS, EBENISTERIE D'ART, ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LP-JOSEPH SAVINA-TREGUIER, LGT-JOSEPH SAVINA-TREGUIER";"2TMA, TTMA, ";"";""
"1421061";"";"Enseignant";"FAHEY001";"Bérenger";"berenger.fahey001";"berenger.fahey001";"6yc4dhe5";"SANS OBJET";"LGT-JOSEPH SAVINA-TREGUIER";"";"";""
"18005";"";"Enseignant";"FAINAZ001";"Eidel";"eidel.fainaz001";"eidel.fainaz001";"jb5b8ccy";"MATHEMATIQUES";"LGT-JOSEPH SAVINA-TREGUIER";"2ND4, 2ND5, 1G2, 1G3, TG3, TG1, 1G1";"";""
"506373";"";"Enseignant";"FARINA001";"Bouchra";"bouchra.farina001";"bouchra.farina001";"wsznhyh3";"ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-JOSEPH SAVINA-TREGUIER";"1DNGRAPH, 1DNMAT, 1STD2A, TSTD2A";"";""
"829464";"";"Enseignant";"FEEHAN001";"Patrizzia";"patrizzia.feehan001";"patrizzia.feehan001";"t55yj3h5";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-JOSEPH SAVINA-TREGUIER";"1G1, 1G3, 1G2, 2ND2, 1DNMAT, TG2, TG1, 2ND5";"";""
"881809";"";"Enseignant";"GELAL001";"Naima";"naima.gelal001";"naima.gelal001";"9y4s8fwt";"SANS OBJET, ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-JOSEPH SAVINA-TREGUIER, LP LYC METIER-ROSA PARKS-ROSTRENEN";", 1B AEPA, TB SPVL, T AEPE, 2 AEPE, T AS, 2 AS";"";""
"177992";"";"Enseignant";"GRENNAN001";"Tayzon";"tayzon.grennan001";"tayzon.grennan001";"d5gzpe4e";"GENIE INDUSTRIEL BOIS, ENSEIGNEMENTS ARTISTIQUES ET ARTS APPLIQ";"LGT-JOSEPH SAVINA-TREGUIER, LP-JOSEPH SAVINA-TREGUIER";", 1TMA, TTMA";"";""
"557212";"";"Enseignant";"GURMACHAN001";"Asif";"asif.gurmachan001";"asif.gurmachan001";"pfxxxb7j";"ECO-GEST.OPTION MARKETING";"LGT-JOSEPH SAVINA-TREGUIER";"1STMG, TSTMG";"";""
"698745";"";"Enseignant";"HICKMAN001";"Sheryn";"sheryn.hickman001";"sheryn.hickman001";"g5xpe4n8";"SANS OBJET";"LGT-JOSEPH SAVINA-TREGUIER";"";"";""
"1106126";"";"Enseignant";"HICKS001";"Louison";"louison.hicks001";"louison.hicks001";"dc75pdxh";"HISTOIRE GEOGRAPHIE";"LGT-JOSEPH SAVINA-TREGUIER";"2ND3, 2ND5, TG2, TG3, TG1, 1G2, TSTD2A";"";""
