"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1760738";"";"Enseignant";"AGEEL001";"Avit";"avit.ageel001";"avit.ageel001";"y5xdnzvx";"LETTRES MODERNES";"LGT-JULES LESVEN-BREST";"1GEN1, TS1CI, 2NDE2";"";""
"1703668";"";"Enseignant";"ANNUNZIATA001";"Jémima";"jemima.annunziata001";"jemima.annunziata001";"wcggzysv";"GENIE CIVIL";"LGT-JULES LESVEN-BREST";"TS1PI, TS2PI";"";""
"144855";"";"Enseignant";"BASTOL001";"Erdi";"erdi.bastol001";"erdi.bastol001";"fngy4rfn";"ECO-GEST.OPTION MARKETING";"LGT-JULES LESVEN-BREST";"TERSTMG4, TS2GPME";"";""
"745251";"";"Enseignant";"BECK001";"Anneli";"anneli.beck001";"anneli.beck001";"wr99xb7n";"SANS OBJET, LETTRES MODERNES";"LGT-JULES LESVEN-BREST, CLG-EDOUARD QUEAU-PLOUDALMEZEAU";"";"";""
"1459415";"";"Enseignant";"BELLO001";"Consuela";"consuela.bello001";"consuela.bello001";"x5erwsxx";"ECO-GEST.OPTION MARKETING, ECO ET GEST.OPTION COMM, ORG, GRH";"LGT-JULES LESVEN-BREST, LGT-AMIRAL RONARC'H-BREST";"1STMG3, 1STMG1, 1STMG4, 1STMG1";"";""
"11476";"";"Enseignant";"BHOMJAN001";"Ayten";"ayten.bhomjan001";"ayten.bhomjan001";"vbtnn8jk";"ECO-GEST.OPTION COMPTABILITE ET FINANCE";"LGT-JULES LESVEN-BREST";"TERSTMG4";"";""
"415817";"";"Enseignant";"BIKA001";"Codou";"codou.bika001";"codou.bika001";"rkygm6pj";"SANS OBJET, ESPAGNOL";"LGT-JULES LESVEN-BREST, CLG-SAINT-POL ROUX-BREST";"";"";""
"238516";"";"Enseignant";"BISI001";"Johann";"johann.bisi001";"johann.bisi001";"kdx8r5eh";"LETTRES MODERNES";"LGT-JULES LESVEN-BREST";"";"";""
"1906336";"";"Enseignant";"BRANNIGAN001";"Genevieve";"genevieve.brannigan001";"genevieve.brannigan001";"mtvcnw7b";"ECO-GEST.OPTION MARKETING";"LGT-JULES LESVEN-BREST";"TS2CI, TS1CI";"";""
"731040";"";"Enseignant";"BRESSAN001";"Néssa";"nessa.bressan001";"nessa.bressan001";"j8dhweh8";"ECO-GEST.OPTION COMPTABILITE ET FINANCE, ECO-GEST OPTION GESTION ADMINISTRATIVE";"LPO-DUPUY DE LOME-BREST, LGT-JULES LESVEN-BREST";"2D2, 2D1, 1ORGO, 1AFB, TERSTMG3, 1STMG2";"";""
"230498";"";"Enseignant";"CANDA001";"Elohann";"elohann.canda001";"elohann.canda001";"3z7z67sd";"SANS OBJET, EDUCATION PHYSIQUE ET SPORTIVE, EDUCATION PHYSIQUE ET SPORTIVE";"LGT-JULES LESVEN-BREST, LP-JULES LESVEN-BREST, CLG-DE LA FONTAINE BLANCHE-PLOUGASTEL-DAOULAS";"1STMG2, 2NDE3, 2 B MRC2, 1B CV B, 1B AGORA, TC EPC3, TB MA, T B MMV, ";"";""
"926982";"";"Enseignant";"CAREW001";"Ynés";"ynes.carew001";"ynes.carew001";"gsceez8v";"ECO-GEST.OPTION MARKETING";"LGT-JULES LESVEN-BREST";"TS1PI";"";""
"1002603";"";"Enseignant";"CAULAGAI001";"Cornil";"cornil.caulagai001";"cornil.caulagai001";"5fe685fy";"HISTOIRE GEOGRAPHIE";"LGT-JULES LESVEN-BREST";"TERSTMG3, 1GEN1, TERSTMG4, TERSTMG2, TGEN2, 1GEN3, 1GEN2, 1STMG2";"";""
"1064329";"";"Enseignant";"CHABAUD001";"Hyanis";"hyanis.chabaud001";"hyanis.chabaud001";"msvbaemp";"SANS OBJET";"LGT-JULES LESVEN-BREST";"";"";""
"591446";"";"Enseignant";"CHAN001";"Genia";"genia.chan001";"genia.chan001";"mv5m3wsj";"ANGLAIS";"LGT-JULES LESVEN-BREST";"TERSTMG3, TERSTMG2, 1GEN1, 1GEN2, 1GEN3, TGEN2, 1STMG1";"";""
"1328602";"";"Enseignant";"CIMMINO001";"Neylah";"neylah.cimmino001";"neylah.cimmino001";"vnwsjfhb";"ESPAGNOL";"LGT-JULES LESVEN-BREST";"1GEN2, 1STMG2, 1STMG1, 1GEN3, 2NDE3, 1STMG3, TERSTMG2, 2NDE4, TERSTMG1, TGEN3, TERSTMG4";"";""
"1870906";"";"Enseignant";"CLARK001";"Hasiba";"hasiba.clark001";"hasiba.clark001";"zcybkeht";"ANGLAIS, ANGLAIS";"LG-LA PEROUSE-KERICHEN-BREST, LGT-JULES LESVEN-BREST";"LS 1, 1SUP1, MP2, LS 2, CPEC1, CPEC2";"";""
"630066";"";"Enseignant";"COCCIA001";"Maïra";"maira.coccia001";"maira.coccia001";"56ffknm8";"ECO-GEST.OPTION MARKETING";"LGT-JULES LESVEN-BREST";"1STMG3, TERSTMG1";"";""
"995262";"";"Enseignant";"COTTER001";"Lolan";"lolan.cotter001";"lolan.cotter001";"9m4m7k3m";"LETTRES MODERNES";"LGT-JULES LESVEN-BREST";"TS1C, 1GEN2, TS1GPME, 1STMG2, 1STMG1, 1GEN3";"";""
"218009";"";"Enseignant";"COYNE001";"Fehd";"fehd.coyne001";"fehd.coyne001";"hmpj5tfx";"SANS OBJET, MATHEMATIQUES, MATHEMATIQUES";"LGT-JULES LESVEN-BREST, CLG-VICTOIRE DAUBIE-PLOUZANE, CLG-LES QUATRE MOULINS-BREST";"1STMG2, 1STMG3, 1STMG4, , 5B, 4D";"";""
"1831771";"";"Enseignant";"CREGAN001";"Kaylhia";"kaylhia.cregan001";"kaylhia.cregan001";"jvr5cyfw";"SANS OBJET, SCIENCES ECONOMIQUES ET SOCIALES, ECO ET GEST.OPTION COMM, ORG, GRH, SCIENCES ECONOMIQUES ET SOCIALES";"LGT-JULES LESVEN-BREST, LPO LYC METIER-DE L'ELORN-LANDERNEAU";"2NDE3, 2NDE2, 2NDE4, 2NDE1, 2H, 2C, 2K";"";""
