"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"540050";"";"Enseignant";"AGOSTINI001";"Maria-José";"maria-jose.agostini001";"maria-jose.agostini001";"";"HISTOIRE GEOGRAPHIE";"LGT-MAUPERTUIS-SAINT-MALO";"2B, 2A, 1 GB, 1 GA";"";""
"1610212";"";"Enseignant";"AISEK001";"Elyesa";"elyesa.aisek001";"elyesa.aisek001";"33btdbvx";"SII OPTION INGENIERIE MECANIQUE";"LGT-MAUPERTUIS-SAINT-MALO";"2C, 1 GB, TGB, 2B, 1STI2D B, 2A, 1STI2D A";"";""
"1476208";"";"Enseignant";"ANDON001";"Oussema";"oussema.andon001";"oussema.andon001";"ee3bdmzz";"SII OPTION ENERGIE";"LGT-MAUPERTUIS-SAINT-MALO";"BTS1ELEC";"";""
"1143265";"";"Enseignant";"AYRES001";"Mayda";"mayda.ayres001";"mayda.ayres001";"wwtn88r5";"SANS OBJET, LETTRES MODERNES";"CLG-PAUL FEVAL-DOL-DE-BRETAGNE, LGT-MAUPERTUIS-SAINT-MALO";"65, 67, 43, 37, ";"";""
"1368963";"";"Enseignant";"BADHAHI001";"Éllie";"ellie.badhahi001";"ellie.badhahi001";"f6zx8jnn";"HISTOIRE GEOGRAPHIE";"LGT-MAUPERTUIS-SAINT-MALO";"2C, 2D, TGA, 1ST2S B, TGB, TST2S B, TST2S A";"";""
"227833";"";"Enseignant";"BELLONI001";"Jillali";"jillali.belloni001";"jillali.belloni001";"849ykwgf";"SANS OBJET, GESTION ET INFORMATIQUE";"LPO-JACQUES CARTIER-SAINT-MALO, LGT-MAUPERTUIS-SAINT-MALO";"";"";""
"768776";"";"Enseignant";"BERGAGNIN001";"Hymed";"hymed.bergagnin001";"hymed.bergagnin001";"ypn4zmcr";"SII OPTION INGENIERIE MECANIQUE";"LGT-MAUPERTUIS-SAINT-MALO";"2A, 1STI2D B, 2B, TSTIL, 2C, 1STI2D A, 2D";"";""
"425992";"";"Enseignant";"BONO001";"Shimene";"shimene.bono001";"shimene.bono001";"yy3zr6gd";"SANS OBJET, LETTRES MODERNES";"CLG-CHATEAUBRIAND-SAINT-MALO, LGT-MAUPERTUIS-SAINT-MALO";"4A, 4B, 4C, ";"";""
"628680";"";"Enseignant";"CAMPANELLA001";"Patrizzia";"patrizzia.campanella001";"patrizzia.campanella001";"nrnzhp8v";"MATH.SCIENCES PHYSIQUES, MATHEMATIQUES";"LGT-MAUPERTUIS-SAINT-MALO, LP-MAUPERTUIS-SAINT-MALO";", TBPTCI, 3PMS, TBPMELEC, TBPMEI, 2MSPC, 3PMC";"";""
"1378936";"";"Enseignant";"CISSE001";"Nere";"nere.cisse001";"nere.cisse001";"4y65mw4w";"SANS OBJET, EDUCATION  (CE ,CPE)";"LGT-MAUPERTUIS-SAINT-MALO, CLG-LOUIS DE CHAPPEDELAINE-PLENEE-JUGON";"";"";""
"686227";"";"Enseignant";"COULTER001";"Alyssah";"alyssah.coulter001";"alyssah.coulter001";"dsdhsys4";"LETTRES MODERNES";"LGT-MAUPERTUIS-SAINT-MALO";"BTS1ELEC, BTS2ELEC, BTS1SN";"";""
"131633";"";"Enseignant";"CUOMO001";"Cloé";"cloe.cuomo001";"cloe.cuomo001";"yxs6rwb5";"MATHEMATIQUES";"LGT-MAUPERTUIS-SAINT-MALO";"TSTIL, 2B, 1 GA, TST2S B";"";""
"1910707";"";"Enseignant";"DEVINE001";"Mayssan";"mayssan.devine001";"mayssan.devine001";"6psknk6e";"SANS OBJET";"LGT-MAUPERTUIS-SAINT-MALO";"";"";""
"138044";"";"Enseignant";"DHUNIY001";"Woury";"woury.dhuniy001";"woury.dhuniy001";"w9bsfxfs";"PHYSIQUE ET ELECTRICITE APPLIQUEE";"LGT-MAUPERTUIS-SAINT-MALO";"BTS2ELEC";"";""
"290035";"";"Enseignant";"DICKO001";"Thalyna";"thalyna.dicko001";"thalyna.dicko001";"64yrka67";"BIOCHIMIE-GENIE BIOLOGIQUE";"LGT-MAUPERTUIS-SAINT-MALO";"2B, 2A, 2D, 1STL, 2C, TST2S A";"";""
"1551949";"";"Enseignant";"DYSON001";"Jouneid";"jouneid.dyson001";"jouneid.dyson001";"";"SANS OBJET, PHILOSOPHIE, PHILOSOPHIE";"LPO-YVON BOURGES-DINARD, LGT-MAUPERTUIS-SAINT-MALO, LGT-FRANCOIS RENE DE CHATEAUBRIAND-COMBOURG";"TSTHR1, TSTHR2, , 1G6, 1G4, 1G2, TG4, 1G1, 1G5, 1G3, TG5";"";""
"1886129";"";"Enseignant";"EUSTACE001";"Dolan";"dolan.eustace001";"dolan.eustace001";"";"PHYSIQUE ET ELECTRICITE APPLIQUEE";"LGT-MAUPERTUIS-SAINT-MALO";"1STI2D A, 1STI2D B, TGA, 1 GA, TSTIL, TGB, BTS2ELEC, 1 GB";"";""
"1113351";"";"Enseignant";"FAROOQ001";"Wayden";"wayden.farooq001";"wayden.farooq001";"g8kfxgk4";"SII OPTION INGENIERIE MECANIQUE";"LGT-MAUPERTUIS-SAINT-MALO";"1STI2D B, 1STI2D A, TSTIL";"";""
"121444";"";"Enseignant";"FONTANA001";"Nissaf";"nissaf.fontana001";"nissaf.fontana001";"cw6brnt6";"SANS OBJET, DIRECTION ADJOINT AU CHEF ETABLISSEMENT, HISTOIRE GEOGRAPHIE";"LPO-JACQUES CARTIER-SAINT-MALO, LGT-MAUPERTUIS-SAINT-MALO";"";"";""
"1806253";"";"Enseignant";"GILLEN001";"Marwane";"marwane.gillen001";"marwane.gillen001";"pdwcsycr";"SII OPTION ENERGIE";"LGT-MAUPERTUIS-SAINT-MALO";"BTS2ELEC, BTS1ELEC";"";""
"210969";"";"Enseignant";"HAYMES001";"Eylul";"eylul.haymes001";"eylul.haymes001";"f6ascb45";"DOCUMENTATION";"LGT-MAUPERTUIS-SAINT-MALO";"";"";""
"68269";"";"Enseignant";"HUGHES001";"Moadh";"moadh.hughes001";"moadh.hughes001";"3zh73rmt";"SANS OBJET";"LGT-MAUPERTUIS-SAINT-MALO";"";"";""
"804010";"";"Enseignant";"IANNONE001";"Elisabeth-Marie";"elisabeth-marie.iannone001";"elisabeth-marie.iannone001";"7p69sy6z";"ANGLAIS";"LGT-MAUPERTUIS-SAINT-MALO";"2A, 2D, TST2S A, 1 GA, 1ST2S B";"";""
"1443789";"";"Enseignant";"IFASHA001";"Chahina";"chahina.ifasha001";"chahina.ifasha001";"4zjd3ytp";"SANS OBJET, SCIENCES DE LA VIE ET DE LA TERRE, BIOCHIMIE-GENIE BIOLOGIQUE";"LPO-JACQUES CARTIER-SAINT-MALO, LGT-MAUPERTUIS-SAINT-MALO";", 2B, 2A, 1ST2S B, 1ST2S A";"";""
"1827261";"";"Enseignant";"IQBAL001";"San";"san.iqbal001";"san.iqbal001";"";"BIOCHIMIE-GENIE BIOLOGIQUE, BIOTECHNOLOGIES SANTE-ENVIRONNEMENT(E F";"LP-MAUPERTUIS-SAINT-MALO, LGT-MAUPERTUIS-SAINT-MALO";", 1STL, TSTIL";"";""
"715959";"";"Enseignant";"JOWETT001";"Marie-Elsa";"marie-elsa.jowett001";"marie-elsa.jowett001";"35b7kmnd";"ALLEMAND, ALLEMAND";"LGT-MAUPERTUIS-SAINT-MALO, LPO-JACQUES CARTIER-SAINT-MALO";"1STI2D B, 1STL, 2B, 2C, 1 GB, TGA, 1ST2S B, TGB, TSTIL, 1 GA, TST2S B, 2A, 1 MCA, 1STMG1, 1AGORA, T-A, T-E, 1D, 1C, T-B, TSTMG2, T-F, TSTMG1, TSTMG3, 1E, T-D, T MCA, T G-A, 2D, 1MVB-ACC, 1A, 2 MRC1, 2 GA-TL, 2I, 2H";"";""
"1226807";"";"Enseignant";"KALAWARIN001";"Austin";"austin.kalawarin001";"austin.kalawarin001";"3cezpjbt";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-MAUPERTUIS-SAINT-MALO";"TGB, 2C, 2D, TGA";"";""
