"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"382410";"";"Enseignant";"AIRA001";"Urielle";"urielle.aira001";"urielle.aira001";"";"SANS OBJET, LETTRES MODERNES";"CLG-CLOTILDE VAUTIER-RENNES, LGT-RENE CASSIN-MONTFORT-SUR-MEU";"6C, 6A, 6B, 5E, 5C, 4A, ";"";""
"1186796";"";"Enseignant";"AMADORI001";"Souheila";"souheila.amadori001";"souheila.amadori001";"xgy4sydp";"LETTRES MODERNES";"LGT-RENE CASSIN-MONTFORT-SUR-MEU";"201, 1G3, 208, 1G4";"";""
"1637367";"";"Enseignant";"ARCAY001";"Xavina";"xavina.arcay001";"xavina.arcay001";"x5vp7ddk";"ANGLAIS";"LGT-RENE CASSIN-MONTFORT-SUR-MEU";"208, 207, 209, 206, 211, TG4, 1G5, 1G6, 1G4";"";""
"1536099";"";"Enseignant";"AREESH001";"De";"de.areesh001";"de.areesh001";"";"MATHEMATIQUES";"LGT-RENE CASSIN-MONTFORT-SUR-MEU";"204, 212, 1G4, TG3, 1STMG2";"";""
"794105";"";"Enseignant";"ARJEL001";"Jean-Gregory";"jean-gregory.arjel001";"jean-gregory.arjel001";"";"SCIENCES PHYSIQUES ET CHIMIQUES";"LGT-RENE CASSIN-MONTFORT-SUR-MEU";"209, 201, TG2, 1G3, TG3, TG4, 1G4, TG7";"";""
"94370";"";"Enseignant";"BARONE001";"Zakaria";"zakaria.barone001";"zakaria.barone001";"7my7pk4t";"SANS OBJET, SCIENCES DE LA VIE ET DE LA TERRE";"LGT-RENE CASSIN-MONTFORT-SUR-MEU";"201, 1G2, 1G3, 1G1";"";""
"879789";"";"Enseignant";"KAYASTH001";"Khelifa";"francois-rene.berdon001";"francois-rene.berdon001";"pgnyftse";"EDUCATION PHYSIQUE ET SPORTIVE";"LGT-RENE CASSIN-MONTFORT-SUR-MEU";"208, 210, 211, TG6, TG7, TSTMG2, TG4, 1STMG1, 1G4";"";"Marlène BARKER001, Mokrane DUDLEY001"
"954033";"";"Enseignant";"BERDON001";"Taliah";"taliah.berdon001";"taliah.berdon001";"se5frxcs";"MATHEMATIQUES";"LGT-RENE CASSIN-MONTFORT-SUR-MEU";"209, 207, 1G5";"";""
"1420380";"";"Enseignant";"BIBI001";"Marcienne";"marcienne.bibi001";"marcienne.bibi001";"yc4k4hmz";"DOCUMENTATION, DOCUMENTATION";"LGT-BREQUIGNY-RENNES, LGT-RENE CASSIN-MONTFORT-SUR-MEU";"";"";""
"1224729";"";"Enseignant";"BOND001";"Maevy";"maevy.bond001";"maevy.bond001";"9xbyfefh";"HISTOIRE GEOGRAPHIE";"LGT-RENE CASSIN-MONTFORT-SUR-MEU";"TG1, TG7, 1G6";"";""
"980733";"";"Enseignant";"BORGHI001";"Jean-Aime";"jean-aime.borghi001";"jean-aime.borghi001";"74grhvks";"MATHEMATIQUES";"LGT-RENE CASSIN-MONTFORT-SUR-MEU";"204, 212, 1G3, 1G1, TG7, TG4, TG3, TG5";"";""
