"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"775065";"";"Enseignant";"FAWWAZ001";"Simonetta";"simonetta.fawwaz001";"simonetta.fawwaz001";"fzysxpaw";"SANS SPECIALITE";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"";"";""
"1416987";"";"Enseignant";"FIKRY001";"Yoline";"yoline.fikry001";"yoline.fikry001";"5jkzstvw";"SANS SPECIALITE";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"";"";""
"238882";"";"Enseignant";"GROSSO001";"Marie-Cathy";"marie-cathy.grosso001";"marie-cathy.grosso001";"rdynv8w6";"DIRECTION";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"";"";""
"673882";"";"Enseignant";"JENKINSON001";"Kalyna";"kalyna.jenkinson001";"kalyna.jenkinson001";"cr6mydn8";"SANS OBJET";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"";"";""
"859748";"";"Enseignant";"KENNERLEY001";"Kaëla";"kaela.kennerley001";"kaela.kennerley001";"dm8gzd8c";"SANS OBJET, SANS SPECIALITE";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"";"";""
"1352503";"";"Enseignant";"KILLEEN001";"Siyana";"siyana.killeen001";"siyana.killeen001";"d9cefrk5";"SANS SPECIALITE";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"";"";""
"1699502";"";"Enseignant";"PARRY001";"Lyzea";"lyzea.parry001";"lyzea.parry001";"9w9pkz55";"SANS SPECIALITE";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"";"";""
"63233";"";"Enseignant";"SODIQ001";"June";"june.sodiq001";"june.sodiq001";"hn5gf4f4";"SANS SPECIALITE";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"";"";""
"1548611";"";"Enseignant";"VISVAKARM001";"Isalis";"isalis.visvakarm001";"isalis.visvakarm001";"3bjdk9cx";"SANS SPECIALITE";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"";"";""
"869152";"";"Élève";"ACHAMI001";"June";"june.achami001";"june.achami001";"58gecdx8";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229359 - GS";"";"Mustafa MAZZONE001, Walaa GADI001"
"602394";"";"Élève";"AFIYA001";"Attika";"attika.afiya001";"attika.afiya001";"zfxy3xns";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229362 - GS";"";"Louis-Henry SUDI001, Thanya MARRIOTT001"
"1084943";"";"Élève";"AMOS001";"Tamba";"tamba.amos001";"tamba.amos001";"5ge3cecm";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229371 - GS";"";"Rainald THAKURUFAANU001, Liya IULIANO001"
"264891";"";"Élève";"ASHIR001";"Hamidou";"hamidou.ashir001";"hamidou.ashir001";"gee46jz4";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229360 - MS";"";"Mihai QUANTRILL001, Senna COTTLE001"
"1308888";"";"Élève";"BALAMPAKI001";"Kebir";"kebir.balampaki001";"kebir.balampaki001";"beaxs575";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229371 - GS";"";"Aniceto RAHMAN001, Fatoumata LEPORE001"
"582918";"";"Élève";"BASSI001";"Floryane";"floryane.bassi001";"floryane.bassi001";"7kgtwwt8";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229359 - GS";"";"Jeanne-Elisabeth MOOMIN001, Pierre-Baptiste LAWSON001"
"1013865";"";"Élève";"BASTOL001";"Marvel";"marvel.bastol001";"marvel.bastol001";"wx96y7ms";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229362 - GS";"";"Orpheo O'HARE001, Galina HATTON001"
"1487178";"";"Élève";"BENDER001";"Jéröme";"jerome.bender001";"jerome.bender001";"egeagwkh";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229371 - GS";"";"Ildefonse MISRA001, Nadjati SWYNENBURG001"
"1973643";"";"Élève";"BHURTEL001";"Lounia";"lounia.bhurtel001";"lounia.bhurtel001";"p8vf4ecz";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229365 - MS";"";"Gabriël CEMJON001, Dijana MAHARJAN001"
"1577286";"";"Élève";"BROOK001";"Rosange";"rosange.brook001";"rosange.brook001";"vrfh65ck";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229371 - GS";"";"Adelbert WILKINSON001, Begonia SUBWA001"
"647872";"";"Élève";"BUCKLEY001";"Leandru";"leandru.buckley001";"leandru.buckley001";"9ry75dzr";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229360 - MS";"";"Ferdinand AHUSAN001, Ruthy CASELLI001"
"235451";"";"Élève";"BULICHE001";"Emmi";"emmi.buliche001";"emmi.buliche001";"wwczn7m3";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229362 - GS";"";"Éliano WOOLNOUGH001, Giulio THAPALIY001"
"1419998";"";"Élève";"BUSH001";"Lucilien";"lucilien.bush001";"lucilien.bush001";"rpmrrs3b";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229365 - MS";"";"Djuna TRIPATHI001, Syriane MAMDHOOHA001"
"1877612";"";"Élève";"BUTCHER001";"Tymothee";"tymothee.butcher001";"tymothee.butcher001";"arjzzjs3";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229360 - MS";"";"Kyrian CRAIG001, Oliphie PADHYAY001"
"406384";"";"Élève";"CANNON001";"Sharvin";"sharvin.cannon001";"sharvin.cannon001";"wzcwx4ss";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229359 - GS";"";"Noèmie ROMANI001, Manha MCENTEE001"
"980113";"";"Élève";"CARTWRIGHT001";"Adelaide";"adelaide.cartwright001";"adelaide.cartwright001";"5hhxynyf";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229362 - GS";"";"Jessim GUERIN001, Umair LUPI001"
"1016419";"";"Élève";"CARTY001";"Auregan";"auregan.carty001";"auregan.carty001";"8jrccjgf";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229365 - MS";"";"Ilhann SCHOFIELD001, Azalaïs ZAMEEL001"
"505271";"";"Élève";"CASTALDO001";"Safoua";"safoua.castaldo001";"safoua.castaldo001";"hc96vkta";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229371 - GS";"";"Léhana STEEL001, Maelya SIVABHAKTI001"
"685094";"";"Élève";"CLERKIN001";"Nathanael";"nathanael.clerkin001";"nathanael.clerkin001";"r5dyn5b6";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229361 - MS";"";"Maëliss SARACINO001, Stellie BURNETT001"
"1390241";"";"Élève";"COLL001";"Aleks";"aleks.coll001";"aleks.coll001";"mc5vsn5z";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229371 - GS";"";"Ange-Emmanuel MOKTAN001, Lania GANDHARV001"
"1057032";"";"Élève";"CONDRON001";"Rayhan";"rayhan.condron001";"rayhan.condron001";"h55bsbvx";"";"E.M.PU-BEAUSOLEIL-CESSON-SEVIGNE";"229371 - GS";"";"Caitleen GAYNOR001, Maksymilian RUGGERI001"
