"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1486042";"";"Enseignant";"DONOHOE001";"Auregann";"auregann.donohoe001";"auregann.donohoe001";"ep4j8bhk";"SANS OBJET, BRETON, BRETON";"E.M.PU-FRANCOISE DOLTO-PLOERMEL, E.E.PU-JULES VERNE-PLOERMEL";"";"";""
"142185";"";"Enseignant";"KASER001";"Djamelia";"djamelia.kaser001";"djamelia.kaser001";"98dmhfrm";"DIRECTION";"E.M.PU-FRANCOISE DOLTO-PLOERMEL";"";"";""
"204374";"";"Enseignant";"MIYAIN001";"Ilenia";"ilenia.miyain001";"ilenia.miyain001";"wxmbsswr";"SANS SPECIALITE";"E.M.PU-FRANCOISE DOLTO-PLOERMEL";"";"";""
"1838554";"";"Élève";"ADAMO001";"Kateleen";"kateleen.adamo001";"kateleen.adamo001";"5gkmyyfp";"";"E.M.PU-FRANCOISE DOLTO-PLOERMEL";"229813 - MS";"";"Lee-Lou HOWELL001"
"1330451";"";"Élève";"BELWASE001";"Eliann";"eliann.belwase001";"eliann.belwase001";"sys4ecm4";"";"E.M.PU-FRANCOISE DOLTO-PLOERMEL";"229812 - TPS";"";"Manssour MULHERN001"
"641412";"";"Élève";"BENEBIG001";"Paol";"paol.benebig001";"paol.benebig001";"8n4mky7k";"";"E.M.PU-FRANCOISE DOLTO-PLOERMEL";"229814 - GS";"";"Tehau FAZEEN001, Deirdre GIUSTI001"
"1585854";"";"Élève";"BUDHATHOKI001";"Jorry";"jorry.budhathoki001";"jorry.budhathoki001";"jvbt4d8n";"";"E.M.PU-FRANCOISE DOLTO-PLOERMEL";"229813 - MS";"";"Janaina NIUMA001, Antinéa REEHAN001"
"58271";"";"Élève";"BURNETT001";"Moulay";"moulay.burnett001";"moulay.burnett001";"d5thfc4y";"";"E.M.PU-FRANCOISE DOLTO-PLOERMEL";"229814 - GS";"";"Dominico HARTLEY001, Guillaume CATALDO001"
"1921613";"";"Élève";"CLEARY001";"Steave";"steave.cleary001";"steave.cleary001";"z3nrv5nb";"";"E.M.PU-FRANCOISE DOLTO-PLOERMEL";"229813 - MS";"";"Gianluca GILBERT001, Ourida BOLGER001"
"1361692";"";"Élève";"CONSIDINE001";"Nerma";"nerma.considine001";"nerma.considine001";"6pp5hpek";"";"E.M.PU-FRANCOISE DOLTO-PLOERMEL";"229812 - TPS";"";"Kamala NASHEED001, Ashley HORTON001"
"1292325";"";"Élève";"CUOMO001";"Yéva";"yeva.cuomo001";"yeva.cuomo001";"p6cvmpjj";"";"E.M.PU-FRANCOISE DOLTO-PLOERMEL";"229815 - GS";"";"Thiane EUSTACE001, Nolanne DEVITT001"
