"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"257105";"";"Enseignant";"CARLINI001";"Adrianna";"adrianna.carlini001";"adrianna.carlini001";"as3bwpg9";"SANS SPECIALITE";"E.M.PU-JACQUES PREVERT-LOUDEAC";"";"";""
"251086";"";"Enseignant";"LATTANZI001";"Illiona";"illiona.lattanzi001";"illiona.lattanzi001";"5m5kx63g";"SANS SPECIALITE";"E.M.PU-JACQUES PREVERT-LOUDEAC";"";"";""
"1413633";"";"Élève";"AYLWARD001";"Odet";"odet.aylward001";"odet.aylward001";"3zytxk7n";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229009 - MS";"";"Sohane BALDI001, Krisna NEVILLE001"
"1211320";"";"Élève";"AZMATH001";"Emryck";"emryck.azmath001";"emryck.azmath001";"7djdf65k";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229007 - PS";"";"Sohayl COSTELLOE001, Emi MICELI001"
"1725141";"";"Élève";"AZMEEL001";"Krystian";"krystian.azmeel001";"krystian.azmeel001";"g48ndga5";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229007 - PS";"";"Djanna LOCKHART001, Hayato SETI001"
"1293535";"";"Élève";"BADHAHI001";"Johaina";"johaina.badhahi001";"johaina.badhahi001";"xjnmfggf";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229009 - MS";"";"Marso KUMVAR001, Tayssia SAZNA001"
"1106013";"";"Élève";"BONO001";"Gurwan";"gurwan.bono001";"gurwan.bono001";"zcmtrpmk";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229009 - MS";"";"Oman KHAWAS001, Améthys BOTE001"
"1260490";"";"Élève";"BROPHY001";"Marie-Patricia";"marie-patricia.brophy001";"marie-patricia.brophy001";"8b4z88k3";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229009 - MS";"";"Zéphir DHANADI001, Moussia CARNEY001"
"1223634";"";"Élève";"BUCK001";"Léandre";"leandre.buck001";"leandre.buck001";"mdzdf6d9";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229009 - MS";"";"M'bark D'ANGELO001, Loenan BYRNES001"
"353401";"";"Élève";"CAPPELLO001";"Francis";"francis.cappello001";"francis.cappello001";"wj6gkfzt";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229008 - GS";"";"Bruny JNAWALI001, Maliana MARDI001"
"1634145";"";"Élève";"CAPUTO001";"Jazmine";"jazmine.caputo001";"jazmine.caputo001";"mxeb4c8t";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229007 - PS";"";"Sidonie BAKER001, Dahina PRIESTLEY001"
"1512105";"";"Élève";"CARRARA001";"Kaitlyne";"kaitlyne.carrara001";"kaitlyne.carrara001";"t8npkpej";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229007 - PS";"";"Natis COLE001, Aboubaka SHAMLA001"
"712360";"";"Élève";"CORRADI001";"Bartolomé";"bartolome.corradi001";"bartolome.corradi001";"bx3m4ydh";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229009 - MS";"";"M'bark D'ANGELO001, Loenan BYRNES001"
"1609072";"";"Élève";"CORSINI001";"Lemia";"lemia.corsini001";"lemia.corsini001";"h5jf86bt";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229007 - PS";"";"Ron FAYAAZ001, Ourida MUDABHARI001"
"642695";"";"Élève";"COUNIHAN001";"Alen";"alen.counihan001";"alen.counihan001";"e6pchcck";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229008 - GS";"";"Bengy GRIFFITH001, Djemila SPANO001"
"267731";"";"Élève";"CRIPPA001";"Ousama";"ousama.crippa001";"ousama.crippa001";"jnwzmdn3";"";"E.M.PU-JACQUES PREVERT-LOUDEAC";"229008 - GS";"";"Kadidjatou ALAMA001, Arly CHAN001"
