"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1274026";"";"Enseignant";"BULL001";"Zéline";"zeline.bull001";"zeline.bull001";"";"SANS SPECIALITE";"E.M.PU-KEROMAN-LORIENT";"";"";""
"1866671";"";"Enseignant";"DAMENI001";"Taous";"taous.dameni001";"taous.dameni001";"";"SANS SPECIALITE";"E.M.PU-KEROMAN-LORIENT";"";"";""
"300148";"";"Enseignant";"SWAN001";"Withney";"withney.swan001";"withney.swan001";"vxvdrra7";"DIRECTION";"E.M.PU-KEROMAN-LORIENT";"";"";""
"842518";"";"Enseignant";"ZAHEENA001";"Djanette";"djanette.zaheena001";"djanette.zaheena001";"";"SANS OBJET, SANS SPECIALITE, SANS SPECIALITE";"E.M.PU-KEROMAN-LORIENT, E.M.PU-NOUVELLE VILLE-LORIENT";"";"";""
"973211";"";"Élève";"ADIL001";"Hannaé";"hannae.adil001";"hannae.adil001";"x5rgrcbh";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Edmee SCOTT001, Keyssy CHARLEY001"
"41231";"";"Élève";"AFSAL001";"Louis-Guillaume";"louis-guillaume.afsal001";"louis-guillaume.afsal001";"65yzymsp";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Meidhi FEDERICO001, Aglaë HORNER001"
"1529136";"";"Élève";"BELOTTI001";"Nasséra";"nassera.belotti001";"nassera.belotti001";"gzp9vrdz";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Xaviera CULHANE001"
"1660320";"";"Élève";"BINA001";"Claudius";"claudius.bina001";"claudius.bina001";"dspjxg3k";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Élissa JALEEL001"
"399022";"";"Élève";"BORTOLOTTI001";"Diclane";"diclane.bortolotti001";"diclane.bortolotti001";"";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Lionel BANIY001, Landing RASHYD001"
"1001877";"";"Élève";"BOWDEN001";"Miloud";"miloud.bowden001";"miloud.bowden001";"";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Rokia GHLAN001"
"674618";"";"Élève";"BURT001";"Médina";"medina.burt001";"medina.burt001";"p9mbp4nd";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Ézio IACONO001, Anggun BANJADE001"
"472206";"";"Élève";"COGAN001";"Razika";"razika.cogan001";"razika.cogan001";"";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Abdelazziz STACEY001, Naïdy ISMAIL001"
"1609073";"";"Élève";"COSTANTINI001";"Alexandre";"alexandre.costantini001";"alexandre.costantini001";"yne58k9e";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Melis NAGY001"
"1181843";"";"Élève";"DAVID001";"Fenella";"fenella.david001";"fenella.david001";"8e8tpcss";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Marie-Claudia SHIMAU001, Roger-Pierre HARTNETT001"
"500389";"";"Élève";"DHUNIY001";"Lorentz";"lorentz.dhuniy001";"lorentz.dhuniy001";"47txvgyx";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Dris HULL001, Lucho KEANE001"
"539358";"";"Élève";"DOLO001";"Djessym";"djessym.dolo001";"djessym.dolo001";"fxxmggnz";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Camie BENETTI001, Oumeyma SOS001"
"117543";"";"Élève";"FANELLI001";"Cyprien";"cyprien.fanelli001";"cyprien.fanelli001";"74w8z6em";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Alliah BOWER001, Ademe FRIEL001"
"1228553";"";"Élève";"FAZEELA001";"Essra";"essra.fazeela001";"essra.fazeela001";"gnbeyfkm";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Firmaine FEDERICI001, Rupert PARIS001, Irati ANDREOLI001"
"1990457";"";"Élève";"FOGLIA001";"Pierre-Thomas";"pierre-thomas.foglia001";"pierre-thomas.foglia001";"gr6wnk48";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Vahine RASKOTI001, Haydar CASELLI001"
"1093199";"";"Élève";"FORSYTH001";"Lizandra";"lizandra.forsyth001";"lizandra.forsyth001";"8vhxbcgf";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Lionel BANIY001, Landing RASHYD001"
"214807";"";"Élève";"GANDOLFI001";"Nafi";"nafi.gandolfi001";"nafi.gandolfi001";"r5cdtmkk";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"El-Mehdi NASHIDA001, Waris DONNELLY001"
"941593";"";"Élève";"GANEE001";"Hassam";"hassam.ganee001";"hassam.ganee001";"g8sem7bv";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Martiale HENEGHAN001, Thérèse ALESSANDRINI001"
"766122";"";"Élève";"GODHA001";"Zalia";"zalia.godha001";"zalia.godha001";"tt58dwy3";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Honorat FAHUMEE001, Océanne DONNELLAN001"
"1861238";"";"Élève";"GRANT001";"Yves-Michel";"yves-michel.grant001";"yves-michel.grant001";"abkksywc";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Doni LIMVU001, Lily-Jane DAO001"
"1995312";"";"Élève";"GREENING001";"Rubenn";"rubenn.greening001";"rubenn.greening001";"77hk3xjv";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Vaclav HOLDEN001, Vi BENSON001"
"308795";"";"Élève";"GUGLIELMI001";"Wieslaw";"wieslaw.guglielmi001";"wieslaw.guglielmi001";"twwnjscn";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Théry PAYNE001, Shaona YADAB001"
"89817";"";"Élève";"HAINRICK001";"Shawn";"shawn.hainrick001";"shawn.hainrick001";"84ecxshf";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Moujib LUNN001, Chahd PLEDGER001"
"37705";"";"Élève";"HARKNESS001";"Meyssan";"meyssan.harkness001";"meyssan.harkness001";"sn35bhd4";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Stelly MORGAN001, Mélian KOM001"
"1696424";"";"Élève";"HASSEN001";"Selwa";"selwa.hassen001";"selwa.hassen001";"nasye5hr";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Warren WADEEFA001"
"292289";"";"Élève";"HILL001";"Éma";"ema.hill001";"ema.hill001";"ct39vaf5";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Martiale HENEGHAN001, Thérèse ALESSANDRINI001"
"198625";"";"Élève";"HOURIGAN001";"Shaïnez";"shainez.hourigan001";"shainez.hourigan001";"bwgphmxr";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Peline THAUFEEG001"
"210052";"";"Élève";"HOWE001";"Ineya";"ineya.howe001";"ineya.howe001";"g6h6jwpc";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Aliyar WISHAM001, Arletty LAZZARI001"
"960505";"";"Élève";"KHADAYAT001";"Ydrissa";"ydrissa.khadayat001";"ydrissa.khadayat001";"8fd3kn3s";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Yuki GARRY001, Kammel DAGAUR001"
"1023934";"";"Élève";"LEE001";"Hâroun";"haroun.lee001";"haroun.lee001";"3cj9vh3p";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Naig PAIJA001, Guy-André RIYASA001"
"1506083";"";"Élève";"LUTHFEE001";"Efrat";"efrat.luthfee001";"efrat.luthfee001";"gmjmh643";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Childeric NATHA001, Thanusan DOYLE001"
"799925";"";"Élève";"MAKADJI001";"Wanys";"wanys.makadji001";"wanys.makadji001";"a6wtrv8h";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Ayma BASEL001, Eliesse MISBAAH001"
"260558";"";"Élève";"MARTELLA001";"Djamilia";"djamilia.martella001";"djamilia.martella001";"4cweh6y3";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Noris GHAFOOR001, Lourde BEDFORD001"
"1647704";"";"Élève";"MASI001";"Marie-Germaine";"marie-germaine.masi001";"marie-germaine.masi001";"c5yhke7p";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Mayedine PIANA001, Kaysha POTTS001"
"1074890";"";"Élève";"MAURI001";"Marge";"marge.mauri001";"marge.mauri001";"wsjz9zfa";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Joen VALSECCHI001, Laona SAWYER001"
"1535689";"";"Élève";"MCKENNA001";"Kéliann";"keliann.mckenna001";"keliann.mckenna001";"53tamn4z";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Fériel RAZZAG001, Elory GANDHARV001"
"1927148";"";"Élève";"MORI001";"Idrys";"idrys.mori001";"idrys.mori001";"t6zwy3xj";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Elye NAHUZA001"
"1238250";"";"Élève";"MUIR001";"Hugo-Alexandre";"hugo-alexandre.muir001";"hugo-alexandre.muir001";"y8pykvj4";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Noussayba KNAPTON001, Khemara MILAZZO001"
"293164";"";"Élève";"NASEEM001";"Ramsey";"ramsey.naseem001";"ramsey.naseem001";"s6dh4345";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Serafin ROCHE001, Elyséa AGIL001"
"387295";"";"Élève";"NUGENT001";"Piedad";"piedad.nugent001";"piedad.nugent001";"8h5b6k95";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Sheryn SHUAIB001, Naïlan ALBANESE001"
"159936";"";"Élève";"NUZUHATH001";"Keliah";"keliah.nuzuhath001";"keliah.nuzuhath001";"fjve7s4p";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Laureleen GORI001"
"1965222";"";"Élève";"O'BRIEN001";"Mohamed-Idriss";"mohamed-idriss.obrien001";"mohamed-idriss.obrien001";"rj9cjx3c";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Lionel BANIY001, Landing RASHYD001"
"1716240";"";"Élève";"OUEDRAGO001";"Franchin";"franchin.ouedrago001";"franchin.ouedrago001";"rkttt98g";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Lyes BUTT001, Idaya MOORE001"
"1723131";"";"Élève";"PATHANIN001";"Tairik";"tairik.pathanin001";"tairik.pathanin001";"5hfn7jvf";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Luis-Miguel COSTANTINO001, Etem HAY001"
"1154589";"";"Élève";"PEARSON001";"Ziane";"ziane.pearson001";"ziane.pearson001";"3mn4adfr";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Jean-Paolo DICKO001, Gnima MERLI001"
"186015";"";"Élève";"SCALA001";"Sanjai";"sanjai.scala001";"sanjai.scala001";"8eyz9jk5";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Ernes NGUYEN001, Leonilde LUNGELI001"
"657168";"";"Élève";"SEBASTIANI001";"Othniel";"othniel.sebastiani001";"othniel.sebastiani001";"8vv35vbb";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Darine HELDART001"
"874054";"";"Élève";"SHAHIDA001";"Youenn";"youenn.shahida001";"youenn.shahida001";"kwnh6kjj";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Manaël YADAVANI001, Enory TOFTS001"
"1481924";"";"Élève";"SHAIRA001";"Ulisse";"ulisse.shaira001";"ulisse.shaira001";"v5v93tvd";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Gaudens WARD001, Jeannie NAIF001"
"1737961";"";"Élève";"SHIHAD001";"Rabia";"rabia.shihad001";"rabia.shihad001";"yd877apn";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Vicente O'MALLEY001, Vikram MIYAD001"
"1983952";"";"Élève";"SILLS001";"Nowfel";"nowfel.sills001";"nowfel.sills001";"cvvwmkrj";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Ibrahîm IZZO001, Beyda NIHAD001"
"1069096";"";"Élève";"SIMINA001";"Apollinaire";"apollinaire.simina001";"apollinaire.simina001";"wcxhzstp";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Meane PRAJA001, Emire SHIFAU001"
"176545";"";"Élève";"SINHA001";"Cristèle";"cristele.sinha001";"cristele.sinha001";"6grgdsh5";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Amable WABY001, Conchetta GARLAND001"
"1235280";"";"Élève";"SLENDER001";"Khaïs";"khais.slender001";"khais.slender001";"96nrxrym";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"";"Stelly MORGAN001, Mélian KOM001"
"822732";"";"Élève";"THAKURAI001";"Wassef";"wassef.thakurai001";"wassef.thakurai001";"xhvbrbfe";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS";"";"Tamer MUSTHAFA001, Saman MCMANUS001"
"914297";"";"Élève";"THAMI001";"Matyas";"matyas.thami001";"matyas.thami001";"hmesghh6";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Wahel BHATT001, Joaquine RAGUSA001"
"826370";"";"Élève";"TWOHIG001";"May-Lee";"may-lee.twohig001";"may-lee.twohig001";"g6t7tbay";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Elye NAHUZA001"
"830247";"";"Élève";"WOODS001";"Hugues-Antoine";"hugues-antoine.woods001";"hugues-antoine.woods001";"b8jpp383";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"";"Narimène SALLE001"
"1273682";"";"Parent";"SHIMAU001";"Marie-Claudia";"claire-anne.adheel001";"claire-anne.adheel001";"5ynjnf9m";"";"CLG-LEONARD DE VINCI-SAINT-BRIEUC, E.M.PU-KEROMAN-LORIENT";"4C, 224843 - MS";"Vitchenzo GUARINO001, Fenella DAVID001";""
"1337084";"";"Parent";"AGIL001";"Elyséa";"elysea.agil001";"elysea.agil001";"b4gnthxg";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"Ramsey NASEEM001";""
"695308";"";"Parent";"ALBANESE001";"Naïlan";"nailan.albanese001";"nailan.albanese001";"5y5xk9ke";"";"E.M.PU-KEROMAN-LORIENT";"224842 - PS";"Piedad NUGENT001";""
"1192043";"";"Parent";"ALESSANDRINI001";"Thérèse";"therese.alessandrini001";"therese.alessandrini001";"mbegkvv4";"";"E.M.PU-KEROMAN-LORIENT";"224843 - MS, 224842 - PS";"Éma HILL001, Hassam GANEE001";""
"255273";"";"Parent";"ANDREOLI001";"Irati";"irati.andreoli001";"irati.andreoli001";"kbyzak3z";"";"E.M.PU-KEROMAN-LORIENT";"224844 - GS";"Essra FAZEELA001";""
