"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1867478";"";"Enseignant";"CAPELLI001";"Prescylia";"prescylia.capelli001";"prescylia.capelli001";"v4nfp7v3";"SANS SPECIALITE";"E.M.PU-MERVILLE-LORIENT";"";"";""
"1398672";"";"Enseignant";"CASELLI001";"Maria-Luisa";"maria-luisa.caselli001";"maria-luisa.caselli001";"6r75bstc";"BRETON";"E.M.PU-MERVILLE-LORIENT";"";"";""
"1569507";"";"Enseignant";"COURTNEY001";"Chanella";"chanella.courtney001";"chanella.courtney001";"epnmkcwc";"SANS OBJET";"E.M.PU-MERVILLE-LORIENT";"";"";""
"1331447";"";"Enseignant";"DODD001";"Énaya";"enaya.dodd001";"enaya.dodd001";"";"SANS OBJET, SANS SPECIALITE";"E.M.PU-MERVILLE-LORIENT, E.M.PU-NOUVELLE VILLE-LORIENT";"";"";""
"1232023";"";"Enseignant";"DOOLEY001";"Prune";"prune.dooley001";"prune.dooley001";"rrcfrvmx";"SANS SPECIALITE";"E.M.PU-MERVILLE-LORIENT";"";"";""
"1250663";"";"Enseignant";"GASTALDI001";"Malo";"malo.gastaldi001";"malo.gastaldi001";"w79ybvfg";"DIRECTION";"E.M.PU-MERVILLE-LORIENT";"";"";""
"958434";"";"Élève";"ABDULLAH001";"Nabi";"nabi.abdullah001";"nabi.abdullah001";"jbzpegpr";"";"E.M.PU-MERVILLE-LORIENT";"222875 - TPS";"";"Mellinda GAGLIANO001, Dayrick SILANDER001"
"1878945";"";"Élève";"ALI001";"Soam";"soam.ali001";"soam.ali001";"6ccmnmcb";"";"E.M.PU-MERVILLE-LORIENT";"222875 - TPS";"";"Sylviane RISHFA001, Kény CERRI001"
"537526";"";"Élève";"ARYAL001";"Oguz";"oguz.aryal001";"oguz.aryal001";"gezgwdn5";"";"E.M.PU-MERVILLE-LORIENT";"222873 - GS";"";"Yma CARR001, Onur BADE001"
"1687415";"";"Élève";"BALAYAR001";"Sya";"sya.balayar001";"sya.balayar001";"9awp69yn";"";"E.M.PU-MERVILLE-LORIENT";"222872 - MS";"";"Tahïs SHARP001, Soham FOTI001"
"55612";"";"Élève";"BANJAR001";"William";"william.banjar001";"william.banjar001";"r487fwwh";"";"E.M.PU-MERVILLE-LORIENT";"222875 - TPS";"";"Bartholomé MAHON001, Achilles MANCUSO001"
"744326";"";"Élève";"BERGAMASCHI001";"Ézekiel";"ezekiel.bergamaschi001";"ezekiel.bergamaschi001";"4nxpstwx";"";"E.M.PU-MERVILLE-LORIENT";"222875 - TPS";"";"Cacilie GILSENAN001, Candyce DHUNIY001"
"1136973";"";"Élève";"BIGG001";"Arseline";"arseline.bigg001";"arseline.bigg001";"b8e4c7e6";"";"E.M.PU-MERVILLE-LORIENT";"222874 - GS";"";"Shanell NOONE001, Pierre-Hugo D'ARCY001"
"1777644";"";"Élève";"BLAND001";"Audrick";"audrick.bland001";"audrick.bland001";"mp4y7jyp";"";"E.M.PU-MERVILLE-LORIENT";"222873 - GS";"";"Joïa MUNA001"
"599615";"";"Élève";"BOMJAN001";"Isciane";"isciane.bomjan001";"isciane.bomjan001";"xdew66s5";"";"E.M.PU-MERVILLE-LORIENT";"222872 - MS";"";"Marie-Manuelle BARRA001"
"1957358";"";"Élève";"BROUGHTON001";"Kaithlyn";"kaithlyn.broughton001";"kaithlyn.broughton001";"zzk5z7hc";"";"E.M.PU-MERVILLE-LORIENT";"222875 - TPS";"";"Pernette VOHOR001, Akbar PATEL001"
"1381909";"";"Élève";"BYRNE001";"Osman";"osman.byrne001";"osman.byrne001";"rvkek5hn";"";"E.M.PU-MERVILLE-LORIENT";"222875 - TPS";"";"Herenui PASAWAN001, Icham LISTON001"
"1419460";"";"Élève";"CAHILL001";"Jaki";"jaki.cahill001";"jaki.cahill001";"vsydhpvs";"";"E.M.PU-MERVILLE-LORIENT";"222873 - GS";"";"Bérangère MEEHAN001, Nati AINSWORTH001"
"1404986";"";"Élève";"CAIN001";"Ayhan";"ayhan.cain001";"ayhan.cain001";"kee4ydhf";"";"E.M.PU-MERVILLE-LORIENT";"222875 - TPS";"";"Kandyce RICHMOND001, Taymiyah WAHID001"
"1099351";"";"Élève";"CANDRAVANSI001";"Lily-Anna";"lily-anna.candravansi001";"lily-anna.candravansi001";"8xdbjyz4";"";"E.M.PU-MERVILLE-LORIENT";"222873 - GS";"";"Edelbert HUBBARD001, Aster KERSHAW001"
"715374";"";"Élève";"CASTLE001";"Arlan";"arlan.castle001";"arlan.castle001";"da9dcdn3";"";"E.M.PU-MERVILLE-LORIENT";"222875 - TPS";"";"Nousseyba NIUMA001, Reouven MISRA001"
"508609";"";"Élève";"CHANTYAL001";"Sabha";"sabha.chantyal001";"sabha.chantyal001";"vjknsf37";"";"E.M.PU-MERVILLE-LORIENT";"222872 - MS";"";"Abdelrazak MCKEEVER001, Agnies NEBAUER-BORG001"
"1875034";"";"Élève";"COLUCCI001";"Marien";"marien.colucci001";"marien.colucci001";"zwd7gm75";"";"E.M.PU-MERVILLE-LORIENT";"222873 - GS";"";"Renée-Lise KADEL001"
"869901";"";"Élève";"CONWAY001";"Keyran";"keyran.conway001";"keyran.conway001";"y8wddd9a";"";"E.M.PU-MERVILLE-LORIENT";"222874 - GS";"";"Massiami KABAR001, Abdel-Malek SENOU001"
"857340";"";"Élève";"DUANE001";"Novica";"novica.duane001";"novica.duane001";"zw8xy6fw";"";"E.M.PU-MERVILLE-LORIENT";"222875 - TPS";"";"Kayli GAVIN001, Tina PESENTI001"
"1271453";"";"Élève";"FAYAZ001";"Vural";"vural.fayaz001";"vural.fayaz001";"4k3zgmcr";"";"E.M.PU-MERVILLE-LORIENT";"222875 - TPS";"";"Angellina BRIDGES001, Loryane OLEARY001"
"155371";"";"Élève";"FINNEY001";"Melyane";"melyane.finney001";"melyane.finney001";"n85mz9nv";"";"E.M.PU-MERVILLE-LORIENT";"222872 - MS";"";"Hugh MARZANO001, Awatif HIRST001"
