"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1336240";"";"Enseignant";"FENNESSY001";"Annaick";"annaick.fennessy001";"annaick.fennessy001";"";"ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.P.PU-LE MANIO-LORIENT";"";"";""
"1327282";"";"Enseignant";"FLITTEN001";"Aime";"aime.flitten001";"aime.flitten001";"";"SANS SPECIALITE";"E.P.PU-LE MANIO-LORIENT";"";"";""
"1343719";"";"Enseignant";"KABA001";"Amarande";"amarande.kaba001";"amarande.kaba001";"";"SANS SPECIALITE";"E.P.PU-LE MANIO-LORIENT";"";"";""
"578643";"";"Enseignant";"KHATUN001";"Nikita";"nikita.khatun001";"nikita.khatun001";"6kdyjgp7";"SANS SPECIALITE";"E.P.PU-LE MANIO-LORIENT";"";"";""
"20428";"";"Enseignant";"MORLEY001";"Jovanka";"jovanka.morley001";"jovanka.morley001";"7rm45we9";"SANS SPECIALITE";"E.P.PU-LE MANIO-LORIENT";"";"";""
"1955530";"";"Enseignant";"PRATT001";"Boumedienne";"boumedienne.pratt001";"boumedienne.pratt001";"4kwrhf4v";"SANS SPECIALITE";"E.P.PU-LE MANIO-LORIENT";"";"";""
"949956";"";"Enseignant";"ROCCO001";"Mélora";"melora.rocco001";"melora.rocco001";"ha8jnc4e";"SANS SPECIALITE";"E.P.PU-LE MANIO-LORIENT";"";"";""
"864807";"";"Enseignant";"RONCHI001";"Raymonda";"raymonda.ronchi001";"raymonda.ronchi001";"fwyd4ccc";"SANS SPECIALITE";"E.P.PU-LE MANIO-LORIENT";"";"";""
"925595";"";"Enseignant";"YATTARA001";"Romaissa";"romaissa.yattara001";"romaissa.yattara001";"hcvaj7jx";"SANS SPECIALITE";"E.P.PU-LE MANIO-LORIENT";"";"";""
"962544";"";"Enseignant";"YONJAN001";"Maesha";"maesha.yonjan001";"maesha.yonjan001";"z6bm6g6y";"ULIS UE TROUBLES DU SPECTRE AUTISTIQUE";"E.P.PU-LE MANIO-LORIENT";"";"";""
"1640611";"";"Élève";"ABBAS001";"Heloisa";"heloisa.abbas001";"heloisa.abbas001";"8ckwrtzd";"";"E.P.PU-LE MANIO-LORIENT";"221286 - MS";"";"Teha DONNELLAN001, John-Christopher IRUSHAD001"
"1633833";"";"Élève";"AHIRIN001";"Daivy";"daivy.ahirin001";"daivy.ahirin001";"xzb7y3jt";"";"E.P.PU-LE MANIO-LORIENT";"221285 - PS";"";"Joannis KONÉ001, Hanaëlle PARR001"
"1797458";"";"Élève";"ALFANO001";"Imène";"imene.alfano001";"imene.alfano001";"r94rwkcs";"";"E.P.PU-LE MANIO-LORIENT";"221285 - PS";"";"Venceslas BATTISTINI001, Gauvain FLAISEK001"
"1058574";"";"Élève";"ANWAR001";"Djalal";"djalal.anwar001";"djalal.anwar001";"hzdn357y";"";"E.P.PU-LE MANIO-LORIENT";"221280 - CP";"";"Elea HOLLAND001, Fatimé NAZEEL001"
"196340";"";"Élève";"ATZORI001";"Kevins";"kevins.atzori001";"kevins.atzori001";"4kgwnv6f";"";"E.P.PU-LE MANIO-LORIENT";"221283 - CE1";"";"Aubin BELLUCCI001, Achwak GALLIGAN001"
"1832484";"";"Élève";"AYAZ001";"Anahid";"anahid.ayaz001";"anahid.ayaz001";"4csht9wz";"";"E.P.PU-LE MANIO-LORIENT";"221281 - CE2";"";"Eylann DAL001, Adda CARTHY001"
"857794";"";"Élève";"BARBAGALLO001";"Solyna";"solyna.barbagallo001";"solyna.barbagallo001";"xmkhxstz";"";"E.P.PU-LE MANIO-LORIENT";"221280 - CP";"";"Venceslas BATTISTINI001, Gauvain FLAISEK001"
"383493";"";"Élève";"BARNEY001";"Cyriak";"cyriak.barney001";"cyriak.barney001";"r7jgyfeh";"";"E.P.PU-LE MANIO-LORIENT";"221284 - CM2";"";"Eole WATAR001, Jaden RODDY001"
"223737";"";"Élève";"BERGAGNIN001";"Mendhy";"mendhy.bergagnin001";"mendhy.bergagnin001";"bywsrcj5";"";"E.P.PU-LE MANIO-LORIENT";"221281 - CE2";"";"Lynoa SHIELDS001, Paolo NAGY001"
"1020228";"";"Élève";"BLACK001";"Djazz";"djazz.black001";"djazz.black001";"txbym5pw";"";"E.P.PU-LE MANIO-LORIENT";"221280 - CP";"";"Haily SARTORI001, Synaï LORENZON001"
"322632";"";"Élève";"BLACKWELL001";"Geordie";"geordie.blackwell001";"geordie.blackwell001";"";"";"E.P.PU-LE MANIO-LORIENT";"221281 - CE2";"";"Ayate KOJU001, Placido DHUNGAN001"
"1159070";"";"Élève";"BOMJAN001";"Oregane";"oregane.bomjan001";"oregane.bomjan001";"";"";"E.P.PU-LE MANIO-LORIENT";"221281 - CE2";"";"Ceane KHAMN001, Nathy DWYER001"
