"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"896559";"";"Enseignant";"ABOOBAKRU001";"Kéhan";"kehan.aboobakru001";"kehan.aboobakru001";"";"SANS SPECIALITE";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"685000";"";"Enseignant";"BUSH001";"Farima";"farima.bush001";"farima.bush001";"wzetgp37";"SANS SPECIALITE";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"953952";"";"Enseignant";"GRIFFIN001";"Matilda";"matilda.griffin001";"matilda.griffin001";"";"SANS OBJET";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"1928426";"";"Enseignant";"MAZIN001";"Kassy";"kassy.mazin001";"kassy.mazin001";"j7ycpjwz";"DIRECTION";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"1222067";"";"Enseignant";"NATHASHA001";"Ted";"ted.nathasha001";"ted.nathasha001";"xn7cvt43";"ANGLAIS";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"917311";"";"Enseignant";"NIAKATE001";"Adeline";"adeline.niakate001";"adeline.niakate001";"";"SANS OBJET";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"1896506";"";"Enseignant";"OATES001";"Bana";"bana.oates001";"bana.oates001";"c9vhybfw";"ANGLAIS";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"265647";"";"Enseignant";"PANERU001";"Seynabou";"seynabou.paneru001";"seynabou.paneru001";"aa53bm7y";"SANS SPECIALITE";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"1923229";"";"Enseignant";"RICCIARDI001";"Melanie";"melanie.ricciardi001";"melanie.ricciardi001";"n9xjbgbb";"ALLEMAND";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"1645322";"";"Enseignant";"SAUMD001";"Darline";"darline.saumd001";"darline.saumd001";"yhm5e7m8";"SANS SPECIALITE";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"406317";"";"Enseignant";"SHANLEY001";"Esia";"esia.shanley001";"esia.shanley001";"wfbt75z3";"SANS SPECIALITE";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"811432";"";"Enseignant";"YASFA001";"Achta";"achta.yasfa001";"achta.yasfa001";"jz35wd83";"SANS SPECIALITE";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"1616963";"";"Enseignant";"ZANONI001";"Sheryane";"sheryane.zanoni001";"sheryane.zanoni001";"mf7kj53h";"ANGLAIS";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"";"";""
"166672";"";"Élève";"ADAMO001";"Abdi";"abdi.adamo001";"abdi.adamo001";"";"";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"227602 - CE2";"";"Sosefo SAUDA001, Maiwenne WALTER001"
"394040";"";"Élève";"AHSAN001";"Djalila";"djalila.ahsan001";"djalila.ahsan001";"";"";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"227431 - CM2";"";"Pierre-Matthieu THOLAL001, Zoélyne BARRETT001"
"1206785";"";"Élève";"AIDI001";"Neve";"neve.aidi001";"neve.aidi001";"xknv68wc";"";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"223217 - CE1";"";"Hanin BADUWAL001, Kristal DAMENI001"
"692427";"";"Élève";"AREEFA001";"Walide";"walide.areefa001";"walide.areefa001";"nheydfcx";"";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"223219 - CE2";"";"Mohamed-Salah PASAWAN001, Latiffa MCKEEVER001"
"1190097";"";"Élève";"ASH001";"Doctrovee";"doctrovee.ash001";"doctrovee.ash001";"8ffdfg3z";"";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"223217 - CE1";"";"Azélys ATKINSON001, Ladislaw AMATY001"
"728129";"";"Élève";"ASHCROFT001";"Cebrail";"cebrail.ashcroft001";"cebrail.ashcroft001";"";"";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"227432 - CM2";"";"Delphina PINE001, Delhya THAKURI001"
"897457";"";"Élève";"BADAYAK001";"Enfel";"enfel.badayak001";"enfel.badayak001";"pvzm63ec";"";"E.E.PU-BOURGCHEVREUIL-CESSON-SEVIGNE";"227600 - CE2";"";"Jaky MAYA001, Aubrey MCCARTHY001"
