"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"508380";"";"Enseignant";"AZZA001";"Shazia";"shazia.azza001";"shazia.azza001";"";"SANS SPECIALITE";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"87750";"";"Enseignant";"GHAFOOR001";"Jessica";"jessica.ghafoor001";"jessica.ghafoor001";"sm8w5zw7";"SANS SPECIALITE";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"338075";"";"Enseignant";"GODFREY001";"Lüna";"luna.godfrey001";"luna.godfrey001";"9eyzbdtz";"SANS SPECIALITE";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"1437495";"";"Enseignant";"JAWAD001";"Ilanna";"ilanna.jawad001";"ilanna.jawad001";"9fdmh6wn";"SANS SPECIALITE";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"322276";"";"Enseignant";"LENEHAN001";"Tamara";"tamara.lenehan001";"tamara.lenehan001";"f8z3ye3w";"SANS OBJET";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"637670";"";"Enseignant";"MAZZONI001";"Maelina";"maelina.mazzoni001";"maelina.mazzoni001";"hbe5kbhn";"SANS SPECIALITE";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"1715929";"";"Enseignant";"NGUYEN001";"Rubby";"rubby.nguyen001";"rubby.nguyen001";"hpx6k5m8";"ENFANTS DU VOYAGE, SANS SPECIALITE";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"1410733";"";"Enseignant";"RENNA001";"Hawai";"hawai.renna001";"hawai.renna001";"ygrxkdpk";"SANS SPECIALITE";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"927309";"";"Enseignant";"SARACINO001";"Guilliane";"guilliane.saracino001";"guilliane.saracino001";"64e53gnh";"DIRECTION";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"1893914";"";"Enseignant";"TAMANAG001";"Neli";"neli.tamanag001";"neli.tamanag001";"pf6kjyjc";"SANS SPECIALITE";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"1750837";"";"Enseignant";"TANDAN001";"Nawël";"nawel.tandan001";"nawel.tandan001";"rx5657zh";"SANS SPECIALITE";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"795934";"";"Enseignant";"WASIF001";"Astou";"astou.wasif001";"astou.wasif001";"jmd8ge46";"SANS OBJET";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"";"";""
"171505";"";"Élève";"ADAMI001";"Anushan";"anushan.adami001";"anushan.adami001";"";"";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"223704 - MS";"";"Ty RUKA001, Shola MICELI001"
"1731723";"";"Élève";"AHSAN001";"Octavius";"octavius.ahsan001";"octavius.ahsan001";"";"";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"223706 - CE1";"";"Hana ZIDHNA001, Boubakeur KYTOLA001"
"865253";"";"Élève";"AIRA001";"Nathaëlle";"nathaelle.aira001";"nathaelle.aira001";"";"";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"223704 - MS";"";"Fallou VAITH001, Vivien ISLAM001"
"820483";"";"Élève";"AIRAS001";"Jorje";"jorje.airas001";"jorje.airas001";"";"";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"223699 - CE2";"";"Kenia POKHAREL001, Zeid SOUNTOURA001"
"497412";"";"Élève";"ALLEN001";"Hafif";"hafif.allen001";"hafif.allen001";"kdcnayxy";"";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"223699 - CE2";"";"Mauril REIDY001, Eustasie RAJABAHAK001"
"227471";"";"Élève";"AMBROSINI001";"Kenn";"kenn.ambrosini001";"kenn.ambrosini001";"xxsagp7p";"";"E.E.PU-DENIS DIDEROT-LANDIVISIAU";"223704 - MS";"";"Imrane HODGKINSON001, Rihan FAUZY001"
