"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"925051";"";"Enseignant";"GADI001";"Anna-Bella";"anna-bella.gadi001";"anna-bella.gadi001";"ez66nb8x";"SANS SPECIALITE";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"";"";""
"789652";"";"Enseignant";"LOI001";"Florbella";"florbella.loi001";"florbella.loi001";"3cs7x8tj";"SANS SPECIALITE";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"";"";""
"1410487";"";"Enseignant";"MARSH001";"Paule-Marie";"paule-marie.marsh001";"paule-marie.marsh001";"kvbcgzzw";"DIRECTION";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"";"";""
"1459341";"";"Enseignant";"PUGLIESE001";"Fettouma";"fettouma.pugliese001";"fettouma.pugliese001";"dh547swz";"SANS SPECIALITE";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"";"";""
"416688";"";"Enseignant";"ZANOTTI001";"Élia";"elia.zanotti001";"elia.zanotti001";"ddpwzfkj";"SANS OBJET, SANS SPECIALITE";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"";"";""
"1736277";"";"Élève";"ADAMI001";"Opheline";"opheline.adami001";"opheline.adami001";"54jxck79";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221638 - CP";"";"Susana PURCELL001, Maximillian CHILDS001"
"516734";"";"Élève";"AMEER001";"Érine";"erine.ameer001";"erine.ameer001";"z5pxnhrr";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221637 - CE1";"";"Charles-Henri KADEL001, Kimera BIGGS001"
"911113";"";"Élève";"AMEEZ001";"Rosario";"rosario.ameez001";"rosario.ameez001";"pt65mrrw";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221638 - CP";"";"Evy MCELLIGOTT001, Nono ANAS001"
"603095";"";"Élève";"ASMA001";"Jammes";"jammes.asma001";"jammes.asma001";"5prgtvvn";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221636 - CM2";"";"Nahim ZUHUDHA001, Ivi FERRARI001"
"1730906";"";"Élève";"AWALE001";"Manolo";"manolo.awale001";"manolo.awale001";"3xw53yrr";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221637 - CE1";"";"Mérida RUSHDHEE001, Loeiz SAMUEL001"
"1122796";"";"Élève";"BAITH001";"Abdela";"abdela.baith001";"abdela.baith001";"wzt3r6yz";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221637 - CE1";"";"Ulla NEPAL001, Adame WILLIS001"
"1646738";"";"Élève";"BALDI001";"Shereen";"shereen.baldi001";"shereen.baldi001";"jybkh4ep";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221637 - CE1";"";"Evolene BANNON001, Habid ENNEW001"
"288286";"";"Élève";"BARAILI001";"Quitterie";"quitterie.baraili001";"quitterie.baraili001";"y8c46p7h";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221635 - MS";"";"Zubida MALI001, Marvellous HARTE001"
"745256";"";"Élève";"BERNINI001";"Hyana";"hyana.bernini001";"hyana.bernini001";"wcppjdss";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221635 - MS";"";"Rogee FIKREE001, Gerald COCK001"
"1082039";"";"Élève";"BERTI001";"Nahëlle";"nahelle.berti001";"nahelle.berti001";"twjvpetg";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221636 - CM2";"";"Lorrene POLLARD001, Rogatien JALEEL001"
"1738064";"";"Élève";"BRUGMAN001";"Loïk";"loik.brugman001";"loik.brugman001";"6jkb3rpt";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221635 - MS";"";"Guerick COWLEY001, Sako SHIMAZ001"
"1640641";"";"Élève";"CALISE001";"Lovis";"lovis.calise001";"lovis.calise001";"y7zbv7n5";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221638 - CP";"";"Mayli SADIG001, Perrin MILAN001"
"651864";"";"Élève";"CARTWRIGHT001";"Nouchka";"nouchka.cartwright001";"nouchka.cartwright001";"mcckh5vx";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221637 - CE1";"";"Maia MU001, Mounaya SYLLA001"
"769405";"";"Élève";"CERRI001";"Quynh";"quynh.cerri001";"quynh.cerri001";"8fgzat56";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221638 - CP";"";"Veli BERTOLI001, Patsy DUKE001"
"1435653";"";"Élève";"CLIFFORD001";"Badr";"badr.clifford001";"badr.clifford001";"kmnfxbka";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221636 - CM2";"";"Philogene DAHIT001, Maye SOUKOUNA001"
"777146";"";"Élève";"CULHANE001";"Nordi";"nordi.culhane001";"nordi.culhane001";"6mkb7cjw";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221635 - MS";"";"Nawaz BELOTTI001, Noujoud RIFATH001"
"29091";"";"Élève";"DEVA001";"Kenny";"kenny.deva001";"kenny.deva001";"6c3nvd6c";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221636 - CM2";"";"Florina EARLEY001, Aissia MARSDEN001"
"1289815";"";"Élève";"FORSYTH001";"Leopoldo";"leopoldo.forsyth001";"leopoldo.forsyth001";"cgpzmtbm";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221638 - CP";"";"Maêva BUTCHER001, Antide SMALL001"
"78037";"";"Élève";"GAGLIANO001";"Chahinesse";"chahinesse.gagliano001";"chahinesse.gagliano001";"3rg3mkwy";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221638 - CP";"";"Daryan BOSLEY001, Athénais ORLANDO001"
"602884";"";"Élève";"GUERRIERI001";"Ayad";"ayad.guerrieri001";"ayad.guerrieri001";"w3w3bmbw";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221637 - CE1";"";"Maêva BUTCHER001, Antide SMALL001"
"764049";"";"Élève";"HAMZA001";"Aelyne";"aelyne.hamza001";"aelyne.hamza001";"rg6mm353";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221637 - CE1";"";"Clarelle INNOCENTI001, Guilhermina PAPINI001"
"1583969";"";"Élève";"HULL001";"Forlan";"forlan.hull001";"forlan.hull001";"smdbe94z";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221635 - MS";"";"Maêva BUTCHER001, Antide SMALL001"
"1661593";"";"Élève";"JAMES001";"El-Habib";"el-habib.james001";"el-habib.james001";"eb7vnbdv";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221638 - CP";"";"Bertile PETEWON001, Bayronn FORRESTER001"
"1562650";"";"Élève";"JUDD001";"Basilide";"basilide.judd001";"basilide.judd001";"gvjpx8ry";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221636 - CM2";"";"Tenzin WOODWARD001, Alette AFZAL001"
"114003";"";"Élève";"KAMALUDEEN001";"Reynaud";"reynaud.kamaludeen001";"reynaud.kamaludeen001";"yjr4kkfy";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221635 - MS";"";"Francklin SRIWASTAV001, Kendall BAYLISS001"
"790759";"";"Élève";"KEANEY001";"Ylona";"ylona.keaney001";"ylona.keaney001";"ejajm6rh";"";"E.E.PU-DES RIVES DE L'ILDUT-LANILDUT";"221636 - CM2";"";"Dietrich VACCA001, Leone SALTER001"
