"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1907719";"";"Enseignant";"ARTHUR001";"Naoma";"naoma.arthur001";"naoma.arthur001";"va3ee5c4";"SANS SPECIALITE";"E.E.PU-ERIC TABARLY-AURAY";"";"";""
"702544";"";"Enseignant";"CORTI001";"Jahlya";"jahlya.corti001";"jahlya.corti001";"5ccyrzba";"SANS SPECIALITE";"E.E.PU-ERIC TABARLY-AURAY";"";"";""
"48269";"";"Enseignant";"MACRAE001";"Marie-Hermine";"marie-hermine.macrae001";"marie-hermine.macrae001";"yga43pfd";"DIRECTION";"E.E.PU-ERIC TABARLY-AURAY";"";"";""
"608167";"";"Enseignant";"PRADHAN001";"Rahila";"rahila.pradhan001";"rahila.pradhan001";"njeyk3gb";"SANS OBJET, SANS SPECIALITE";"E.E.PU-ERIC TABARLY-AURAY";"";"";""
"192841";"";"Enseignant";"SVARNAKAR001";"Leiyna";"leiyna.svarnakar001";"leiyna.svarnakar001";"tymscamf";"SANS SPECIALITE";"E.E.PU-ERIC TABARLY-AURAY";"";"";""
"1391287";"";"Enseignant";"ZAHIR001";"Tifène";"tifene.zahir001";"tifene.zahir001";"efcngr6x";"SANS SPECIALITE";"E.E.PU-ERIC TABARLY-AURAY";"";"";""
"1378560";"";"Élève";"ANEES001";"Léyna";"leyna.anees001";"leyna.anees001";"j7d5d53w";"";"E.E.PU-ERIC TABARLY-AURAY";"221226 - CM2";"";"Lihana VASNET001, M'hammed LUNN001"
"532455";"";"Élève";"ANTONINI001";"Yéliz";"yeliz.antonini001";"yeliz.antonini001";"px73jytc";"";"E.E.PU-ERIC TABARLY-AURAY";"221224 - CE2";"";"Mikhael DUNPHY001, Voltaire BELOTTI001"
"1252315";"";"Élève";"BARAM001";"Najlae";"najlae.baram001";"najlae.baram001";"744ge3ax";"";"E.E.PU-ERIC TABARLY-AURAY";"221222 - CP";"";"Remo JAMSHEED001, Betina OLAUSEN001"
"245783";"";"Élève";"BASSANI001";"Melly";"melly.bassani001";"melly.bassani001";"jwvzcwz8";"";"E.E.PU-ERIC TABARLY-AURAY";"223435 - CM1";"";"Iago KESARI001, Clairette FAYAAZ001"
"1546248";"";"Élève";"BELOTTI001";"Jahlya";"jahlya.belotti001";"jahlya.belotti001";"jv6s4twr";"";"E.E.PU-ERIC TABARLY-AURAY";"221222 - CP";"";"Matti BRAMBILLA001, Joachime HUSHAM001"
"1801064";"";"Élève";"BERGIN001";"Luk";"luk.bergin001";"luk.bergin001";"v5zk7r3t";"";"E.E.PU-ERIC TABARLY-AURAY";"221225 - CM1";"";"Loëvann WATTS001, Kerry COOGAN001"
"127799";"";"Élève";"BEST001";"Yvann";"yvann.best001";"yvann.best001";"bdg4bnkk";"";"E.E.PU-ERIC TABARLY-AURAY";"221226 - CM2";"";"Vaina EASA001"
"436615";"";"Élève";"BOLTON001";"Souleye";"souleye.bolton001";"souleye.bolton001";"3fbxpfwc";"";"E.E.PU-ERIC TABARLY-AURAY";"221226 - CM2";"";"Kristen HAY001, Cyriana BIRD001"
"734350";"";"Élève";"BOUARE001";"Phuong";"phuong.bouare001";"phuong.bouare001";"xrchm77h";"";"E.E.PU-ERIC TABARLY-AURAY";"223435 - CM1";"";"Rojhat MARTINI001, Reparate GUPTA001"
"1628158";"";"Élève";"BRESSAN001";"Georgy";"georgy.bressan001";"georgy.bressan001";"37b6zwy5";"";"E.E.PU-ERIC TABARLY-AURAY";"223435 - CM1";"";"Abdenacer HUMAGAI001, Imana SHIZNA001"
"1001113";"";"Élève";"BURGESS001";"Jean-Lou";"jean-lou.burgess001";"jean-lou.burgess001";"e5jtdkdm";"";"E.E.PU-ERIC TABARLY-AURAY";"221225 - CM1";"";"Baptyste SAVAD001, Anatoline POWER001"
"927599";"";"Élève";"BUTTERFIELD001";"Ethanaël";"ethanael.butterfield001";"ethanael.butterfield001";"7vhvph6b";"";"E.E.PU-ERIC TABARLY-AURAY";"221224 - CE2";"";"Marjolaine HILMEE001, Enrike HAJAMIN001"
"1791985";"";"Élève";"CAMLAGAI001";"Moritz";"moritz.camlagai001";"moritz.camlagai001";"y3g4fzxt";"";"E.E.PU-ERIC TABARLY-AURAY";"221224 - CE2";"";"Sebastiao RADICE001, Lisyane RUSHDHEE001"
"456559";"";"Élève";"CARBONI001";"Ouissam";"ouissam.carboni001";"ouissam.carboni001";"dhxzhj8b";"";"E.E.PU-ERIC TABARLY-AURAY";"221225 - CM1";"";"Leena FANTINI001, Mae BONO001"
"1462259";"";"Élève";"CESARI001";"Lucy-Lou";"lucy-lou.cesari001";"lucy-lou.cesari001";"xf3ejd3h";"";"E.E.PU-ERIC TABARLY-AURAY";"221222 - CP";"";"Melvyna NEEZA001, Justyn GASPARI001"
"908509";"";"Élève";"CHIESA001";"Sorana";"sorana.chiesa001";"sorana.chiesa001";"gsxfhrz8";"";"E.E.PU-ERIC TABARLY-AURAY";"221224 - CE2";"";"Symphor MCLOUGHLIN001, Loubna MARCHANT001"
"1186708";"";"Élève";"COULIBALY001";"Firdaous";"firdaous.coulibaly001";"firdaous.coulibaly001";"8gjzkngc";"";"E.E.PU-ERIC TABARLY-AURAY";"221225 - CM1";"";"Nasha WAINWRIGHT001, Laventure SANNINO001"
"1126264";"";"Élève";"CREMONESI001";"Nazime";"nazime.cremonesi001";"nazime.cremonesi001";"k5cctjge";"";"E.E.PU-ERIC TABARLY-AURAY";"221222 - CP";"";"Anne-Sandrine PALMIERI001, Treveur MADEEHA001"
"1749329";"";"Élève";"CURTIN001";"Naeem";"naeem.curtin001";"naeem.curtin001";"yctwgdb4";"";"E.E.PU-ERIC TABARLY-AURAY";"221222 - CP";"";"Jordany GRACE001"
"433195";"";"Élève";"DEVLIN001";"Marien";"marien.devlin001";"marien.devlin001";"nnfvhprc";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Callan ZAHIRA001, Lamar CAMARA001"
"1651124";"";"Élève";"DHANUK001";"Maranatha";"maranatha.dhanuk001";"maranatha.dhanuk001";"4hbspjep";"";"E.E.PU-ERIC TABARLY-AURAY";"223435 - CM1";"";"Stefano BHETAWAL001, Hyba HEALEY001"
"1652663";"";"Élève";"DHOLI001";"Passion";"passion.dholi001";"passion.dholi001";"fe8dke3y";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Stefano BHETAWAL001, Hyba HEALEY001"
"465464";"";"Élève";"DINEEN001";"Jean-Pascal";"jean-pascal.dineen001";"jean-pascal.dineen001";"bdsddmd7";"";"E.E.PU-ERIC TABARLY-AURAY";"221226 - CM2";"";"Malte KARMAKAR001, Camilia BERTI001"
"213730";"";"Élève";"DOMA001";"Rasim";"rasim.doma001";"rasim.doma001";"azgtsy7n";"";"E.E.PU-ERIC TABARLY-AURAY";"221224 - CE2";"";"Bilkiss HOWELL001, Georget RAPISARDA001"
"1588246";"";"Élève";"FINEGAN001";"Ferman";"ferman.finegan001";"ferman.finegan001";"5cg7vh56";"";"E.E.PU-ERIC TABARLY-AURAY";"221222 - CP";"";"Sayam CULLETON001, Nejwa BAMBA001"
"493387";"";"Élève";"FINLAY001";"Lucienne";"lucienne.finlay001";"lucienne.finlay001";"xw5d6ryz";"";"E.E.PU-ERIC TABARLY-AURAY";"221224 - CE2";"";"Georges VOHAR001, Kenjy PIACENTINI001"
"854014";"";"Élève";"FRESHWATER001";"Pandora";"pandora.freshwater001";"pandora.freshwater001";"mscrc8fy";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Adiaratou MERRIGAN001"
"1257683";"";"Élève";"GABRIELE001";"Hafide";"hafide.gabriele001";"hafide.gabriele001";"abvhz8sm";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Iteb GODDARD001, Marie-Nelly MAEESHA001"
"1038301";"";"Élève";"GALLO001";"Nguyen";"nguyen.gallo001";"nguyen.gallo001";"7kdmzzjk";"";"E.E.PU-ERIC TABARLY-AURAY";"221224 - CE2";"";"Ali-Imran HEHIR001, Aureline ANADEMVE001"
"205627";"";"Élève";"GATEHOUSE001";"Lonnie";"lonnie.gatehouse001";"lonnie.gatehouse001";"hrfxk838";"";"E.E.PU-ERIC TABARLY-AURAY";"221224 - CE2";"";"Iteb GODDARD001, Marie-Nelly MAEESHA001"
"662673";"";"Élève";"GIORDANO001";"Milly";"milly.giordano001";"milly.giordano001";"yvx3y76f";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Djaylan SANEEZ001, Marie-Luz ZIHAN001"
"1764444";"";"Élève";"HAMILL001";"Mika";"mika.hamill001";"mika.hamill001";"yygcmhpy";"";"E.E.PU-ERIC TABARLY-AURAY";"221224 - CE2";"";"Lahoussine RUSHDHEE001, Guylhaine ANADEMBE001"
"1332856";"";"Élève";"HARPER001";"Aminé";"amine.harper001";"amine.harper001";"agc3j5cj";"";"E.E.PU-ERIC TABARLY-AURAY";"223435 - CM1";"";"Rasim GAUGHAN001, Ariele LUPI001"
"1933298";"";"Élève";"HAYMES001";"Marzouk";"marzouk.haymes001";"marzouk.haymes001";"5b37xdpr";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Petru-Anto NOOREE001, Fiorina DIALLO001"
"419069";"";"Élève";"HEAD001";"Valdo";"valdo.head001";"valdo.head001";"7nsz43f4";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Hasdine CEPANG001, Éveline RAINA001"
"1736843";"";"Élève";"HOOD001";"Michée";"michee.hood001";"michee.hood001";"fwr6zmmw";"";"E.E.PU-ERIC TABARLY-AURAY";"221222 - CP";"";"Baptyste SAVAD001, Anatoline POWER001"
"163155";"";"Élève";"JACKSON001";"Joaline";"joaline.jackson001";"joaline.jackson001";"4x7k33vv";"";"E.E.PU-ERIC TABARLY-AURAY";"221225 - CM1";"";"Abdenacer HUMAGAI001, Imana SHIZNA001"
"1759240";"";"Élève";"JORA001";"Veronique";"veronique.jora001";"veronique.jora001";"cbjwmwbw";"";"E.E.PU-ERIC TABARLY-AURAY";"221225 - CM1";"";"Justice WAKEFIELD001, Marie-Anny SAMPSON001"
"1629573";"";"Élève";"KHAPANGI001";"Emyra";"emyra.khapangi001";"emyra.khapangi001";"cbzsdeja";"";"E.E.PU-ERIC TABARLY-AURAY";"221222 - CP";"";"Chancel SERIOUS001, Zazie WALEED001"
"1341647";"";"Élève";"KOUYATE001";"Agnès";"agnes.kouyate001";"agnes.kouyate001";"jt44f9et";"";"E.E.PU-ERIC TABARLY-AURAY";"223435 - CM1";"";"Tilyann LINDSAY001, Flo SAMEEHA001"
"1033325";"";"Élève";"LA001";"Rahib";"rahib.la001";"rahib.la001";"wrecfbwj";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Titia GIGLIO001, Yassar COLOMBO001"
"1385314";"";"Élève";"LAWLER001";"Heide";"heide.lawler001";"heide.lawler001";"cwsdf35r";"";"E.E.PU-ERIC TABARLY-AURAY";"223435 - CM1";"";"Paquito SUNEEL001, Mailyss JNAWALI001"
"735540";"";"Élève";"LYNE001";"Elno";"elno.lyne001";"elno.lyne001";"dzsszg8b";"";"E.E.PU-ERIC TABARLY-AURAY";"221225 - CM1";"";"Rosette MURPHY001, Botan CONFORTI001"
"357390";"";"Élève";"MAESTRI001";"Ernst";"ernst.maestri001";"ernst.maestri001";"zwxvrnvh";"";"E.E.PU-ERIC TABARLY-AURAY";"223435 - CM1";"";"Ando MUKHTHAR001, Mats PROCTOR001"
"1653951";"";"Élève";"MAHAR001";"Alissonne";"alissonne.mahar001";"alissonne.mahar001";"ecgm3tkf";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Lihana VASNET001, M'hammed LUNN001"
"1738659";"";"Élève";"MAHARJAN001";"Leyni";"leyni.maharjan001";"leyni.maharjan001";"xjhz67kk";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Dang WALSHE001, Sindbad HOWLEY001"
"1822883";"";"Élève";"MARANO001";"Younouss";"younouss.marano001";"younouss.marano001";"rnmzdchr";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Guinel SUDA001, Théotim WATERS001"
"89496";"";"Élève";"MARZANO001";"Mevena";"mevena.marzano001";"mevena.marzano001";"89d9k586";"";"E.E.PU-ERIC TABARLY-AURAY";"221226 - CM2";"";"Myllan ONGOIBA001, Mayeline FAWWAZ001"
"1703302";"";"Élève";"MASON001";"Sehem";"sehem.mason001";"sehem.mason001";"fe3xvr9n";"";"E.E.PU-ERIC TABARLY-AURAY";"221224 - CE2";"";"Esthere NEWAR001, Sara LICTH001"
"588861";"";"Élève";"MCARDLE001";"Lillia";"lillia.mcardle0012";"lillia.mcardle0012";"nxjjz7hn";"";"E.E.PU-ERIC TABARLY-AURAY";"221226 - CM2";"";"Éveline HOBBS001, Nikki FINAN001"
"1771587";"";"Élève";"MCKIERNAN001";"Alexys";"alexys.mckiernan001";"alexys.mckiernan001";"tmn8hnws";"";"E.E.PU-ERIC TABARLY-AURAY";"221223 - CE1";"";"Astor BARLOW001, Chelsye CECCONI001"
"1052251";"";"Élève";"MILLS001";"Lylian";"lylian.mills001";"lylian.mills001";"73dcbezg";"";"E.E.PU-ERIC TABARLY-AURAY";"223435 - CM1";"";"Nasha WAINWRIGHT001, Laventure SANNINO001"
"1360631";"";"Élève";"MINOGUE001";"Alkis";"alkis.minogue001";"alkis.minogue001";"xxvyk7ht";"";"E.E.PU-ERIC TABARLY-AURAY";"221225 - CM1";"";"Kendrix TIMSIN001, Zoé NEGRI001"
"1954199";"";"Élève";"MORRIS001";"Maeline";"maeline.morris001";"maeline.morris001";"73mmps7k";"";"E.E.PU-ERIC TABARLY-AURAY";"221226 - CM2";"";"Nicodème ISHAN001, Mylène SPERANZA001"
"514308";"";"Élève";"MULDOWNEY001";"Nayra";"nayra.muldowney001";"nayra.muldowney001";"jjfym3f6";"";"E.E.PU-ERIC TABARLY-AURAY";"221224 - CE2";"";"Baidy JINAH001, Atifa SAVAD001"
