"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1544042";"";"Enseignant";"BENGALY001";"Dienabou";"dienabou.bengaly001";"dienabou.bengaly001";"yb4epssp";"SANS SPECIALITE";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"";"";""
"552370";"";"Enseignant";"BROWNE001";"Edge";"edge.browne001";"edge.browne001";"tmv3whnn";"BRETON";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"";"";""
"1626442";"";"Enseignant";"DUNLEAVY001";"Edgard";"edgard.dunleavy001";"edgard.dunleavy001";"wmbbnrew";"SANS OBJET";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"";"";""
"1673787";"";"Enseignant";"EAS001";"Huguet";"huguet.eas001";"huguet.eas001";"8m5z5tgj";"BRETON";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"";"";""
"1521049";"";"Enseignant";"FERRY001";"Riana";"riana.ferry001";"riana.ferry001";"wymdcxsz";"ANGLAIS";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"";"";""
"1633409";"";"Enseignant";"FOLEY001";"Nassiha";"nassiha.foley001";"nassiha.foley001";"3945nhcd";"SANS SPECIALITE";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"";"";""
"682743";"";"Enseignant";"GRIMES001";"Laëlia";"laelia.grimes001";"laelia.grimes001";"chth73bk";"SANS SPECIALITE";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"";"";""
"1741635";"";"Enseignant";"OLIVA001";"Aïly";"aily.oliva001";"aily.oliva001";"hp6czmpy";"BRETON";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"";"";""
"1922208";"";"Enseignant";"VININ001";"Marie-Julia";"marie-julia.vinin001";"marie-julia.vinin001";"3kc4ts79";"SANS OBJET, BRETON";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"";"";""
"1909717";"";"Enseignant";"YONJAN001";"Rosamonde";"rosamonde.yonjan001";"rosamonde.yonjan001";"3tse7w3c";"DIRECTION";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"";"";""
"1543376";"";"Élève";"ABDULLAH001";"Mala";"mala.abdullah001";"mala.abdullah001";"sh56778v";"";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"222721 - CE1";"";"Heliodore HAIDARA001, Athenaise HODGSON001"
"895255";"";"Élève";"ALBERT001";"Etoile";"etoile.albert001";"etoile.albert001";"nbp335tk";"";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"222723 - GS";"";"Danièla RAZZAQ001, Jordi CECERE001"
"1720000";"";"Élève";"AMOROSO001";"Randal";"randal.amoroso001";"randal.amoroso001";"h8che3zf";"";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"222725 - CM1";"";"Loriano HOLDEN001, Sheinez MAZZOTTA001"
"634694";"";"Élève";"AWALA001";"Macire";"macire.awala001";"macire.awala001";"3n3t7669";"";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"222723 - GS";"";"Sue OLI001, Duc RICCIARDI001"
"774279";"";"Élève";"AYLWARD001";"Cateline";"cateline.aylward001";"cateline.aylward001";"9w8sdy55";"";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"222719 - GS";"";"Sarujan ASRA001, Tyha PLANT001"
"1783607";"";"Élève";"BAGNALL001";"Noëlyne";"noelyne.bagnall001";"noelyne.bagnall001";"kcedzex5";"";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"222720 - CM1";"";"Maryelle GRAVES001, Navin GIANNONE001"
"1592605";"";"Élève";"BARLOW001";"Selvina";"selvina.barlow001";"selvina.barlow001";"j6cdsv53";"";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"222723 - GS";"";"Gabie LORENZI001, Maklouf VISAM001"
"397094";"";"Élève";"BARRETT001";"Bethanie";"bethanie.barrett001";"bethanie.barrett001";"jzjembjw";"";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"222726 - CE2";"";"Zihed BATTISTA001, Philine FIELDING001"
"782991";"";"Élève";"BENASSI001";"Selime";"selime.benassi001";"selime.benassi001";"kw8kvft5";"";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"222725 - CM1";"";"Zihed BATTISTA001, Philine FIELDING001"
"775975";"";"Élève";"BENINI001";"Jacer";"jacer.benini001";"jacer.benini001";"xf4wftv4";"";"E.E.PU-FRANCOIS GUILLOU-DOUARNENEZ";"222721 - CE1";"";"Nephtys HALLINAN001, Abdrahamane HALUWAI001"
