"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1931532";"";"Enseignant";"FLAISEK001";"Audry";"audry.flaisek001";"audry.flaisek001";"";"SANS SPECIALITE";"E.E.PU-GUERIN-BREST";"";"";""
"321742";"";"Enseignant";"HORTON001";"Hejar";"hejar.horton001";"hejar.horton001";"";"SANS SPECIALITE";"E.E.PU-GUERIN-BREST";"";"";""
"1062513";"";"Enseignant";"KAMDEL001";"Flavye";"flavye.kamdel001";"flavye.kamdel001";"";"SANS SPECIALITE";"E.E.PU-GUERIN-BREST";"";"";""
"1090069";"";"Enseignant";"MILAZZO001";"Feten";"feten.milazzo001";"feten.milazzo001";"";"SANS SPECIALITE";"E.E.PU-GUERIN-BREST";"";"";""
"783025";"";"Enseignant";"SIMONELLI001";"Akshara";"akshara.simonelli001";"akshara.simonelli001";"";"SANS SPECIALITE";"E.E.PU-GUERIN-BREST";"";"";""
"721188";"";"Enseignant";"TRAYNOR001";"Meera";"meera.traynor001";"meera.traynor001";"";"SANS SPECIALITE";"E.E.PU-GUERIN-BREST";"";"";""
"1833490";"";"Élève";"ADAMSON001";"Kostas";"kostas.adamson001";"kostas.adamson001";"";"";"E.E.PU-GUERIN-BREST";"224935 - CM2";"";"Fructueuse D'ONOFRIO001, Issam GRUBE001"
"1141899";"";"Élève";"AIRA001";"Esma";"esma.aira001";"esma.aira001";"";"";"E.E.PU-GUERIN-BREST";"224933 - CE2";"";"Bahri OCONNOR001, Sinay RAUFA001"
"1676227";"";"Élève";"ALAMA001";"Guilan";"guilan.alama001";"guilan.alama001";"";"";"E.E.PU-GUERIN-BREST";"224932 - CE1";"";"Geraud FIORE001, Raima MUIR001"
"1761021";"";"Élève";"ASHFAG001";"Wyem";"wyem.ashfag001";"wyem.ashfag001";"";"";"E.E.PU-GUERIN-BREST";"224933 - CE2";"";"Lynette VISI001"
