"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1542390";"";"Enseignant";"BARAHI001";"Reva";"reva.barahi001";"reva.barahi001";"4cmzfb9s";"SANS SPECIALITE";"E.E.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"197214";"";"Enseignant";"DAL001";"Marylis";"marylis.dal001";"marylis.dal001";"syk7st54";"SANS SPECIALITE";"E.E.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"1418632";"";"Enseignant";"GADERIY001";"Armance";"armance.gaderiy001";"armance.gaderiy001";"b9jcm3jc";"SANS OBJET, SANS SPECIALITE";"E.E.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"336221";"";"Enseignant";"GORI001";"Xalbat";"xalbat.gori001";"xalbat.gori001";"mtzwrfcg";"DIRECTION";"E.E.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"276256";"";"Enseignant";"ISAMU001";"Giuliana";"giuliana.isamu001";"giuliana.isamu001";"5dbk33k5";"ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.E.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"1050906";"";"Enseignant";"KHATRI001";"Meir";"meir.khatri001";"meir.khatri001";"zrnfnchj";"SANS SPECIALITE";"E.E.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"1200240";"";"Enseignant";"LAVATI001";"Lenaïg";"lenaig.lavati001";"lenaig.lavati001";"936m45v7";"SANS SPECIALITE";"E.E.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"154479";"";"Enseignant";"PROVENZANO001";"Riane";"riane.provenzano001";"riane.provenzano001";"7xk8485b";"SANS OBJET";"E.E.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"230697";"";"Enseignant";"RICE001";"Ilys";"ilys.rice001";"ilys.rice001";"rpctpdcg";"SANS OBJET";"E.E.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"1305477";"";"Enseignant";"RIYAZ001";"Raiane";"raiane.riyaz001";"raiane.riyaz001";"yk5f7e6m";"SANS SPECIALITE";"E.E.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"610677";"";"Enseignant";"RODGERS001";"Haila";"haila.rodgers001";"haila.rodgers001";"ynybym54";"SANS OBJET";"E.E.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"301033";"";"Élève";"ABATE001";"Guillem";"guillem.abate001";"guillem.abate001";"csdkx38v";"";"E.E.PU-JACQUES PREVERT-LESNEVEN";"230747 - CE1";"";"Jean-Denis LEWIS001, Soline OH001"
"742461";"";"Élève";"ADHUHAM001";"Henry-Pierre";"henry-pierre.adhuham001";"henry-pierre.adhuham001";"rng8skhs";"";"E.E.PU-JACQUES PREVERT-LESNEVEN";"230750 - CE2";"";"Lyssandro FATHUHY001, Jennah MOORE001"
"940528";"";"Élève";"AKRAM001";"Armandino";"armandino.akram001";"armandino.akram001";"tsfsp4es";"";"E.E.PU-JACQUES PREVERT-LESNEVEN";"230750 - CE2";"";"Mahran HAISAM001, Erell NEWAR001"
