"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"999423";"";"Enseignant";"AMOR001";"Looane";"looane.amor001";"looane.amor001";"p8v4sdcz";"SANS SPECIALITE";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"494792";"";"Enseignant";"AZEEZ001";"Diadji";"diadji.azeez001";"diadji.azeez001";"y54arpx6";"BRETON";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"1541047";"";"Enseignant";"COLOMINA001";"Kasimir";"kasimir.colomina001";"kasimir.colomina001";"xjjyfmr9";"SANS SPECIALITE";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"1933323";"";"Enseignant";"CUMMINS001";"Nattéo";"natteo.cummins001";"natteo.cummins001";"tcxmmc3r";"SANS OBJET, SANS SPECIALITE";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"1573049";"";"Enseignant";"DAMENI001";"Euphrosine";"euphrosine.dameni001";"euphrosine.dameni001";"x4xv5gwg";"DIRECTION";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"1633673";"";"Enseignant";"DUDLEY001";"Thiebault";"thiebault.dudley001";"thiebault.dudley001";"3xj6mbts";"SANS SPECIALITE";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"384035";"";"Enseignant";"HARMAN001";"Kaycee";"kaycee.harman001";"kaycee.harman001";"xra5xv78";"BRETON";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"500629";"";"Enseignant";"MARRIOTT001";"Nessya";"nessya.marriott001";"nessya.marriott001";"ykg597jt";"SANS SPECIALITE";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"401780";"";"Enseignant";"MILANI001";"Ygor";"ygor.milani001";"ygor.milani001";"cg7b3grp";"SANS OBJET, SANS SPECIALITE, SANS SPECIALITE";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET, E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"920110";"";"Enseignant";"MULLEN001";"Bella";"bella.mullen001";"bella.mullen001";"fwyxpstd";"SANS SPECIALITE";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"986274";"";"Enseignant";"NEMWAN001";"Naïka";"naika.nemwan001";"naika.nemwan001";"tbz6x8kz";"ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"1880562";"";"Enseignant";"PANTH001";"Sadjid";"sadjid.panth001";"sadjid.panth001";"gshtgf5v";"SANS OBJET";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"759";"";"Enseignant";"SIMMONS001";"Benedict";"benedict.simmons001";"benedict.simmons001";"6ednxwcz";"SANS OBJET";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"933630";"";"Enseignant";"ZAHID001";"Aram";"aram.zahid001";"aram.zahid001";"gdztnmft";"SANS SPECIALITE";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"1163463";"";"Élève";"AISEK001";"Lounès";"lounes.aisek001";"lounes.aisek001";"vhgjm336";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225127 - CM2";"";"Elay NASHID001"
"1758442";"";"Élève";"ANDERSON001";"Gastonne";"gastonne.anderson001";"gastonne.anderson001";"nkjjxv5x";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225127 - CM2";"";"Emouna MANENTI001, Ying DANIELE001"
"1898282";"";"Élève";"ANDERSON001";"Leiane";"leiane.anderson001";"leiane.anderson001";"7azn3x95";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225125 - CE1";"";"Opheline MUSALAMAN001, Yeni HAINES001"
"1890492";"";"Élève";"ANEES001";"Marine-Océane";"marine-oceane.anees0012";"marine-oceane.anees0012";"kd3f5hxg";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225127 - CM2";"";"Uveys FERRETTI001, Ilkay CAMPISI001"
"1759919";"";"Élève";"ANWAR001";"Adrya";"adrya.anwar001";"adrya.anwar001";"8cdhwfsv";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225123 - CM2";"";"Ihsan BRANNIGAN001, Samad BOTTA001"
"943771";"";"Élève";"ATHIF001";"Solimane";"solimane.athif001";"solimane.athif001";"z8zd6jt4";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225126 - CM2";"";"Jonhy AHMED001, Kyera BASUKAL001"
"1768917";"";"Élève";"BAINBRIDGE001";"Ashanti";"ashanti.bainbridge001";"ashanti.bainbridge001";"ydvh7bf3";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225127 - CM2";"";"Mandy THAHUMEENA001, Charlize MAZZOLENI001"
"1705014";"";"Élève";"BALAMPAKI001";"Izza";"izza.balampaki001";"izza.balampaki001";"mdggnjdg";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225128 - CE2";"";"Djameldine FEEHAN001, Adrianne GABRIELLI001"
"1313568";"";"Élève";"BANIY001";"Bosco";"bosco.baniy001";"bosco.baniy001";"4ysxm6m5";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225130 - CE1";"";"Saverina HULME001, Lhéa BOCCIA001"
"1254001";"";"Élève";"BARBERIS001";"Ayem";"ayem.barberis001";"ayem.barberis001";"vtgbd7px";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225126 - CM2";"";"Iole SUHAILA001, Germaine CASELLA001"
"101342";"";"Élève";"BASNET001";"Parvine";"parvine.basnet001";"parvine.basnet001";"f7spj86z";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225130 - CE1";"";"Ismahene GAHAN001, Caïs ZAREENA001"
"1457666";"";"Élève";"BENNETT001";"Kaliya";"kaliya.bennett001";"kaliya.bennett001";"kdya88cp";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225128 - CE2";"";"Aidem MASTERS001, Leany ANNUNZIATA001"
"1141390";"";"Élève";"BERTONI001";"Aleksei";"aleksei.bertoni001";"aleksei.bertoni001";"cfsbrgsj";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225129 - CE2";"";"Erdi RANJITAKAR001, Valina AIRI001"
"927449";"";"Élève";"BHULUN001";"Gulcan";"gulcan.bhulun001";"gulcan.bhulun001";"hseseyx6";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225130 - CE1";"";"Sophian ALBANESE001, Jacques-Yves CAVALIERI001"
"1991878";"";"Élève";"BLACKBURN001";"Izan";"izan.blackburn001";"izan.blackburn001";"y6g4e3ac";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225128 - CE2";"";"Sevilay FARROW001, Charlen RICHMOND001"
"1145406";"";"Élève";"BLANCH001";"Yvane";"yvane.blanch001";"yvane.blanch001";"hkax9znt";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225128 - CE2";"";"Hessam HUSNEE001, Souméya DINEEN001"
"665765";"";"Élève";"BLAND001";"Honora";"honora.bland001";"honora.bland001";"bbbz63xy";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225121 - CE1";"";"Elaïjah BRERETON001, Pascaline LUPI001"
"824782";"";"Élève";"BOCCIA001";"Ramla";"ramla.boccia001";"ramla.boccia001";"dp5m6m6p";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225122 - CM1";"";"Hissa KHULAL001, Elvis SAADHA001"
"360711";"";"Élève";"BOLTON001";"Henoc";"henoc.bolton001";"henoc.bolton001";"tn9bnvj7";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225124 - CP";"";"Celien WOODCOCK001, Lauryanna LORENZI001"
"414305";"";"Élève";"BOVE001";"Jeanne-Elise";"jeanne-elise.bove001";"jeanne-elise.bove001";"bxhj7fc7";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225124 - CP";"";"Keylhan HUTCHINGS001, Kim-Long MACCARTHY001"
"373764";"";"Élève";"BOYLAN001";"Gani";"gani.boylan001";"gani.boylan001";"hx46yzsa";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225128 - CE2";"";"Allison SHAROONA001"
"157747";"";"Élève";"BRANNIGAN001";"Iprahim";"iprahim.brannigan001";"iprahim.brannigan001";"8vjcmewf";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225129 - CE2";"";"Hasdin CONNEELY001, Charlys KNOWLES001"
"1574770";"";"Élève";"BUSH001";"Keycia";"keycia.bush001";"keycia.bush001";"yehgv883";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225128 - CE2";"";"Yeltaz ARNOLD001, Adlyne HENGIO001"
"513820";"";"Élève";"CAIAZZO001";"Senad";"senad.caiazzo001";"senad.caiazzo001";"fpmnptkh";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225126 - CM2";"";"Yliann TAMBOURA001, Yokheved SERAFINI001"
"502689";"";"Élève";"CAMERON001";"Mouctar";"mouctar.cameron001";"mouctar.cameron001";"5wbvj6fr";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225124 - CP";"";"Fodil MASEEH001, Nadette MURUTHALA001"
"358697";"";"Élève";"CANAVAN001";"Alline";"alline.canavan001";"alline.canavan001";"jd6s56my";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225121 - CE1";"";"Chanisse BOURKE001, Sirima DEUJA001"
"722995";"";"Élève";"CANTWELL001";"Zahia";"zahia.cantwell001";"zahia.cantwell001";"37papj7s";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225124 - CP";"";"Luuk GRANATA001, Félicia PISCOPO001"
"316953";"";"Élève";"CARDONE001";"Atika";"atika.cardone001";"atika.cardone001";"jnnh44b7";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225129 - CE2";"";"Lonnie NAUNI001, Blue APPLEBY001"
"1044251";"";"Élève";"CASADEI001";"Haroun";"haroun.casadei001";"haroun.casadei001";"5vbgx4gj";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225130 - CE1";"";"Justinien CEMJON001, Hisaé KENYON001"
"999196";"";"Élève";"CAVALLI001";"Ole";"ole.cavalli001";"ole.cavalli001";"pjahhchv";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225127 - CM2";"";"Sevilay FARROW001, Charlen RICHMOND001"
"243678";"";"Élève";"CECCHINI001";"Naika";"naika.cecchini001";"naika.cecchini001";"nwv8bb37";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225122 - CM1";"";"Dalian FRANCHI001, Naoko MAZZEI001"
"1252503";"";"Élève";"CONLAN001";"Rezlene";"rezlene.conlan001";"rezlene.conlan001";"9rjegd99";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225127 - CM2";"";"Arbia FALAAH001, Lochlan LOUGHLIN001"
"682891";"";"Élève";"CONTE001";"Milhan";"milhan.conte001";"milhan.conte001";"m44sersc";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225121 - CE1";"";"Safyatou QUINLAN001"
"760331";"";"Élève";"CONWAY001";"Yasser";"yasser.conway001";"yasser.conway001";"4tcczwgz";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225129 - CE2";"";"Emelyne VIKE001, Lillia NOOH001"
"1680971";"";"Élève";"CORCORAN001";"Réhane";"rehane.corcoran001";"rehane.corcoran001";"b67ycbm5";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225129 - CE2";"";"Hedi THAKALI001, Gaétan DEBI001"
"1905884";"";"Élève";"CRIPPA001";"Souan";"souan.crippa001";"souan.crippa001";"86h7e4sr";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225123 - CM2";"";"Thelor BECK001, Shanisse KAMAT001"
"108402";"";"Élève";"DADAL001";"Stévan";"stevan.dadal001";"stevan.dadal001";"ey7jwzfs";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225122 - CM1";"";"Nayira FUREY001, Kenna SHAAH001"
"460081";"";"Élève";"DARBY001";"Gretta";"gretta.darby001";"gretta.darby001";"dzjc45wh";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225122 - CM1";"";"Sergette FERRARIS001, Keelyan JENKINS001"
"1498537";"";"Élève";"DINEEN001";"Ileyna";"ileyna.dineen001";"ileyna.dineen001";"fjmm67c3";"";"E.E.PU-JEAN GUEHENNO-QUIMPERLE";"225125 - CE1";"";"Vianne RAHAMAN001, Pino MICHAEL001"
