"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1557812";"";"Enseignant";"BAITH001";"Lidya";"lidya.baith001";"lidya.baith001";"y3jmw4pk";"SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"1770236";"";"Enseignant";"DELRIEU001";"Morane";"morane.delrieu001";"morane.delrieu001";"eenjfejx";"SANS OBJET";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"1971135";"";"Enseignant";"GODHA001";"Meloee";"meloee.godha001";"meloee.godha001";"smwn3j8d";"SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"1271333";"";"Enseignant";"JEEZA001";"Anais";"anais.jeeza001";"anais.jeeza001";"5rxyx5e3";"SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"870677";"";"Enseignant";"KEEGAN001";"Tasnyme";"tasnyme.keegan001";"tasnyme.keegan001";"yazmjrxb";"SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"1811134";"";"Enseignant";"KULUN001";"Lucca";"lucca.kulun001";"lucca.kulun001";"skpkn8xj";"DIRECTION, ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"1744293";"";"Enseignant";"LA001";"Ina";"ina.la001";"ina.la001";"3fwwt9ha";"SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"488423";"";"Enseignant";"LATTANZI001";"Eliz";"eliz.lattanzi001";"eliz.lattanzi001";"md3rd7dm";"SANS OBJET, SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"1218182";"";"Enseignant";"MADEN001";"Pierre-Guillaume";"pierre-guillaume.maden001";"pierre-guillaume.maden001";"46pkh563";"SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"1962420";"";"Enseignant";"MAROTTA001";"Djoy";"djoy.marotta001";"djoy.marotta001";"vnhwh3az";"SANS OBJET, ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.E.PU-QUIZAC-BREST, E.E.PU-JEAN ROSTAND-BREST";"";"";""
"1049819";"";"Enseignant";"MERCURI001";"Daurine";"daurine.mercuri001";"daurine.mercuri001";"vfngntrp";"SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"914259";"";"Enseignant";"ARAMA001";"Kamy";"keilya.newar001";"keilya.newar001";"cmev6eff";"SII OPTION ARCHITECTURE ET CONSTRUCTION";"LPO LYC METIER-PIERRE MENDES FRANCE-RENNES";"";"Shedy CAPONE001, Jeniffer MONTI001";""
"896274";"";"Enseignant";"ROBERTSON001";"Hapsa";"hapsa.robertson001";"hapsa.robertson001";"4bg7t86w";"SANS OBJET, SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"847325";"";"Enseignant";"SAAL001";"Adonai";"adonai.saal001";"adonai.saal001";"33twb8a3";"ALLEMAND";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"1403036";"";"Enseignant";"SHEIKH001";"Thélia";"thelia.sheikh001";"thelia.sheikh001";"jjy9anxf";"SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"1980974";"";"Enseignant";"THUTHTHU001";"Asa";"asa.thuththu001";"asa.thuththu001";"76e39mzh";"SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"687473";"";"Enseignant";"TIMALSEN001";"Aimane";"aimane.timalsen001";"aimane.timalsen001";"sr6dfkww";"SANS SPECIALITE";"E.E.PU-JEAN ROSTAND-BREST";"";"";""
"882741";"";"Élève";"ADAMS001";"Souphiane";"souphiane.adams001";"souphiane.adams001";"5f8xypsj";"";"E.E.PU-JEAN ROSTAND-BREST";"221948 - CM2";"";"Liway AHSAN001, Buse STEPHEN001"
"310488";"";"Élève";"AFSAL001";"Lynsia";"lynsia.afsal001";"lynsia.afsal001";"s9fejacy";"";"E.E.PU-JEAN ROSTAND-BREST";"221942 - GS";"";"Josua HOARE001, Kiara SHIYANA001"
"993379";"";"Élève";"AHIRIN001";"Bertin";"bertin.ahirin001";"bertin.ahirin001";"s86dcnv6";"";"E.E.PU-JEAN ROSTAND-BREST";"221941 - MS";"";"Aahil LEIGH001, Khédidja BARNARD001"
"53922";"";"Élève";"AHOHE001";"Hyllan";"hyllan.ahohe001";"hyllan.ahohe001";"zpee8wn3";"";"E.E.PU-JEAN ROSTAND-BREST";"221939 - CP";"";"Maryn KOÏTA001, Haaron AMEEZ001"
"1548687";"";"Élève";"AHUSAN001";"Nyno";"nyno.ahusan001";"nyno.ahusan001";"px4dzspd";"";"E.E.PU-JEAN ROSTAND-BREST";"221949 - CM2";"";"Édène WARDLE001, Occuline DILLON001"
"826852";"";"Élève";"AIRA001";"Slevin";"slevin.aira001";"slevin.aira001";"f4r5bzzx";"";"E.E.PU-JEAN ROSTAND-BREST";"221947 - CM1";"";"Abdourrahmane NADAPH001, Ishaan SHORT001"
"248007";"";"Élève";"ALESSANDRINI001";"Abdesalem";"abdesalem.alessandrini001";"abdesalem.alessandrini001";"b45mvrw5";"";"E.E.PU-JEAN ROSTAND-BREST";"221940 - TPS";"";"Elisei TIMMONS001, Marie-Dolorès TAMOT001"
"722588";"";"Élève";"ALEXANDER001";"Irya";"irya.alexander001";"irya.alexander001";"938zybc8";"";"E.E.PU-JEAN ROSTAND-BREST";"221949 - CM2";"";"Bokar BI001, Tuana COLOMBI001"
"1245045";"";"Élève";"AMIN001";"Li";"li.amin001";"li.amin001";"gxxzn4hh";"";"E.E.PU-JEAN ROSTAND-BREST";"221943 - CE1";"";"Camerone PARKI001, Ibaia KUNVAR001"
"1640745";"";"Élève";"ASIFA001";"Cleane";"cleane.asifa001";"cleane.asifa001";"ezf9h837";"";"E.E.PU-JEAN ROSTAND-BREST";"221949 - CM2";"";"Shaïny KEOGH001, Batoura THAKUR001"
"306605";"";"Élève";"ATEN001";"Bibiane";"bibiane.aten001";"bibiane.aten001";"e4v37tk4";"";"E.E.PU-JEAN ROSTAND-BREST";"221949 - CM2";"";"Gutemberg BALAMPAKI001, Turker FENNELL001"
"1497289";"";"Élève";"ATHIFA001";"Athanas";"athanas.athifa001";"athanas.athifa001";"hb4b6zcw";"";"E.E.PU-JEAN ROSTAND-BREST";"221939 - CP";"";"Nilsen LOTTI001, Gislaine LORENZON001"
"1350385";"";"Élève";"AZHAR001";"Rayssen";"rayssen.azhar001";"rayssen.azhar001";"j6zkeeyz";"";"E.E.PU-JEAN ROSTAND-BREST";"221945 - CE2";"";"Ottavia ATHIF001, Abdourrahmane TUCKER001"
"111599";"";"Élève";"AZMEELA001";"Carinne";"carinne.azmeela001";"carinne.azmeela001";"rby6zc54";"";"E.E.PU-JEAN ROSTAND-BREST";"221941 - MS";"";"Kiliam FERRARA001, Ana-Clara CRESSWELL001"
"275336";"";"Élève";"AZZA001";"Sidy-Mohamed";"sidy-mohamed.azza001";"sidy-mohamed.azza001";"8wn4adtw";"";"E.E.PU-JEAN ROSTAND-BREST";"221944 - CP";"";"Ishaq CASALI001, Smina MONKS001"
"1231080";"";"Élève";"BADAIL001";"Ursulla";"ursulla.badail001";"ursulla.badail001";"s3xjkeed";"";"E.E.PU-JEAN ROSTAND-BREST";"221941 - MS";"";"Aurelya BILLY001, Radi COSTANZO001"
"512802";"";"Élève";"BARTLETT001";"Innocent";"innocent.bartlett001";"innocent.bartlett001";"exkvg3sb";"";"E.E.PU-JEAN ROSTAND-BREST";"221950 - GS";"";"Khaled COLOMBI001, Do BARBIERI001"
"52748";"";"Élève";"BECK001";"Sambou";"sambou.beck001";"sambou.beck001";"nz7rpegz";"";"E.E.PU-JEAN ROSTAND-BREST";"221947 - CM1";"";"Tidyane STEELE001, Ita DUPONT001"
"1596066";"";"Élève";"BENGALY001";"Anaë";"anae.bengaly001";"anae.bengaly001";"7bbpdfdh";"";"E.E.PU-JEAN ROSTAND-BREST";"221944 - CP";"";"Jassym FOTI001, Rufus NAZIRA001"
"111204";"";"Élève";"BERTOLINI001";"Pierre-Pascal";"pierre-pascal.bertolini001";"pierre-pascal.bertolini001";"vk55dcte";"";"E.E.PU-JEAN ROSTAND-BREST";"221940 - TPS";"";"Omael OKHED001, Faden SABA001"
"1472123";"";"Élève";"BERTONI001";"Donata";"donata.bertoni001";"donata.bertoni001";"j6rmwwzm";"";"E.E.PU-JEAN ROSTAND-BREST";"221943 - CE1";"";"Mohamed-Lamine MIAH001, Dolce LAVATI001"
"73478";"";"Élève";"BOHOR001";"Aryelle";"aryelle.bohor001";"aryelle.bohor001";"zp7dm7fj";"";"E.E.PU-JEAN ROSTAND-BREST";"221949 - CM2";"";"Geraud FALAH001, Lohann KHAMC001"
"451081";"";"Élève";"BOSCHI001";"Marie-Valentine";"marie-valentine.boschi001";"marie-valentine.boschi001";"mcjemakm";"";"E.E.PU-JEAN ROSTAND-BREST";"221948 - CM2";"";"Jean-Teddy NICHOLS001, Shiraz KODIO001"
