"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1486042";"";"Enseignant";"DONOHOE001";"Auregann";"auregann.donohoe001";"auregann.donohoe001";"ep4j8bhk";"SANS OBJET, BRETON, BRETON";"E.M.PU-FRANCOISE DOLTO-PLOERMEL, E.E.PU-JULES VERNE-PLOERMEL";"";"";""
"806273";"";"Enseignant";"HEATON001";"Rich";"rich.heaton001";"rich.heaton001";"wk8n5yt8";"SANS SPECIALITE";"E.E.PU-JULES VERNE-PLOERMEL";"";"";""
"429972";"";"Enseignant";"MIGLIORE001";"Natalija";"natalija.migliore001";"natalija.migliore001";"";"SANS OBJET, SANS SPECIALITE, SANS SPECIALITE, SANS SPECIALITE, SANS SPECIALITE";"E.P.PU-THEODORE BOTREL-LOYAT, E.P.PU-THEODORE MONOD-CAMPENEAC, E.E.PU-JULES VERNE-PLOERMEL";"";"";""
"46905";"";"Enseignant";"NADEEMA001";"Hodaya";"hodaya.nadeema001";"hodaya.nadeema001";"jydkpxcg";"ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.E.PU-JULES VERNE-PLOERMEL";"";"";""
"77615";"";"Enseignant";"NICHOLLS001";"Basekou";"basekou.nicholls001";"basekou.nicholls001";"5kvfyg6v";"DIRECTION";"E.E.PU-JULES VERNE-PLOERMEL";"";"";""
"392308";"";"Enseignant";"SIBY001";"Tayana";"tayana.siby001";"tayana.siby001";"fdbsckpr";"SANS SPECIALITE";"E.E.PU-JULES VERNE-PLOERMEL";"";"";""
"54379";"";"Enseignant";"STACK001";"Yoav";"yoav.stack001";"yoav.stack001";"353b9yc7";"SANS SPECIALITE";"E.E.PU-JULES VERNE-PLOERMEL";"";"";""
"1158343";"";"Enseignant";"STONE001";"Lyly-Rose";"lyly-rose.stone001";"lyly-rose.stone001";"rn7ma54n";"SANS OBJET";"E.E.PU-JULES VERNE-PLOERMEL";"";"";""
"720669";"";"Enseignant";"SUVEDI001";"Yves-Louis";"yves-louis.suvedi001";"yves-louis.suvedi001";"vf448yn4";"SANS SPECIALITE";"E.E.PU-JULES VERNE-PLOERMEL";"";"";""
"1566181";"";"Enseignant";"SWIFT001";"Tahissa";"tahissa.swift001";"tahissa.swift001";"xmvh35p5";"SANS SPECIALITE";"E.E.PU-JULES VERNE-PLOERMEL";"";"";""
"1420878";"";"Élève";"AMADORI001";"Kaourantin";"kaourantin.amadori001";"kaourantin.amadori001";"h6wh7pcb";"";"E.E.PU-JULES VERNE-PLOERMEL";"230351 - CE2";"";"Aymira KIRBY001"
"1136906";"";"Élève";"ANELLI001";"Gauvin";"gauvin.anelli001";"gauvin.anelli001";"3bwvm5sk";"";"E.E.PU-JULES VERNE-PLOERMEL";"230348 - CE2";"";"Wylfried SYANTAN001, Laëla ADHIKARI001"
"1096576";"";"Élève";"ANGELI001";"Minato";"minato.angeli001";"minato.angeli001";"tx6ssy48";"";"E.E.PU-JULES VERNE-PLOERMEL";"230348 - CE2";"";"Gemila GREAVES001, Taïm PETERS001"
"1991542";"";"Élève";"AREEF001";"Nandi";"nandi.areef001";"nandi.areef001";"rtewmv56";"";"E.E.PU-JULES VERNE-PLOERMEL";"230348 - CE2";"";"Yassir MAGUIRE001, Yann LOCATELLI001"
"1989790";"";"Élève";"ATHERTON001";"Roane";"roane.atherton001";"roane.atherton001";"vnb6wpmr";"";"E.E.PU-JULES VERNE-PLOERMEL";"230346 - CP";"";"Lallie LAVELLE001"
"313373";"";"Élève";"ATHOOF001";"Lowell";"lowell.athoof001";"lowell.athoof001";"nh77fh4e";"";"E.E.PU-JULES VERNE-PLOERMEL";"230352 - CM2";"";"Gemila GREAVES001, Taïm PETERS001"
"787371";"";"Élève";"AVERY001";"Nou";"nou.avery001";"nou.avery001";"63npzaxy";"";"E.E.PU-JULES VERNE-PLOERMEL";"230348 - CE2";"";"Tehan BHOLAN001, Yeter PRAVIN001"
"656990";"";"Élève";"AZLEEM001";"Marlee";"marlee.azleem001";"marlee.azleem001";"ctvvz8jr";"";"E.E.PU-JULES VERNE-PLOERMEL";"230347 - CE1";"";"Rodrick PASCALE001, Alexeï KENDALL001"
"1975283";"";"Élève";"BADHEEU001";"Allain";"allain.badheeu001";"allain.badheeu001";"kxg6pp7t";"";"E.E.PU-JULES VERNE-PLOERMEL";"230347 - CE1";"";"Ha RIYASA001, Jamal-Eddine SANTUCCI001"
"829074";"";"Élève";"BARBAGALLO001";"Kintana";"kintana.barbagallo001";"kintana.barbagallo001";"8jbbw6gb";"";"E.E.PU-JULES VERNE-PLOERMEL";"230346 - CP";"";"Slone WAHID001, Esthéban THEVE001"
"1160893";"";"Élève";"BARONE001";"Johannick";"johannick.barone001";"johannick.barone001";"hepctf6n";"";"E.E.PU-JULES VERNE-PLOERMEL";"230350 - CM1";"";"Nelida MOORE001, Timoté DAVEY001"
"1707218";"";"Élève";"BHATARAI001";"Yong";"yong.bhatarai001";"yong.bhatarai001";"wdv83yv5";"";"E.E.PU-JULES VERNE-PLOERMEL";"230347 - CE1";"";"Auphélie BENINI001, Louis-Manuel SKELTON001"
"1192015";"";"Élève";"BRUNI001";"Aayan";"aayan.bruni001";"aayan.bruni001";"xxcfepzv";"";"E.E.PU-JULES VERNE-PLOERMEL";"230348 - CE2";"";"Sawsan FAROOQ001, Ilhona CAMPO001"
"1951414";"";"Élève";"BRUTON001";"Idriss";"idriss.bruton001";"idriss.bruton001";"6yp73atk";"";"E.E.PU-JULES VERNE-PLOERMEL";"230351 - CE2";"";"Ibo GARVUJ001, Teyana BUFFETT001"
"693770";"";"Élève";"BURNETT001";"Collyn";"collyn.burnett001";"collyn.burnett001";"ndvkbtw3";"";"E.E.PU-JULES VERNE-PLOERMEL";"230348 - CE2";"";"Sheryl MANZONI001, Aoitef BONELLI001"
"1656214";"";"Élève";"BUTCHER001";"Marie-Edmee";"marie-edmee.butcher001";"marie-edmee.butcher001";"pmwxmb5y";"";"E.E.PU-JULES VERNE-PLOERMEL";"230346 - CP";"";"Lu KANDU001, Cellia SPILLANE001"
"98410";"";"Élève";"BUTLER001";"Kissima";"kissima.butler001";"kissima.butler001";"48ppjc7x";"";"E.E.PU-JULES VERNE-PLOERMEL";"230348 - CE2";"";"Lisandru BOLOGNA001"
"1446055";"";"Élève";"BYRNE001";"Hanifi";"hanifi.byrne001";"hanifi.byrne001";"ws6f7hk8";"";"E.E.PU-JULES VERNE-PLOERMEL";"230354 - CM2";"";"Marinela TEDESCO001"
"1394283";"";"Élève";"BYRNES001";"Yaïr";"yair.byrnes001";"yair.byrnes001";"j9tred79";"";"E.E.PU-JULES VERNE-PLOERMEL";"230354 - CM2";"";"Sofiane SHAMEEM001, Gaidic IDREES001, Gulistan MAIONE001"
"862252";"";"Élève";"CANTONI001";"Abdelsamad";"abdelsamad.cantoni001";"abdelsamad.cantoni001";"m3h7x5th";"";"E.E.PU-JULES VERNE-PLOERMEL";"230352 - CM2";"";"Killien BOLOGNESI001, Djalila FRANK001"
"1847614";"";"Élève";"CASULA001";"Gulnaz";"gulnaz.casula001";"gulnaz.casula001";"gz4vwghh";"";"E.E.PU-JULES VERNE-PLOERMEL";"230351 - CE2";"";"Ulrika SHEILS001, Yshaï SOGOBA001"
"365722";"";"Élève";"CAVALIERE001";"Jorah";"jorah.cavaliere001";"jorah.cavaliere001";"nw663fxn";"";"E.E.PU-JULES VERNE-PLOERMEL";"230352 - CM2";"";"Tahitia ZIUNA001, Joa DEE001"
"1527702";"";"Élève";"CIMINO001";"Tou";"tou.cimino001";"tou.cimino001";"4t37awpe";"";"E.E.PU-JULES VERNE-PLOERMEL";"230347 - CE1";"";"Landon FOSTER001, Loine MACDONALD001"
