"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1641325";"";"Enseignant";"AZIM001";"Marie-Emilie";"marie-emilie.azim001";"marie-emilie.azim001";"xgaz5ckp";"SANS OBJET";"E.E.PU-KERANDON-CONCARNEAU";"";"";""
"210354";"";"Enseignant";"DIAKITE001";"Maria-Cristina";"maria-cristina.diakite001";"maria-cristina.diakite001";"m6jx5jth";"BRETON";"E.E.PU-KERANDON-CONCARNEAU";"";"";""
"1157419";"";"Enseignant";"FIORENTINO001";"Chayili";"chayili.fiorentino001";"chayili.fiorentino001";"srjrmz4n";"BRETON";"E.E.PU-KERANDON-CONCARNEAU";"";"";""
"245234";"";"Enseignant";"MAGARANI001";"Thomine";"thomine.magarani001";"thomine.magarani001";"4dy6mfgb";"SANS SPECIALITE";"E.E.PU-KERANDON-CONCARNEAU";"";"";""
"291090";"";"Enseignant";"TAIT001";"Habip";"habip.tait001";"habip.tait001";"bfvwsz78";"SANS OBJET";"E.E.PU-KERANDON-CONCARNEAU";"";"";""
"496387";"";"Élève";"BAGNALL001";"Lonie";"lonie.bagnall001";"lonie.bagnall001";"wznpgvvv";"";"E.E.PU-KERANDON-CONCARNEAU";"220962 - CM2";"";"Tayann NESTOR001, Ruveyda SODIG001"
"1817816";"";"Élève";"BARNES001";"Jaroslav";"jaroslav.barnes001";"jaroslav.barnes001";"5jmtnry5";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Benjy MEREU001, Ridoine YASHFA001"
"1471780";"";"Élève";"BASTOL001";"Savina";"savina.bastol001";"savina.bastol001";"ydcmjbg5";"";"E.E.PU-KERANDON-CONCARNEAU";"220960 - GS";"";"Khaly MACKEN001, Sylvienne WARUDHA001"
"511916";"";"Élève";"BEECH001";"Pharel";"pharel.beech001";"pharel.beech001";"smkpkbrv";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Frederico GILMARTIN001, Kani BARTLETT001"
"57193";"";"Élève";"BERETTA001";"Victorya";"victorya.beretta001";"victorya.beretta001";"kejw43kj";"";"E.E.PU-KERANDON-CONCARNEAU";"220960 - GS";"";"Syrah UNAIS001, Jézabel ROSE001"
"281313";"";"Élève";"CLEMENTS001";"Rali";"rali.clements001";"rali.clements001";"k8pe5tb9";"";"E.E.PU-KERANDON-CONCARNEAU";"220960 - GS";"";"Annik MAPELLI001, Brett AZMEE001"
"1549434";"";"Élève";"COSTANTINO001";"Maiky";"maiky.costantino001";"maiky.costantino001";"63zkab37";"";"E.E.PU-KERANDON-CONCARNEAU";"220960 - GS";"";"Tanaïs DURA001, Eloan MCGUINNESS001"
"1944307";"";"Élève";"CRIPPA001";"Majed";"majed.crippa001";"majed.crippa001";"893c5nsz";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Ahmadou FOLAN001, Brayana LUTHFY001"
"1615430";"";"Élève";"CROTTY001";"Manolis";"manolis.crotty001";"manolis.crotty001";"h8wsxe8w";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Djinane GHANI001, Eneko VALAMI001"
"1855106";"";"Élève";"DHIMAL001";"Moukhtar";"moukhtar.dhimal001";"moukhtar.dhimal001";"rhx73ffw";"";"E.E.PU-KERANDON-CONCARNEAU";"220963 - CM2";"";"Noelig VECCHI001, Antonela RANJITAKAR001"
"1350025";"";"Élève";"FEDELI001";"Jean-Tony";"jean-tony.fedeli001";"jean-tony.fedeli001";"b5z8yv7z";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Eman MCMAHON001"
"835937";"";"Élève";"FENNESSY001";"Djanyl";"djanyl.fennessy001";"djanyl.fennessy001";"e6n8yere";"";"E.E.PU-KERANDON-CONCARNEAU";"220962 - CM2";"";"Calen SHANOON001"
"1408778";"";"Élève";"GLYNN001";"Guy-François";"guy-francois.glynn001";"guy-francois.glynn001";"cp8f855z";"";"E.E.PU-KERANDON-CONCARNEAU";"220962 - CM2";"";"Marie-Aurélie EVERETT001, Ermida RAGUSA001"
"371563";"";"Élève";"GUNN001";"Jawhar";"jawhar.gunn0012";"jawhar.gunn0012";"dry5mgvs";"";"E.E.PU-KERANDON-CONCARNEAU";"220963 - CM2";"";"Luc-Emmanuel QUINTAL-CHRISTIAN001, Marie-Noël ROKAH001"
"184919";"";"Élève";"HAKEEM001";"Novann";"novann.hakeem001";"novann.hakeem001";"rjpxxntp";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Benjy MEREU001, Ridoine YASHFA001"
"1525774";"";"Élève";"KHATVE001";"Angélika";"angelika.khatve001";"angelika.khatve001";"x4t4z8jw";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Virapin DOOLAN001, Shone AMATO001"
"310857";"";"Élève";"KOMANDOVSKY001";"Elies";"elies.komandovsky001";"elies.komandovsky001";"h3speh8a";"";"E.E.PU-KERANDON-CONCARNEAU";"220963 - CM2";"";"Veysel GOBBO001, Sabia VALSECCHI001"
"1544450";"";"Élève";"LANE001";"Andreline";"andreline.lane001";"andreline.lane001";"h9vny5p9";"";"E.E.PU-KERANDON-CONCARNEAU";"220962 - CM2";"";"Elohim GUIDI001, Maiwenn MASI001"
"1757905";"";"Élève";"LANGAN001";"Marieke";"marieke.langan001";"marieke.langan001";"vwrezrtm";"";"E.E.PU-KERANDON-CONCARNEAU";"220963 - CM2";"";"Callisto NAJEEBA001, Ryo CATALANO001"
"174972";"";"Élève";"LEO001";"Margit";"margit.leo001";"margit.leo001";"6hkrdwck";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Inaé SHIMLA001, Agostino BALSAMO001"
"662450";"";"Élève";"LOHANI001";"Kalissy";"kalissy.lohani001";"kalissy.lohani001";"m9hehfce";"";"E.E.PU-KERANDON-CONCARNEAU";"220963 - CM2";"";"Guinel MUIR001, Anaël NOYES001"
"1780031";"";"Élève";"MACRI001";"Pétula";"petula.macri001";"petula.macri001";"zpvwdcc6";"";"E.E.PU-KERANDON-CONCARNEAU";"220963 - CM2";"";"Lawson SILWAL001, Kiran DICKO001"
"41963";"";"Élève";"MEHAT001";"Frédérik";"frederik.mehat001";"frederik.mehat001";"zperpjyv";"";"E.E.PU-KERANDON-CONCARNEAU";"220962 - CM2";"";"Chayana EASA001"
"672926";"";"Élève";"MUMTHAZ001";"Gwendall";"gwendall.mumthaz001";"gwendall.mumthaz001";"4bh5xp73";"";"E.E.PU-KERANDON-CONCARNEAU";"220963 - CM2";"";"Stephanne AZRA001, Fulgence SLADE001"
"1353318";"";"Élève";"MURMU001";"Thiefaine";"thiefaine.murmu001";"thiefaine.murmu001";"bmre4fbn";"";"E.E.PU-KERANDON-CONCARNEAU";"220963 - CM2";"";"Kean ZIYADHA001, Penielle KLEINER001"
"979118";"";"Élève";"NAILA001";"Akmar";"akmar.naila001";"akmar.naila001";"bh7bh5fc";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Gervais NEMBAN001, Josua KEARNEY001"
"782962";"";"Élève";"NATHA001";"Suvetha";"suvetha.natha001";"suvetha.natha001";"pwnrv9ag";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Luc-Emmanuel QUINTAL-CHRISTIAN001, Marie-Noël ROKAH001"
"311487";"";"Élève";"NEGRI001";"Zelly";"zelly.negri001";"zelly.negri001";"b3by7pm5";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Rkia INAD001, Sener REULE001"
"1666336";"";"Élève";"NOBILE001";"Hendryk";"hendryk.nobile001";"hendryk.nobile001";"mz7jjzsr";"";"E.E.PU-KERANDON-CONCARNEAU";"220963 - CM2";"";"Eman MCMAHON001"
"1796006";"";"Élève";"NORTON001";"Alexandar";"alexandar.norton001";"alexandar.norton001";"8a3westv";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Stefana KOÏTA001, Vladislaw SANDRI001"
"799197";"";"Élève";"O'BRIEN001";"Venceslas";"venceslas.obrien001";"venceslas.obrien001";"gx954bn3";"";"E.E.PU-KERANDON-CONCARNEAU";"220961 - GS";"";"Vincentine EASTWOOD001, Keyvin SABA001"
"210525";"";"Élève";"PALMA001";"Yannicke";"yannicke.palma001";"yannicke.palma001";"4e6erp3a";"";"E.E.PU-KERANDON-CONCARNEAU";"220963 - CM2";"";"Veysel GOBBO001, Sabia VALSECCHI001"
