"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1409813";"";"Enseignant";"CASTLE001";"Mihya";"mihya.castle001";"mihya.castle001";"mrf6mney";"DIRECTION";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"";"";""
"1959842";"";"Enseignant";"D'AMBROSIO001";"Cassia";"cassia.dambrosio001";"cassia.dambrosio001";"gjkp4fkt";"SANS SPECIALITE";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"";"";""
"1129388";"";"Enseignant";"HODSON001";"Soufia";"soufia.hodson001";"soufia.hodson001";"ke9ffvhb";"SANS SPECIALITE";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"";"";""
"154715";"";"Enseignant";"MCPHILLIPS001";"Kalifa";"kalifa.mcphillips001";"kalifa.mcphillips001";"mvtvjxeg";"SANS SPECIALITE";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"";"";""
"1573535";"";"Enseignant";"PAUL001";"Janele";"janele.paul001";"janele.paul001";"w3pyj8m4";"SANS SPECIALITE";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"";"";""
"368323";"";"Élève";"ABDHULLA001";"Aïvy";"aivy.abdhulla001";"aivy.abdhulla001";"p6tj8rm6";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226446 - CM1";"";"Wylene NASHEEDA001, Seylian JOSI001"
"814809";"";"Élève";"ALEEM001";"Ferouse";"ferouse.aleem001";"ferouse.aleem001";"ynmjym6z";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226450 - CM1";"";"Assia GANNON001, Timoty DEVANEY001"
"979228";"";"Élève";"ANADEMVE001";"Sandor";"sandor.anademve001";"sandor.anademve001";"34zxyd8d";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226449 - CE2";"";"Ekrame DUPONT001, Exaucé LORENZI001"
"1717453";"";"Élève";"AREEFA001";"Riyadh";"riyadh.areefa001";"riyadh.areefa001";"9ttcdyes";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226451 - CE1";"";"Thilyan NEUPANE001, Valliamee KADAYAT001"
"1045934";"";"Élève";"AROOSHA001";"Melynda";"melynda.aroosha001";"melynda.aroosha001";"c6vrdbz7";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226450 - CM1";"";"Serhan BAMBA001, Wanissa LUCEY001"
"1728109";"";"Élève";"BARAM001";"Itziar";"itziar.baram001";"itziar.baram001";"y4m8bt8p";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226446 - CM1";"";"Hashley HAMDHA001, Vittore WALLER001"
"1002307";"";"Élève";"BASNET001";"Azziz";"azziz.basnet001";"azziz.basnet001";"v6zkxgb8";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226450 - CM1";"";"Ty ILHAMA001"
"1045432";"";"Élève";"BENSON001";"José-Pierre";"jose-pierre.benson001";"jose-pierre.benson001";"bykzezg6";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226446 - CM1";"";"Hiyam THADA001, Robenson WABY001"
"723628";"";"Élève";"BLAKE001";"Niraj";"niraj.blake001";"niraj.blake001";"nk3hdmgw";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226450 - CM1";"";"Nazla DOHENY001, Gervaise ROSS001"
"769269";"";"Élève";"BOGATI001";"Jarode";"jarode.bogati001";"jarode.bogati001";"5rwprp96";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226446 - CM1";"";"Taly HOPKINS001, Esmeralda FOGLIA001"
"1867899";"";"Élève";"BOUDAN001";"Cyndelle";"cyndelle.boudan001";"cyndelle.boudan001";"3czskwfp";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226449 - CE2";"";"Océa MAYNARD001, Etann HEGARTY001"
"1978191";"";"Élève";"BUTTERWORTH001";"Stephanne";"stephanne.butterworth001";"stephanne.butterworth001";"nd9mska3";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226450 - CM1";"";"Sylverine SAMIH001, Hayden FAIZA001"
"1058190";"";"Élève";"CALABRO001";"Felice";"felice.calabro001";"felice.calabro001";"8dd6jh4r";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226446 - CM1";"";"Naïdy MULLAN001, Thibert AZUMA001"
"1304324";"";"Élève";"CALO001";"Kôme";"kome.calo001";"kome.calo001";"pgpskssp";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226447 - CE1";"";"Senna BAJAGAI001, Joah KENNERLEY001"
"1676030";"";"Élève";"CAMAIN001";"Marie-Marguerite";"marie-marguerite.camain001";"marie-marguerite.camain001";"cgzg3x3r";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226450 - CM1";"";"Djelan MANSURI001, Britanie ACHAMI001"
"1876046";"";"Élève";"CAREW001";"Muriel";"muriel.carew001";"muriel.carew001";"8krt5hgf";"";"E.E.PU-LA FORGERINE-INZINZAC-LOCHRIST";"226450 - CM1";"";"Dimitri ANEES001, Erdal BENDER001"
