"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"600825";"";"Enseignant";"ANEESA001";"Lea";"lea.aneesa001";"lea.aneesa001";"mbb8bpmt";"SANS OBJET";"E.E.PU-LA MADELEINE-GUINGAMP";"";"";""
"1358006";"";"Enseignant";"CASAGRANDE001";"Metis";"metis.casagrande001";"metis.casagrande001";"pjksvmf3";"SANS SPECIALITE";"E.E.PU-LA MADELEINE-GUINGAMP";"";"";""
"720433";"";"Enseignant";"CASTIGLIONI001";"Soumia";"soumia.castiglioni001";"soumia.castiglioni001";"87b4t6jh";"SANS OBJET";"E.E.PU-LA MADELEINE-GUINGAMP";"";"";""
"1388231";"";"Enseignant";"FATHUHEE001";"Keyliss";"keyliss.fathuhee001";"keyliss.fathuhee001";"45cjhysw";"ANGLAIS";"E.E.PU-LA MADELEINE-GUINGAMP";"";"";""
"1288587";"";"Enseignant";"FLAHERTY001";"Hermand";"hermand.flaherty001";"hermand.flaherty001";"8cxrfzbv";"SANS SPECIALITE";"E.E.PU-LA MADELEINE-GUINGAMP";"";"";""
"269516";"";"Enseignant";"LARKIN001";"Adrielle";"adrielle.larkin001";"adrielle.larkin001";"5hnmxwjn";"SANS SPECIALITE";"E.E.PU-LA MADELEINE-GUINGAMP";"";"";""
"1113252";"";"Enseignant";"MAJEWSKI001";"Fetiha";"fetiha.majewski001";"fetiha.majewski001";"xhcf4hkb";"ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.E.PU-LA MADELEINE-GUINGAMP";"";"";""
"1100760";"";"Enseignant";"MANNA001";"Annaë";"annae.manna001";"annae.manna001";"564tcbws";"SANS OBJET, SANS SPECIALITE";"E.E.PU-LA MADELEINE-GUINGAMP";"";"";""
"147848";"";"Enseignant";"WINTERS001";"Nysrine";"nysrine.winters001";"nysrine.winters001";"frvggmsz";"DIRECTION";"E.E.PU-LA MADELEINE-GUINGAMP";"";"";""
"988025";"";"Élève";"AMJAD001";"Kaiet";"kaiet.amjad001";"kaiet.amjad001";"thvg5ehk";"";"E.E.PU-LA MADELEINE-GUINGAMP";"227227 - CM2";"";"Cedrik SLENDER001, Miana SWAN001"
"1566497";"";"Élève";"AZZAM001";"Monsif";"monsif.azzam001";"monsif.azzam001";"dym7fbsr";"";"E.E.PU-LA MADELEINE-GUINGAMP";"227228 - CM1";"";"Mérylie DAGNOKO001"
"1220488";"";"Élève";"BAISY001";"Housnati";"housnati.baisy001";"housnati.baisy001";"t7vtkrkp";"";"E.E.PU-LA MADELEINE-GUINGAMP";"230290 - MS";"";"Marguerite-Marie ZUHOOR001, Tombe KEVAT001"
"180636";"";"Élève";"BAISY001";"Olena";"olena.baisy001";"olena.baisy001";"kjyjdsx5";"";"E.E.PU-LA MADELEINE-GUINGAMP";"227228 - CM1";"";"Isciane BLAKE001, Gracia MUKTAN001"
