"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"523538";"";"Enseignant";"ENNIS001";"Dafne";"dafne.ennis001";"dafne.ennis001";"r4bzgpdz";"SANS SPECIALITE";"E.E.PU-LE QUESTEL-BREST";"";"";""
"477282";"";"Enseignant";"FIORENTINO001";"Milijana";"milijana.fiorentino001";"milijana.fiorentino001";"p7yvk4vw";"ANGLAIS";"E.E.PU-LE QUESTEL-BREST";"";"";""
"42432";"";"Enseignant";"GIACALONE001";"Wesly";"wesly.giacalone001";"wesly.giacalone001";"yh5kk5jg";"SANS SPECIALITE";"E.E.PU-LE QUESTEL-BREST";"";"";""
"1826261";"";"Enseignant";"MAC001";"Azhar";"azhar.mac001";"azhar.mac001";"vy6y3zbm";"SANS SPECIALITE";"E.E.PU-LE QUESTEL-BREST";"";"";""
"825787";"";"Enseignant";"MACDONNELL001";"Nadette";"nadette.macdonnell001";"nadette.macdonnell001";"setdcn3z";"DIRECTION";"E.E.PU-LE QUESTEL-BREST";"";"";""
"75395";"";"Enseignant";"MAUSOOM001";"Karim";"karim.mausoom001";"karim.mausoom001";"399yw8dc";"SANS SPECIALITE";"E.E.PU-LE QUESTEL-BREST";"";"";""
"605833";"";"Enseignant";"MCLEOD001";"Gunther";"gunther.mcleod001";"gunther.mcleod001";"rj3vkfmn";"SANS OBJET";"E.E.PU-LE QUESTEL-BREST";"";"";""
"1728428";"";"Élève";"AMATY001";"Diaminatou";"diaminatou.amaty001";"diaminatou.amaty001";"ehht4kjj";"";"E.E.PU-LE QUESTEL-BREST";"221964 - PS";"";"Chaynes WEST001"
"535198";"";"Élève";"AMBROSINI001";"Zofia";"zofia.ambrosini001";"zofia.ambrosini001";"ys4ezmmy";"";"E.E.PU-LE QUESTEL-BREST";"221960 - CE1";"";"Soam THOMSON001, Iméne COYNE001"
"1170696";"";"Élève";"ANDREWS001";"Safa";"safa.andrews001";"safa.andrews001";"vmdtg7zb";"";"E.E.PU-LE QUESTEL-BREST";"221960 - CE1";"";"Adryano KAPHLE001, Dorita MARTELLI001"
"1217678";"";"Élève";"ASHWORTH001";"Selimane";"selimane.ashworth001";"selimane.ashworth001";"xtkw55fs";"";"E.E.PU-LE QUESTEL-BREST";"221962 - GS";"";"Ouari BERTO001, Maidy ROCK001"
"1083157";"";"Élève";"BA001";"Kendrix";"kendrix.ba001";"kendrix.ba001";"dwp48mbr";"";"E.E.PU-LE QUESTEL-BREST";"221960 - CE1";"";"Sadio BALZANO001, Drago MATERA001"
"21917";"";"Élève";"BAINES001";"Hashir";"hashir.baines001";"hashir.baines001";"nghhpfhr";"";"E.E.PU-LE QUESTEL-BREST";"221963 - MS";"";"Senny DAVIDSON001, Ieva PARKI001"
"1882144";"";"Élève";"BANA001";"Carsten";"carsten.bana001";"carsten.bana001";"xyhpgn43";"";"E.E.PU-LE QUESTEL-BREST";"221958 - CM2";"";"Jean-Pol KHUNA001, Ysolde D'ALESSANDRO001"
"660596";"";"Élève";"BASNYAT001";"Nouah";"nouah.basnyat001";"nouah.basnyat001";"8wph7tnx";"";"E.E.PU-LE QUESTEL-BREST";"221964 - PS";"";"Onofrio THAPALIY001, Pervenche ASLAM001"
"1228838";"";"Élève";"BEAUMONT001";"Djawad";"djawad.beaumont001";"djawad.beaumont001";"tt6bjhe4";"";"E.E.PU-LE QUESTEL-BREST";"221962 - GS";"";"Timhéo HARDMAN001, Féryel ELLIS001"
"1099762";"";"Élève";"BEST001";"Léhane";"lehane.best001";"lehane.best001";"yv5akdze";"";"E.E.PU-LE QUESTEL-BREST";"221962 - GS";"";"Abdoul-Hakim SPINELLI001, Aïssatou FAYYAZ001"
"1997857";"";"Élève";"BETTINI001";"Stesy";"stesy.bettini001";"stesy.bettini001";"ycgeant8";"";"E.E.PU-LE QUESTEL-BREST";"221963 - MS";"";"Adriel NAJAH001, Dimitrios LUPO001"
"1391472";"";"Élève";"BISALEN001";"Soundouss";"soundouss.bisalen001";"soundouss.bisalen001";"tgxxyskj";"";"E.E.PU-LE QUESTEL-BREST";"221958 - CM2";"";"Eneo KHAM001, Manika O'LEARY001"
"757319";"";"Élève";"BLUM001";"Abderaman";"abderaman.blum001";"abderaman.blum001";"rexn3bwj";"";"E.E.PU-LE QUESTEL-BREST";"221958 - CM2";"";"Frederico PARMAR001"
"953105";"";"Élève";"BOHAR001";"Aenora";"aenora.bohar001";"aenora.bohar001";"dvh885bz";"";"E.E.PU-LE QUESTEL-BREST";"221959 - CM2";"";"Ilam ALBANO001, Melda GUNNING001"
"1621186";"";"Élève";"BOSCO001";"Nahyl";"nahyl.bosco001";"nahyl.bosco001";"yk6cb65v";"";"E.E.PU-LE QUESTEL-BREST";"221960 - CE1";"";"Senny DAVIDSON001, Ieva PARKI001"
"130397";"";"Élève";"BOSCOLO001";"Yvonic";"yvonic.boscolo001";"yvonic.boscolo001";"pv5bn6rt";"";"E.E.PU-LE QUESTEL-BREST";"221962 - GS";"";"Ceylane MANSURI001, Marick CAURASIY001"
"327457";"";"Élève";"BRADY001";"Barthélémy";"barthelemy.brady001";"barthelemy.brady001";"fmxmbsb7";"";"E.E.PU-LE QUESTEL-BREST";"221963 - MS";"";"Inès BULICHE001, Abir LINEHAM001"
"1585454";"";"Élève";"BROOKS001";"Melane";"melane.brooks001";"melane.brooks001";"dt6fez4c";"";"E.E.PU-LE QUESTEL-BREST";"221959 - CM2";"";"Igal FIORENTINO001, Vu O'MAHONY001"
"1100295";"";"Élève";"BRUNI001";"Marcuccia";"marcuccia.bruni001";"marcuccia.bruni001";"cce4s84n";"";"E.E.PU-LE QUESTEL-BREST";"221963 - MS";"";"Kane NASHIDHA001, Lines ASRA001"
"1990386";"";"Élève";"BUDHAKSETRI001";"Aëlya";"aelya.budhaksetri001";"aelya.budhaksetri001";"nhr8cwbz";"";"E.E.PU-LE QUESTEL-BREST";"221962 - GS";"";"Yves-Lise ROKA001, Alsace SIMMONS001"
"240019";"";"Élève";"CAREW001";"Thibeault";"thibeault.carew001";"thibeault.carew001";"vxpwkh7z";"";"E.E.PU-LE QUESTEL-BREST";"221960 - CE1";"";"Kiméo BERNASCONI001, Peronne RUDD001"
