"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"113611";"";"Enseignant";"BUXTON001";"Stressy";"stressy.buxton001";"stressy.buxton001";"";"SANS SPECIALITE";"E.E.PU-LE VIZAC-SAINT-RENAN";"";"";""
"563010";"";"Enseignant";"CARLI001";"Marie-Sylvie";"marie-sylvie.carli001";"marie-sylvie.carli001";"rrdvhp4j";"SANS OBJET";"E.E.PU-LE VIZAC-SAINT-RENAN";"";"";""
"138266";"";"Enseignant";"GAUCAN001";"Dahlia";"dahlia.gaucan001";"dahlia.gaucan001";"t3se9r8m";"SANS OBJET";"E.E.PU-LE VIZAC-SAINT-RENAN";"";"";""
"1013067";"";"Enseignant";"GODHA001";"Manar";"manar.godha001";"manar.godha001";"smwg5x8m";"SANS OBJET";"E.E.PU-LE VIZAC-SAINT-RENAN";"";"";""
"688355";"";"Enseignant";"JAMAL001";"Samsara";"samsara.jamal001";"samsara.jamal001";"56he8g5z";"SANS SPECIALITE";"E.E.PU-LE VIZAC-SAINT-RENAN";"";"";""
"608717";"";"Enseignant";"KHATUN001";"Yûna";"yuna.khatun001";"yuna.khatun001";"n9per66z";"SANS SPECIALITE";"E.E.PU-LE VIZAC-SAINT-RENAN";"";"";""
"1461250";"";"Enseignant";"SCANLON001";"Marinella";"marinella.scanlon001";"marinella.scanlon001";"78vv55wc";"SANS SPECIALITE";"E.E.PU-LE VIZAC-SAINT-RENAN";"";"";""
"1603117";"";"Enseignant";"SHEENEEZ001";"Marie-Sarah";"marie-sarah.sheeneez001";"marie-sarah.sheeneez001";"esrrjmex";"SANS SPECIALITE";"E.E.PU-LE VIZAC-SAINT-RENAN";"";"";""
"614311";"";"Enseignant";"TIRUW001";"Cemal";"cemal.tiruw001";"cemal.tiruw001";"";"DIRECTION";"E.E.PU-LE VIZAC-SAINT-RENAN";"";"";""
"1554582";"";"Élève";"AHERNE001";"Tiliano";"tiliano.aherne001";"tiliano.aherne001";"";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227841 - CE1";"";"Mumin MUNEER001, Elanor NASHA001"
"740578";"";"Élève";"ALLAN001";"Meidhi";"meidhi.allan001";"meidhi.allan001";"hk383rzw";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227840 - CP";"";"Cliff COATES001, Josine BRUNO001"
"1133007";"";"Élève";"ANADEMBE001";"Bary";"bary.anadembe001";"bary.anadembe001";"syecjbt9";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227839 - GS";"";"Dainys HALEEM001, Fakhri SALIH001"
"601719";"";"Élève";"ANDERSON001";"Amour";"amour.anderson001";"amour.anderson001";"n638mpmr";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227843 - CM1";"";"Morgane NOBBS001, Roxelane KAMAIT001"
"1924726";"";"Élève";"ANELLI001";"Landing";"landing.anelli001";"landing.anelli001";"p87rvn85";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227843 - CM1";"";"Kamil KHARAL001, Gratieuse WATSON001"
"638992";"";"Élève";"ARCAY001";"Norris";"norris.arcay001";"norris.arcay001";"mashxrak";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227839 - GS";"";"Narayan NYHAN001, Nyota GOITA001"
"131508";"";"Élève";"ARENA001";"Gaële";"gaele.arena001";"gaele.arena001";"xrzre53s";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227843 - CM1";"";"Meyron FAZEEN001, Amdjad GROVES001"
"487735";"";"Élève";"AZEEZA001";"Rosuel";"rosuel.azeeza001";"rosuel.azeeza001";"ktd8keds";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227840 - CP";"";"Lary OSBORNE001, Norhane MORA001"
"795695";"";"Élève";"BARBATO001";"Annunziato";"annunziato.barbato001";"annunziato.barbato001";"z65653cd";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227841 - CE1";"";"Vigo LAUNAY001, Ilanna BAGNALL001"
"936919";"";"Élève";"BASSANI001";"Vitalis";"vitalis.bassani001";"vitalis.bassani001";"5dcrfjte";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227841 - CE1";"";"Iba VERCOE001, Fantine BOVE001"
"1427833";"";"Élève";"BATAL001";"Timucin";"timucin.batal001";"timucin.batal001";"ssmb68b7";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227844 - CM2";"";"Ouamar KERR001, Nima LYNN001"
"1766458";"";"Élève";"BATTISTI001";"Cyanne";"cyanne.battisti001";"cyanne.battisti001";"ez5kbez3";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227837 - PS";"";"Meyron FAZEEN001, Amdjad GROVES001"
"610820";"";"Élève";"BENEBIG001";"Tugrul";"tugrul.benebig001";"tugrul.benebig001";"64xtrjhf";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227839 - GS";"";"Abdel-Magid SERMA001, Odélya FORTUNE001"
"1348916";"";"Élève";"BERDON001";"Maloan";"maloan.berdon001";"maloan.berdon001";"x5fr3g8r";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227838 - GS";"";"Sten NEALE001, Anne-Marine HARNETT001"
"1890347";"";"Élève";"BERGAMASCHI001";"Marie-Flore";"marie-flore.bergamaschi001";"marie-flore.bergamaschi001";"bcbpy4pp";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227841 - CE1";"";"Ruby MASSEY001, Abygaël TIMSIN001"
"1098078";"";"Élève";"BOIRE001";"Nourreddine";"nourreddine.boire001";"nourreddine.boire001";"g5bfebyh";"";"E.E.PU-LE VIZAC-SAINT-RENAN";"227839 - GS";"";"Jelissa SUNARNI001, Thomine MUSLIMA001"
