"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"150621";"";"Enseignant";"DUPONT001";"Habby";"habby.dupont001";"habby.dupont001";"wte6nptk";"SANS SPECIALITE";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"";"";""
"569622";"";"Enseignant";"SARKI001";"Madji";"madji.sarki001";"madji.sarki001";"hs39jsy7";"SANS OBJET, SANS SPECIALITE, ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ, E.P.PU-JEAN MACE-HENNEBONT";"";"";""
"1562242";"";"Enseignant";"ZANON001";"Lyzea";"lyzea.zanon001";"lyzea.zanon001";"3mcpv3dg";"SANS OBJET";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"";"";""
"1119928";"";"Élève";"AMATY001";"Kezio";"kezio.amaty001";"kezio.amaty001";"bk3nxd5s";"";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"231428 - CM2";"";"Franckie CAFFREY001, Huzaifa STEFANI001"
"649302";"";"Élève";"ARAMA001";"Hilarion";"hilarion.arama001";"hilarion.arama001";"w6vnv5gp";"";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"231428 - CM2";"";"Nuna VITIELLO001, Samy MANIHAR001"
"1779379";"";"Élève";"BARONI001";"Bernadine";"bernadine.baroni001";"bernadine.baroni001";"fczkm96r";"";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"231426 - CE2";"";"Foussenou SAIT001, Susannah PROVENZANO001"
"89049";"";"Élève";"BEGUM001";"Lily-May";"lily-may.begum001";"lily-may.begum001";"7hsbygcf";"";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"231424 - CE1";"";"Salvadora KHADAK001, Edzio FRANCESCONI001"
"1688836";"";"Élève";"BELLUCCI001";"Lizie";"lizie.bellucci001";"lizie.bellucci001";"75gxw3kf";"";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"231425 - CE2";"";"Annalisa KUSWAR001, Carlu FINOCCHIARO001"
"377975";"";"Élève";"BOSIO001";"Blessed";"blessed.bosio001";"blessed.bosio001";"5g796nvz";"";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"231424 - CE1";"";"Killyann BRENNAN001, Naama MCFADDEN001"
"588540";"";"Élève";"BRADSHAW001";"Vikram";"vikram.bradshaw001";"vikram.bradshaw001";"rw4e5ey7";"";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"231425 - CE2";"";"Lovaïna PEDEL001, Soffiane CARR001"
"1548905";"";"Élève";"BRUTON001";"Yzea";"yzea.bruton001";"yzea.bruton001";"3tzwjtft";"";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"231427 - CM1";"";"Vishva PISCOPO001, Donata KULUN001"
"1458804";"";"Élève";"CAMPBELL001";"Haiden";"haiden.campbell001";"haiden.campbell001";"ddakebbv";"";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"231425 - CE2";"";"Maho COLLINGS001, My CORRADINI001"
"1174083";"";"Élève";"CARLUCCI001";"Ritel";"ritel.carlucci001";"ritel.carlucci001";"cf33h53j";"";"E.E.PU-LES MESANGES BLEUES-MERLEVENEZ";"231428 - CM2";"";"Elouan MCGOWAN001, Bluma THINA001"
