"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"97840";"";"Enseignant";"CASELLI001";"Alexys";"alexys.caselli001";"alexys.caselli001";"";"BRETON";"E.E.PU-LEURGADORET-CORAY";"";"";""
"717691";"";"Enseignant";"ERWIN001";"Ola";"ola.erwin001";"ola.erwin001";"x6ybnnsr";"SANS SPECIALITE";"E.E.PU-LEURGADORET-CORAY";"";"";""
"970120";"";"Enseignant";"MARAR001";"Alida";"alida.marar001";"alida.marar001";"wssncrrw";"SANS SPECIALITE";"E.E.PU-LEURGADORET-CORAY";"";"";""
"1459126";"";"Enseignant";"PETRUCCI001";"Jossiane";"jossiane.petrucci001";"jossiane.petrucci001";"7n9vzdkx";"BRETON";"E.E.PU-LEURGADORET-CORAY";"";"";""
"1785316";"";"Enseignant";"SLENDER001";"Mirose";"mirose.slender001";"mirose.slender001";"5h8ew69v";"DIRECTION";"E.E.PU-LEURGADORET-CORAY";"";"";""
"63219";"";"Enseignant";"SUDIN001";"Gigliola";"gigliola.sudin001";"gigliola.sudin001";"k5nnfbtn";"SANS SPECIALITE";"E.E.PU-LEURGADORET-CORAY";"";"";""
"1511401";"";"Enseignant";"WILLINGHAM001";"Milow";"milow.willingham001";"milow.willingham001";"kfgpjtpy";"SANS OBJET, SANS SPECIALITE";"E.E.PU-LEURGADORET-CORAY";"";"";""
"366591";"";"Élève";"ABDULLAH001";"Hodayfa";"hodayfa.abdullah001";"hodayfa.abdullah001";"";"";"E.E.PU-LEURGADORET-CORAY";"222352 - MS";"";"Sayfedine SURYAVANSI001, Francette COZZI001"
"42749";"";"Élève";"AHAMAD001";"Bartlomiej";"bartlomiej.ahamad001";"bartlomiej.ahamad001";"ztjwkeef";"";"E.E.PU-LEURGADORET-CORAY";"222352 - MS";"";"Clodine LANE001, Jean-Clément TOMASELLI001"
"402331";"";"Élève";"AHMAD001";"Emiliano";"emiliano.ahmad001";"emiliano.ahmad001";"f7d7ekdw";"";"E.E.PU-LEURGADORET-CORAY";"222353 - GS";"";"Pol THARUIN001, May-Leen STINNETT001"
"938125";"";"Élève";"AISEK001";"Youri";"youri.aisek001";"youri.aisek001";"a8wae4fw";"";"E.E.PU-LEURGADORET-CORAY";"222354 - CE1";"";"Bleon MANCUSO001, Katiana FARREN001"
"902124";"";"Élève";"ALLAN001";"Muslim";"muslim.allan001";"muslim.allan001";"jnkrp997";"";"E.E.PU-LEURGADORET-CORAY";"222350 - CM2";"";"Mahamodou ARYAL001, Rosemary SUHAIL001"
"1448453";"";"Élève";"ASHRAF001";"Swanny";"swanny.ashraf001";"swanny.ashraf001";"apmt8pkt";"";"E.E.PU-LEURGADORET-CORAY";"222351 - CP";"";"Ouahiba LOHAR001, Yussef GRENNAN001"
