"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1405482";"";"Enseignant";"BAINBRIDGE001";"Aubree";"aubree.bainbridge001";"aubree.bainbridge001";"";"ANGLAIS";"E.E.PU-LIBERTE-RENNES";"";"";""
"544620";"";"Enseignant";"BALDO001";"Cora";"cora.baldo001";"cora.baldo001";"j5bndka4";"ANGLAIS";"E.E.PU-LIBERTE-RENNES";"";"";""
"576097";"";"Enseignant";"CRIPPA001";"Jean-Davy";"jean-davy.crippa001";"jean-davy.crippa001";"m83afvx7";"ANGLAIS";"E.E.PU-LIBERTE-RENNES";"";"";""
"706514";"";"Enseignant";"DIABY001";"Ebtisseme";"ebtisseme.diaby001";"ebtisseme.diaby001";"";"SANS OBJET";"E.E.PU-LIBERTE-RENNES";"";"";""
"10497";"";"Enseignant";"HAIDARA001";"Czeslawa";"czeslawa.haidara001";"czeslawa.haidara001";"s8kpvmnd";"SANS OBJET, SANS SPECIALITE";"E.E.PU-LIBERTE-RENNES";"";"";""
"1805339";"";"Enseignant";"KAVANAGH001";"Erwane";"erwane.kavanagh001";"erwane.kavanagh001";"4sc4vcmh";"BRETON";"E.E.PU-LIBERTE-RENNES";"";"";""
"679638";"";"Enseignant";"LO001";"Velia";"velia.lo001";"velia.lo001";"b74fdp3w";"ANGLAIS";"E.E.PU-LIBERTE-RENNES";"";"";""
"669430";"";"Enseignant";"MORELLO001";"Yviane";"yviane.morello001";"yviane.morello001";"bzykbve8";"BRETON";"E.E.PU-LIBERTE-RENNES";"";"";""
"723338";"";"Enseignant";"SARACINO001";"Estee";"estee.saracino001";"estee.saracino001";"mcdp3fw6";"BRETON";"E.E.PU-LIBERTE-RENNES";"";"";""
"1417508";"";"Enseignant";"SINTAN001";"Meguy";"meguy.sintan001";"meguy.sintan001";"6e8cctam";"ACCUEIL PRIMO ARRIVANTS";"E.E.PU-LIBERTE-RENNES";"";"";""
"166010";"";"Élève";"ABBAS001";"Yazane";"yazane.abbas001";"yazane.abbas001";"k36bgfch";"";"E.E.PU-LIBERTE-RENNES";"228477 - CE2";"";"Shalyna CARBERRY001, Hadietou VOMJAN001"
"1873926";"";"Élève";"ABDULLAH001";"Louisa";"louisa.abdullah001";"louisa.abdullah001";"pjzdfnhe";"";"E.E.PU-LIBERTE-RENNES";"228479 - CM2";"";"Jamilla FINUCANE001"
"1050078";"";"Élève";"AGRAHARI001";"Mylaine";"mylaine.agrahari001";"mylaine.agrahari001";"5fmeczcp";"";"E.E.PU-LIBERTE-RENNES";"228484 - CP";"";"Hallya EGAN001, Hadji LOUGHLIN001"
"136361";"";"Élève";"AHAMAD001";"Félicity";"felicity.ahamad001";"felicity.ahamad001";"mssvdhmr";"";"E.E.PU-LIBERTE-RENNES";"228481 - CP";"";"Echati FEDERICO001, Yness STEFANI001"
"460117";"";"Élève";"ARAMA001";"Lylana";"lylana.arama001";"lylana.arama001";"gx64zfsw";"";"E.E.PU-LIBERTE-RENNES";"228485 - CM1";"";"Anna-Léna ONGOIBA001"
"1663585";"";"Élève";"AZEEM001";"Kamaldine";"kamaldine.azeem001";"kamaldine.azeem001";"hzncfmre";"";"E.E.PU-LIBERTE-RENNES";"228483 - CM2";"";"Rosalia AHLAM001, Novica INASHA001"
"1510452";"";"Élève";"BARKER001";"Semmy";"semmy.barker001";"semmy.barker001";"m9sne3by";"";"E.E.PU-LIBERTE-RENNES";"228477 - CE2";"";"Saverina DAPHALI001, Federica NASEER001"
"1793270";"";"Élève";"BASYAL001";"Lev";"lev.basyal001";"lev.basyal001";"v4p5b58s";"";"E.E.PU-LIBERTE-RENNES";"228484 - CP";"";"Cindy NASIF001, Jordy NAFEESA001"
"534914";"";"Élève";"BATTISTINI001";"Nadem";"nadem.battistini001";"nadem.battistini001";"r8emwtdv";"";"E.E.PU-LIBERTE-RENNES";"228477 - CE2";"";"Fleurina ADHIKARI001"
"1992986";"";"Élève";"BENASSI001";"Liberte";"liberte.benassi001";"liberte.benassi001";"e6f4bjcb";"";"E.E.PU-LIBERTE-RENNES";"228482 - CE2";"";"Enolia KUMAL001, Zacchary THEVE001"
"1698283";"";"Élève";"BIONDI001";"Stefany";"stefany.biondi001";"stefany.biondi001";"p6zvwbcm";"";"E.E.PU-LIBERTE-RENNES";"228484 - CP";"";"Klayton FERGUSON001, Chahyn BAITH001"
"228359";"";"Élève";"BIRCH001";"Oswald";"oswald.birch001";"oswald.birch001";"fxash5pg";"";"E.E.PU-LIBERTE-RENNES";"228481 - CP";"";"Reggie ROWSTON001"
"749233";"";"Élève";"BOLOGNESI001";"Sauveur";"sauveur.bolognesi001";"sauveur.bolognesi001";"xmx3mxn6";"";"E.E.PU-LIBERTE-RENNES";"228477 - CE2";"";"Ilija SHIHAM001, Pema TREACY001"
"1042457";"";"Élève";"BONINI001";"Latif";"latif.bonini001";"latif.bonini001";"3b7yetsv";"";"E.E.PU-LIBERTE-RENNES";"228477 - CE2";"";"Tri SHAN001, Guerina GALASSO001"
"1086230";"";"Élève";"BOSCO001";"Philbert";"philbert.bosco001";"philbert.bosco001";"5ewh7tyt";"";"E.E.PU-LIBERTE-RENNES";"228480 - CM1";"";"Maxine LORENZINI001, Gaetan DALLA001"
"586837";"";"Élève";"BRANNIGAN001";"Jems";"jems.brannigan001";"jems.brannigan001";"fmt8x3n9";"";"E.E.PU-LIBERTE-RENNES";"228482 - CE2";"";"Yoav DIA001, Juvenal PARIS001"
"330678";"";"Élève";"BRERETON001";"Semmy";"semmy.brereton001";"semmy.brereton001";"bs7wrf6f";"";"E.E.PU-LIBERTE-RENNES";"228485 - CM1";"";"Williana SHAHULA001, Virginio O'HALLORAN001"
