"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"633691";"";"Enseignant";"ASLAM001";"Erisa";"erisa.aslam001";"erisa.aslam001";"";"ANGLAIS";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"";"";""
"380246";"";"Enseignant";"BADI001";"Lélia";"lelia.badi001";"lelia.badi001";"hxwaebjz";"SANS SPECIALITE";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"";"";""
"1643973";"";"Enseignant";"BAJAGAI001";"Madala";"madala.bajagai001";"madala.bajagai001";"p9xb5wdp";"SANS SPECIALITE";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"";"";""
"1705782";"";"Enseignant";"CURLEY001";"Kayron";"kayron.curley001";"kayron.curley001";"snpnfcv8";"DIRECTION, SANS SPECIALITE";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"";"";""
"409186";"";"Enseignant";"DERBY001";"Delya";"delya.derby001";"delya.derby001";"55f8hhjh";"BRETON";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"";"";""
"969365";"";"Enseignant";"LODHA001";"Nevra";"nevra.lodha001";"nevra.lodha001";"j7jgkeer";"SANS SPECIALITE";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"";"";""
"1371404";"";"Enseignant";"NOBILE001";"Rio";"rio.nobile001";"rio.nobile001";"nfb7gkex";"BRETON";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"";"";""
"341714";"";"Enseignant";"ROMANI001";"Brooklyn";"brooklyn.romani001";"brooklyn.romani001";"k4b3teph";"SANS SPECIALITE";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"";"";""
"159092";"";"Enseignant";"THAUFEEQ001";"Laureine";"laureine.thaufeeq001";"laureine.thaufeeq001";"rvfz56ft";"SANS SPECIALITE";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"";"";""
"1654893";"";"Enseignant";"THORPE001";"Marline";"marline.thorpe001";"marline.thorpe001";"566y87z7";"SANS OBJET, SANS SPECIALITE, SANS SPECIALITE";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"";"";""
"1938403";"";"Élève";"ALEMAGAR001";"Marie-Adrienne";"marie-adrienne.alemagar001";"marie-adrienne.alemagar001";"hy4fj6w5";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221667 - CM1";"";"Tymea HUSEN001"
"948926";"";"Élève";"AMBROSIO001";"Anselme";"anselme.ambrosio001";"anselme.ambrosio001";"vknsf7ye";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221673 - GS";"";"Elisene JABEGU001, Fatumata AGEEL001"
"975282";"";"Élève";"AUSTIN001";"Kémuel";"kemuel.austin001";"kemuel.austin001";"m7p75ydc";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221670 - CP";"";"Simeon ISHAM001, Schana SMALL001"
"1442808";"";"Élève";"BACON001";"Yoachim";"yoachim.bacon001";"yoachim.bacon001";"6h5maxss";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Cesira GUALTIERI001"
"319369";"";"Élève";"BELBASE001";"Chouki";"chouki.belbase001";"chouki.belbase001";"xt69vpce";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Rida CARBERRY001"
"1172638";"";"Élève";"BHANADARI001";"Nunziatina";"nunziatina.bhanadari001";"nunziatina.bhanadari001";"v8skpxyf";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221668 - CM2";"";"Kaydan MARRA001, Alastair CARMODY001"
"1981096";"";"Élève";"BOLOGNESI001";"Meylane";"meylane.bolognesi001";"meylane.bolognesi001";"wxjyv8gg";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221669 - CM1";"";"Oussman ASHIR001, Orana DJIGUIBA001"
"1925847";"";"Élève";"BRESCIANI001";"Loki";"loki.bresciani001";"loki.bresciani001";"w4m3j95g";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Yemine NOONAN001, Aramis JARVIS001"
"821776";"";"Élève";"BRIGHT001";"Guy-Bernard";"guy-bernard.bright001";"guy-bernard.bright001";"wkh6fdx8";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"225626 - GS";"";"Ivi MARI001, Souméya KHAM001"
"768217";"";"Élève";"CARTON001";"Syloé";"syloe.carton001";"syloe.carton001";"98j6gg3s";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221669 - CM1";"";"Gildwen BARAILI001, Kadija VIGANO001"
"135411";"";"Élève";"CASTIGLIONI001";"Zaim";"zaim.castiglioni001";"zaim.castiglioni001";"8taebxp5";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221670 - CP";"";"Jeannic DHANUKAIN001, Aïleen TOOMEY001"
"843170";"";"Élève";"CERUTTI001";"Véréna";"verena.cerutti001";"verena.cerutti001";"aeddb6ye";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221668 - CM2";"";"Tanisha VISTA001, Avidan YAMEEN001, Adrielle NOLAN001"
"866389";"";"Élève";"CHANTEL001";"Zyon";"zyon.chantel001";"zyon.chantel001";"4tv8cs6c";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Roselyse CALCAGNO001, Ricky POKHREL001"
"458317";"";"Élève";"CIPOLLA001";"Leïly";"leily.cipolla001";"leily.cipolla001";"gpnpfwp7";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Heliodore PAOLINI001, Radu RAIDAS001"
"1375312";"";"Élève";"CONDRON001";"Razi";"razi.condron001";"razi.condron001";"zvtg6dxj";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"225626 - GS";"";"Souhayb TRACEY001, Naty MANENTI001"
"573234";"";"Élève";"CONLAN001";"Emerys";"emerys.conlan001";"emerys.conlan001";"gg7tz89p";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221671 - CE1";"";"Kris KINGSTON001, Manoe MCHALE001"
"1044693";"";"Élève";"CONLON001";"Loucca";"loucca.conlon001";"loucca.conlon001";"6ynmyf4a";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Silan SANEEZ001, Lou-Ana NAFHA001, Tamaya SHIELS001"
"1705583";"";"Élève";"CUSACK001";"Mayer";"mayer.cusack001";"mayer.cusack001";"rezcj7g6";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221670 - CP";"";"Wisdom NYASUR001, Annaël GADARIY001"
"1233461";"";"Élève";"DAVITT001";"Norden";"norden.davitt001";"norden.davitt001";"ne84kxmt";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Edgard MUHAIMIN001, Thecle PAUDEL001"
"758681";"";"Élève";"DHARTI001";"Willis";"willis.dharti001";"willis.dharti001";"rvzbnn6d";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221672 - CP";"";"Ouadah LOTTI001, Mayke SABEENA001"
"1673685";"";"Élève";"DOURAN001";"Balthazar";"balthazar.douran001";"balthazar.douran001";"xrajh34w";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Ives DOWLING001, Dellia SHAW001"
"379778";"";"Élève";"ELLISON001";"Sallah";"sallah.ellison001";"sallah.ellison001";"rgbpfnmh";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221668 - CM2";"";"Gildwen BARAILI001, Kadija VIGANO001"
"975591";"";"Élève";"FAISAL001";"Tynéo";"tyneo.faisal001";"tyneo.faisal001";"7phhkrg5";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Licinio TIERNEY001, Saâdia BERNARDI001"
"557717";"";"Élève";"FINAN001";"Lahyann";"lahyann.finan001";"lahyann.finan001";"w3knnjeb";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221671 - CE1";"";"Lyv READ001"
"1800470";"";"Élève";"FORTUNE001";"Amrane";"amrane.fortune001";"amrane.fortune001";"pwd39xem";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Nylson BOWDEN001, Rukiye COKHAL001"
"1306400";"";"Élève";"GAGLIARDI001";"Eleanore";"eleanore.gagliardi001";"eleanore.gagliardi001";"mrhw9p8t";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Simeon ISHAM001, Schana SMALL001"
"312810";"";"Élève";"GANNON001";"Bamba";"bamba.gannon001";"bamba.gannon001";"zrvhstyx";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221667 - CM1";"";"Dhikra COLLINGS001"
"502171";"";"Élève";"GARUNG001";"Loudwig";"loudwig.garung001";"loudwig.garung001";"c8pxpb7g";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221668 - CM2";"";"Zeynabou NICHOLAS001, Halil GREGORY001"
"649776";"";"Élève";"GILES001";"Ryana";"ryana.giles001";"ryana.giles001";"ywenssgz";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221667 - CM1";"";"Jihed SHAMOON001, Louhna MCGRANE001"
"1594374";"";"Élève";"GUINAN001";"Bleona";"bleona.guinan001";"bleona.guinan001";"nw3kjegh";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Ivi MARI001, Souméya KHAM001"
"573220";"";"Élève";"HAYWARD001";"Maximilie";"maximilie.hayward001";"maximilie.hayward001";"h94rpmb7";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Morjiane SAEED001"
"1208350";"";"Élève";"HEATON001";"Dixon";"dixon.heaton001";"dixon.heaton001";"h7re3657";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221668 - CM2";"";"Emerik FULHU001, Maman YATTARA001"
"815704";"";"Élève";"HERLIHY001";"Joinville";"joinville.herlihy001";"joinville.herlihy001";"w88m53y3";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221671 - CE1";"";"Marianne KENYON001, Allyriane BACCI001"
"1716139";"";"Élève";"HERLIHY001";"Milla";"milla.herlihy001";"milla.herlihy001";"rjnhhvjj";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Kris KINGSTON001, Manoe MCHALE001"
"1334067";"";"Élève";"HICKEY001";"Maïlann";"mailann.hickey001";"mailann.hickey001";"kekrr6zv";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221669 - CM1";"";"Natalino RUMUSOD001, Ilhana NASFA001"
"670955";"";"Élève";"HILMEE001";"Sabrina";"sabrina.hilmee001";"sabrina.hilmee001";"f6gc6exr";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"225626 - GS";"";"Ceylan SEMPLE001, Cindie GURUN001"
"1991918";"";"Élève";"HOEY001";"Letisia";"letisia.hoey001";"letisia.hoey001";"76skzrbg";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221673 - GS";"";"Roselyse CALCAGNO001, Ricky POKHREL001"
"1398172";"";"Élève";"HOGG001";"Jean-Raymond";"jean-raymond.hogg001";"jean-raymond.hogg001";"r7ckjyyb";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221669 - CM1";"";"Ayann NASH001, Emelia FERRANTE001"
"1948740";"";"Élève";"HORGAN001";"Anelise";"anelise.horgan001";"anelise.horgan001";"nm4h38sr";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221673 - GS";"";"Isnel GAVIN001, Salera BATCHELOR001"
"43739";"";"Élève";"HURLEY001";"Aaliya";"aaliya.hurley001";"aaliya.hurley001";"8bajbkkh";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221669 - CM1";"";"Bony GOITA001, Yatte CHURCH001"
"1159129";"";"Élève";"IKLEEL001";"Wilann";"wilann.ikleel001";"wilann.ikleel001";"sz6n99zb";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221670 - CP";"";"Adryana HAYWARD001, Devris SABAH001"
"1313029";"";"Élève";"IRSHAD001";"Annea";"annea.irshad0012";"annea.irshad0012";"djhmv39e";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221668 - CM2";"";"Lévi BENETTI001, Thyphaine WALL001"
"661820";"";"Élève";"IRWIN001";"Mae-Lou";"mae-lou.irwin001";"mae-lou.irwin001";"5dv7c5bh";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Cheickna HAÏDARA001, Ivanka IRASHA001"
"99626";"";"Élève";"ISHANA001";"Rogatienne";"rogatienne.ishana001";"rogatienne.ishana001";"m9wktx7f";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Panpi SONARIN001, Maureen RAZZAQ001"
"312716";"";"Élève";"ITANI001";"Precious";"precious.itani001";"precious.itani001";"bgxtbewz";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Thommy POLL001, Soundous FAULKNER001"
"244245";"";"Élève";"JACK001";"Chems-Eddine";"chems-eddine.jack001";"chems-eddine.jack001";"4kpb8mvn";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221673 - GS";"";"Telly MANNION001, Kaylliah RUKA001"
"1900419";"";"Élève";"JAUHAREE001";"Aïmen";"aimen.jauharee001";"aimen.jauharee001";"vh7yncnf";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221667 - CM1";"";"Mouniapin MCGEE001, Verena KABAR001"
"1603999";"";"Élève";"JAVID001";"Lahila";"lahila.javid001";"lahila.javid001";"znh4vyt6";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221673 - GS";"";"Bony GOITA001, Yatte CHURCH001"
"205044";"";"Élève";"KAMALUDEEN001";"Meven";"meven.kamaludeen001";"meven.kamaludeen001";"phepzhak";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221673 - GS";"";"Ornellia HOUGH001, Lorentz LATINI001"
"486972";"";"Élève";"KARANJIT001";"Kaïlan";"kailan.karanjit001";"kailan.karanjit001";"6kxmcjmc";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221672 - CP";"";"Oussman ASHIR001, Orana DJIGUIBA001"
"1603590";"";"Élève";"KATTEL001";"Timucin";"timucin.kattel001";"timucin.kattel001";"jep3kjpn";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Haïley KIRK001, Rafaëla ALEEM001"
"1607284";"";"Élève";"KEN001";"Kandjoura";"kandjoura.ken001";"kandjoura.ken001";"kzcyv4bs";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221669 - CM1";"";"Sovanna SARGENT001, Isael NAHIDHA001"
"219523";"";"Élève";"KHADGE001";"Nel";"nel.khadge001";"nel.khadge001";"ettdgk9d";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221671 - CE1";"";"Zacharia YUMNA001, Abou ZUNAIRA001"
"61351";"";"Élève";"KHANA001";"Io";"io.khana001";"io.khana001";"xexg6hg4";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221672 - CP";"";"Wilhelm SMYTH001, Laêtitia FOSTER001"
"1883268";"";"Élève";"KHAPANGI001";"Naem";"naem.khapangi001";"naem.khapangi001";"n4h4hawv";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Aramata GIOVANNINI001"
"1986634";"";"Élève";"KNIGHTLY001";"Anne-Emmanuelle";"anne-emmanuelle.knightly001";"anne-emmanuelle.knightly001";"74bcvdzm";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221669 - CM1";"";"Tanguy MASSARO001, Anna-Rosa BIGG001"
"504668";"";"Élève";"KUMALNI001";"Galaad";"galaad.kumalni001";"galaad.kumalni001";"ckayak3d";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221669 - CM1";"";"Kemoko MAHARJAN001, Sukeina CHEN001"
"346722";"";"Élève";"KUVAR001";"Pol";"pol.kuvar001";"pol.kuvar001";"7w7h9k6j";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221669 - CM1";"";"Audrene COSTA001, Swana PANTH001"
"321358";"";"Élève";"LAHERI001";"Danika";"danika.laheri001";"danika.laheri001";"kpbmyckw";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Teophile PUDASAINI001, Edvina FENLON001"
"575493";"";"Élève";"LAW001";"Anthelme";"anthelme.law001";"anthelme.law001";"7mvm6r7j";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221668 - CM2";"";"Erwin SHIFAAZ001, Wilfrid SUMNER001"
"1437377";"";"Élève";"LEHANE001";"Seban";"seban.lehane001";"seban.lehane001";"vxyrxmwj";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Erkam STANLEY001, Sayuri LAZZARINI001"
"1877412";"";"Élève";"LOCKWOOD001";"Helwane";"helwane.lockwood001";"helwane.lockwood001";"83sszwhs";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Raymondo COULSON001, Mahjouba MCAULEY001"
"451987";"";"Élève";"LOONEY001";"Kevser";"kevser.looney001";"kevser.looney001";"ggkmy836";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Kudret KAREMBE001, Swana PANTH001"
"987659";"";"Élève";"LOUIS001";"Lysiana";"lysiana.louis001";"lysiana.louis001";"b5vhhmj4";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221669 - CM1";"";"Wilhelm SMYTH001, Jamil GLENNON001, Laêtitia FOSTER001"
"520688";"";"Élève";"LUCIANO001";"Fermin";"fermin.luciano001";"fermin.luciano001";"rfpmwthh";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"225626 - GS";"";"Esthéban BETTINI001"
"1164847";"";"Élève";"MACKEY001";"Lahina";"lahina.mackey001";"lahina.mackey001";"vr6m4bvk";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221669 - CM1";"";"Kaïden MARCHINI001, Louhann CLAY001"
"851874";"";"Élève";"MAIMOONA001";"Evrim";"evrim.maimoona001";"evrim.maimoona001";"6w74n6gc";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Davens KING001, Lyhana FAROOG001"
"1688542";"";"Élève";"MCCULLAGH001";"Colette";"colette.mccullagh001";"colette.mccullagh001";"4cydvcbw";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221670 - CP";"";"Jéhanne AFLAH001, Mihail AMOR001, Brooke TURNBULL001"
"266246";"";"Élève";"MCDERMOTT001";"Marius";"marius.mcdermott001";"marius.mcdermott001";"4tsmwvjd";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221674 - MS";"";"Aywen MUDABHARI001, Chloey SAVAD001"
"353227";"";"Élève";"MCGOWAN001";"Maie";"maie.mcgowan001";"maie.mcgowan001";"s683mzhj";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221670 - CP";"";"Joann OLDFIELD001, Florisse FALVEY001"
"786224";"";"Élève";"MENZIES001";"Salle";"salle.menzies001";"salle.menzies001";"bze68rgj";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221667 - CM1";"";"Lévanah O'DONNELL001, Louhna MCGRANE001"
"66002";"";"Élève";"MILLWARD001";"Katniss";"katniss.millward001";"katniss.millward001";"rjtbxh8e";"";"E.E.PU-LUCIE ET RAYMOND AUBRAC-BREST";"221666 - PS";"";"Sovanna SARGENT001, Isael NAHIDHA001"
