"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"75437";"";"Enseignant";"BARAL001";"Esma-Nur";"esma-nur.baral001";"esma-nur.baral001";"gbk4n77m";"SANS OBJET";"E.E.PU-NIZON-PONT-AVEN";"";"";""
"253453";"";"Enseignant";"CRANE001";"Whitley";"whitley.crane001";"whitley.crane001";"vr5tyk5k";"SANS SPECIALITE";"E.E.PU-NIZON-PONT-AVEN";"";"";""
"1219382";"";"Enseignant";"DEVITT001";"Mousa";"mousa.devitt001";"mousa.devitt001";"dkgftte6";"SANS OBJET";"E.E.PU-NIZON-PONT-AVEN";"";"";""
"1920059";"";"Enseignant";"HOLDEN001";"Viona";"viona.holden001";"viona.holden001";"7gc37pem";"DIRECTION";"E.E.PU-NIZON-PONT-AVEN";"";"";""
"561816";"";"Enseignant";"PROFT001";"Sawsène";"sawsene.proft001";"sawsene.proft001";"pv9hxce6";"SANS SPECIALITE";"E.E.PU-NIZON-PONT-AVEN";"";"";""
"1145216";"";"Enseignant";"WADE001";"Alézio";"alezio.wade001";"alezio.wade001";"jab8rmmy";"SANS SPECIALITE";"E.E.PU-NIZON-PONT-AVEN";"";"";""
"1539909";"";"Élève";"AMATY001";"Jade";"jade.amaty001";"jade.amaty001";"gmwab47j";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Alyou CREGAN001, Annily NOONE001"
"1871417";"";"Élève";"ANADEMVE001";"Raiane";"raiane.anademve001";"raiane.anademve001";"8hbtzmse";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Diyaeddine DEULA001, Djezia SADLER001"
"941163";"";"Élève";"ANAS001";"Sawsan";"sawsan.anas001";"sawsan.anas001";"vtsmmhyb";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Coriane SHAKEEB001, Ornelia KABA001"
"632718";"";"Élève";"ANGELI001";"Sevtap";"sevtap.angeli001";"sevtap.angeli001";"yrfrg9rc";"";"E.E.PU-NIZON-PONT-AVEN";"222703 - MS";"";"Cam KEN001, Dima SHEA001"
"1668693";"";"Élève";"ASIF001";"Aïda";"aida.asif001";"aida.asif001";"c3rca99k";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Haylie JAMAL001, Kyriann PLUNKETT001"
"1964699";"";"Élève";"BADU001";"Thimote";"thimote.badu001";"thimote.badu001";"tye9hnxy";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Ferda DURA001, Deva FRANCISCO001"
"1807002";"";"Élève";"BARALDI001";"Izabela";"izabela.baraldi001";"izabela.baraldi001";"j3gca8z6";"";"E.E.PU-NIZON-PONT-AVEN";"222703 - MS";"";"Lisio ASHRAF001, Diamond HOWLEY001"
"576375";"";"Élève";"BARRA001";"Alexana";"alexana.barra001";"alexana.barra001";"6wysnprm";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Albin AZLEEM001, Bresilia HOBAN001"
"1315705";"";"Élève";"BEGAM001";"Fiorino";"fiorino.begam001";"fiorino.begam001";"mxckb86h";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Ellenita OCALLAGHAN001, Nagy PARIYAR001"
"1748890";"";"Élève";"BELLI001";"Evelin";"evelin.belli001";"evelin.belli001";"7dyz6kes";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Ildiko MCFADDEN001, Asiya BAGAYOGO001"
"496069";"";"Élève";"BERARDI001";"Meïlie";"meilie.berardi001";"meilie.berardi001";"jpnbr5v5";"";"E.E.PU-NIZON-PONT-AVEN";"222705 - CM1";"";"Lisio ASHRAF001, Diamond HOWLEY001"
"407880";"";"Élève";"BLUM001";"Kurtiss";"kurtiss.blum001";"kurtiss.blum001";"vx3bbf7h";"";"E.E.PU-NIZON-PONT-AVEN";"222705 - CM1";"";"Jona LAWLER001"
"137329";"";"Élève";"BOLER001";"Ah";"ah.boler001";"ah.boler001";"d4pxkcdg";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Haylie JAMAL001, Kyriann PLUNKETT001"
"965967";"";"Élève";"BOND001";"Lunise";"lunise.bond001";"lunise.bond001";"vsjgmg5d";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Zyad MURAV001, Jahnaëlle RAMA001"
"783829";"";"Élève";"CAINA001";"Fendi";"fendi.caina001";"fendi.caina001";"8bf34e5w";"";"E.E.PU-NIZON-PONT-AVEN";"222703 - MS";"";"Keith MCMORROW001, Ellie-Rose KISKU001"
"591786";"";"Élève";"CARTWRIGHT001";"Aisosa";"aisosa.cartwright001";"aisosa.cartwright001";"jgtymhen";"";"E.E.PU-NIZON-PONT-AVEN";"222705 - CM1";"";"Ervin GYNDE001, Gismonde PINTO001"
"292657";"";"Élève";"CATANIA001";"Allegria";"allegria.catania001";"allegria.catania001";"t7m6ajdz";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Gaëlle CARROLL001, Romule SAAMEE001"
"616662";"";"Élève";"CECCHI001";"Hevin";"hevin.cecchi001";"hevin.cecchi001";"ngsejdck";"";"E.E.PU-NIZON-PONT-AVEN";"222705 - CM1";"";"Evy ALI001, Layvin LANDESMANN001"
"1155837";"";"Élève";"CEMJON001";"Marly";"marly.cemjon001";"marly.cemjon001";"yrcffyxe";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Saifeddine KOJU001, Thylan GAMAL001"
"266162";"";"Élève";"CICCONE001";"Carolan";"carolan.ciccone001";"carolan.ciccone001";"7thzgxby";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Alexianne GIACALONE001, Thevy BERTOCCHI001"
"546103";"";"Élève";"CONAGHAN001";"Kaynna";"kaynna.conaghan001";"kaynna.conaghan001";"dkdf6kct";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Defne KENYON001"
"253142";"";"Élève";"CUNNANE001";"Vuthy";"vuthy.cunnane001";"vuthy.cunnane001";"kn9ppwyr";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Mai-Lys BLANC001, Amirouche KOIRI001"
"961294";"";"Élève";"D'ALESSIO001";"Seiji";"seiji.dalessio001";"seiji.dalessio001";"mn6tby7j";"";"E.E.PU-NIZON-PONT-AVEN";"222703 - MS";"";"Dimytri MICHALSKI001, Neliah BHATARAI001"
"500970";"";"Élève";"DADAL001";"Nadège";"nadege.dadal001";"nadege.dadal001";"bakeh57d";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Mamoun GALATI001, Nina PRAMA001"
"432304";"";"Élève";"DAMAI001";"Lorenzia";"lorenzia.damai001";"lorenzia.damai001";"5wx8razd";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Maëlig JABEGU001, Naïma MOSCATELLI001"
"1994914";"";"Élève";"DAMIANI001";"Mylèna";"mylena.damiani001";"mylena.damiani001";"hznrmd93";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Jean-Cédric KALWAR001, Ahoua LINNANE001"
"39610";"";"Élève";"DISSA001";"Will";"will.dissa001";"will.dissa001";"xa5ktpdb";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Melyan RAFEEU001, Chanel PITCHER001"
"319509";"";"Élève";"DORTY001";"Nassir";"nassir.dorty001";"nassir.dorty001";"zaa4r5zn";"";"E.E.PU-NIZON-PONT-AVEN";"222705 - CM1";"";"Abderrhamane IPPOLITO001, Yshaï BREEN001"
"430632";"";"Élève";"FAHMY001";"Ludmillia";"ludmillia.fahmy001";"ludmillia.fahmy001";"xxzzby3p";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Sorin BEGAM001, Guilia HANNON001"
"1017769";"";"Élève";"FANELLI001";"Cooper";"cooper.fanelli001";"cooper.fanelli001";"vr85tsg5";"";"E.E.PU-NIZON-PONT-AVEN";"222703 - MS";"";"Orlane SESSA001"
"1240314";"";"Élève";"FARINA001";"Marie-May";"marie-may.farina001";"marie-may.farina001";"bgyjegcz";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Negan MANSUR001, Marie-Ambre ROSSETTI001"
"511473";"";"Élève";"FAROOG001";"Sheik";"sheik.faroog001";"sheik.faroog001";"pbn4ddfy";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Nassim PERKINS001, Seçil PESENTI001"
"1985905";"";"Élève";"FAVA001";"Keyvann";"keyvann.fava001";"keyvann.fava001";"jkr3gkcb";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Ainara GIORGETTI001, Alyson WATT001"
"196148";"";"Élève";"FERRERO001";"Iosua";"iosua.ferrero001";"iosua.ferrero001";"ddmz34af";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Zayra ZIUNA001, Teophile WIECZOREK001"
"714847";"";"Élève";"FRAWLEY001";"Maysane";"maysane.frawley001";"maysane.frawley001";"mcwh7yx6";"";"E.E.PU-NIZON-PONT-AVEN";"222703 - MS";"";"Refik MCGRATH001, Willene SHAHULA001"
"1509610";"";"Élève";"GIBNEY001";"Dijle";"dijle.gibney001";"dijle.gibney001";"k56bey5t";"";"E.E.PU-NIZON-PONT-AVEN";"222705 - CM1";"";"Khardiata BARBIERI001, Fahime BUI001"
"1715328";"";"Élève";"GIORDANI001";"Taissy";"taissy.giordani001";"taissy.giordani001";"nebfd7we";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Maëlig JABEGU001, Naïma MOSCATELLI001"
"1770529";"";"Élève";"GIUSTI001";"Marie-Jo";"marie-jo.giusti001";"marie-jo.giusti001";"f3e46hrg";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Aures THAKURI001, Gerome CARLUCCI001"
"44672";"";"Élève";"GODDARD001";"Sharazed";"sharazed.goddard001";"sharazed.goddard001";"tdb85pkb";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Léyna CONNELL001, Ana-Isabel SUMNER001"
"693736";"";"Élève";"GUARINO001";"Nahïl";"nahil.guarino001";"nahil.guarino001";"ef7bemwx";"";"E.E.PU-NIZON-PONT-AVEN";"222705 - CM1";"";"Osmane KHANAL001, Nailys CHIRICO001"
"1694164";"";"Élève";"GUNNING001";"Tancrède";"tancrede.gunning001";"tancrede.gunning001";"j5yfhemd";"";"E.E.PU-NIZON-PONT-AVEN";"222705 - CM1";"";"Cam KEN001, Dima SHEA001"
"235811";"";"Élève";"HANRAHAN001";"Cindya";"cindya.hanrahan001";"cindya.hanrahan001";"mdmghzxa";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Ildiko MCFADDEN001, Asiya BAGAYOGO001"
"1400946";"";"Élève";"HORNE001";"Iva";"iva.horne001";"iva.horne001";"brr5yyy5";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Marie-Hortense HAYMES001, Pierre-Maxence HALCOMBE001"
"1793750";"";"Élève";"JINAH001";"Élie";"elie.jinah001";"elie.jinah001";"f5dg783b";"";"E.E.PU-NIZON-PONT-AVEN";"222703 - MS";"";"Emrecan BUSHRY001, Oihiba GODFREY001"
"233655";"";"Élève";"KIRWAN001";"Marie-Joele";"marie-joele.kirwan001";"marie-joele.kirwan001";"hw3wp44h";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Keba BADHAI001, Noris BAMTH001"
"492415";"";"Élève";"KSATRI001";"Kaylah";"kaylah.ksatri001";"kaylah.ksatri001";"gaf63pmt";"";"E.E.PU-NIZON-PONT-AVEN";"222703 - MS";"";"Si RUGGERI001, Theodule CLIFFORD001"
"849933";"";"Élève";"KUSWAH001";"Nanouk";"nanouk.kuswah001";"nanouk.kuswah001";"kh56yzpb";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Robby STONE001, Tesnime SEYMOUR001"
"1274724";"";"Élève";"LEAHY001";"Léonidas";"leonidas.leahy001";"leonidas.leahy001";"tgkgcb43";"";"E.E.PU-NIZON-PONT-AVEN";"222703 - MS";"";"Antonia RASKOTI001, Andreline WHITAKER001"
"974211";"";"Élève";"LLOYD001";"Stuart";"stuart.lloyd001";"stuart.lloyd001";"ke7xc6ck";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Sadi CHAUDHARY001, Nessie FRIEL001"
"1712324";"";"Élève";"LUITEL001";"Wayan";"wayan.luitel001";"wayan.luitel001";"skmycegj";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Lisio ASHRAF001, Diamond HOWLEY001"
"718208";"";"Élève";"MACRAE001";"Ynaya";"ynaya.macrae001";"ynaya.macrae001";"pkt7fvk3";"";"E.E.PU-NIZON-PONT-AVEN";"222707 - GS";"";"Emrecan BUSHRY001, Oihiba GODFREY001"
"1220235";"";"Élève";"MANNING001";"Tran";"tran.manning001";"tran.manning001";"pnfm6hmw";"";"E.E.PU-NIZON-PONT-AVEN";"222706 - CE1";"";"Haylie JAMAL001, Kyriann PLUNKETT001"
"1628471";"";"Élève";"MANSUR001";"France-Hélène";"france-helene.mansur001";"france-helene.mansur001";"9h98vypm";"";"E.E.PU-NIZON-PONT-AVEN";"222704 - CM2";"";"Bou GAVIN001, Soukina KHAPANGI001"
"859724";"";"Élève";"MEROLA001";"Omid";"omid.merola001";"omid.merola001";"h4f8kksn";"";"E.E.PU-NIZON-PONT-AVEN";"222705 - CM1";"";"Vahina KEEGAN001, Ider DORAN001"
