"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"560144";"";"Enseignant";"BERTOLINI001";"Enaïs";"enais.bertolini001";"enais.bertolini001";"";"SANS SPECIALITE, SANS SPECIALITE";"E.E.PU-NOUVELLE VILLE-LORIENT, E.P.PU-RENE GUY CADOU-LORIENT";"";"";""
"1450202";"";"Enseignant";"BOTE001";"Feiza";"feiza.bote001";"feiza.bote001";"ne3s3m6k";"SANS SPECIALITE";"E.E.PU-NOUVELLE VILLE-LORIENT";"";"";""
"854117";"";"Enseignant";"SHUHUDHA001";"Massitan";"massitan.shuhudha001";"massitan.shuhudha001";"4ge9ammk";"BRETON";"E.E.PU-NOUVELLE VILLE-LORIENT";"";"";""
"1485130";"";"Enseignant";"TYNAN001";"Azéline";"azeline.tynan001";"azeline.tynan001";"sgtysdkr";"BRETON";"E.E.PU-NOUVELLE VILLE-LORIENT";"";"";""
"945780";"";"Enseignant";"WAKEFIELD001";"Calissa";"calissa.wakefield001";"calissa.wakefield001";"w56k3zh8";"SANS SPECIALITE";"E.E.PU-NOUVELLE VILLE-LORIENT";"";"";""
"1224732";"";"Enseignant";"WEBB001";"Joséphine";"josephine.webb001";"josephine.webb001";"";"DIRECTION";"E.E.PU-NOUVELLE VILLE-LORIENT";"";"";""
"399949";"";"Enseignant";"YAAMIN001";"Maria-Francisca";"maria-francisca.yaamin001";"maria-francisca.yaamin001";"tgpp8m4z";"SANS SPECIALITE";"E.E.PU-NOUVELLE VILLE-LORIENT";"";"";""
"1347899";"";"Élève";"ABDOULAYE001";"Djessy";"djessy.abdoulaye001";"djessy.abdoulaye001";"";"";"E.E.PU-NOUVELLE VILLE-LORIENT";"227912 - CM1";"";"Melveen HARKNESS001"
"1868183";"";"Élève";"AMOS001";"Aylen";"aylen.amos001";"aylen.amos001";"wmvvbxgv";"";"E.E.PU-NOUVELLE VILLE-LORIENT";"227912 - CM1";"";"Addy RIYASHA001, Salle GIULIANI001"
"333398";"";"Élève";"AZLIFA001";"Cigdem";"cigdem.azlifa001";"cigdem.azlifa001";"5m6byxed";"";"E.E.PU-NOUVELLE VILLE-LORIENT";"227903 - CM2";"";"Maïlyss RAFIU001, Kenael IYAD001"
"1479044";"";"Élève";"BADAHI001";"Sabera";"sabera.badahi001";"sabera.badahi001";"bsfhvmtk";"";"E.E.PU-NOUVELLE VILLE-LORIENT";"227905 - CE1";"";"Sohanna MURTAGH001"
"1019246";"";"Élève";"BAYLISS001";"Melvinn";"melvinn.bayliss001";"melvinn.bayliss001";"wnjsrkyt";"";"E.E.PU-NOUVELLE VILLE-LORIENT";"227907 - CM2";"";"Auguste KEMP001, Sohanne LATHEEF001"
"931537";"";"Élève";"BELL001";"Taïly";"taily.bell001";"taily.bell001";"k43kh9mw";"";"E.E.PU-NOUVELLE VILLE-LORIENT";"227905 - CE1";"";"Najlae GAYNOR001, Jean-Mario MASIERO001"
"692292";"";"Élève";"BENETTI001";"Mathy";"mathy.benetti001";"mathy.benetti001";"4jz8pneh";"";"E.E.PU-NOUVELLE VILLE-LORIENT";"227903 - CM2";"";"Almire PHUYAML001, Sylvane BERGAMASCHI001"
"1345745";"";"Élève";"BENGALY001";"Abdeljabar";"abdeljabar.bengaly001";"abdeljabar.bengaly001";"375dtnfb";"";"E.E.PU-NOUVELLE VILLE-LORIENT";"227903 - CM2";"";"Ysambre SAMWAHAMPHE001"
