"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1812302";"";"Enseignant";"BUDHAKSETRI001";"Chamsia";"chamsia.budhaksetri001";"chamsia.budhaksetri001";"b7kmfa3z";"SANS SPECIALITE";"E.E.PU-PAUL DUKAS-BREST";"";"";""
"1131056";"";"Enseignant";"COYNE001";"Djienaba";"djienaba.coyne001";"djienaba.coyne001";"fnyzxsgy";"SANS SPECIALITE";"E.E.PU-PAUL DUKAS-BREST";"";"";""
"551285";"";"Enseignant";"D'ALESSIO001";"Noëlann";"noelann.dalessio001";"noelann.dalessio001";"ma3zn567";"SANS SPECIALITE";"E.E.PU-PAUL DUKAS-BREST";"";"";""
"418350";"";"Enseignant";"KHADKA001";"Louis-Félix";"louis-felix.khadka001";"louis-felix.khadka001";"bp4e8edp";"SANS SPECIALITE";"E.E.PU-PAUL DUKAS-BREST";"";"";""
"1500718";"";"Enseignant";"LEPORE001";"Megui";"megui.lepore001";"megui.lepore001";"mpjfr44f";"SANS OBJET";"E.E.PU-PAUL DUKAS-BREST";"";"";""
"1892030";"";"Enseignant";"PURSS001";"Marie-Manuelle";"marie-manuelle.purss001";"marie-manuelle.purss001";"xgb8893k";"SANS OBJET, SANS SPECIALITE";"E.E.PU-PAUL DUKAS-BREST";"";"";""
"820596";"";"Enseignant";"SAPHI001";"Layya";"layya.saphi001";"layya.saphi001";"3hd88zme";"SANS SPECIALITE";"E.E.PU-PAUL DUKAS-BREST";"";"";""
"1442987";"";"Enseignant";"SATYAL001";"Maïsa";"maisa.satyal001";"maisa.satyal001";"x5px6g5v";"SANS SPECIALITE";"E.E.PU-PAUL DUKAS-BREST";"";"";""
"1500856";"";"Enseignant";"SCALA001";"Gwenaëlle";"gwenaelle.scala001";"gwenaelle.scala001";"bnt3e8m7";"SANS SPECIALITE";"E.E.PU-PAUL DUKAS-BREST";"";"";""
"843061";"";"Enseignant";"SHEEREEN001";"Marie-Léonie";"marie-leonie.sheereen001";"marie-leonie.sheereen001";"bknd4rmk";"SANS SPECIALITE";"E.E.PU-PAUL DUKAS-BREST";"";"";""
"751233";"";"Enseignant";"TYNAN001";"Mélania";"melania.tynan001";"melania.tynan001";"bzvvsdv3";"SANS SPECIALITE";"E.E.PU-PAUL DUKAS-BREST";"";"";""
"1031388";"";"Élève";"AHERNE001";"Misia";"misia.aherne001";"misia.aherne001";"r4mnxb4c";"";"E.E.PU-PAUL DUKAS-BREST";"224315 - CP";"";"Louisane HOBSON001"
"728595";"";"Élève";"AIRAS001";"Lias";"lias.airas001";"lias.airas001";"657b6477";"";"E.E.PU-PAUL DUKAS-BREST";"224311 - GS";"";"Cornelis PANUELO001, Gualberte FARIS001"
"1765231";"";"Élève";"BADE001";"Lili-Jeanne";"lili-jeanne.bade001";"lili-jeanne.bade001";"nhkkg85t";"";"E.E.PU-PAUL DUKAS-BREST";"224313 - CE2";"";"Maija BISI001"
"283382";"";"Élève";"BATAILLE001";"Randal";"randal.bataille001";"randal.bataille001";"cj387tnv";"";"E.E.PU-PAUL DUKAS-BREST";"224313 - CE2";"";"Sabryne PLANT001, Naïl MARTIN001"
"190182";"";"Élève";"BEECHAM001";"Keran";"keran.beecham001";"keran.beecham001";"8mbr4s6p";"";"E.E.PU-PAUL DUKAS-BREST";"224307 - CE1";"";"Sorian IRFAN001, Massouda BATHILY001"
"870095";"";"Élève";"BERGAMASCHI001";"Candido";"candido.bergamaschi001";"candido.bergamaschi001";"ddk7xtkt";"";"E.E.PU-PAUL DUKAS-BREST";"230324 - TPS";"";"Gwendal SAAMEE001, Halima VERDE001"
"1010884";"";"Élève";"BERNARDINI001";"Qayyim";"qayyim.bernardini001";"qayyim.bernardini001";"jrwshtvk";"";"E.E.PU-PAUL DUKAS-BREST";"224311 - GS";"";"Walim GUIDI001, My-Lan SOGODOGO001"
