"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"172378";"";"Enseignant";"BISVAKARM001";"Amans";"amans.bisvakarm001";"amans.bisvakarm001";"46myjcwn";"SANS OBJET";"E.E.PU-PAUL LANGEVIN-BREST";"";"";""
"314489";"";"Enseignant";"CREAN001";"Leeana";"leeana.crean001";"leeana.crean001";"hj3j5gjz";"SANS SPECIALITE";"E.E.PU-PAUL LANGEVIN-BREST";"";"";""
"496792";"";"Enseignant";"GAIHRE001";"Myriel";"myriel.gaihre001";"myriel.gaihre001";"kggf9y8h";"DIRECTION";"E.E.PU-PAUL LANGEVIN-BREST";"";"";""
"1096358";"";"Enseignant";"GANDINI001";"Cristina";"cristina.gandini001";"cristina.gandini001";"gf5fzf4v";"SANS SPECIALITE";"E.E.PU-PAUL LANGEVIN-BREST";"";"";""
"1934601";"";"Enseignant";"READ001";"Élisée";"elisee.read001";"elisee.read001";"ejsyvxyw";"SANS SPECIALITE";"E.E.PU-PAUL LANGEVIN-BREST";"";"";""
"1525806";"";"Enseignant";"RUGGERI001";"Amirah";"amirah.ruggeri001";"amirah.ruggeri001";"6p53gxrx";"ANGLAIS";"E.E.PU-PAUL LANGEVIN-BREST";"";"";""
"1751182";"";"Élève";"ABDULLAH001";"Soizic";"soizic.abdullah001";"soizic.abdullah001";"yxmvzpgb";"";"E.E.PU-PAUL LANGEVIN-BREST";"230814 - CE1";"";"Mansa NABEELA001, Louéna JENKINS001"
"1761481";"";"Élève";"AIRAS001";"Chaker";"chaker.airas001";"chaker.airas001";"5dhghgzk";"";"E.E.PU-PAUL LANGEVIN-BREST";"230814 - CE1";"";"Yolenne MORRONE001"
"102038";"";"Élève";"AMEEZA001";"Braham";"braham.ameeza001";"braham.ameeza001";"jst58z6j";"";"E.E.PU-PAUL LANGEVIN-BREST";"221655 - CM2";"";"Sammuel REGAN001, Soumaya DHILLON001"
"1236396";"";"Élève";"ASFA001";"Dorlane";"dorlane.asfa001";"dorlane.asfa001";"xzfn3gzm";"";"E.E.PU-PAUL LANGEVIN-BREST";"221655 - CM2";"";"Abdel-Hamid STHAPIT001, Virginy HUMAGAI001"
"1650863";"";"Élève";"AZEEZ001";"Jean-Malo";"jean-malo.azeez001";"jean-malo.azeez001";"pma64zr7";"";"E.E.PU-PAUL LANGEVIN-BREST";"221654 - CE2";"";"Chayan TROY001, Jane-Marie UMAR001"
"1486581";"";"Élève";"BADUWAL001";"Layvin";"layvin.baduwal001";"layvin.baduwal001";"ctymrtnb";"";"E.E.PU-PAUL LANGEVIN-BREST";"230814 - CE1";"";"Ismael GORE001, Soummaya BANJADE001"
"851101";"";"Élève";"BARRA001";"Hayete";"hayete.barra001";"hayete.barra001";"wrebdkkb";"";"E.E.PU-PAUL LANGEVIN-BREST";"221658 - GS";"";"Kezian TIMILSIN001, Helina FAWWAZ001"
"262859";"";"Élève";"BASNYAT001";"Desmond";"desmond.basnyat001";"desmond.basnyat001";"8yykdxhs";"";"E.E.PU-PAUL LANGEVIN-BREST";"230814 - CE1";"";"Any MUJUTHABA001"
