"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1750600";"";"Enseignant";"BOUARE001";"Illian";"illian.bouare001";"illian.bouare001";"bmct4ehz";"DIRECTION";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"1863029";"";"Enseignant";"CARDONE001";"Mahiedine";"mahiedine.cardone001";"mahiedine.cardone001";"f4rskaeg";"SANS SPECIALITE";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"35979";"";"Enseignant";"DHIE001";"Monna";"monna.dhie001";"monna.dhie001";"zk4beba5";"BRETON";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"1668367";"";"Enseignant";"GABRIELLI001";"Laurie-Anne";"laurie-anne.gabrielli001";"laurie-anne.gabrielli001";"vs5wckkf";"SANS OBJET";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"1222926";"";"Enseignant";"GEARY001";"Iden";"iden.geary001";"iden.geary001";"5cdm3bs4";"SANS SPECIALITE";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"1446292";"";"Enseignant";"HAFSA001";"Floryane";"floryane.hafsa001";"floryane.hafsa001";"vmmbmex7";"BRETON";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"1660326";"";"Enseignant";"HUGHES001";"Hadjia";"hadjia.hughes001";"hadjia.hughes001";"5cxzj4xn";"SANS SPECIALITE";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"58739";"";"Enseignant";"MENZIES001";"Raphaelle";"raphaelle.menzies001";"raphaelle.menzies001";"nekcjx83";"ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"1178916";"";"Enseignant";"MOON001";"Kyliane";"kyliane.moon001";"kyliane.moon001";"w7847gmm";"SANS SPECIALITE";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"1017043";"";"Enseignant";"O'BEIRNE001";"Sanjiv";"sanjiv.obeirne001";"sanjiv.obeirne001";"drrehtdp";"BRETON";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"1641030";"";"Enseignant";"O'RIORDAN001";"Laylla";"laylla.oriordan001";"laylla.oriordan001";"zvfdz3mb";"BRETON";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"384025";"";"Enseignant";"PAOLUCCI001";"Thuriane";"thuriane.paolucci001";"thuriane.paolucci001";"yst5k9f3";"SANS SPECIALITE";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"1833290";"";"Enseignant";"ROWLAND001";"Ascension";"ascension.rowland001";"ascension.rowland001";"8xpetrzm";"SANS OBJET, SANS SPECIALITE";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"1391670";"";"Enseignant";"SYANTAN001";"Henda";"henda.syantan001";"henda.syantan001";"3hbpm4my";"BRETON";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"1847406";"";"Enseignant";"ZAKEE001";"Daloba";"daloba.zakee001";"daloba.zakee001";"dch59ww4";"SANS OBJET";"E.E.PU-POAN BEN-MORLAIX";"";"";""
"530275";"";"Élève";"ABBOTT001";"Eizan";"eizan.abbott001";"eizan.abbott001";"xzthwreb";"";"E.E.PU-POAN BEN-MORLAIX";"222100 - CE1";"";"Keyza FITZPATRICK001, Jean-Loup MARIOTTI001"
"942781";"";"Élève";"ABOOBAKUR001";"Victoire";"victoire.aboobakur001";"victoire.aboobakur001";"gshsst34";"";"E.E.PU-POAN BEN-MORLAIX";"222099 - CP";"";"Traian RAYNER001, Giliane CRAVEN001"
"1705520";"";"Élève";"AIRAS001";"Luna";"luna.airas001";"luna.airas001";"gfevmx5t";"";"E.E.PU-POAN BEN-MORLAIX";"222102 - CM2";"";"Soukayna PHADER001, Gismonde FAZEELA001"
"1653466";"";"Élève";"AMEEZ001";"Auregan";"auregan.ameez001";"auregan.ameez001";"eceje5h8";"";"E.E.PU-POAN BEN-MORLAIX";"222105 - CE2";"";"Anghjulu AZEEZ001, Lumen ZAHIDA001"
"1679563";"";"Élève";"ASHE001";"Noeline";"noeline.ashe001";"noeline.ashe001";"6dj7ayxp";"";"E.E.PU-POAN BEN-MORLAIX";"222098 - MS";"";"Yonn GIUFFRIDA001, Zeren DIXON001"
"931378";"";"Élève";"ASIMA001";"Marvens";"marvens.asima001";"marvens.asima001";"seyv6sgx";"";"E.E.PU-POAN BEN-MORLAIX";"222103 - MS";"";"Annaya COULON001, Justyne FARMER001"
"1753855";"";"Élève";"ATHIFA001";"Shonna";"shonna.athifa001";"shonna.athifa001";"d3fvskvp";"";"E.E.PU-POAN BEN-MORLAIX";"222105 - CE2";"";"Elisia KHALIDH001, Thiaba TATAICHY001"
"387276";"";"Élève";"AZLEEM001";"Ying";"ying.azleem001";"ying.azleem001";"9vmppa7w";"";"E.E.PU-POAN BEN-MORLAIX";"";"";"Nasar TELIN001, Antonela SAFA001"
"1066228";"";"Élève";"BANA001";"Clément";"clement.bana001";"clement.bana001";"yp53s356";"";"E.E.PU-POAN BEN-MORLAIX";"222102 - CM2";"";"Abu-Bakr DATTA001, Vu DATTA001"
"1273549";"";"Élève";"BANFI001";"Elisette";"elisette.banfi001";"elisette.banfi001";"4gwzy38y";"";"E.E.PU-POAN BEN-MORLAIX";"222106 - CM2";"";"Lamar CARDILLO001, Osama BHUSAL001"
"1459904";"";"Élève";"BANU001";"Taïm";"taim.banu001";"taim.banu001";"mecscxmg";"";"E.E.PU-POAN BEN-MORLAIX";"222101 - CM1";"";"Yair DEACON001, Diclan BLUM001"
"775137";"";"Élève";"BAREE001";"Cheikh-Tidiane";"cheikh-tidiane.baree001";"cheikh-tidiane.baree001";"53c6ymcr";"";"E.E.PU-POAN BEN-MORLAIX";"222098 - MS";"";"Sapho DAWES001, Arken ZANON001"
"75143";"";"Élève";"BASHEER001";"Fredj";"fredj.basheer001";"fredj.basheer001";"eg6exs4h";"";"E.E.PU-POAN BEN-MORLAIX";"222106 - CM2";"";"Inèss MOCI001, Mattyas HUSHAMA001"
"1570480";"";"Élève";"BENEBIG001";"Cassandre";"cassandre.benebig001";"cassandre.benebig001";"nrj8kn5y";"";"E.E.PU-POAN BEN-MORLAIX";"222099 - CP";"";"Najate FLEMING001, Sean BASTOL001"
